	ZellerG_2014__CCIS32452666ST-4-0__bin.6	XieH_2016__YSZC12003_35697__bin.54	XieH_2016__YSZC12003_36703__bin.13	QinJ_2012__T2D-012__bin.17	RaymondF_2016__P25C7__bin.100	XieH_2016__YSZC12003_35698__bin.37	BritoIL_2016__W2.44.ST__bin.2	YuJ_2015__SZAXPI017454-20__bin.20	BritoIL_2016__WL.35.ST__bin.27	HMP_2012__SRS011586__bin.30	HMP_2012__SRS055982__bin.27	LeChatelierE_2013__MH0117__bin.29	ZeeviD_2015__PNP_Main_517__bin.12	FengQ_2015__SID31009__bin.69	BritoIL_2016__W2.4.ST__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.52	BritoIL_2016__W1.11.ST__bin.39	ZeeviD_2015__PNP_Main_536__bin.21	NielsenHB_2014__V1_UC10_0__bin.17	LoombaR_2017__SID1009_aai__bin.30	LeChatelierE_2013__MH0137__bin.2	XieH_2016__YSZC12003_35666__bin.97	LiJ_2014__MH0346__bin.54	QinJ_2012__T2D-042__bin.53	YuJ_2015__SZAXPI015255-46__bin.60	LiJ_2014__V1.CD4-0-PN__bin.30	XieH_2016__YSZC12003_35658__bin.68	BritoIL_2016__WL.5.ST__bin.18	QinJ_2012__NLM004__bin.41	XieH_2016__YSZC12003_37316__bin.112	HMP_2012__SRS022609__bin.55	HMP_2012__SRS011134__bin.62
ZellerG_2014__CCIS32452666ST-4-0__bin.6	1.0	0.9887418073806218	0.9887758230392142	0.9863913054193262	0.9898912273337678	0.9895964627638177	0.9871042827534108	0.9856165638551273	0.9875469905635277	0.9883592284381163	0.9876132946706616	0.9888679266099581	0.9896980716235507	0.9885018830525273	0.9871322236843427	0.9886030598616289	0.9849388195098773	0.9845189718482252	0.9881491906062423	0.9887045732656213	0.9878626771018325	0.988563422130981	0.992700471531131	0.983119837439242	0.984506707227188	0.9895810980042983	0.988481383127188	0.9867509000803037	0.9837696356591377	0.9888280832888414	0.9891883250058944	0.9867761906449746
XieH_2016__YSZC12003_35697__bin.54	0.9887418073806218	1.0	0.9911313571631215	0.988042583919762	0.988876452906578	0.9943734902040602	0.9875616658300701	0.983640811739458	0.987781984519984	0.9915489822425402	0.9869552178627058	0.9892668308911293	0.9894627927790268	0.9913705166528956	0.9867553188994658	0.9916024733717501	0.9858269277935199	0.982981799522582	0.9877307657868817	0.9895823082183312	0.9900991468119529	0.9967522620529706	0.9884427024518678	0.9825742905226272	0.982970947581233	0.988780548678894	0.992147500431456	0.9871854161201169	0.9826914039405134	0.9887828238713889	0.9917446584867903	0.9871466125066228
XieH_2016__YSZC12003_36703__bin.13	0.9887758230392142	0.9911313571631215	1.0	0.985587135210195	0.9882690406378491	0.9908881232381332	0.9860927365728455	0.9838249063670412	0.9861642521964901	0.9977526257342342	0.9863366099280922	0.9887591526985308	0.9900049135076872	0.9981966444343695	0.9853249247999454	0.9975310176588951	0.9841767962881616	0.9826511294470565	0.9874839941836491	0.9887808973787213	0.9919938762785212	0.9895876046343652	0.989263005387433	0.9826993567320719	0.9824692572744173	0.9881704716012323	0.9975797276831327	0.9872233438819995	0.9830439086842282	0.9886119960113307	0.9968224762376898	0.9853180332585405
QinJ_2012__T2D-012__bin.17	0.9863913054193262	0.988042583919762	0.985587135210195	1.0	0.9865931590824973	0.9879326205556775	0.9862606748433239	0.9830255335826499	0.9866415592216574	0.9859992605809262	0.9856823427934523	0.9876402648136074	0.9870543181698218	0.9863511480637402	0.9862338732246004	0.9861945434491308	0.985689004747372	0.9826174433629467	0.9860749689229944	0.9879715235985929	0.9878888083323019	0.9879841969736823	0.9859689373419362	0.9829955758733387	0.9831013839442314	0.9866972404047336	0.9865767127443373	0.9873655592033376	0.9836798322103232	0.9872063780079067	0.9872634760590132	0.9861566073462364
RaymondF_2016__P25C7__bin.100	0.9898912273337678	0.988876452906578	0.9882690406378491	0.9865931590824973	1.0	0.9899966946852881	0.9872983588703201	0.9835376188692038	0.9876900122046551	0.9875918943214147	0.9868844250528479	0.9908235958363598	0.9915256283140061	0.9878823753782822	0.98650919107942	0.9876152448023015	0.9821746849769537	0.9826711341810943	0.9868693988095175	0.988899695162559	0.9883474068989736	0.9879930161501528	0.9877027664589385	0.9826873634931885	0.982618163678399	0.9961584446209583	0.9877869466305571	0.9879131752188632	0.9828234167480577	0.9929069027734505	0.9885831867854178	0.9859523919385187
XieH_2016__YSZC12003_35698__bin.37	0.9895964627638177	0.9943734902040602	0.9908881232381332	0.9879326205556775	0.9899966946852881	1.0	0.9879543558118749	0.9838452881706147	0.9882847723879137	0.9911838471124584	0.98750808486893	0.9897479770046045	0.989095026483101	0.9914475508434996	0.9866075678712728	0.991082724946815	0.9869873646092843	0.9838424589084311	0.9876442360162583	0.9899689552835164	0.9903189631665532	0.9937922084290758	0.988828516582573	0.9833165077584596	0.9830696856646547	0.9895043637480976	0.9914669469197915	0.9882996574054623	0.9832149918516822	0.98983178544487	0.9920691839373492	0.9860946125358117
BritoIL_2016__W2.44.ST__bin.2	0.9871042827534108	0.9875616658300701	0.9860927365728455	0.9862606748433239	0.9872983588703201	0.9879543558118749	1.0	0.9832707927275681	0.9973787062590015	0.9859907683344499	0.9855133785667551	0.9877120036727305	0.9862492015752005	0.9863905512419225	0.9870654958481649	0.9858797352806937	0.9868526151533636	0.9822531979164516	0.9861160002156492	0.9881848407095881	0.9870871200824582	0.9874746524623854	0.986043604360436	0.9822681182562676	0.9827706777590829	0.9868393741833623	0.9864440327376306	0.9881085380403194	0.9821448418712742	0.9869472761904076	0.9866597988617123	0.9858841623914861
YuJ_2015__SZAXPI017454-20__bin.20	0.9856165638551273	0.983640811739458	0.9838249063670412	0.9830255335826499	0.9835376188692038	0.9838452881706147	0.9832707927275681	1.0	0.9836804396968853	0.9833492551842878	0.9830764190892943	0.9842899930163596	0.9842042464133913	0.983893774639345	0.9828399330170423	0.9841228813820979	0.9830016207228983	0.9823667622596051	0.9847673712090015	0.9845590485296115	0.9844771884211427	0.984027105517909	0.9835035865390364	0.9832955747726299	0.9829494254521131	0.9837365771064475	0.9839728340552341	0.9847610095831151	0.9826398378498034	0.9839860443391387	0.9847883888378726	0.9832384241890361
BritoIL_2016__WL.35.ST__bin.27	0.9875469905635277	0.987781984519984	0.9861642521964901	0.9866415592216574	0.9876900122046551	0.9882847723879137	0.9973787062590015	0.9836804396968853	1.0	0.9860503654052041	0.9851832066970782	0.9877709512379527	0.9866588042529056	0.9863321445547657	0.98830253584584	0.9859865319014073	0.9870616899363933	0.9825486984702234	0.9862311536461925	0.9884956009984663	0.9872173765103508	0.987144392980142	0.9860566084996243	0.9828248444633555	0.982660882195405	0.9874396076800791	0.986401530801605	0.9880183256362386	0.9823503306769819	0.9873452878990401	0.9870603708818754	0.9857122421732378
HMP_2012__SRS011586__bin.30	0.9883592284381163	0.9915489822425402	0.9977526257342342	0.9859992605809262	0.9875918943214147	0.9911838471124584	0.9859907683344499	0.9833492551842878	0.9860503654052041	1.0	0.9861809662324793	0.9880895110348102	0.9891682536111114	0.9984633571675342	0.9848176530390069	0.9983972626523706	0.9855335006858	0.9822165787231553	0.9871748709771445	0.9883598202708	0.9925088258086737	0.9902696227459593	0.9889509065066427	0.9819050823397106	0.982399066587652	0.9877634181770404	0.9980416012623923	0.9870455317154665	0.9819890617110856	0.988019626819558	0.9974459938261583	0.9848855979036804
