	CM_madagascar__A92_01_1FE__bin.44	BritoIL_2016__W3.18.ST__bin.6	BritoIL_2016__WL.1.ST__bin.16	LiuW_2016__SRR3993004__bin.60	BritoIL_2016__W1.1.ST__bin.29	CM_madagascar__A79_02_1FE__bin.25	CM_madagascar__A28_02_1FE__bin.17	BritoIL_2016__W2.39.ST__bin.64	LeChatelierE_2013__MH0318__bin.90	LiuW_2016__SRR3992977__bin.26	BritoIL_2016__W1.31.ST__bin.33	BritoIL_2016__W1.26.ST__bin.22	BritoIL_2016__W1.53.ST__bin.2	ZeeviD_2015__PNP_Main_293__bin.37	BritoIL_2016__M1.29.ST__bin.37	CM_madagascar__A29_01_1FE__bin.4	LiuW_2016__SRR3992995__bin.68	BritoIL_2016__M1.20.ST__bin.42	BritoIL_2016__M1.26.ST__bin.16	BritoIL_2016__W1.2.ST__bin.84	LiuW_2016__SRR3992958__bin.44	BritoIL_2016__W2.5.ST__bin.28	BritoIL_2016__M2.37.ST__bin.9	BritoIL_2016__W2.19.ST__bin.23	BritoIL_2016__M2.58.ST__bin.49	BritoIL_2016__W2.46.ST__bin.71	BritoIL_2016__W2.9.ST__bin.79	BritoIL_2016__WL.26.ST__bin.9	BritoIL_2016__W1.9.ST__bin.73	BritoIL_2016__WL.3.ST__bin.74	BritoIL_2016__W2.61.ST__bin.104	BritoIL_2016__M1.44.ST__bin.7	BritoIL_2016__M1.1.ST__bin.106	CM_madagascar__A62_01_1FE__bin.43	BritoIL_2016__M1.22.ST__bin.45	BritoIL_2016__M1.52.ST__bin.77	BritoIL_2016__M2.51.ST__bin.49	LiuW_2016__SRR3993048__bin.23	BritoIL_2016__W1.3.ST__bin.9	LiuW_2016__SRR3992980__bin.10	BritoIL_2016__WL.25.ST__bin.8
CM_madagascar__A92_01_1FE__bin.44	1.0	0.9867786606815118	0.9873330403870059	0.9864201390719995	0.9870924060508477	0.9992109688268012	0.9880428560086582	0.9877323215340635	0.9848888986816855	0.985803279025473	0.987280628320317	0.9873578041395435	0.9873914381370896	0.9869169982406721	0.9869296963510781	0.9874058862475829	0.9869703035723735	0.9865531531953539	0.9863761670613546	0.9873519686646645	0.9869990955290324	0.987262389872276	0.9874199244679891	0.9872847185523843	0.9873421656315507	0.9874512667880702	0.9879197380895701	0.9862148356418023	0.9871788563410403	0.9873740341201386	0.9872116545364663	0.9874098971004621	0.9873103982776624	0.9872894013177025	0.9866553729272437	0.9864265896306234	0.986758082171413	0.9855753385082173	0.9869987504720169	0.985622580579688	0.9867724670615554
BritoIL_2016__W3.18.ST__bin.6	0.9867786606815118	1.0	0.9895362408059355	0.989491304266781	0.9898862529844183	0.9869747916588889	0.9882955530456253	0.9901611070000377	0.9876878276677219	0.9884414908469126	0.9897308111581692	0.9898099852266316	0.9900477019189436	0.989546214866817	0.9893320552854754	0.9897017023742752	0.9899265232900331	0.9889913870943303	0.9894310460464857	0.989678949534055	0.9901428178126506	0.989896269470167	0.990436219975028	0.9896775662860116	0.9898799951708318	0.9891239887135438	0.9897050258867939	0.9894795785822863	0.989785761191473	0.9898030250823717	0.9897883753398486	0.9897586484005744	0.9898053368516209	0.989828870865256	0.9896533909642244	0.9893893290375659	0.9894075312475121	0.9883715492233818	0.9978083276794184	0.9880991111972532	0.9892464851337878
BritoIL_2016__WL.1.ST__bin.16	0.9873330403870059	0.9895362408059355	1.0	0.9899178371379724	0.997428824208177	0.9873634242619495	0.9888162111353797	0.9933692627468397	0.9884048403520038	0.9891487763844079	0.9968966118259289	0.9967297200289338	0.9906928213957302	0.9902313002313856	0.9964466427500536	0.990414334761708	0.9907093348589574	0.9901390669059216	0.9902097191440267	0.990714143950096	0.9903774244765872	0.9965476965884748	0.9904538321500255	0.9979604439066526	0.9955700104969252	0.9904263186609672	0.9906564417475964	0.9900205919670528	0.9979166802724643	0.9965098624561443	0.9906189154211034	0.9972019645871637	0.9977885665354733	0.9899775609956656	0.9908094398803566	0.9902599632846211	0.9904449527754323	0.9889414561336103	0.9899381105604309	0.9884279538550972	0.9900564031425193
LiuW_2016__SRR3993004__bin.60	0.9864201390719995	0.989491304266781	0.9899178371379724	1.0	0.9901672671051195	0.9861198097266041	0.9878595595320186	0.9904598902504288	0.9883820035065327	0.9890692650935313	0.9900079249694406	0.9900353559245157	0.9903679694834944	0.9904436761505464	0.9894813792472213	0.9897595831782657	0.9911384305486018	0.9898462500084926	0.9901930056180092	0.9902311631514978	0.9903387235598345	0.9902517396137244	0.9900534510324341	0.9900447354257575	0.9901863064584718	0.9901316703164599	0.990516018151251	0.9896489830085561	0.9900337396314479	0.9901976861790344	0.9903014654541389	0.990004332795575	0.990195039200268	0.9898707372344596	0.9903923518659884	0.9901202379685498	0.9898341245568332	0.9891222488281444	0.9897658013387535	0.9894782667866764	0.9900912936985081
BritoIL_2016__W1.1.ST__bin.29	0.9870924060508477	0.9898862529844183	0.997428824208177	0.9901672671051195	1.0	0.9870315761238568	0.9888670952930976	0.9931343215028575	0.988846671707406	0.989596485278789	0.9964038336420373	0.99593331449224	0.9907049794326824	0.990420851674674	0.995715692538401	0.9905016900957475	0.9909736262289298	0.9902607641452605	0.9902281746031746	0.9908271763429067	0.99033264568937	0.9957761114694189	0.99068785398896	0.9968207204504911	0.9951044401610881	0.9907656466280932	0.9909915469361625	0.9903864152143727	0.9969705640467481	0.9959756107411584	0.9907483105983512	0.9967226368140402	0.9968743016280882	0.9903362361329295	0.9910147256736039	0.9903594659066802	0.9905045577017018	0.9893467230462442	0.9899271919492657	0.9890495466155593	0.9904249421971427
CM_madagascar__A79_02_1FE__bin.25	0.9992109688268012	0.9869747916588889	0.9873634242619495	0.9861198097266041	0.9870315761238568	1.0	0.9878611306932875	0.9874800554080819	0.984614971411095	0.9856066928454975	0.9870615902896889	0.9872443433305587	0.9872466140708754	0.9866501176974106	0.9868943479867012	0.9870892996009922	0.9869098061925405	0.986539837899943	0.9861008100838348	0.9870170297142654	0.9866203624583364	0.987177847228749	0.9873513664609629	0.9870649808808368	0.987331480125732	0.987316441927828	0.9876967504220459	0.9859873613044378	0.9872215002145296	0.987321517080172	0.9867728713497175	0.987229595113932	0.9871975018460265	0.9870233756078421	0.9865834009364839	0.9865183546549241	0.9866866455833087	0.985576410415665	0.986725333478078	0.9854565296338675	0.9866566751348259
CM_madagascar__A28_02_1FE__bin.17	0.9880428560086582	0.9882955530456253	0.9888162111353797	0.9878595595320186	0.9888670952930976	0.9878611306932875	1.0	0.9891480088906054	0.9867064229966008	0.9866526043431705	0.9887784490580473	0.98878084454879	0.9886479356037462	0.9885804757153298	0.9884338704415436	0.9886220328572428	0.9883685932297678	0.9880504914794301	0.987787297401311	0.988848361651733	0.9882496554908194	0.9888715633036821	0.9885659872025857	0.9890174337691776	0.9887082958217418	0.9887215301703726	0.9887162812636527	0.9873878279353582	0.9889168183525469	0.9889848909446696	0.9884265910016983	0.9890203178372557	0.9889949225589643	0.9885289555623191	0.9884923124702288	0.9878656466190842	0.9883761263357808	0.9867020260099038	0.9881747006368107	0.9867182669502708	0.988063549167471
BritoIL_2016__W2.39.ST__bin.64	0.9877323215340635	0.9901611070000377	0.9933692627468397	0.9904598902504288	0.9931343215028575	0.9874800554080819	0.9891480088906054	1.0	0.989069974331128	0.9895112741009086	0.9931067575550462	0.9929324395408036	0.9908894738264177	0.9907813214477738	0.9925926166875209	0.9906098096546934	0.9908233797592455	0.9903511408960429	0.9903797642115141	0.9909744212446063	0.990746224670375	0.9931622825787659	0.9906114826847514	0.9937423227187282	0.9927776393221212	0.9966362384883294	0.9966153018825428	0.9903837466513867	0.9936830728088673	0.9930827126640462	0.990912900155624	0.9935537566599841	0.9935666093385555	0.9906647770419367	0.9911012250691393	0.9905581426784276	0.9904712161174553	0.9893378873714911	0.9902221752885441	0.9891143183038159	0.9907428346383627
LeChatelierE_2013__MH0318__bin.90	0.9848888986816855	0.9876878276677219	0.9884048403520038	0.9883820035065327	0.988846671707406	0.984614971411095	0.9867064229966008	0.989069974331128	1.0	0.9878433793120592	0.9886802504743802	0.989120423072468	0.9888231965360705	0.9892363478421632	0.9883761364139458	0.9884760860829985	0.9893028803580618	0.9886642544158473	0.988759051468639	0.9888988377929491	0.989031505842609	0.9885265801891885	0.9891174815088433	0.988631955058536	0.9888117198435274	0.9882375275207231	0.9886393026293521	0.9890140709108877	0.988742919008905	0.9888908093457256	0.9889032639228891	0.9887544135763792	0.9885143822360861	0.9879757257377866	0.9890636558521408	0.9886290683653575	0.9888410303903683	0.9878996756776182	0.9879417372049187	0.9873639638011387	0.9890112186030153
LiuW_2016__SRR3992977__bin.26	0.985803279025473	0.9884414908469126	0.9891487763844079	0.9890692650935313	0.989596485278789	0.9856066928454975	0.9866526043431705	0.9895112741009086	0.9878433793120592	1.0	0.989501699357547	0.9893222984536781	0.9894980238420963	0.9899728725768863	0.9887051049741945	0.9891592722038862	0.989859271782807	0.9891340633000564	0.988744094754826	0.9896486697003238	0.9899041024504489	0.9894990220646274	0.9894837174953655	0.9894224526790607	0.9893393433032068	0.989274207099657	0.9892508174556752	0.9893391996868933	0.9893391252729984	0.9898127603566124	0.9892835035222554	0.9895062743507954	0.9895615411527849	0.9893221209397869	0.9895387893405146	0.989616785223948	0.9892060147332563	0.9941187105610925	0.9887893044940711	0.9911224263129528	0.9891679264945473
