	ZeeviD_2015__PNP_Main_709__bin.19	VincentC_2016__MM019.3__bin.15	Obregon-TitoAJ_2015__HCO12__bin.25	CosteaPI_2017__pluto1-11-0-0__bin.45	CosteaPI_2017__SID713B072-11-90-0__bin.43	BritoIL_2016__W2.21.ST__bin.1	VincentC_2016__MM022.3__bin.12	CosteaPI_2017__SID713A081-11-90-0__bin.30	ZeeviD_2015__PNP_Main_170__bin.64	BritoIL_2016__W1.27.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.27	LiJ_2014__V1.FI24__bin.39	ZeeviD_2015__PNP_Main_23__bin.13	ZellerG_2014__CCIS16383318ST-4-0__bin.63	ChengpingW_2017__AS12raw__bin.8	LiuW_2016__SRR3992961__bin.108	ZeeviD_2015__PNP_Main_186__bin.52	LiJ_2014__V1.FI09__bin.4	LiuW_2016__SRR3993054__bin.11	CosteaPI_2017__SID713B055-11-90-0__bin.39	SchirmerM_2016__G88968__bin.4	ChengpingW_2017__AS71raw__bin.30	NielsenHB_2014__MH0031__bin.7	BritoIL_2016__WL.9.ST__bin.10	ZeeviD_2015__PNP_Main_538__bin.2	LeChatelierE_2013__MH0031__bin.13	BritoIL_2016__W1.41.ST__bin.84	BritoIL_2016__W1.3.ST__bin.50	LeChatelierE_2013__MH0120__bin.8	LeChatelierE_2013__MH0276__bin.105	ZeeviD_2015__PNP_Main_488__bin.23	CosteaPI_2017__SID713B072-11-0-0__bin.11	ZeeviD_2015__PNP_Main_374__bin.35
ZeeviD_2015__PNP_Main_709__bin.19	0.0	49217.0	56352.0	50533.0	45291.0	27197.0	42933.0	40437.0	37554.0	34077.0	36611.0	33680.0	43987.0	41792.0	45591.0	38642.0	44700.0	49520.0	40814.0	37502.0	51057.0	42823.0	49975.0	30329.0	29432.0	48644.0	50966.0	42271.0	46960.0	46839.0	45110.0	52108.0	44544.0
VincentC_2016__MM019.3__bin.15	49217.0	0.0	74069.0	63279.0	54079.0	38176.0	63291.0	48797.0	51370.0	48553.0	57618.0	41471.0	52932.0	53211.0	64643.0	46214.0	56359.0	64215.0	49494.0	42822.0	63499.0	52601.0	57413.0	44264.0	41403.0	55663.0	70140.0	58381.0	61021.0	54116.0	49588.0	61184.0	52413.0
Obregon-TitoAJ_2015__HCO12__bin.25	56352.0	74069.0	0.0	71448.0	69279.0	37152.0	69283.0	57966.0	50055.0	48760.0	66466.0	44186.0	64815.0	62437.0	66691.0	51368.0	62408.0	63385.0	56588.0	46275.0	69521.0	59838.0	74172.0	42468.0	47154.0	71913.0	69016.0	57076.0	65254.0	68879.0	56259.0	77248.0	69686.0
CosteaPI_2017__pluto1-11-0-0__bin.45	50533.0	63279.0	71448.0	0.0	56351.0	37031.0	62901.0	47757.0	47537.0	43788.0	60600.0	17636.0	51903.0	50895.0	58911.0	44816.0	22230.0	62200.0	45869.0	38751.0	23851.0	20359.0	60934.0	39504.0	43835.0	58477.0	65950.0	52218.0	22783.0	53254.0	45578.0	63879.0	56619.0
CosteaPI_2017__SID713B072-11-90-0__bin.43	45291.0	54079.0	69279.0	56351.0	0.0	36814.0	57950.0	41024.0	49837.0	45743.0	55872.0	34227.0	46809.0	47469.0	62664.0	39861.0	52209.0	58333.0	44120.0	34145.0	55037.0	48978.0	54095.0	43634.0	38371.0	52375.0	60927.0	57329.0	52114.0	52640.0	41106.0	8572.0	51001.0
BritoIL_2016__W2.21.ST__bin.1	27197.0	38176.0	37152.0	37031.0	36814.0	0.0	30479.0	36165.0	26005.0	23754.0	32911.0	19153.0	32433.0	34796.0	31096.0	27173.0	32380.0	35333.0	30430.0	22724.0	33888.0	36552.0	37162.0	22393.0	25941.0	36428.0	30010.0	25047.0	36612.0	42052.0	27885.0	38771.0	37647.0
VincentC_2016__MM022.3__bin.12	42933.0	63291.0	69283.0	62901.0	57950.0	30479.0	0.0	49901.0	44570.0	41731.0	51332.0	39141.0	53168.0	51928.0	59940.0	44085.0	56508.0	60214.0	49240.0	41684.0	61733.0	51633.0	60809.0	37999.0	40534.0	58701.0	64618.0	48980.0	57936.0	56255.0	52075.0	66212.0	52106.0
CosteaPI_2017__SID713A081-11-90-0__bin.30	40437.0	48797.0	57966.0	47757.0	41024.0	36165.0	49901.0	0.0	44461.0	41045.0	48109.0	24373.0	42596.0	38078.0	50431.0	36512.0	43368.0	49902.0	37274.0	27008.0	45147.0	42498.0	47721.0	37417.0	32655.0	46447.0	56901.0	45712.0	47890.0	48687.0	31806.0	46204.0	48089.0
ZeeviD_2015__PNP_Main_170__bin.64	37554.0	51370.0	50055.0	47537.0	49837.0	26005.0	44570.0	44461.0	0.0	30683.0	45118.0	27209.0	45790.0	46877.0	42271.0	40241.0	43393.0	43559.0	41120.0	30274.0	47129.0	45259.0	51711.0	27719.0	37417.0	51209.0	41963.0	35411.0	48190.0	49964.0	38761.0	53020.0	51265.0
BritoIL_2016__W1.27.ST__bin.24	34077.0	48553.0	48760.0	43788.0	45743.0	23754.0	41731.0	41045.0	30683.0	0.0	42605.0	23211.0	43275.0	43488.0	38743.0	34372.0	39812.0	43032.0	37030.0	26848.0	42651.0	45103.0	46204.0	23162.0	33043.0	46591.0	37715.0	24467.0	45540.0	49579.0	33976.0	48863.0	47650.0
