	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	LiJ_2014__MH0355__bin.86	XieH_2016__YSZC12003_36526__bin.48	NielsenHB_2014__V1_UC10_2__bin.56	ZellerG_2014__CCIS20795251ST-4-0__bin.48	ZeeviD_2015__PNP_Main_688__bin.22	LiuW_2016__SRR3993041__bin.110	IjazUZ_2017__S130_a_WGS__bin.9	KarlssonFH_2013__S598__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	BritoIL_2016__W2.68.ST__bin.39	LeChatelierE_2013__MH0457__bin.109	BritoIL_2016__M1.59.ST__bin.86	NielsenHB_2014__MH0117__bin.28	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.9	HeQ_2017__SZAXPI029560-51__bin.8	ZeeviD_2015__PNP_Main_326__bin.18	BackhedF_2015__SID599_M__bin.7	ZellerG_2014__CCIS15794887ST-4-0__bin.48	ZeeviD_2015__PNP_Main_223__bin.127	CosteaPI_2017__SID713B051-11-0-0__bin.81	XieH_2016__YSZC12003_35550__bin.11	LeChatelierE_2013__MH0451__bin.82	NielsenHB_2014__MH0099__bin.19	LeChatelierE_2013__MH0099__bin.44	NielsenHB_2014__V1_UC37_0__bin.35	BackhedF_2015__SID511_M__bin.69	VogtmannE_2016__MMRS29805707ST-27-0-0__bin.51	XieH_2016__YSZC12003_36118__bin.30	ZeeviD_2015__PNP_Main_183__bin.3	HMP_2012__SRS011134__bin.55	ZeeviD_2015__PNP_Main_616__bin.33
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	1317730.0	1050956.0	800116.0	1012807.0	1086473.0	945635.0	561848.0	709704.0	1006242.0	1222608.0	1078946.0	993005.0	857514.0	982454.0	730273.0	931536.0	1053347.0	1047138.0	833749.0	1045259.0	792658.0	628613.0	1052454.0	1026367.0	1045861.0	991321.0	891450.0	912360.0	977182.0	1038055.0	1128528.0	1058579.0
LiJ_2014__MH0355__bin.86	1050956.0	1287033.0	843465.0	1065639.0	1044921.0	909213.0	573645.0	738862.0	1045770.0	1009272.0	1009357.0	1029221.0	853784.0	1027404.0	734327.0	907350.0	1103249.0	1130907.0	860162.0	1094837.0	779624.0	672531.0	1099064.0	1155435.0	1184518.0	1052035.0	940768.0	953118.0	1039453.0	1080484.0	1059624.0	1132808.0
XieH_2016__YSZC12003_36526__bin.48	800116.0	843465.0	987604.0	832541.0	809968.0	681060.0	462063.0	581543.0	830956.0	764572.0	776275.0	784905.0	654168.0	790779.0	616460.0	682954.0	836905.0	846078.0	644451.0	849735.0	673412.0	492501.0	842410.0	840453.0	846709.0	768984.0	718477.0	725798.0	759723.0	813160.0	816314.0	848057.0
NielsenHB_2014__V1_UC10_2__bin.56	1012807.0	1065639.0	832541.0	1173762.0	1029183.0	906299.0	564947.0	739372.0	1030917.0	997604.0	985750.0	1076001.0	848280.0	1017094.0	723690.0	902038.0	1101587.0	1112002.0	866016.0	1128150.0	766374.0	654653.0	1069442.0	1057486.0	1073238.0	1021739.0	908300.0	947297.0	1021785.0	1089004.0	1030015.0	1085178.0
ZellerG_2014__CCIS20795251ST-4-0__bin.48	1086473.0	1044921.0	809968.0	1029183.0	1286612.0	919539.0	562706.0	729506.0	1012366.0	1037892.0	1037236.0	1006138.0	898482.0	979487.0	787804.0	978882.0	1068805.0	1078180.0	845316.0	1060778.0	853883.0	626500.0	1053752.0	1032998.0	1059283.0	982777.0	893407.0	911833.0	1000641.0	1046275.0	1079979.0	1069895.0
ZeeviD_2015__PNP_Main_688__bin.22	945635.0	909213.0	681060.0	906299.0	919539.0	986882.0	502872.0	615339.0	873297.0	933334.0	905239.0	887220.0	780914.0	841754.0	661297.0	837011.0	902780.0	904328.0	772250.0	903134.0	695217.0	582221.0	909387.0	889159.0	903159.0	861591.0	780204.0	829959.0	847547.0	887470.0	944096.0	907519.0
LiuW_2016__SRR3993041__bin.110	561848.0	573645.0	462063.0	564947.0	562706.0	502872.0	621640.0	399873.0	569020.0	546450.0	564392.0	555831.0	492654.0	526645.0	475342.0	499260.0	575162.0	572580.0	471807.0	570314.0	468219.0	366663.0	573548.0	576418.0	581667.0	545038.0	542856.0	521540.0	542936.0	572286.0	569862.0	580047.0
IjazUZ_2017__S130_a_WGS__bin.9	709704.0	738862.0	581543.0	739372.0	729506.0	615339.0	399873.0	943754.0	724452.0	678206.0	688509.0	728618.0	596714.0	695395.0	510401.0	613910.0	774948.0	795216.0	586087.0	774153.0	535035.0	462640.0	743817.0	729683.0	745581.0	690599.0	646842.0	650011.0	725240.0	753488.0	716548.0	750758.0
KarlssonFH_2013__S598__bin.41	1006242.0	1045770.0	830956.0	1030917.0	1012366.0	873297.0	569020.0	724452.0	1392818.0	969437.0	973175.0	999510.0	826296.0	988872.0	724236.0	867377.0	1068254.0	1062056.0	821672.0	1058763.0	754267.0	622540.0	1055217.0	1038058.0	1056996.0	979080.0	901439.0	902797.0	998684.0	1047989.0	1038365.0	1066776.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	1222608.0	1009272.0	764572.0	997604.0	1037892.0	933334.0	546450.0	678206.0	969437.0	1219813.0	1044407.0	977344.0	847030.0	945726.0	710048.0	921918.0	1016499.0	1008552.0	833602.0	1002525.0	765490.0	624698.0	1007341.0	987358.0	1010027.0	976274.0	861615.0	900979.0	937425.0	997465.0	1071315.0	1024119.0
