	HMP_2012__SRS063932__bin.66	HMP_2012__SRS078182__bin.26	HMP_2012__SRS020226__bin.2	HMP_2012__SRS042643__bin.14	HMP_2012__SRS015762__bin.18	HMP_2012__SRS017511__bin.3	HMP_2012__SRS014271__bin.2	HMP_2012__SRS021496__bin.61	CM_cf__CF_TNFC002SA_t1M15__bin.5	HMP_2012__SRS024289__bin.40	CM_periimplantitis__SP_344SPT_T016__bin.26	CM_periimplantitis__SP_282SPT_T016_R__bin.15	HMP_2012__SRS018300__bin.10	HMP_2012__SRS013252__bin.53	HMP_2012__SRS018443__bin.5	HMP_2012__SRS011115__bin.26	CM_periimplantitis__SP_283SPT_T016__bin.9	HMP_2012__SRS058808__bin.22	HMP_2012__SRS017304__bin.36	HMP_2012__SRS022602__bin.56	HMP_2012__SRS022536__bin.33	HMP_2012__SRS018665__bin.34	CM_cf__CF_TNFC022IS_t3M16__bin.14	HMP_2012__SRS049318__bin.75	HMP_2012__SRS024355__bin.9	HMP_2012__SRS015893__bin.10	HMP_2012__SRS063603__bin.69	HMP_2012__SRS022143__bin.95	HMP_2012__SRS022725__bin.68	HMP_2012__SRS012279__bin.14	HMP_2012__SRS056622__bin.20	HMP_2012__SRS047824__bin.23	HMP_2012__SRS013723__bin.46	HMP_2012__SRS018439__bin.57	HMP_2012__SRS062544__bin.37	HMP_2012__SRS018739__bin.85	HMP_2012__SRS063999__bin.35	HMP_2012__SRS019980__bin.38	HMP_2012__SRS052604__bin.10	HMP_2012__SRS016575__bin.43	HMP_2012__SRS055378__bin.27	HMP_2012__SRS024087__bin.39	HMP_2012__SRS015574__bin.56	HMP_2012__SRS023595__bin.81
HMP_2012__SRS063932__bin.66	1.0	0.6356696314118366	0.8578296224715851	0.9114067091328614	0.4606293674114685	0.9198907448675725	0.8804800126215315	0.6385942769242905	0.7654787964843776	0.9502159465162601	0.6320448853215532	0.9058151077103096	0.895207104870465	0.9478421782659856	0.9122330250261305	0.8733205803275025	0.8883040474359227	0.6523392562499589	0.9196547485225577	0.6271809940770834	0.8986924882166171	0.8201043905838116	0.759666975631241	0.7053937326207427	0.9077721024710592	0.8513545138409555	0.7534982020891264	0.9100873646636559	0.8551712123901368	0.9033499648306282	0.8901880739674338	0.8610375950723437	0.7696820294370929	0.7643001295021726	0.6748752637702882	0.6891375944149722	0.9450595249834014	0.9514649522419653	0.5374787175998054	0.5679097560494606	0.9197349478375767	0.9756647668632207	0.5522616864206783	0.5636144910959039
HMP_2012__SRS078182__bin.26	0.6851513588427518	1.0	0.8693376828393847	0.9624196158566137	0.5164941601929502	0.9027893900016155	0.932203822161508	0.6633700547278205	0.7747033332672028	0.9305486669481942	0.6561670119630311	0.8860111042776126	0.9275508237514773	0.9259962815691098	0.9005085917860088	0.9052593690571	0.8796250109824083	0.689615884955376	0.9107569500931025	0.6283326295144783	0.8714590589989145	0.8461605500556915	0.7597523785770767	0.7061631858336852	0.8900653842992656	0.8496926342758838	0.7542880990372325	0.9222551773198389	0.8508844027128674	0.9136541802588731	0.9523986996828564	0.9281622959043411	0.7588744944549466	0.8097931906234324	0.7562883144341438	0.6718676045879542	0.9098089202662986	0.90438148493497	0.5849230664584496	0.5642655107032426	0.9212348761609468	0.9224209762581589	0.5765622652953063	0.5372572887764039
HMP_2012__SRS020226__bin.2	0.6084454308507911	0.5720764112630612	1.0	0.8805404926540185	0.42510735717183207	0.8824526392845653	0.8484545696154725	0.5553781163886959	0.7174816175613487	0.9041366898088786	0.6285842841223289	0.8389978132241656	0.8339001543332198	0.9145548815457568	0.8852721346942011	0.8389800952110076	0.8529530799035767	0.6320099220873685	0.8808971842346984	0.5392379389288062	0.846120920777168	0.7659884086892866	0.6818320425605326	0.6441668104312471	0.8411402940257657	0.778498258505812	0.6849121792689921	0.8678045050379771	0.7997696658289466	0.8599540264184902	0.852007963780651	0.8274386746926158	0.7009315944813052	0.721924176228954	0.6038905026786838	0.6103617738528753	0.8803759016370512	0.8894694387586201	0.5227466650502866	0.5146439378750507	0.8937651244224161	0.9055364128483572	0.5066838873320868	0.4941940868462403
HMP_2012__SRS042643__bin.14	0.5508478212674052	0.5396706771207054	0.7503228149302998	1.0	0.38312708935755657	0.8211343061088107	0.8692677007869135	0.5122912033030821	0.6809714405134526	0.8781380591055266	0.5711964852307699	0.7934218859384597	0.8295449759666768	0.8650295877265962	0.8478776855222371	0.8051461268962645	0.7899807781091349	0.5628970623642687	0.8507446794139827	0.48705402869059905	0.8013474394518384	0.6953731581669992	0.6250165877210339	0.5703800117762886	0.8058489694952804	0.7417182574589121	0.6238965689043999	0.8430225489705283	0.7339738776171848	0.8359484322517742	0.8785135177013829	0.8417082452296892	0.6396551025419143	0.6679702430190526	0.5781613415115764	0.5528367585487354	0.8483584314492066	0.8393033236627913	0.4918046725325616	0.46895930823442283	0.8376997777444036	0.8782314271161363	0.45065361580533686	0.4418245777978022
HMP_2012__SRS015762__bin.18	0.6893025955309845	0.7170817122536409	0.896884083989553	0.9485969770450197	1.0	0.9107947922148826	0.9211483884295488	0.7203663353187973	0.8203579737446572	0.9382158368214214	0.6533330710094387	0.9062697050331757	0.9254708304026835	0.9346892199635042	0.9260059711476506	0.9230066253178628	0.9162947405698658	0.7159209290200726	0.9231197524974054	0.665642291858286	0.8952953849029319	0.8324822562478174	0.7794157718962574	0.7291823856062879	0.9024774852319845	0.8693892607876603	0.7943042924386777	0.9012566954075284	0.860410897590391	0.9235191406269213	0.9142427119044223	0.8960085779913531	0.7809936501222265	0.8619966455331979	0.7677656398325717	0.7148555661031621	0.9198784128748567	0.9203909281839153	0.6167260994240351	0.6056052058176882	0.912273315265775	0.942258903846816	0.6299186959879199	0.5909114607670023
HMP_2012__SRS017511__bin.3	0.5958367343810477	0.542528318645491	0.8058641514029349	0.8800063528803628	0.3942332707838611	1.0	0.8267520132712182	0.5328418792773897	0.6986035159701278	0.9108097325105247	0.6161059142676241	0.8307008478881144	0.8528741886984302	0.9099909262814658	0.8803142035842678	0.8261997555077812	0.8210518785918577	0.5918091274540236	0.8750871285619455	0.5123146668506107	0.8481325214250038	0.7446197447691992	0.6659113040819811	0.6021168035814576	0.840614662464909	0.7608417311002874	0.6610687230923369	0.8737756760473843	0.7868595864411139	0.8665792932718653	0.8538433010111384	0.8215628341170114	0.6758625887306204	0.6825722863684305	0.5789224033133763	0.5815291280842021	0.8742368134088355	0.8866666581507412	0.498394109364069	0.4886518906844718	0.8923408192575731	0.9222006343512845	0.47314822266249557	0.46709936083721765
HMP_2012__SRS014271__bin.2	0.5858905447043941	0.5755099112718518	0.7959851868960196	0.9570422609142971	0.40960787092687756	0.8493393068671142	1.0	0.5479383084786036	0.7026767170410186	0.9112285462826388	0.6009184264445226	0.8257907408476679	0.862369886670831	0.9007709253028323	0.8784165411244731	0.8446032604226267	0.8306015876931906	0.5932021745482668	0.8763164433152938	0.5205184936336548	0.8288453092712254	0.73983676890263	0.6564579429277314	0.6101582444039677	0.8481459998845187	0.7706882161810327	0.664676363598188	0.8665364002372616	0.7900374614406119	0.8737649185244287	0.91845662714056	0.8737819782650156	0.6831507503661283	0.7117166298351242	0.621100974417388	0.5970773602369817	0.8829216249271681	0.8732102582407295	0.5137584620687604	0.4973955462703908	0.8723087165650956	0.9005771441469342	0.4747918274219145	0.4691909833584418
HMP_2012__SRS021496__bin.61	0.7049019856833428	0.6793671065186867	0.8643146616936903	0.9356236598542211	0.5313722004332004	0.9080526661417951	0.908946640882655	1.0	0.790908596162149	0.9384180565482562	0.632965318569205	0.8717784800252519	0.9090670952714396	0.9282795702825961	0.9190147411500491	0.9374660314995483	0.8817275771615576	0.7023419671072443	0.9322516625970982	0.6254862620318333	0.9003435852595756	0.8581098094135831	0.7482757244497013	0.7167420715977985	0.8996114257518422	0.8518469068256278	0.7568004121571857	0.8928021246412673	0.8470236518723039	0.9113390391948423	0.896729227967187	0.8944565584149363	0.7623456678143696	0.812853789415252	0.7210015129361483	0.6792009375124718	0.9218613831211474	0.9181338277284552	0.5945643142988792	0.5854881486668384	0.902917390783788	0.9375777783421557	0.598187379137445	0.5733309629457629
CM_cf__CF_TNFC002SA_t1M15__bin.5	0.6036446126801999	0.5667982866079949	0.7976977137320708	0.8885004398563222	0.43230800414092196	0.8505266093635224	0.8327348488029532	0.5650290118551258	1.0	0.9072325650233095	0.6202767284642767	0.8677916828016438	0.8367332127551594	0.9013156291811623	0.8865124033262158	0.8255680678306659	0.8577587078332787	0.6323034422839559	0.886805813671989	0.5514771863088305	0.8551807402546034	0.7570863004843345	0.6955043417992067	0.6278208994219402	0.8400058267354885	0.8136004507944111	0.6864392062576237	0.8370053689946134	0.78317338322346	0.8540247242279705	0.8334802977026384	0.8155734539322429	0.692037848897819	0.7146781376633651	0.6032340455532522	0.5929688305938864	0.8849230108878048	0.8663536610716528	0.5426048929026318	0.5223113685104345	0.876228526224716	0.8941244837455334	0.5054423471998233	0.49518490813301336
HMP_2012__SRS024289__bin.40	0.5594292844304842	0.5082845558787605	0.7504752608903633	0.8553941337015702	0.36911980754256063	0.8278649949455152	0.8062193383191865	0.5005131888767278	0.6773191415580817	1.0	0.5729386139410894	0.8099347329018315	0.8042060588797156	0.902218167969893	0.875158097779897	0.7841584089441932	0.8011656276462511	0.5539966809141729	0.8566612380623598	0.4824482437794232	0.8022566377846341	0.7084061576472883	0.6302470272973136	0.5739928571539149	0.8005212388983236	0.7413678999196546	0.6253442545292982	0.8209799043595511	0.7400094587753749	0.8284195949910289	0.8094706955992699	0.7723399709889607	0.6413715379101834	0.6416741877605614	0.5418016722371785	0.5487672630390998	0.8521509038471363	0.8424428874188999	0.49018826213966477	0.4674450160303795	0.848204071143614	0.8872764764436243	0.4422209699966407	0.4408079589944285
