	LiuW_2016__SRR3993044__bin.127	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.49	LiJ_2014__V1.FI06__bin.82	VatanenT_2016__G78855__bin.3	VatanenT_2016__G80489__bin.4	VatanenT_2016__G78692__bin.8	CosteaPI_2017__donald1-11-0-0__bin.15	CosteaPI_2017__donald3-11-7-0__bin.57	LiuW_2016__SRR3993005__bin.29	CosteaPI_2017__donald4-11-0-0__bin.31	LiuW_2016__SRR3993002__bin.44	CosteaPI_2017__SID713B058-11-90-0__bin.68	CosteaPI_2017__donald3-11-30-0__bin.17	CosteaPI_2017__SID713A038-11-90-0__bin.46	LiSS_2016__FAT_008-22-14-0__bin.30	LouisS_2016__AS44_12__bin.19	LiuW_2016__SRR3992982__bin.40	ZeeviD_2015__PNP_Main_613__bin.30	CosteaPI_2017__SID713A014-11-0-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.59	CosteaPI_2017__donald1-11-7-0__bin.11	VatanenT_2016__G80485__bin.3	ZeeviD_2015__PNP_Main_480__bin.15	VatanenT_2016__G80601__bin.7	LouisS_2016__AS44_6__bin.16	ZeeviD_2015__PNP_Validation_58__bin.38	ZellerG_2014__CCMD72895164ST-21-0__bin.2	ZeeviD_2015__PNP_Main_679__bin.10	ZeeviD_2015__PNP_Main_549__bin.23	NielsenHB_2014__V1_CD29_0__bin.19	CosteaPI_2017__SID713B020-11-90-0__bin.54	BackhedF_2015__SID268_12M__bin.3	LeChatelierE_2013__MH0405__bin.18	LouisS_2016__AS44_0__bin.3	VatanenT_2016__G80366__bin.8	ChengpingW_2017__AS17raw__bin.43	LiuW_2016__SRR3993001__bin.32	LeChatelierE_2013__MH0413__bin.33	LiuW_2016__SRR3992997__bin.26	CosteaPI_2017__donald3-11-0-0__bin.14	ZeeviD_2015__PNP_Main_597__bin.27	ZeeviD_2015__PNP_Main_466__bin.17	LeChatelierE_2013__MH0181__bin.36	BackhedF_2015__SID268_4M__bin.1
LiuW_2016__SRR3993044__bin.127	1.0	0.8009898190926282	0.8410954444489444	0.8059809715476661	0.3976453536369952	0.8425927512437966	0.9064788796017359	0.6957075387936809	0.9230723099880683	0.7539155838289309	0.8297357730542411	0.6379488805051824	0.8613003243061376	0.878669472543015	0.7220258697230157	0.826063185178493	0.835883492786447	0.3402581987769204	0.9051926365995521	0.5035137059063594	0.8412029234282368	0.6775766917035574	0.6532673609704884	0.43554026100257637	0.4479350016978563	0.49801202829968255	0.47999255435476784	0.8731950540977529	0.6693401413737994	0.6364932412856356	0.6692213693133495	0.7419488119678622	0.6657466050661541	0.8486960774845558	0.8438248653397427	0.3530466396463474	0.8998225818008493	0.3522218553052559	0.9395894147224394	0.9162859470455742	0.5257556239544164	0.8503830301595362	0.5791115382578437	0.6118930163586122
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.49	0.9359337851703717	1.0	0.8983480419257449	0.8466648010756724	0.3990062315289428	0.8739338261223691	0.9406277941206582	0.7437806429008574	0.9416925460539338	0.7765408757812162	0.8293871533584051	0.6793640609820744	0.8928581991586639	0.9036071884406162	0.7480278200569233	0.8841281433501919	0.884144979171359	0.3441446606558235	0.9232259253445086	0.5294005765131194	0.9116638114024012	0.7031362404701289	0.6606772095308948	0.4545266745385506	0.4553930367953697	0.5101481324751614	0.4827385055706092	0.9331058222364795	0.6956584057387399	0.6493062049101445	0.7081241937575505	0.7599557718427716	0.6938087405213189	0.8860560723849306	0.8823144248860738	0.34805057116660865	0.9104088601921558	0.35137541833602937	0.9503443380450881	0.9477379709195316	0.5170894960401694	0.8734819890840175	0.597433219805296	0.6246517373884911
LiJ_2014__V1.FI06__bin.82	0.928052379290965	0.8483082774610584	1.0	0.8453869065522237	0.4053104584992601	0.8845630962836415	0.936816492017469	0.7272095257573908	0.9579643127839088	0.7787419242291173	0.8178059683792428	0.653895103921572	0.8968011439708645	0.8986478938114545	0.7489984239463902	0.8934943531906921	0.8823266298061472	0.35999891721507715	0.9316513501296764	0.5281833447054395	0.8844866138565534	0.7429734992686905	0.6745118444639613	0.4581688388248862	0.47139772065180213	0.5187403430193888	0.49319822010783165	0.9230805918536762	0.6908013124040747	0.6554354943772526	0.728458165831089	0.7597833055189376	0.6983313940598075	0.9077346936320215	0.8832401221656386	0.3702767804507479	0.9202262504876829	0.36677577586695836	0.9511969070162745	0.9504995419647906	0.5273076638829355	0.8779001019192793	0.6281445878800275	0.6364291815692819
VatanenT_2016__G78855__bin.3	0.9062092669417778	0.8146988189191852	0.8614538568473132	1.0	0.4517626454458881	0.8764924417395492	0.9348581936797399	0.7296102104929014	0.9099011569994636	0.7911608305876944	0.8160539422266493	0.6511671793075517	0.8989366988845956	0.8837098416103857	0.7506700088663156	0.8523178300513371	0.8608907910723863	0.3669722079315214	0.913831233512484	0.5397033615377037	0.8554904386089736	0.7088695994833456	0.6715575161180862	0.49014613001740426	0.4775778539137669	0.5151487023435534	0.5234685902558096	0.9076366343027902	0.692259159123001	0.6639145330954388	0.7148772398393117	0.7675348358636995	0.6980557592740567	0.8831590354324245	0.9055021509025034	0.3772045929704347	0.8874971813873047	0.37934345479820925	0.9325017240058233	0.9459640750024628	0.5399691320862112	0.8598062545836663	0.6292662850137373	0.6314388607331677
VatanenT_2016__G80489__bin.4	0.9076316608150748	0.7794266921470157	0.8384445135771743	0.9171076841029288	1.0	0.8840042664770454	0.9264192702546553	0.7563041642593662	0.8889284920670193	0.8367343673614506	0.822285231767477	0.6283427403226524	0.9004515354873117	0.8907435225101107	0.786635260655082	0.8547380116439269	0.8556437491667037	0.4462157237456113	0.9205235322874539	0.6099675569974667	0.8270085773965602	0.7521265721523488	0.7260183991822585	0.5451793253633171	0.5435678414292698	0.526132171903471	0.5901231056397493	0.9081934136260611	0.743734056264166	0.6830931958579619	0.771691924803342	0.7992355895293543	0.740772410115106	0.9045526865472646	0.9286467268121417	0.4492449224478912	0.8765752633216302	0.47274165592640327	0.936011732811875	0.9400506644149149	0.5926758810719523	0.8719239144926892	0.6888209412914982	0.6759317363672726
VatanenT_2016__G78692__bin.8	0.9193341222008128	0.8160487086720896	0.8746962612355195	0.8505505431076422	0.42256769991311127	1.0	0.9421172381707056	0.7297021352532413	0.9252829194611625	0.7821034719374911	0.8136634113490696	0.646625467106563	0.897855399316362	0.8924899674326613	0.7646522220357455	0.8681114130146139	0.8634521379087647	0.3582666442894563	0.918675552401974	0.5215745341680883	0.8645224200528131	0.6971067541643917	0.6691183874812254	0.4638098900188436	0.47472345379495534	0.5100049498955849	0.5018522806697018	0.907453523029761	0.6776190364911401	0.6649919165868239	0.6969656927623179	0.7679170287030211	0.6938466212182691	0.897105054629427	0.8718418922622297	0.37056915301550614	0.9045039800984456	0.3848975074195323	0.9445186810758907	0.948277627534166	0.528636526830346	0.8684440969839627	0.6221619359402784	0.643569703239951
CosteaPI_2017__donald1-11-0-0__bin.15	0.8867189121919389	0.7874590169242437	0.8305305296535195	0.8133365889967465	0.39702891509079985	0.8446515252922764	1.0	0.7139932705284879	0.8819752175955148	0.7862762359299534	0.7806415510772831	0.6263600552954877	0.9109962063394775	0.8540467299438627	0.7119225467008029	0.8286049393391435	0.8263410850882362	0.3365394761251561	0.8785541045166997	0.4877385036925242	0.8725030655169248	0.6798926088187084	0.6406513256860796	0.4290638050350282	0.44036936288673223	0.48920507593987284	0.4773646953777071	0.8699211365058783	0.6562476549128837	0.6294394760870633	0.6676252081294576	0.7403805240729263	0.6612979964337534	0.8593355323028727	0.8398876415194603	0.3501397433841402	0.8644388227957895	0.35196400688869933	0.9018089882975153	0.972490152062591	0.49837439037258174	0.8335509066273448	0.5873473288767314	0.6072706176249986
CosteaPI_2017__donald3-11-7-0__bin.57	0.9302036667937111	0.8510950812980191	0.8812186684494541	0.8676379317167451	0.44303098842646105	0.8942136470705846	0.9759266432988231	1.0	0.9262455039810724	0.8447616042586957	0.8318134862864914	0.6698037267753417	0.944952275032438	0.8994162204491541	0.7791858534990326	0.8907282561382244	0.8744202296380067	0.3913567095077133	0.919561092748679	0.5572626716401435	0.9369484761958317	0.7520556204662322	0.6914413710801067	0.49071794679546055	0.5023565699671142	0.5368996369861729	0.5366783505884656	0.9209981526490846	0.7269107169262746	0.7020818624296309	0.7599474744192924	0.7891380139832176	0.7510179174294539	0.8892880721945571	0.8881389449481096	0.3925865412050893	0.9040413664981766	0.41311827419519437	0.9356290885916189	0.9934603361054011	0.5544098994682879	0.8749393414933343	0.6531015501502665	0.6582255017734152
LiuW_2016__SRR3993005__bin.29	0.9478475477263076	0.8275491018553099	0.891507272408832	0.8309851720754216	0.39990411152812955	0.8708064788297608	0.925829187363195	0.7113405112399043	1.0	0.7661412927429461	0.8163411870177085	0.6403554511276692	0.8803361454753676	0.9057417920987579	0.7307713223891984	0.8557758209100848	0.8597473150828008	0.34444194748766604	0.9315173171061355	0.5149758759319936	0.8659268832407905	0.7020023816169244	0.6656251424531614	0.44559388872938577	0.4587187732673497	0.5047572358208621	0.48211508056151137	0.9037488473789818	0.6751268183021423	0.6494936464890344	0.6764147948154646	0.7611829230548995	0.6773496874227753	0.8767073386270594	0.8633989144369332	0.35447344912992607	0.9344311590349094	0.3550904462612693	0.9855255591961363	0.9381507360379907	0.5155244955458645	0.8730941266511572	0.5968565535651877	0.6310697042812323
CosteaPI_2017__donald4-11-0-0__bin.31	0.9111309713739254	0.8031640881268572	0.8529516962641057	0.8503919813482954	0.44302881244099573	0.8662966633817227	0.9714153402175969	0.7635560412378121	0.9017044058722373	1.0	0.822651147424331	0.6441389164202959	0.9369704910379387	0.8860105626478343	0.7514963437350283	0.8394325988801071	0.8438889218324528	0.3817278993395286	0.9066421754800112	0.5456221297919943	0.8882488425043509	0.7290316568824282	0.6916007089454953	0.4663377957743761	0.49481562428524234	0.5174958561702825	0.5377608541983748	0.889004191362574	0.7144080088627599	0.6889511051624447	0.7260050846037783	0.784027171851513	0.7159064703983253	0.8739974567568661	0.8785671996935307	0.39014403867386155	0.8751264797542975	0.39512086993598594	0.9233638578984077	0.9857086113534816	0.5551799989269811	0.8649737439795637	0.647197020395831	0.6629045116681397
