	CosteaPI_2017__mickey2-11-30-0__bin.23	XieH_2016__YSZC12003_35390__bin.65	XieH_2016__YSZC12003_36012__bin.90	XieH_2016__YSZC12003_37223__bin.19	LiJ_2014__MH0281__bin.37	VincentC_2016__MM029.2__bin.22	ZeeviD_2015__PNP_Main_223__bin.35	RaymondF_2016__P23C0__bin.66	CosteaPI_2017__SID713A052-11-0-0__bin.79	ZellerG_2014__CCIS78318719ST-4-0__bin.27	RaymondF_2016__P21E90__bin.74	XieH_2016__YSZC12003_36454__bin.8	XieH_2016__YSZC12003_35706__bin.14	SchirmerM_2016__G88898__bin.12	NielsenHB_2014__V1_UC35_4__bin.76	XieH_2016__YSZC12003_37255__bin.62	LiJ_2014__V1.FI17__bin.48	ZeeviD_2015__PNP_Main_135__bin.63	ZellerG_2014__CCIS24254057ST-4-0__bin.8	LiJ_2014__MH0268__bin.17	FengQ_2015__SID31275__bin.62	FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.4	HMP_2012__SRS065504__bin.42	HMP_2012__SRS014979__bin.46	VincentC_2016__MM029.3__bin.27	FengQ_2015__SID530373__bin.31	XieH_2016__YSZC12003_37209__bin.34	ZellerG_2014__CCIS90166425ST-4-0__bin.14	LiJ_2014__V1.CD6-0-PT__bin.57	LouisS_2016__AS43_3__bin.45	LiJ_2014__V1.FI04__bin.26	XieH_2016__YSZC12003_37254__bin.23	ZeeviD_2015__PNP_Main_716__bin.5	LiJ_2014__MH0354__bin.37	NielsenHB_2014__O2_UC24_2__bin.37
CosteaPI_2017__mickey2-11-30-0__bin.23	0.0	34575.0	30769.0	18952.0	30389.0	30606.0	14001.0	33144.0	35893.0	44933.0	39778.0	19917.0	31778.0	12625.0	34654.0	29210.0	29685.0	31832.0	31662.0	22120.0	33045.0	29900.0	22106.0	31930.0	31226.0	35709.0	23790.0	32846.0	13270.0	30541.0	30193.0	33738.0	34881.0	31100.0	42917.0
XieH_2016__YSZC12003_35390__bin.65	34575.0	0.0	33728.0	36647.0	30785.0	30705.0	19663.0	35011.0	35250.0	42078.0	42222.0	32561.0	34204.0	20106.0	32876.0	27757.0	31833.0	34770.0	33883.0	20899.0	30695.0	29569.0	21895.0	32528.0	31319.0	35523.0	23248.0	46057.0	35709.0	32349.0	32607.0	33535.0	33595.0	30878.0	45982.0
XieH_2016__YSZC12003_36012__bin.90	30769.0	33728.0	0.0	35360.0	29755.0	27564.0	18540.0	33314.0	33876.0	42874.0	40538.0	29097.0	31078.0	15883.0	32397.0	27989.0	29828.0	31640.0	33105.0	21116.0	30283.0	28536.0	22827.0	31275.0	28289.0	32710.0	22419.0	42117.0	31587.0	19954.0	23619.0	31972.0	34032.0	32256.0	44102.0
XieH_2016__YSZC12003_37223__bin.19	18952.0	36647.0	35360.0	0.0	32565.0	32727.0	17648.0	34540.0	37427.0	45043.0	40085.0	24129.0	33209.0	16479.0	35591.0	30633.0	32514.0	34654.0	34888.0	23757.0	33824.0	32439.0	24381.0	33884.0	34682.0	37052.0	24717.0	32058.0	20654.0	33151.0	33028.0	35055.0	35990.0	33689.0	43021.0
LiJ_2014__MH0281__bin.37	30389.0	30785.0	29755.0	32565.0	0.0	29770.0	19515.0	32032.0	30922.0	39882.0	40758.0	27647.0	14276.0	17323.0	30397.0	27566.0	30558.0	29309.0	31578.0	19818.0	30177.0	15686.0	22788.0	30119.0	30079.0	30470.0	10477.0	42137.0	30998.0	27596.0	30120.0	29081.0	30608.0	31102.0	38575.0
VincentC_2016__MM029.2__bin.22	30606.0	30705.0	27564.0	32727.0	29770.0	0.0	18653.0	25245.0	32556.0	41548.0	36990.0	29397.0	28909.0	18678.0	31919.0	27745.0	29452.0	30082.0	30621.0	20738.0	30354.0	28103.0	21692.0	29205.0	3686.0	31377.0	22772.0	40912.0	30783.0	27362.0	29814.0	30964.0	34365.0	29411.0	42324.0
ZeeviD_2015__PNP_Main_223__bin.35	14001.0	19663.0	18540.0	17648.0	19515.0	18653.0	0.0	19496.0	20220.0	25137.0	26926.0	15554.0	19266.0	10864.0	19161.0	17912.0	18353.0	18833.0	18688.0	14636.0	18646.0	17724.0	14413.0	18376.0	18627.0	19313.0	15606.0	25101.0	14050.0	18406.0	19664.0	19373.0	21435.0	18576.0	27457.0
RaymondF_2016__P23C0__bin.66	33144.0	35011.0	33314.0	34540.0	32032.0	25245.0	19496.0	0.0	35398.0	43028.0	37130.0	31476.0	33635.0	19290.0	32478.0	28936.0	31392.0	33237.0	34535.0	20364.0	30680.0	30452.0	21702.0	31995.0	27612.0	36207.0	23119.0	41985.0	34765.0	31042.0	32875.0	33977.0	33980.0	32941.0	41510.0
CosteaPI_2017__SID713A052-11-0-0__bin.79	35893.0	35250.0	33876.0	37427.0	30922.0	32556.0	20220.0	35398.0	0.0	43051.0	42296.0	33006.0	32741.0	21252.0	33790.0	29856.0	32680.0	33787.0	33414.0	22920.0	32306.0	31615.0	22234.0	33075.0	32829.0	36804.0	23571.0	45605.0	35630.0	33231.0	33262.0	33202.0	31621.0	31353.0	44638.0
ZellerG_2014__CCIS78318719ST-4-0__bin.27	44933.0	42078.0	42874.0	45043.0	39882.0	41548.0	25137.0	43028.0	43051.0	0.0	47953.0	42326.0	41088.0	26583.0	43107.0	35650.0	41467.0	41288.0	43639.0	27393.0	41528.0	41369.0	29223.0	42075.0	42108.0	45746.0	30147.0	53298.0	45762.0	40503.0	42550.0	43607.0	42535.0	40863.0	46871.0
RaymondF_2016__P21E90__bin.74	39778.0	42222.0	40538.0	40085.0	40758.0	36990.0	26926.0	37130.0	42296.0	47953.0	0.0	37928.0	39969.0	26358.0	40202.0	35961.0	40779.0	41858.0	41384.0	25967.0	38955.0	37492.0	27426.0	37012.0	37173.0	42984.0	28757.0	33055.0	40860.0	38007.0	39757.0	40631.0	40572.0	40417.0	43606.0
XieH_2016__YSZC12003_36454__bin.8	19917.0	32561.0	29097.0	24129.0	27647.0	29397.0	15554.0	31476.0	33006.0	42326.0	37928.0	0.0	28444.0	13929.0	31445.0	26689.0	27048.0	29707.0	30061.0	20754.0	29828.0	27358.0	20877.0	28556.0	29793.0	32999.0	21374.0	34010.0	20614.0	29798.0	30371.0	30925.0	33085.0	29674.0	39540.0
XieH_2016__YSZC12003_35706__bin.14	31778.0	34204.0	31078.0	33209.0	14276.0	28909.0	19266.0	33635.0	32741.0	41088.0	39969.0	28444.0	0.0	17676.0	29921.0	28689.0	30367.0	31021.0	32343.0	20329.0	29202.0	16635.0	21960.0	31854.0	29555.0	32553.0	6642.0	42650.0	32557.0	29621.0	30281.0	30242.0	30618.0	31887.0	42459.0
SchirmerM_2016__G88898__bin.12	12625.0	20106.0	15883.0	16479.0	17323.0	18678.0	10864.0	19290.0	21252.0	26583.0	26358.0	13929.0	17676.0	0.0	20406.0	17729.0	17350.0	19200.0	19797.0	14196.0	19697.0	16068.0	14430.0	18562.0	18846.0	19397.0	14120.0	25602.0	13528.0	16360.0	15409.0	19787.0	21449.0	19628.0	28561.0
NielsenHB_2014__V1_UC35_4__bin.76	34654.0	32876.0	32397.0	35591.0	30397.0	31919.0	19161.0	32478.0	33790.0	43107.0	40202.0	31445.0	29921.0	20406.0	0.0	29436.0	32295.0	30379.0	33940.0	22159.0	33243.0	30695.0	22591.0	32260.0	32577.0	35478.0	22850.0	42508.0	33979.0	31035.0	33336.0	32855.0	33260.0	32453.0	41995.0
XieH_2016__YSZC12003_37255__bin.62	29210.0	27757.0	27989.0	30633.0	27566.0	27745.0	17912.0	28936.0	29856.0	35650.0	35961.0	26689.0	28689.0	17729.0	29436.0	0.0	27929.0	29054.0	29338.0	18709.0	27613.0	25792.0	20439.0	28312.0	27764.0	28561.0	20546.0	39524.0	29204.0	27212.0	28993.0	29558.0	30248.0	27888.0	38850.0
