	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	NielsenHB_2014__V1_UC11_5__bin.65	FengQ_2015__SID31501__bin.38	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	VincentC_2016__MM050.4__bin.76	VincentC_2016__MM040.2__bin.6	VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	NielsenHB_2014__V1_UC11_0__bin.34	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	VincentC_2016__MM048.2__bin.19	LiJ_2014__V1.CD2-0-PN__bin.29	GeversD_2014__SKBSTL008__bin.31	FengQ_2015__SID31137__bin.50	LeChatelierE_2013__MH0333__bin.15	LeChatelierE_2013__MH0239__bin.19	VogtmannE_2016__MMRS71238091ST-27-0-0__bin.5	VatanenT_2016__G80352__bin.1	GeversD_2014__SKBSTL027__bin.15	LeChatelierE_2013__MH0233__bin.36	XieH_2016__YSZC12003_37191R1__bin.28	VincentC_2016__MM090.2__bin.4	BackhedF_2015__SID590_12M__bin.22	RaymondF_2016__P12E90__bin.6	FengQ_2015__SID31337__bin.11	BackhedF_2015__SID503_12M__bin.13	BackhedF_2015__SID345_4M__bin.10	GeversD_2014__SKBSTL006__bin.15	BackhedF_2015__SID103_12M__bin.6	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.24	BackhedF_2015__SID9_12M__bin.24	BackhedF_2015__SID172_12M__bin.33	HeQ_2017__SZAXPI029495-96__bin.34	ZellerG_2014__CCIS24254057ST-4-0__bin.27
VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	1.0	0.833486094321453	0.6979238164998515	0.5807991443250387	0.8050338133752677	0.9425894540173952	0.8189963170889123	0.9155339516765185	0.7013829484802229	0.5625777944536076	0.8031110418182005	0.8112544883878172	0.6640885115199819	0.5111827125997562	0.7842602931986519	0.6669773109114565	0.7870948285576717	0.8444539917838813	0.8208331305768699	0.9225537005829142	0.7880398871052011	0.788752522717261	0.5421897249854015	0.845007837070882	0.5498142217225165	0.8072107775091433	0.6932286170899368	0.8657703123559362	0.429122849927776	0.8674963567864936	0.7785233524223208	0.8363235109565325	0.9287462031184371
NielsenHB_2014__V1_UC11_5__bin.65	0.8828595258041944	1.0	0.6460335860860695	0.5983386513648428	0.9279026507754763	0.8523192907799254	0.9432756869908215	0.8524900307043624	0.8148268719208106	0.5274176612224877	0.8541458858206004	0.8460309071478311	0.6875934131351733	0.4913050651092201	0.8273936355548683	0.6992973212821806	0.816393542131136	0.8641052626046164	0.8500308332227	0.9098947601154928	0.8962096245434148	0.8288146596926105	0.5713322410725655	0.861488380783603	0.5301790022447128	0.928621216614368	0.6599740685560641	0.9050787751962195	0.46476831677393443	0.9074308151483446	0.8285596519007999	0.8792378725907147	0.8705452266661512
FengQ_2015__SID31501__bin.38	0.7416403922854697	0.6481077342615663	1.0	0.48398634866160545	0.6316929932110719	0.7418319219783555	0.6390779427193543	0.7315105807398014	0.5680624407210497	0.4782307623221972	0.6304934662179723	0.6405895984748385	0.5154623656060299	0.43283771481602945	0.6223987001835691	0.5387322027071344	0.6212105697174886	0.6557104084651362	0.6456853769290748	0.7164705670231455	0.6221993460094465	0.6199647762266405	0.46156767904114043	0.6527056375727507	0.47065496351070185	0.6412854670126675	0.5672444422369579	0.6633181855912518	0.3688043716397255	0.6644501839093285	0.6168043661966082	0.6438717982562974	0.7395410499501275
VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	0.8265463002216266	0.8038870413049108	0.6481700717820356	1.0	0.793216209240613	0.8178347753448493	0.8101663463420001	0.8033177692828654	0.7195730482614651	0.5330349761732665	0.8168130926642272	0.8837065417533351	0.6564517381931867	0.5064637090794445	0.8000932612908466	0.6963388223244842	0.8710374487136935	0.8246808466047674	0.815271570546107	0.8440718599431366	0.7833542947234474	0.8086341640209603	0.6180332802027966	0.8345382051233571	0.5493254046808785	0.8022026886314395	0.6386596525549926	0.8470125292238834	0.4879308180728263	0.8469794982342088	0.7925792806397168	0.8336969399863365	0.8238509714641863
VincentC_2016__MM050.4__bin.76	0.8337784145449048	0.9072890973229144	0.6156830946617112	0.5772804996404093	1.0	0.8119629142463234	0.931456775010287	0.8052633201908931	0.8160924875884015	0.5089640704406503	0.8230543557225651	0.8051737955369639	0.6504728725377819	0.47256384351223124	0.7917628365919754	0.675383936425559	0.7833813395474496	0.82644004550505	0.8094267139577888	0.8808657299293187	0.8666024631216451	0.8004351229753751	0.5500427894688502	0.8211166443241866	0.5095834484167233	0.9141136943210533	0.6291590418739964	0.8710191785018812	0.44083199571342696	0.8774414119165272	0.8021569804859464	0.8473845040781796	0.8309486065487616
VincentC_2016__MM040.2__bin.6	0.8696387054222615	0.7423784452266031	0.6440750055122444	0.5302011182804337	0.7232958156120645	1.0	0.744076940151277	0.8385390137682796	0.6336913104727918	0.5344740122597041	0.725654155360966	0.7349717313793578	0.5980651542121448	0.46732210071081	0.7088542521224541	0.601775673730659	0.7090582014738995	0.7651690837593846	0.7364045457223876	0.8423440500028871	0.7087727314548234	0.7143594077877934	0.4959800120774641	0.7546498163052855	0.5051231752181896	0.7252694427899917	0.6317515025573417	0.7750562706746086	0.3912968417091635	0.787954405726886	0.7118784916727081	0.750061472786053	0.8618006113754707
VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	0.8011490664070317	0.8711175713649094	0.5883013628017779	0.556883515945285	0.8797465302058969	0.7889199583740579	1.0	0.7727349452790476	0.7873729214039454	0.48912877704848523	0.7839257534993882	0.7729460187442005	0.6277677164700876	0.4586472946739025	0.7572194797634099	0.6448194147502773	0.7470243808642174	0.787501788957225	0.7731246795926721	0.8449414866148419	0.8271601130025952	0.7666675226520347	0.5241818476193638	0.7889742925672389	0.48987442381484914	0.8754464563928172	0.5992197171427668	0.8318981485975985	0.41765425978508713	0.8402098709100994	0.7687564923097544	0.8111619030558991	0.7950781989608546
NielsenHB_2014__V1_UC11_0__bin.34	0.9098386055601846	0.799808409920052	0.6841087768427342	0.5609653823895565	0.7726651032763431	0.9032269661605851	0.7850351031077234	1.0	0.6832634516311404	0.5459599849705823	0.7690113067416993	0.7767666962864549	0.6235466498937855	0.497244659768533	0.7556547229881689	0.6391964606421099	0.7454118757216045	0.7954219133619604	0.7767827628740294	0.8692723808360289	0.749629116347228	0.7587799128840989	0.5255404656892455	0.793806664547786	0.5323552440228317	0.7772311956499953	0.6655065317836871	0.8195874927501512	0.409160945529814	0.8207525589619903	0.7478705408458788	0.789989020634907	0.8936452351114432
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	0.7624918298890675	0.8362807218793309	0.5811533029522379	0.5496847155061223	0.8566094196245543	0.7466919316543683	0.8750423732057949	0.74744333823598	1.0	0.48280483127633317	0.7588868880769629	0.7390769358203417	0.5968877706925678	0.4603028318178749	0.7352687418342395	0.6348226659585324	0.719939386303727	0.7603771719965837	0.7439612526180899	0.8039883366663442	0.8033620485034862	0.7454106424787299	0.5187684588821548	0.7579875668139316	0.48656778077164825	0.8593548901289746	0.58037753395251	0.7988590035492563	0.40636426409139664	0.8023802430534045	0.741503084630168	0.7735499314719981	0.7599795425294733
VincentC_2016__MM048.2__bin.19	0.86690900444264	0.7672772963609128	0.6934945947592586	0.5771722156294793	0.7572539152136801	0.8926911653598893	0.7705179495135936	0.8465679736741947	0.6843567323224936	1.0	0.7565563533994175	0.7564140290829997	0.6057473370923068	0.5248203001341104	0.7445902576662118	0.6488688916783687	0.7354210690800792	0.7797046511438608	0.7536884074254321	0.8635721528785155	0.7427587879098824	0.7365391906161656	0.5505965411491172	0.7673485818504184	0.5553618157918819	0.7612954818072771	0.6772945356095686	0.7849057785892429	0.4462037516887138	0.7959222233376853	0.7419869806549928	0.7683850580680744	0.8726851023933425
