	YuJ_2015__SZAXPI015257-56__bin.40	YuJ_2015__SZAXPI003412-1__bin.83	QinJ_2012__NOM028__bin.3	DavidLA_2015__LD-Run1-10__bin.2	LiJ_2014__O2.CD3-0-PT__bin.22	XieH_2016__YSZC12003_37276__bin.66	HeQ_2017__RSZAXPI003093-124__bin.8	YuJ_2015__SZAXPI017452-17__bin.9	HeQ_2017__SZAXPI029500-102__bin.41	QinN_2014__LD-69__bin.10	CM_madagascar__A69_02_1FE__bin.22	FerrettiP_2018__CA_C10026IS2449FE_t2M15__bin.2	CM_madagascar__A53_01_1FE__bin.2	CM_madagascar__A20_03_1FE__bin.9	ZellerG_2014__CCIS59903910ST-4-0__bin.16	HeQ_2017__SZAXPI029553-32__bin.14	ZeeviD_2015__PNP_Main_99__bin.11	BackhedF_2015__SID203_B__bin.2	ZeeviD_2015__PNP_Main_226__bin.19	HeQ_2017__SZAXPI029502-105__bin.12	BritoIL_2016__W2.39.ST__bin.55	HeQ_2017__SZAXPI029564-74__bin.65	QinJ_2012__T2D-052__bin.31	XieH_2016__YSZC12003_37277__bin.37	YuJ_2015__SZAXPI003434-7__bin.5	ChengpingW_2017__AS37raw__bin.3	YuJ_2015__SZAXPI015219-129__bin.21	FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin.6	YuJ_2015__SZAXPI017451-16__bin.7	ZeeviD_2015__PNP_Main_40__bin.41	ChengpingW_2017__AS10raw__bin.39	YuJ_2015__SZAXPI015214-19__bin.22	BritoIL_2016__M1.1.ST__bin.108	QinN_2014__LD-62__bin.17	DavidLA_2015__LD-Run1-07__bin.4	QinJ_2012__DOF010__bin.10	XieH_2016__YSZC12003_36697__bin.20	ZellerG_2014__CCIS93040568ST-20-0__bin.13	FerrettiP_2018__CA_C10023IS2397FE_t3M15__bin.1	FerrettiP_2018__CA_C10026IS2444FE_t1M15__bin.4	QinJ_2012__NLM002__bin.2	CM_madagascar__A13_03_1FE__bin.27	HeQ_2017__SZAXPI029486-84__bin.3	CM_madagascar__A68_01_1FE__bin.24	VogtmannE_2016__MMRS51728985ST-27-0-0__bin.2	HeQ_2017__RSZAXPI003108-148__bin.2
YuJ_2015__SZAXPI015257-56__bin.40	1.0	0.49210892345404017	0.48116216209343776	0.6746495383543496	0.8670745320609153	0.9027932676781931	0.464017067285076	0.7839650924181282	0.7364920016172218	0.8979716070761086	0.597839635667371	0.8825607030338167	0.5965911200278692	0.6046990975596732	0.8918292152659644	0.8774674712091276	0.49746813233757214	0.8803240546498944	0.9215021855380696	0.89950339082608	0.349566579448568	0.84334002090183	0.8811077461368485	0.5850625656360692	0.8804100013476849	0.8416505834458523	0.9033236961148532	0.9086213691970086	0.8789743355023432	0.6823806726727643	0.5159705746986144	0.6896388458731599	0.5895546791365662	0.8938695593578917	0.5694512888190465	0.8833876221498372	0.7728662715152809	0.8787541288742763	0.8903640529207892	0.8711826825032357	0.7329539473182342	0.5991812178494509	0.5891025689925674	0.5974424500403034	0.8916507105859378	0.900947193636893
YuJ_2015__SZAXPI003412-1__bin.83	0.9056501881212212	1.0	0.5600612095913745	0.6189244332965202	0.8916056754581361	0.9079207457462142	0.5595033974130992	0.838384216535949	0.8004005765307077	0.9145676955618367	0.6488076296726129	0.9024109465960354	0.6492606180858431	0.6557877693128428	0.914481590326264	0.9021788368305786	0.5379106377402991	0.8644357299290568	0.9125704284671395	0.9080573910113622	0.41426632723733225	0.8557203826067424	0.8820526739419352	0.698127211126294	0.9382176216236453	0.8732165921045243	0.8980981974056118	0.9190891563558767	0.8970883327405799	0.7350204967897721	0.5464313123561013	0.7601800722535238	0.636581622147764	0.8987982704078767	0.6480523370084047	0.9142448009284391	0.8230359582951163	0.8824888156786402	0.9084467364243866	0.8941158302603748	0.8142064279430209	0.6544465866761506	0.6525017314639762	0.6508020889878892	0.9102923834303577	0.9081556632910919
QinJ_2012__NOM028__bin.3	0.9245055140484626	0.5847285384009552	1.0	0.6404230661744443	0.9320403054175063	0.9494325699198543	0.5492746627372271	0.855198331812239	0.8557543292560188	0.942989253321816	0.6689137822874263	0.9385617938881321	0.6674480596764076	0.6787399866716958	0.9289583793407376	0.9162319984834657	0.5423095488896663	0.920875407715173	0.9606062619578536	0.9446103425296027	0.42783368152388246	0.8994211372834883	0.9201435235580709	0.7187493282104699	0.9338265327061344	0.8946536302040481	0.9572390085461401	0.9480860594145317	0.9397646635775748	0.7672794038612996	0.580585429153809	0.7589013334167166	0.6634945172202864	0.9525076559577715	0.6775566599503999	0.9381640944863424	0.8599482502203469	0.9007774192728842	0.9354818221081782	0.908606332312539	0.8299126624753514	0.6760352398801626	0.6499688289658057	0.6671148520695026	0.9311745519285978	0.9362361806786491
DavidLA_2015__LD-Run1-10__bin.2	0.8856873892128815	0.44151007641181594	0.4375736494403477	1.0	0.8617577054422972	0.9301290889000905	0.3299935572387594	0.7929623682655619	0.7135034266810433	0.9266199538658236	0.6204886483888089	0.9033726019074579	0.629244794883179	0.6207343412526998	0.8998380964144198	0.8961333417901529	0.4841311118603557	0.9048374120796766	0.9159243025627501	0.9130327379064698	0.32517984650872445	0.8423539779877888	0.9072048764692332	0.4853195175606972	0.883645067281789	0.8515247311899747	0.9138813129880058	0.9213849599914541	0.8984213565851362	0.6961533710997093	0.580131592563785	0.6536645290942413	0.6056082066757689	0.898558223533771	0.4953074665927808	0.8840877150229837	0.7696135344721109	0.9096170729834658	0.9285434352268821	0.8836277085468403	0.7222822730595772	0.6178354325162487	0.5556424234129276	0.6193449748131433	0.9317795040075311	0.9118590203664696
LiJ_2014__O2.CD3-0-PT__bin.22	0.8984093293489721	0.5019857694863347	0.5026138807315811	0.6801438332596497	1.0	0.931397816259545	0.48364144332797787	0.8032873614216391	0.7600836357523872	0.9672064805061565	0.6220604051212144	0.9138776226410918	0.6238567400499433	0.6199905888701006	0.9156966159452784	0.9122261959274995	0.4954954622651104	0.8855298871876371	0.9467264707261693	0.9121745559090144	0.36150278777058975	0.8452506727693225	0.8930118935393595	0.612387913495592	0.8927684477379302	0.8614677463294749	0.9096821346086662	0.9558351376601697	0.9425299288158153	0.7009905925586734	0.5164460285400682	0.6886981604033824	0.6124848702649923	0.915289819064968	0.5986890812450303	0.9123610923023174	0.7990718497085764	0.8963152739055082	0.9266964668215516	0.9074110276732535	0.7567660280342068	0.6178080076806624	0.5919653400626952	0.6226495228831149	0.9252621389611819	0.904802679800796
XieH_2016__YSZC12003_37276__bin.66	0.8846519935135932	0.48342916431200533	0.4842060779664497	0.6942647925057484	0.8808491531691002	1.0	0.4704050216828179	0.7811161642890816	0.7517294925194028	0.9549280445397272	0.6063155754493292	0.9134665697891718	0.6079192368604914	0.6065981348092201	0.9138024516384955	0.9024821369660401	0.49652157966130744	0.8781282111849653	0.9094349909152432	0.8966535403641277	0.34839519240448547	0.8271593864026655	0.8764752140125522	0.6297615238869803	0.8883586540406986	0.8419013105372215	0.94686488679187	0.947604424869609	0.9265390514975647	0.6834767060455743	0.5106450625866491	0.6713426004829921	0.5997195336724045	0.9164885097510388	0.5693217279675958	0.8948659911155763	0.7746741098881822	0.888587392570134	0.9173331977845752	0.8980598587302868	0.7257664235759157	0.6013142249451575	0.5812001845855148	0.6073506297535505	0.9094833299944486	0.9179865228653812
HeQ_2017__RSZAXPI003093-124__bin.8	0.8281180369053659	0.5425774942797681	0.51018750380063	0.4486023211298694	0.83303639256447	0.8567341719073762	1.0	0.7325699701667557	0.7452266355415864	0.8564473661520198	0.5543764652279789	0.8329465388626337	0.5550099792065827	0.5515038696086644	0.8074680225196975	0.8169298896070125	0.5131172790483858	0.7945499645577065	0.8449106954041193	0.8443025945937115	0.3452569498207918	0.7693573463569771	0.8130716261069477	0.8077539206619042	0.8039428530456322	0.7663595001229816	0.8293523907891788	0.8454824916885326	0.8422967695325158	0.6322442278072702	0.4524859977981305	0.6734970606948142	0.535872048328585	0.8151173861467376	0.710681971444675	0.829845224729554	0.7110686146465165	0.8143867575610982	0.832469134345806	0.8392653416119755	0.6984101340453862	0.5499545739618494	0.6196084375348864	0.5493864081300356	0.8324591506011576	0.8212773565948532
YuJ_2015__SZAXPI017452-17__bin.9	0.9373587383821155	0.5446944614196545	0.532179221734755	0.722203270793619	0.9269626129864919	0.9531046392489154	0.4907947742702433	1.0	0.8051673553028024	0.9514458318511695	0.6737524740735336	0.9407505373794127	0.674111233738002	0.6812779140861813	0.9363079982122823	0.9333011057702539	0.5346893232515787	0.9228830899544254	0.9549288409326535	0.9406854741860259	0.3930181720891062	0.9279239672738218	0.9342569874525327	0.6216386803725019	0.9207104657490932	0.9149277464116432	0.9521213945413805	0.9523773908443317	0.9363511709854642	0.7552413874878007	0.5684048268376551	0.781747646019744	0.6630510989294977	0.9396925004028446	0.5965972557926004	0.9368388409022501	0.8435564636026159	0.9218511998686574	0.9446956775541104	0.9245467618899945	0.8264418034057844	0.6781725147532311	0.6649567816217761	0.6749971876890708	0.9476144002480914	0.9516762893305484
HeQ_2017__SZAXPI029500-102__bin.41	0.901467244243785	0.5323411854855427	0.5451461922051988	0.6652360034136725	0.8978948397148799	0.9389865177365931	0.5111071964125316	0.824250022253609	1.0	0.915026072515019	0.6529109276735922	0.9177363442206911	0.6523270427723702	0.6540836773046179	0.9005385062132699	0.8903933504348946	0.5118386087354908	0.8938288096777988	0.921035480656167	0.9060231649176056	0.3837487029102741	0.854084797766049	0.8942558299786925	0.655371585471599	0.8932642216123315	0.8707846529152851	0.9353537327861332	0.9199498780253237	0.9069693323481574	0.7340018338218753	0.5390751586853502	0.7196032819560269	0.6407526761910038	0.9197973707750046	0.6188040817164971	0.8978201422861521	0.8209098022323327	0.8840453139501806	0.9059858162032417	0.9052444442231188	0.7769123942331095	0.6522511003864969	0.6199637592974956	0.65145868516341	0.911110059813966	0.9220040573153371
QinN_2014__LD-69__bin.10	0.8438656859793252	0.4670112454060151	0.4612107569740156	0.6633002136292601	0.8772272164633126	0.9157927939552956	0.45097566920441023	0.7478003832900818	0.7025257956136703	1.0	0.588298660396385	0.8964543277847076	0.585775254371753	0.5781280915308186	0.8839864080175491	0.8715094078120446	0.476092161670036	0.8435426135413231	0.8852256488929033	0.9017539583542423	0.3346318360168418	0.7938793066368447	0.8279739630378368	0.5733436563579796	0.8504881930405609	0.8148517737919433	0.8642928489158435	0.9198082593755527	0.9227981131804953	0.6569047175266798	0.48671436286387465	0.64023972357234	0.5718439502774313	0.8605971105089347	0.5517518077241077	0.8898308648878566	0.7337257038534513	0.8656047332979675	0.9025788444903247	0.8815117496093022	0.6960366276207818	0.5760754345467667	0.5538173684889672	0.5842693353597048	0.9073460746220865	0.8534249979688493
