	CosteaPI_2017__bugkiller-11-7-0__bin.17	FengQ_2015__SID31871__bin.33	LiJ_2014__O2.UC4-1__bin.70	BackhedF_2015__SID38_M__bin.48	NielsenHB_2014__O2_UC17_2__bin.12	SchirmerM_2016__G89052__bin.18	NielsenHB_2014__V1_CD17_4__bin.17	KarlssonFH_2013__S434__bin.53	XieH_2016__YSZC12003_36389__bin.26	FengQ_2015__SID31188__bin.62	KarlssonFH_2013__S372__bin.31	NielsenHB_2014__V1_CD15_3__bin.40	LiSS_2016__FAT_024-22-84-0__bin.7	LiuW_2016__SRR3993035__bin.110	CM_madagascar__A15_02_1FE__bin.27	NielsenHB_2014__V1_UC4_5__bin.83	CosteaPI_2017__SID713A010-11-90-0__bin.32	HMP_2012__SRS015133__bin.58	LiJ_2014__O2.UC32-1__bin.39	ZellerG_2014__CCIS76845094ST-20-0__bin.91	ZeeviD_2015__PNP_Main_243__bin.52	ZellerG_2014__CCMD13071240ST-21-0__bin.47	ZellerG_2014__CCIS98512455ST-4-0__bin.37	FengQ_2015__SID31883__bin.1	LiJ_2014__V1.FI36__bin.59	IjazUZ_2017__S4_a_WGS__bin.22	FengQ_2015__SID530154__bin.5	ZellerG_2014__MMPU29365221ST__bin.5	ZeeviD_2015__PNP_Main_144__bin.9	ZellerG_2014__CCIS36699628ST-4-0__bin.17
CosteaPI_2017__bugkiller-11-7-0__bin.17	1.0	0.7951320000966439	0.6313404229278898	0.6980987692559966	0.81097763605102	0.5286927370141714	0.5293676598673999	0.6573645609258484	0.5021544852465587	0.8413206465792621	0.8549767440755122	0.5517458677808703	0.7429340052987782	0.566676951582603	0.7342035771703385	0.5725924285855177	0.49044156352374685	0.7420606456207448	0.7373987665230343	0.7698342755451765	0.5448263242093322	0.7786320375263444	0.7818601016424311	0.44471237156562693	0.6671652012311797	0.6538628045024959	0.3814795465500708	0.8948197690607284	0.8217276836798189	0.8115198716062253
FengQ_2015__SID31871__bin.33	0.7567306757175479	1.0	0.6110298569012844	0.6985190289401527	0.8424244229045398	0.5632183301455715	0.5395121631269568	0.6414167534285716	0.5169711563470888	0.8698202011870989	0.8584754381507614	0.5543214967729094	0.7420189727742273	0.5406415128763211	0.7368358756267778	0.556694035932622	0.49037527131157616	0.7470245252848442	0.7404338874284073	0.771077865574208	0.541934083066765	0.7926957156330503	0.778519662220386	0.4278942602947618	0.6783735554237059	0.6363663435680968	0.4010069909614325	0.7934417046697632	0.8369469258391151	0.8338031418238622
LiJ_2014__O2.UC4-1__bin.70	0.7483120368136063	0.7609908914304707	1.0	0.719038046422626	0.772074032830661	0.5247821445371587	0.5471653203961162	0.6691972421718976	0.42445455151491823	0.7763273902131467	0.8137264199218621	0.4471109562918235	0.7360871553301704	0.5484953161427588	0.6877570910415656	0.5961488806534209	0.4891882096557785	0.7322539695654909	0.7718956359426539	0.7250979070289313	0.5308213486616947	0.7451994805833766	0.7845162768381687	0.34922176704934366	0.729702894066989	0.6350671007031654	0.3324374366808414	0.756628148587707	0.796486708023447	0.7735767918793737
BackhedF_2015__SID38_M__bin.48	0.743386544655164	0.7815809363775473	0.6459970880551211	1.0	0.804263232393784	0.5319672836413145	0.5302810212389769	0.6473105000413341	0.44083235059411435	0.8052641080017748	0.8190987986118492	0.4852593334919213	0.7168901238504481	0.5465223684943086	0.7233378210351745	0.5784441002748295	0.5156926160433654	0.719950955829879	0.7760493377265573	0.7389397551334417	0.5314320492769907	0.769066827953996	0.7969905403969085	0.36003051974673167	0.7233998221790323	0.6317722541928801	0.3420265685445843	0.7767587657807673	0.7931034482758621	0.8033277321415617
NielsenHB_2014__O2_UC17_2__bin.12	0.7618362635939735	0.8315370510658627	0.6119170795523718	0.709501233075903	1.0	0.5508202894193605	0.5559628187058433	0.6439543560992236	0.537293290489465	0.8667288289722979	0.8740632864858751	0.5721881478857622	0.7588629656033589	0.540236449932058	0.7315280467095403	0.5866129778820266	0.4932065480274506	0.7480212740940948	0.7571242318391063	0.7859218005140669	0.5354991166800864	0.797182082968074	0.7813359041638822	0.45195134075609805	0.6914895437842408	0.6488479633038993	0.4094678946326595	0.7988702137381176	0.8360358804995408	0.8616826686233158
SchirmerM_2016__G89052__bin.18	0.7035184142785764	0.7874931746262647	0.5891583549953303	0.6647513455736792	0.7802419397343217	1.0	0.5077772366670672	0.6366750784786216	0.5029841904316166	0.8042171849734259	0.7960225200439354	0.545616687011024	0.7021206620665229	0.5234434458492241	0.7106536968754019	0.5331744786890222	0.4778394081794857	0.713149306499864	0.7188051432221667	0.7315957354854079	0.5050418166140664	0.7444949012613501	0.715609603379904	0.38310849129198266	0.6420816177664215	0.6028486316575065	0.3899686507158473	0.7415059673267514	0.766626505008085	0.7777537088922761
NielsenHB_2014__V1_CD17_4__bin.17	0.6827640533700604	0.7311599170779902	0.5954052665080292	0.6422757167042485	0.7633192711935927	0.49216910123208046	1.0	0.6045230094273212	0.4234963744609201	0.7699021508024002	0.7893376354149318	0.466275385670104	0.6670915278758336	0.4883029493711884	0.6795752954530826	0.5354170774793588	0.4623234101421097	0.6869091321490348	0.6879318641820034	0.6743420951804903	0.5309869415203663	0.7169249380077262	0.7039389998068968	0.34832097234127984	0.6524008660016695	0.6319033135087474	0.3137253499613283	0.716263380573813	0.7423042224222504	0.7902725003601528
KarlssonFH_2013__S434__bin.53	0.7364678192756863	0.7550673292053353	0.6325319916895712	0.6810238405647258	0.7679798220943452	0.5360350805882619	0.5251061212644561	1.0	0.45087093542022955	0.7807103801373297	0.7854961540748524	0.48236829470250103	0.7110692710270089	0.5451690973457924	0.681333129802969	0.5803774837434559	0.478188230679185	0.7052198438555277	0.7303974078278133	0.7186062548312576	0.5319326716821519	0.7544935688250648	0.7489356811507513	0.36411286350360367	0.6608880905449792	0.624527302207979	0.33329088186926076	0.7688353596141916	0.7679736096849687	0.7891761191433619
XieH_2016__YSZC12003_36389__bin.26	0.7355778854237559	0.7957112960393977	0.5245699140901545	0.6064108343762383	0.8378185501908559	0.553698730121708	0.48098083549601955	0.5895166432556971	1.0	0.8375087247200692	0.8579972394202434	0.8468145125963781	0.7409000371906604	0.5449017754624029	0.7059860717785549	0.4762638297329177	0.38830820788012654	0.7072062271438443	0.7015005648222769	0.8070396524384831	0.4558286932037404	0.7923003148731891	0.7196781528367887	0.6683057246347802	0.5804353918160821	0.5887525231339252	0.6477841386764882	0.7788211663014324	0.8245482727230004	0.8044896843783561
FengQ_2015__SID31188__bin.62	0.6971085605027061	0.7572970260539037	0.5427060260995219	0.6265841250608379	0.7644856678423474	0.5007720635412397	0.4946080263758566	0.577406056850788	0.47373654796196557	1.0	0.7822839887641372	0.51940398335559	0.6698626760690496	0.4917150443924229	0.6689529374351212	0.5040099716806109	0.43979299179627107	0.6852527494815441	0.6769033048257828	0.7089450083999856	0.4919185212874574	0.7263002747922649	0.7319930332136648	0.4131765729830599	0.6121969958277391	0.5951174078093776	0.3763121388079995	0.7528162679121203	0.7614916037884772	0.7704104555617948
KarlssonFH_2013__S372__bin.31	0.7419898610883862	0.7828335604299207	0.595803365062691	0.6675474393542116	0.8074837377302533	0.5191548294575669	0.5311207113462588	0.6084715047635285	0.5083212222792064	0.8193495917073768	1.0	0.5608826242924142	0.7074761067349378	0.5183308882066061	0.7184190227651153	0.5393841855528072	0.4562726781493668	0.7115593767058025	0.7234255744214537	0.7533665751405547	0.5054853794254617	0.7844673496522053	0.7546339390922828	0.44757334348966105	0.6567647054779546	0.6478006921518994	0.3879515521169481	0.7852290742296476	0.8061428137335916	0.8035867740414163
NielsenHB_2014__V1_CD15_3__bin.40	0.7668451370401442	0.8095211356925333	0.5242817695981609	0.6333512794597225	0.846554013436474	0.569880894972222	0.5024557567430092	0.598411382468286	0.8034623913048266	0.8712343411789835	0.898249316836109	1.0	0.7253967415119226	0.5552564534490694	0.7298634553009334	0.49721174447358396	0.4127465940894488	0.7397872227984067	0.7184643620757613	0.8044593371603723	0.46821278600950816	0.8179690269676331	0.7410709763793745	0.6634798529959021	0.5796956645241413	0.6026468884940007	0.6092258503491237	0.8177796567996001	0.837795643164948	0.8369787090679685
LiSS_2016__FAT_024-22-84-0__bin.7	0.8468950807474056	0.8887759119526388	0.7079286330914463	0.7674218261808698	0.9208522815521707	0.6014769677552185	0.5895919646307942	0.7235087646423527	0.5765641987928525	0.9215656616736079	0.9292819061516845	0.5949581182657819	1.0	0.6061423834481363	0.7888467081570953	0.6534458065891039	0.5242747904107263	0.8050603031955818	0.8435196188563523	0.8898468851476065	0.590743757472431	0.8692916045092848	0.8617496415039136	0.47082094700759614	0.7769878924042174	0.7068725596078758	0.4368735348617126	0.8828783352778209	0.8967409364604065	0.9217146587875789
LiuW_2016__SRR3993035__bin.110	0.8003898151287206	0.802367422017394	0.6536116640205335	0.7248967001097614	0.8122638480034282	0.5556018022795906	0.5347393083354872	0.687305386139633	0.5254034373996511	0.8381864421761173	0.8435861201646533	0.564275300780861	0.7510369149556311	1.0	0.7457692639050659	0.5937777270555643	0.47999456228035137	0.7422101309416318	0.7479672886478091	0.7613087226169977	0.5585086326596603	0.7840710618210542	0.7827099536003634	0.4384916705547481	0.6910312310840643	0.6647064022995065	0.4069187709858496	0.8115237139401426	0.8342038160260563	0.8291571422657389
CM_madagascar__A15_02_1FE__bin.27	0.6045205625983255	0.6374751169470875	0.4777608122245906	0.559291129762349	0.6411694186953584	0.4397243101230651	0.43382934204381507	0.5007334467365697	0.39682533988358776	0.664739181252984	0.6815986725559819	0.43238201584688474	0.5697808204167569	0.4347434599640484	1.0	0.4404479732215303	0.39001201430759236	0.5930629440141093	0.5688940966832162	0.6113068201088984	0.4218156866939913	0.6045437172085063	0.6045528486040705	0.3400084921978747	0.5235263884286956	0.5218057726073787	0.3054777937504729	0.6293605675031895	0.6447521869692376	0.6394765231820043
NielsenHB_2014__V1_UC4_5__bin.83	0.8063339057895796	0.8237279116762668	0.7082799037738049	0.7649497255500851	0.879363073169725	0.5642434792697028	0.5845858486361727	0.7295119136529978	0.4578525137782726	0.8565832561288981	0.8752333563319815	0.5037813905053325	0.8072341439008868	0.5920075142551645	0.7533024069377457	1.0	0.5335935508592701	0.7749136992925824	0.8371104476146758	0.8314926048283775	0.5777782859667158	0.8185345306016815	0.8598930534972354	0.37476232096333284	0.7896493812396848	0.697298560567228	0.32223058254999415	0.8592549665087996	0.8490260528016983	0.8688781437915643
CosteaPI_2017__SID713A010-11-90-0__bin.32	0.6259372118604313	0.6576123441013281	0.5267449125673337	0.6180684740937252	0.6700690726152154	0.45830367686310036	0.45748424837024215	0.544747064009447	0.3383208439153011	0.6774120820459729	0.6710027459195393	0.3790167666898526	0.5869797311506171	0.4337243606334622	0.6045425961274042	0.4835982869344376	1.0	0.6232474037108332	0.6227545333958815	0.6179324924376001	0.4749854413691583	0.6198382576554133	0.6426361636390107	0.28165238438020673	0.5846114260987723	0.5558459979941442	0.26350262459761564	0.6555139803296721	0.6659527208463417	0.6518303434219253
HMP_2012__SRS015133__bin.58	0.7512124219368679	0.7946138193045239	0.6254116420573582	0.6844290740685051	0.8060918814342566	0.5425399212101164	0.5391497508996682	0.6372361390952195	0.48874026403632753	0.8372116801491595	0.8300243587044778	0.5388422097254383	0.7149446165258272	0.531966439118275	0.729171302839844	0.5570669313044437	0.494356599404565	1.0	0.736597199250193	0.7396802293527401	0.5442319991178741	0.7759704888781964	0.7630144648603133	0.4090963221363486	0.6767505688709791	0.6471255726300383	0.38158040878517224	0.7923170841728566	0.8149472228069647	0.8026800589420503
LiJ_2014__O2.UC32-1__bin.39	0.7487097797748001	0.7899421336279268	0.6612269569060614	0.7399503979544686	0.8183243645617635	0.5484665552155541	0.5415558891671368	0.6619464157957622	0.48623677959101436	0.8294665266624065	0.8463720008638332	0.5248651668086951	0.75132339817847	0.5376847257952755	0.7015327410096796	0.6035656849075702	0.4954325017664747	0.7387845447844056	1.0	0.7747438159311282	0.5461802926174831	0.7894040475494362	0.8179117514701855	0.3951534450176969	0.7326673345154069	0.6349685171385242	0.37303159224818233	0.7965877782071921	0.832978161667922	0.8172940383038465
ZellerG_2014__CCIS76845094ST-20-0__bin.91	0.7420512885122941	0.780967227015559	0.5896770119510809	0.6688795045625464	0.806423643920938	0.529951005264462	0.503968867554627	0.6182728639872086	0.5310558970640955	0.8247272799465193	0.8367570089425987	0.5579203447079157	0.7524412420144461	0.5195549431690847	0.7156510939535999	0.5691487026302458	0.46669614062897896	0.7042994188055333	0.7355017312134988	1.0	0.5148948501123026	0.7799341111863232	0.7525630320918762	0.4401050525319928	0.6518296572964665	0.6218494453206458	0.4070808521945694	0.7849156689615888	0.8055714951660029	0.8010228839355834
