	HMP_2012__SRS049995__bin.33	XieH_2016__YSZC12003_37798__bin.54	NielsenHB_2014__V1_UC40_0__bin.36	RaymondF_2016__P13E7__bin.15	XieH_2016__YSZC12003_37126__bin.6	QinN_2014__HD-33__bin.90	NielsenHB_2014__V1_CD34_0__bin.57	XieH_2016__YSZC12003_35515__bin.86	LeChatelierE_2013__MH0149__bin.28	CosteaPI_2017__donald2-11-0-0__bin.26	XieH_2016__YSZC12003_37228__bin.59	NielsenHB_2014__MH0024__bin.6	RaymondF_2016__P15E90__bin.17	ZeeviD_2015__PNP_DietIntervention_28__bin.85	ZeeviD_2015__PNP_Main_252__bin.56	HeQ_2017__SZAXPI029560-51__bin.79	NielsenHB_2014__MH0145__bin.35	ZeeviD_2015__PNP_Main_162__bin.52	FengQ_2015__SID532915__bin.5	LiJ_2014__MH0376__bin.6	ZeeviD_2015__PNP_Main_259__bin.30	QinN_2014__HV-8__bin.27	LeChatelierE_2013__MH0024__bin.13	ZeeviD_2015__PNP_Main_27__bin.49	ZeeviD_2015__PNP_Main_536__bin.28	ZellerG_2014__CCIS21126322ST-4-0__bin.18	KarlssonFH_2013__S487__bin.24	XieH_2016__YSZC12003_37332__bin.97	RaymondF_2016__P3E90__bin.26	LeChatelierE_2013__MH0435__bin.9	XieH_2016__YSZC12003_35519__bin.35	NielsenHB_2014__MH0149__bin.40	LeChatelierE_2013__MH0253__bin.35	ZeeviD_2015__PNP_Validation_57__bin.41	LeChatelierE_2013__MH0429__bin.10	XieH_2016__YSZC12003_37877__bin.22	ZeeviD_2015__PNP_Main_506__bin.17	XieH_2016__YSZC12003_36005__bin.68	KarlssonFH_2013__S54__bin.4	ZeeviD_2015__PNP_Main_616__bin.34	LiJ_2014__MH0389__bin.18	XieH_2016__YSZC12003_35550__bin.52	LiJ_2014__MH0293__bin.70	LeChatelierE_2013__MH0145__bin.8
HMP_2012__SRS049995__bin.33	1.0	0.8304308006935491	0.7641212821766772	0.3631245276308185	0.8728751167029742	0.8961196816787445	0.8936735873382831	0.6817000844707243	0.8837496109900858	0.8731916596274396	0.8859938647579247	0.8105730671764549	0.860044458275908	0.7086044547192459	0.8912034855288312	0.8928110967856666	0.5332227804205752	0.6587231583159205	0.6460223180545058	0.839029031254168	0.7681652069532744	0.8997501444893967	0.857721957942471	0.6514515627083982	0.8654905970746455	0.8857182234472947	0.7560912283821634	0.8821553372160228	0.7052478548881874	0.6739029920419686	0.8791259502956476	0.8833254790379229	0.3808776063664251	0.8364113279687013	0.7573004934868626	0.6271079891521807	0.8714417818876984	0.9149868848086071	0.8958475970301871	0.8643613568665807	0.6699906637620593	0.8244902858667141	0.8893620237407194	0.7273213888765394
XieH_2016__YSZC12003_37798__bin.54	0.7652888729011678	1.0	0.6994700835230965	0.32007053534920654	0.75907442020156	0.7783569229609442	0.7919248169219285	0.5946380679476327	0.7891666618867387	0.8160820268424369	0.8258535654029356	0.7303260211360223	0.7678757699439765	0.6313823306000339	0.7743819348219941	0.8013276181782575	0.48421271717602943	0.5590205026135281	0.6038966519472198	0.7318009703527013	0.6757397894591934	0.781396957179766	0.7569914641411166	0.5582920415837349	0.766957204348478	0.778051280706599	0.6638828365895568	0.7605297034286833	0.6670818375572874	0.5991612455454485	0.7684378894787776	0.7892600753371283	0.343731179033433	0.721224765052881	0.6663771395982074	0.5578216966668605	0.7438111540576262	0.7988382316669957	0.7632182080841966	0.7548093587166631	0.5871305764347363	0.7308070184639059	0.7969781568215172	0.6550577237764272
NielsenHB_2014__V1_UC40_0__bin.36	0.8483087505108396	0.8426337412811761	1.0	0.3586045143420089	0.8426870462904649	0.8393564703397108	0.850874300865318	0.6940558991864076	0.8720511965000326	0.845758007103386	0.8629538082480618	0.801959057804347	0.8519690278153436	0.7210677190786525	0.8936910560117192	0.8543766374015584	0.5606867659456013	0.6032488416031778	0.6462649969695116	0.8166978928727254	0.7317968328927444	0.8427640424149934	0.8237588323439002	0.6555301972877622	0.8563666910816771	0.89012949168738	0.7053871621795036	0.868055295062969	0.7202898607949554	0.6567562125014067	0.8810340776950124	0.8723275928444935	0.3893496591440795	0.8015829613499198	0.7291305952984982	0.5995865900390706	0.8249976802449661	0.8610052140196123	0.8754814725607529	0.8993660652413829	0.6723676703144403	0.8483383644048891	0.869382984646183	0.6794789534054991
RaymondF_2016__P13E7__bin.15	0.4735257252380163	0.45290982223711534	0.4212230169947857	1.0	0.47313149537185734	0.5325639666945333	0.4788095649441527	0.3769301320322202	0.47760948285158056	0.5328897860839176	0.47606271037670983	0.4750377127246965	0.4685758214185086	0.3441986176445693	0.46614087224517387	0.47140963845642775	0.24342766635630728	0.3731142188277227	0.3487960335837466	0.4531498386556298	0.3872067770432992	0.5363137884214688	0.505875764255178	0.36310773722492323	0.4577391380975626	0.49657541791264564	0.43987008966410457	0.45854151182515673	0.4374212264954936	0.48199586986240217	0.4612292319126758	0.47753643437638055	0.3489525660306038	0.5130530668184838	0.4866164757937065	0.33774020483720046	0.4589705266795062	0.5139992184972654	0.46084311854376125	0.4641059504360298	0.43891929998689766	0.4266807816418746	0.47801994571222844	0.48522159776726753
XieH_2016__YSZC12003_37126__bin.6	0.8291179759527839	0.7823960054189006	0.7210060101148307	0.34463397083117964	1.0	0.8167117678656491	0.8429515440826213	0.6264640997834466	0.860128006324303	0.8092650024830997	0.8328358687977405	0.7492119959054192	0.8184811875635555	0.652444586335857	0.816728659700474	0.8214972246715383	0.48922047560650134	0.6038298857098455	0.6061542021817494	0.7678403113502995	0.70924760389323	0.8201720602295263	0.7921569521724589	0.5912716511092868	0.8068942334654274	0.8132143134651572	0.7281909520575944	0.804169580508174	0.6940525538765072	0.6253771102124654	0.8146408289161186	0.8594168600781754	0.34998361492021984	0.7737955277178118	0.7017172239282975	0.5856035959337975	0.7866637274874071	0.8362454856571431	0.8004010121587427	0.8102295262516005	0.6084092621308712	0.7577854466707883	0.8611119557028524	0.6751624149918413
QinN_2014__HD-33__bin.90	0.8068409528498633	0.7604641760634699	0.6807328505838227	0.36771022220087346	0.7741524864001537	1.0	0.8084349068725758	0.5921639266829184	0.7922784095685276	0.8472325963997934	0.8087927659625569	0.7436776225987615	0.775969802136747	0.6291739219194697	0.8002834051853542	0.8788146618151542	0.4832178497231996	0.5790528342519985	0.5991201629980105	0.7398524531760995	0.6946741440803141	0.9890552760198383	0.7852981558648462	0.5771690704069746	0.7944215612103163	0.8148019165876095	0.6814141438401402	0.7844519432068818	0.6304844707568279	0.5886029485347392	0.7912936966363647	0.7922944211609205	0.3327208899243052	0.8046785872972032	0.6829464532321401	0.5664709249496636	0.7571793978840681	0.8225395186114747	0.787157101741661	0.7745992098279154	0.60013529795572	0.7476452951937202	0.793705843030354	0.7216344633514664
NielsenHB_2014__V1_CD34_0__bin.57	0.8729423229418453	0.8393993532859864	0.7486526791383052	0.358658767595511	0.8668521286583941	0.8770609340787713	1.0	0.6526739270722685	0.8874434472653621	0.8620100246751882	0.8987466116128853	0.8064374361081122	0.8450691747752004	0.6787413830091222	0.859643256360527	0.8878924818410244	0.5322701259989282	0.6296315918840257	0.6600365307432348	0.8171769187542721	0.7679767995907445	0.8804213108161746	0.8547064816447346	0.6278719322122813	0.8518125102596149	0.8609234825975217	0.7642802983257176	0.8595537968609269	0.711469663241439	0.6593781783092849	0.8644349850915309	0.8870126520051522	0.37013042847626154	0.8178578531978297	0.7433823855113826	0.6295551604668918	0.8326751256558553	0.895285484371078	0.863023609491045	0.838859990671893	0.658946514510244	0.8044484821849658	0.8825422826416435	0.7282298570645646
XieH_2016__YSZC12003_35515__bin.86	0.8661583495548177	0.8198505778162398	0.7943405754776347	0.3672626908872352	0.837984370886964	0.8356491549952946	0.8489724259243987	1.0	0.860686917255178	0.8385029311647948	0.8541150977864593	0.8258823715490039	0.8392564817210326	0.6908985327794492	0.8481623873204669	0.8369743645941955	0.5637529755079123	0.5693950017115879	0.601351420053031	0.8248554188419273	0.7402532698106408	0.8400382763011175	0.8598520239102608	0.6666595115139587	0.8389175534348687	0.8784682249082917	0.735533128545331	0.8439201349386484	0.7049222554999588	0.6700374967660593	0.8551070279039658	0.8604451484110477	0.4312557405978469	0.7893662379977021	0.7199367785770209	0.5603456164710109	0.8249164259334367	0.901223870041338	0.8337421185051455	0.8400574822373335	0.6202715267476555	0.8011937054238694	0.8554821085406539	0.643767165305493
LeChatelierE_2013__MH0149__bin.28	0.9008633308709898	0.8729240404791146	0.8007187626044041	0.3733486814377065	0.9230570523482147	0.896985819620497	0.9261124732050195	0.6905115178761607	1.0	0.9025999628382512	0.9234984614129622	0.8292027898503107	0.8996034569490204	0.7089935963962167	0.8964492402235144	0.9083690977399312	0.5391598725623932	0.6546975622799186	0.6659249423313106	0.843978663717897	0.7764557661891534	0.9012131951399683	0.8758543803278391	0.6508834979175825	0.8820495157642857	0.8847614170409278	0.7954236665956665	0.8798361257517323	0.7812913254508128	0.6821700648517836	0.8999542276021155	1.000892788354777	0.39053644343936517	0.850336948295318	0.7736722605673059	0.6447499966010596	0.8629483768926434	0.9113782930067933	0.8877325441748959	0.8871651477179514	0.6764199640165506	0.8344879156337665	0.9955079603185034	0.7348010713460257
CosteaPI_2017__donald2-11-0-0__bin.26	0.7987823477019558	0.8100852844645624	0.696904625370603	0.37382494926448756	0.7793731164822294	0.8607947682434328	0.8072806985436163	0.6036976936185097	0.809999064595763	1.0	0.8326740766950135	0.7453203352814143	0.8167632573215716	0.6419288848761403	0.8139700589304669	0.8124172878970892	0.4954437679709455	0.5907216033642017	0.6136975716092613	0.7775063749832237	0.6945718085430875	0.8646486336997677	0.788127686745322	0.5830399010911694	0.8012607622324439	0.7997885173029449	0.6812191164090238	0.7946812101690641	0.6441022762858758	0.5917725096895678	0.8016080818926075	0.808275480614764	0.3460483237962771	0.8032869291492295	0.6904121065710114	0.5655876982141913	0.7750125059479509	0.8249834270771058	0.7953034573353993	0.7960891968944579	0.5959476661664288	0.7392369541611254	0.8091718418922821	0.7176893075161764
