	HMP_2012__SRS016541__bin.7	HMP_2012__SRS017445__bin.7	ZellerG_2014__CCIS76845094ST-20-0__bin.28	CM_cf__CF_TNFC018SA_t5M17__bin.3	HMP_2012__SRS015947__bin.20	HMP_2012__SRS024447__bin.10	HMP_2012__SRS019128__bin.8	HMP_2012__SRS064493__bin.1	HMP_2012__SRS023538__bin.14	HMP_2012__SRS053630__bin.9	HMP_2012__SRS024021__bin.38	HMP_2012__SRS015440__bin.36	HMP_2012__SRS018337__bin.12	CM_cf__CF_TNFC045IS_t1M15__bin.8	HMP_2012__SRS016360__bin.21	HMP_2012__SRS022602__bin.6	HMP_2012__SRS015470__bin.32	CM_periimplantitis__SP_162SPT_T016__bin.2	OhJ_2014__MET0094__bin.3	HMP_2012__SRS018975__bin.43	HMP_2012__SRS018394__bin.51	HMP_2012__SRS014690__bin.46	HMP_2012__SRS024144__bin.27	CM_periimplantitis__SP_163SPT_T016__bin.41	VincentC_2016__MM001.2__bin.8	CM_periimplantitis__SP_283SPT_T016__bin.19	VincentC_2016__MM017__bin.13	HMP_2012__SRS019225__bin.27	HMP_2012__SRS015989__bin.17	OhJ_2014__MET0103__bin.10
HMP_2012__SRS016541__bin.7	1806908.0	1060087.0	1527715.0	1603468.0	1088660.0	1201031.0	1244289.0	1359957.0	1433914.0	1500236.0	1243738.0	1339584.0	1458940.0	1598433.0	1579174.0	834484.0	1304648.0	1331815.0	1304035.0	1479233.0	1495482.0	1366577.0	1365816.0	1183186.0	1451402.0	1521937.0	1510743.0	1368299.0	1545642.0	1317282.0
HMP_2012__SRS017445__bin.7	1060087.0	1267464.0	1087123.0	1094563.0	818922.0	850794.0	923835.0	971974.0	1032565.0	1076715.0	895792.0	977293.0	1067959.0	1119635.0	1096453.0	654475.0	946319.0	961229.0	925899.0	1056251.0	1063152.0	970009.0	1008047.0	873852.0	1042271.0	1056914.0	1064641.0	1008606.0	1061957.0	945872.0
ZellerG_2014__CCIS76845094ST-20-0__bin.28	1527715.0	1087123.0	1819449.0	1602284.0	1105984.0	1255903.0	1269323.0	1361900.0	1459502.0	1514329.0	1287602.0	1370604.0	1510977.0	1635015.0	1585433.0	847321.0	1343796.0	1368723.0	1318297.0	1555940.0	1520230.0	1392648.0	1429536.0	1225840.0	1535573.0	1552729.0	1540301.0	1413579.0	1526572.0	1349509.0
CM_cf__CF_TNFC018SA_t5M17__bin.3	1603468.0	1094563.0	1602284.0	1945066.0	1131540.0	1217433.0	1291250.0	1430026.0	1474696.0	1573733.0	1276193.0	1389582.0	1501633.0	1661739.0	1679782.0	857286.0	1339163.0	1377153.0	1368448.0	1534107.0	1528584.0	1413275.0	1409337.0	1236220.0	1500893.0	1585803.0	1573763.0	1405124.0	1585353.0	1364623.0
HMP_2012__SRS015947__bin.20	1088660.0	818922.0	1105984.0	1131540.0	1520911.0	868314.0	967260.0	1013940.0	1076872.0	1157048.0	885369.0	964556.0	1122615.0	1125050.0	1109983.0	642897.0	936654.0	1057330.0	968084.0	1074253.0	1080827.0	1008564.0	982647.0	893762.0	1036619.0	1057801.0	1136577.0	997621.0	1078690.0	1001013.0
HMP_2012__SRS024447__bin.10	1201031.0	850794.0	1255903.0	1217433.0	868314.0	1427117.0	1030426.0	1074199.0	1133567.0	1186800.0	998827.0	1066438.0	1164853.0	1244892.0	1224127.0	631396.0	1061484.0	1168584.0	1022296.0	1200820.0	1193796.0	1078280.0	1086641.0	954998.0	1193232.0	1197024.0	1191035.0	1102110.0	1181905.0	1054160.0
HMP_2012__SRS019128__bin.8	1244289.0	923835.0	1269323.0	1291250.0	967260.0	1030426.0	1512706.0	1147590.0	1253837.0	1321132.0	1044147.0	1134419.0	1343281.0	1334642.0	1246934.0	743586.0	1124758.0	1206984.0	1166098.0	1234421.0	1243273.0	1183453.0	1163227.0	1081958.0	1221097.0	1265351.0	1337851.0	1169990.0	1253133.0	1186226.0
HMP_2012__SRS064493__bin.1	1359957.0	971974.0	1361900.0	1430026.0	1013940.0	1074199.0	1147590.0	1714728.0	1335319.0	1434495.0	1093388.0	1225942.0	1376863.0	1443464.0	1409714.0	794999.0	1178144.0	1249133.0	1242276.0	1328039.0	1322531.0	1272828.0	1268122.0	1135940.0	1301593.0	1353030.0	1452779.0	1244311.0	1369446.0	1250444.0
HMP_2012__SRS023538__bin.14	1433914.0	1032565.0	1459502.0	1474696.0	1076872.0	1133567.0	1253837.0	1335319.0	1705080.0	1491764.0	1194631.0	1300515.0	1482999.0	1501063.0	1457468.0	834314.0	1265643.0	1323515.0	1316907.0	1435922.0	1426003.0	1355206.0	1327584.0	1206478.0	1392720.0	1433702.0	1524627.0	1346030.0	1419674.0	1341020.0
HMP_2012__SRS053630__bin.9	1500236.0	1076715.0	1514329.0	1573733.0	1157048.0	1186800.0	1321132.0	1434495.0	1491764.0	1854483.0	1212009.0	1337723.0	1552886.0	1596096.0	1552299.0	875438.0	1285170.0	1409862.0	1381691.0	1471319.0	1466033.0	1463052.0	1385196.0	1263782.0	1448512.0	1504435.0	1593311.0	1370030.0	1513139.0	1397240.0
HMP_2012__SRS024021__bin.38	1243738.0	895792.0	1287602.0	1276193.0	885369.0	998827.0	1044147.0	1093388.0	1194631.0	1212009.0	1500297.0	1128746.0	1208813.0	1415306.0	1256671.0	669844.0	1113871.0	1116236.0	1061849.0	1258638.0	1251282.0	1114141.0	1135978.0	999265.0	1218476.0	1257300.0	1218054.0	1148782.0	1284315.0	1079826.0
