	HeQ_2017__SZAXPI029578-96__bin.27	VincentC_2016__MM009.1__bin.28	VincentC_2016__MM009.2__bin.4	VincentC_2016__MM060.1__bin.3	VincentC_2016__MM041.2__bin.1	VincentC_2016__MM058.1__bin.40	VincentC_2016__MM038__bin.31	VincentC_2016__MM083.2__bin.12	VincentC_2016__MM064.2__bin.4	VincentC_2016__MM061__bin.28	VincentC_2016__MM021.1__bin.17	VincentC_2016__MM096__bin.3	VincentC_2016__MM001.4__bin.11	VincentC_2016__MM083.3__bin.7	OhJ_2014__MET0251__bin.8	VincentC_2016__MM011__bin.19	VincentC_2016__MM052.2__bin.1	VincentC_2016__MM002.1__bin.8	VincentC_2016__MM041.1__bin.2	VincentC_2016__MM103.1__bin.5	VincentC_2016__MM049.1__bin.20	VincentC_2016__MM004.2__bin.3	DavidLA_2015__LD-Run1-06__bin.18	VincentC_2016__MM002.2__bin.16	VincentC_2016__MM027.3__bin.14	VincentC_2016__MM020.1__bin.3	VincentC_2016__MM034.1__bin.5
HeQ_2017__SZAXPI029578-96__bin.27	1.0	0.7048709518211874	0.726468193195102	0.8437397925553867	0.7797636860439416	0.8372748331439354	0.8145438115747288	0.8281817725437425	0.5506924926017419	0.8206495341330429	0.8291290886011081	0.810284475165389	0.8229099228260139	0.8509590841611755	0.8405575147329487	0.8075057683267842	0.8103411967737791	0.7649821652919826	0.4506081925561691	0.8208359982709689	0.8485709088561989	0.6905881900395551	0.7979485032993069	0.8118140026743913	0.7716733591644842	0.6042846329427366	0.8285540488470844
VincentC_2016__MM009.1__bin.28	0.9485770939990963	1.0	0.8366169625661881	0.9365577387924492	0.8918407187572659	0.9184264901359516	0.9346695971467303	0.9129524586639994	0.6329292955880481	0.9468345989673129	0.9483112450592018	0.9027264870650892	0.9332798125896583	0.9215017394241696	0.9197794243449193	0.9392311438084835	0.8968909712260199	0.8510122878363142	0.5059701950874977	0.9109651720340953	0.948532347147827	0.7873647175464688	0.9138351122400187	0.9167032976674607	0.8635756243721183	0.6801609131867216	0.929872032779262
VincentC_2016__MM009.2__bin.4	0.9347184717842633	0.799885578437072	1.0	0.9055527173862894	0.8645295671526229	0.8970516314719698	0.9015043415601095	0.8733645224367766	0.6193310365133972	0.9215658641218775	0.9149497140719228	0.8757393570749687	0.9059948006976025	0.8916174461006491	0.9123928451290724	0.8978703664090504	0.8867461409985714	0.8247588464897159	0.5006614472314428	0.9071692155663656	0.9368542291098858	0.7822416727694297	0.8820585479366789	0.8840508588747595	0.850155568026723	0.6774754777981065	0.9150772219719601
VincentC_2016__MM060.1__bin.3	0.9219790146817435	0.7604734235363851	0.769063183932154	1.0	0.832035524575962	0.9025895381178187	0.8790565725879993	0.879705595704906	0.6077449616997994	0.8957723018876528	0.9003375490151376	0.8540460286339595	0.888378710331935	0.9031715928779865	0.8885967137060004	0.873414844747401	0.8559118810414007	0.8462100184661682	0.48771486868502645	0.8650331137151195	0.891023960423126	0.7617949799379902	0.8674639225788802	0.8836325061553895	0.8385364421849353	0.6439876664234907	0.8975569373518147
VincentC_2016__MM041.2__bin.1	0.9403990224939615	0.7992330603361514	0.810335365086554	0.9182871942934783	1.0	0.9211917207628825	0.9183666087962964	0.9038856494061996	0.6340941399959742	0.9382556172000805	0.9269339397141707	0.8907059870672303	0.9218262505032206	0.9213985129830918	0.9277595360305959	0.9148126132246377	0.8922156489029791	0.8491132309279388	0.5385600656702899	0.9063003220611915	0.9411090353260869	0.7810730865036232	0.900159458031401	0.9071770267210144	0.8573967139694042	0.6864660388989533	0.9252111954005636
VincentC_2016__MM058.1__bin.40	0.9452078589082495	0.7704432743390188	0.7870684541114714	0.9324747435344478	0.862303501533126	1.0	0.89697732033427	0.8948885005983828	0.6216233323666961	0.9095205430048092	0.9123240364417345	0.8800172522673041	0.9044913304412724	0.9198984000435723	0.901492056155247	0.8952543016585436	0.8762672393869851	0.8515524832519051	0.5005483335811262	0.8880266026428942	0.9146616303392602	0.7749256253578888	0.8772387834501885	0.8988806634762729	0.853532372289797	0.6579848409685412	0.9067376580783153
VincentC_2016__MM038__bin.31	0.9485973609262498	0.8088398872330879	0.8159641259691144	0.9368537181115718	0.8868177666350556	0.925315078436479	1.0	0.9059111516393038	0.6454827558192419	0.9555955606949759	0.9476224571068894	0.8920096609627706	0.9375036539911453	0.9328645088694228	0.9328637495985356	0.9382173686252566	0.906971853068935	0.8555745288913962	0.515031665392357	0.9156541156658085	0.9510930843329767	0.7822411095073623	0.9183047303335552	0.9313247075098724	0.8736892137218472	0.6894202435285444	0.9428823289571491
VincentC_2016__MM083.2__bin.12	0.9205242535380086	0.7540405654436452	0.7544681193353638	0.8948173946315174	0.8330554233037161	0.881087842034055	0.8646248432000453	1.0	0.5901272733728857	0.8758267551630755	0.8792725496632832	0.8505344061312677	0.8652582026938794	0.961778856083186	0.8696214263922496	0.8657393819889662	0.8447515585788689	0.8224209260817295	0.4863411024948132	0.8551454661533122	0.8695149002531265	0.7302359590214959	0.8611667293504152	0.8624602610397676	0.8144213203009111	0.6356291527983402	0.8616232699466573
VincentC_2016__MM064.2__bin.4	0.9406911605840229	0.8033967769598289	0.822236081567195	0.9500506732300565	0.8981367843102315	0.9406020647949127	0.9467931084407123	0.9069305386954148	1.0	0.9635297524250761	0.9666703789912129	0.9017930527558441	0.9462050762325847	0.9377755008853893	0.9263144413137174	0.9478722811863104	0.9154325043712622	0.8685413905625285	0.5385818177768373	0.9163457362096424	0.9548417992894611	0.8117851455045605	0.9298537715361228	0.9481072713300888	0.9054448664120012	0.7201278524573732	0.9632613513603814
VincentC_2016__MM061__bin.28	0.9429524545105175	0.8084313891475493	0.8229893719908096	0.9419268857093842	0.8939311647809635	0.9257320381250894	0.9428415822076923	0.9054004550259238	0.648125771143086	1.0	0.9492991447100801	0.8977030704885648	0.9416549489125899	0.9294395180351029	0.9318150320368515	0.939534141552467	0.9036714464115955	0.857082605109565	0.5150677706951019	0.9210574221140801	0.9553192110986172	0.7897703819625747	0.9201262445977846	0.9264849209922472	0.8770463618527361	0.6873633292854955	0.9433075455344307
VincentC_2016__MM021.1__bin.17	0.9216700342947259	0.7833235734930469	0.7904716901820839	0.9158960258123618	0.8543836660859079	0.8983449823308238	0.9045262950390055	0.879361126652771	0.6290625335192535	0.9183840603448026	1.0	0.8749786201518477	0.916317824850486	0.9039392551405852	0.9025818159680651	0.9094371374485072	0.8863048664882839	0.8357128983536792	0.4884758994755777	0.8809200437163539	0.9127180382141231	0.77089934512438	0.8990762456116956	0.9262402486150207	0.8563049534571576	0.6647516603807496	0.9164236369803248
VincentC_2016__MM096__bin.3	0.8985678672443013	0.7438862507157772	0.7547863079779511	0.8667266280677198	0.8190276709333735	0.8644607233542909	0.8494062664484149	0.8485856532225879	0.585439935449913	0.8663911527049147	0.8728859268085304	1.0	0.8589007976215954	0.8726256441994575	0.8836175233820543	0.844084210100122	0.8385409135341173	0.7982072312292858	0.4726124854675543	0.8454731070224248	0.8756745657618472	0.7297145856590067	0.8510012204362337	0.8509267506897489	0.8120267917565606	0.637108925379868	0.8717869557924448
VincentC_2016__MM001.4__bin.11	0.9339466485330974	0.7870795358773114	0.7991554275287414	0.922689135323241	0.8675003866209184	0.9093161212413602	0.9136403559724238	0.8834987232260388	0.6286618920524798	0.9300996779022281	0.9355404886444442	0.8790213200163083	1.0	0.9095188659909001	0.9133436382915276	0.9160940114084618	0.9016673165844465	0.843837706527715	0.49548374971234665	0.9017479705176576	0.9263644388669084	0.7877099684561728	0.909287263412046	0.913237086306368	0.8736693025950588	0.6777268613854865	0.9289401851192753
VincentC_2016__MM083.3__bin.7	0.9337253165399123	0.7513522562165156	0.7603696822761257	0.906918415365322	0.8383180157513436	0.8941101649749007	0.8789447214971001	0.9494587755902103	0.6023812300184069	0.8875636781941397	0.8922701951355261	0.8634258779024058	0.8793310293171867	1.0	0.8853388313043826	0.8698858031160732	0.8537331285424964	0.8344821221748557	0.4874031458333482	0.8612611233402178	0.8821253225491451	0.7433800074256948	0.8732710042357936	0.8785433905951214	0.8292233281277162	0.6480149143433948	0.8754758203496944
OhJ_2014__MET0251__bin.8	0.9286003934072946	0.755061103456323	0.7833919026666273	0.8983666610726291	0.8498605932224754	0.8821938903026039	0.8849366493251501	0.864334985375073	0.5990760474595267	0.8958990422671553	0.8970046449718846	0.8802628669466567	0.8890493473342731	0.8913750744571203	1.0	0.8747759083768671	0.87815177800362	0.8179680966995418	0.48665750012784653	0.8699242211983292	0.9092879990607778	0.7520028695251959	0.8677079739524325	0.8805898660528112	0.8350786490471289	0.6570845364715644	0.8975542051436816
VincentC_2016__MM011__bin.19	0.9414439409118618	0.8136887215964804	0.8135762248839689	0.9318733591062288	0.8843655413448221	0.9245618329058964	0.9392578561471092	0.9080848650875574	0.6469351486856887	0.9532994221621565	0.9538239000785956	0.8874037126955581	0.941063884450674	0.9242737501083161	0.9231753869354831	1.0	0.9048156194084193	0.8558149398674667	0.5070447265645784	0.9100231530396156	0.950573657222517	0.7965641375682772	0.9170671194912716	0.9300179234627096	0.872516901110829	0.689395056529598	0.9327087232079198
