	VogtmannE_2016__MMRS54316675ST-27-0-0__bin.55	LeChatelierE_2013__MH0257__bin.78	HMP_2012__SRS012273__bin.49	FengQ_2015__SID31749__bin.37	LiJ_2014__MH0391__bin.43	ZellerG_2014__CCMD79987997ST-21-0__bin.13	BackhedF_2015__SID338_M__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.50	CosteaPI_2017__alien2-11-0-0__bin.7	ZeeviD_2015__PNP_Main_327__bin.53	ZeeviD_2015__PNP_Main_430__bin.10	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.36	ZeeviD_2015__PNP_Main_154__bin.54	ZeeviD_2015__PNP_Main_644__bin.16	LiJ_2014__V1.FI07__bin.4	KarlssonFH_2013__S577__bin.48	NielsenHB_2014__V1_CD20_4__bin.55	HMP_2012__SRS022071__bin.33	QinJ_2012__NLM026__bin.21	VogtmannE_2016__MMRS11664448ST-27-0-0__bin.83	ZeeviD_2015__PNP_Validation_83__bin.8	LeChatelierE_2013__MH0140__bin.3	YuJ_2015__SZAXPI015222-123__bin.55	YuJ_2015__SZAXPI017593-158__bin.26	QinN_2014__HD-35__bin.49	ZeeviD_2015__PNP_Main_543__bin.19	LoombaR_2017__SID1022_aav__bin.28	ZeeviD_2015__PNP_Main_645__bin.38	LiJ_2017__H2M514903__bin.45	ZeeviD_2015__PNP_Main_773__bin.23	LiJ_2014__V1.CD20-0__bin.36	QinJ_2012__NLM006__bin.4	ZeeviD_2015__PNP_Main_286__bin.38	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.74	QinN_2014__HD-36__bin.19	LiJ_2017__nHM410714__bin.27	BackhedF_2015__SID172_M__bin.40	BackhedF_2015__SID241_M__bin.31	ZeeviD_2015__PNP_Main_121__bin.3	QinJ_2012__T2D-098__bin.37	ZeeviD_2015__PNP_Main_473__bin.20	QinJ_2012__CON-052__bin.33	LiJ_2017__nHM412716__bin.59	YuJ_2015__SZAXPI017466-84__bin.26	YuJ_2015__SZAXPI003412-1__bin.63	LiJ_2017__nHM611708__bin.16	HMP_2012__SRS052027__bin.35
VogtmannE_2016__MMRS54316675ST-27-0-0__bin.55	1.0	0.9111403661123947	0.7513029746206377	0.7885666135892724	0.7770438080670828	0.7660401004335221	0.7277766993644821	0.8427546924357172	0.7226835074281595	0.7873994947187749	0.9257928405357557	0.8791893315897094	0.822361005094165	0.7406407915586024	0.8842878750506571	0.8975864137438828	0.6314049844100358	0.7893440441666192	0.7868609367406004	0.8186699126096029	0.7281250349673484	0.5588358779832926	0.6315650436465483	0.8349181143757033	0.77450134736795	0.6095761154644953	0.9058243561507748	0.91939144407973	0.7151295871687954	0.8932005960625428	0.7970409960841435	0.8434357955698133	0.8012648085200164	0.7954866214316885	0.6792641556340121	0.8466262772508147	0.7318745077205473	0.8154045095838508	0.7222534394492016	0.5457552922929775	0.7701666124216671	0.7615117375962606	0.7686535904594965	0.8229423752693398	0.9142967926366913	0.9163284259852522	0.8001906115770991	0.706325842658365
LeChatelierE_2013__MH0257__bin.78	0.8087948999651061	1.0	0.6880059181410196	0.7378178020998518	0.7280358543301237	0.7032383079575331	0.6718839070095249	0.7848174462513258	0.6709463497887366	0.7287630981623706	0.8559564897443073	0.8144681791956442	0.7645608552802048	0.6813786711994169	0.831969535220367	0.8304157209042008	0.588066032358032	0.7294985472397555	0.7232090109138397	0.7637688331968672	0.6666506880313976	0.5172020805046831	0.5834343874050351	0.778272683616112	0.72279572567188	0.5672631448027113	0.8470848923299096	0.8508087780576198	0.6590262878780027	0.837546078929276	0.7493871977446804	0.7842033484309844	0.7415218224972275	0.7374926152793756	0.6300229055895857	0.7813600150631027	0.6781760344654845	0.7540620281984045	0.6703033176829079	0.5020189221589987	0.7120580827710581	0.7014875677580507	0.7041702510632271	0.758382305691158	0.8549666780676388	0.8627525919937536	0.7333658088298802	0.6660845261168634
HMP_2012__SRS012273__bin.49	0.8137200505210976	0.8394579889251936	1.0	0.8208872174983837	0.8168968517051924	0.7030626176019762	0.8230628705236163	0.8890021767068654	0.7820131614098484	0.8725122126902379	0.8926152677201907	0.8525224454782616	0.8643681358779358	0.8196963781094213	0.8545284302365713	0.8844954292317347	0.6659753475169682	0.9606590927173848	0.8625750268334053	0.8855608616407975	0.8057640841786449	0.5625193313805675	0.7082575227063037	0.812249943487821	0.7669827660248253	0.6463022592752425	0.8876885649384215	0.8912289409802083	0.7989699766205559	0.8864223759775026	0.8307126962974907	0.8812432784756834	0.8548229785633102	0.8761179268223926	0.7463559524317626	0.816328831855059	0.8032353946973925	0.8495432393255212	0.7550949220184622	0.5984025890745228	0.8438398563405084	0.8359355281662496	0.833434238529345	0.8678726813540371	0.892595771677097	0.8928734585611604	0.8698965813951895	0.7328425599674574
FengQ_2015__SID31749__bin.37	0.8210159913972351	0.8653847614966501	0.7891086686633753	1.0	0.8400455059113617	0.7270825513904274	0.7921062642047685	0.8508187163827866	0.7880206600079321	0.8310628497215904	0.8762055850097936	0.883677793429299	0.8358276995454981	0.7988744074329024	0.8814399804685225	0.85053962291484	0.7221323146168492	0.8437061383847732	0.8444091905327038	0.8337489344049307	0.7867219383167979	0.5467744950105078	0.6717951990858296	0.7659312477808017	0.7348915967540062	0.6152476207408488	0.84697928174207	0.880929406574348	0.7710840932425443	0.848877725150171	0.8724026199329467	0.8818279761063574	0.8409177363139098	0.8351246473975674	0.7276913904983616	0.7910511794611521	0.7804517059398283	0.8110962700247031	0.7718686953874613	0.5665404921061122	0.8178031241246672	0.7938481924012625	0.804463368095919	0.8247895782142982	0.8625573572533151	0.8752599089577859	0.8219996565782736	0.7429584616732743
LiJ_2014__MH0391__bin.43	0.8581135315247747	0.9057303021869685	0.8329262697321976	0.8910228238573297	1.0	0.7538900272820365	0.8323240018524707	0.8806504922908637	0.8432588440969689	0.8700820610133359	0.9060182732695141	0.9081243304403701	0.8856459309578585	0.883454449529307	0.9341169441970066	0.8897747700798045	0.7552869019361758	0.897429105925005	0.8843172882579791	0.8853504382425598	0.8655019239262063	0.5714173657307965	0.7067627000082738	0.803573635172874	0.7713917921794361	0.6431823383466807	0.8887797655184715	0.913111172955647	0.853665560270306	0.8792751080160189	0.9206311939302573	0.9100778059182355	0.8654326174529817	0.8676531108935808	0.8093174762987979	0.8161884878187158	0.8219280308687809	0.8417846040773697	0.7972742677421886	0.6052964114290135	0.9069745951481171	0.8420688143435388	0.8387732646787349	0.8721440629066383	0.8976230565981375	0.9150501424274887	0.8681678054776828	0.7608158392691552
ZellerG_2014__CCMD79987997ST-21-0__bin.13	0.9012781472874429	0.9320876214898172	0.7637327853651277	0.82163291472531	0.8031859237805227	1.0	0.7388836101793871	0.8528808398108823	0.7383541492564651	0.8013720192781015	0.9381692672260826	0.9083660549723536	0.8344275525740387	0.7553919155609996	0.9118822478907421	0.9098640000915824	0.6567439011825581	0.8076173686078326	0.801635891154282	0.8345105491511453	0.7424129680720754	0.5770826416951907	0.644871383924994	0.8534337687314689	0.7899556969995306	0.6365974837727382	0.9211841608187469	0.933796206197841	0.7320710221743958	0.8985518528270351	0.8196072258537199	0.8662484402367406	0.8095446063672684	0.802743466166016	0.6864561033965634	0.8617460190262498	0.7510863965748171	0.8328964088239671	0.75200508282486	0.5557313429418566	0.7848442526301329	0.7673583048092224	0.7946573099950774	0.8461999015488878	0.9254616326857692	0.926621867594702	0.8139823474866347	0.7481992604718785
BackhedF_2015__SID338_M__bin.70	0.8068717516111146	0.8391652409174561	0.8425185383355736	0.843483481086259	0.8356021264339297	0.6962657956112095	1.0	0.9059566471556573	0.8423502531828547	0.8866200358576826	0.9266632721969196	0.8512591181426498	0.8890504618132941	0.8653152433985833	0.8695239903430212	0.8950693529004378	0.7075306527090673	0.915130884856278	0.9079987227588409	0.8788508713071657	0.8703918455055998	0.5466176841805483	0.7140786711513941	0.8219241033961239	0.781378708476178	0.6590494262123543	0.8715018802629564	0.9181562419767896	0.8580795212071655	0.8786421329927356	0.8500735708167655	0.9273137590372363	0.8896416173497678	0.8746081437068904	0.8064909525155394	0.844420915686981	0.8192633641065029	0.8804614465187627	0.7645431813229371	0.6074047624698219	0.8901400003020503	0.861670683216145	0.8643643244106244	0.873864344906893	0.9138698249618662	0.9194938931907081	0.8753125680961555	0.7341946800316721
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.50	0.7809493711688456	0.8192892046256294	0.7606145265248767	0.7572608505326254	0.738968687152387	0.671742338141967	0.7572211780649123	1.0	0.7251933243859897	0.809422030752474	0.8810285808572228	0.8147349856615587	0.8332877250229132	0.7671289260527743	0.8033359135464797	0.8662384143996631	0.6269156053905867	0.8146168699054127	0.8071291424480528	0.8173457045311819	0.7570160533738954	0.5261944230428512	0.6337532453656471	0.7961903611231456	0.7415821109629905	0.6142844326589164	0.8436138372157501	0.8693829082894269	0.7387414721100298	0.8560818118416005	0.7904969111828121	0.8555620123498588	0.8242635910886621	0.7942211640893839	0.7619512181927117	0.8149067494138168	0.7373173206838272	0.8245620362435042	0.6821279590363738	0.5462853721750837	0.77832377512383	0.7716619563124982	0.7801000197009869	0.809585228858294	0.8757291506530404	0.8749582424736144	0.8005399062196962	0.6706576568088098
CosteaPI_2017__alien2-11-0-0__bin.7	0.7751297737647228	0.810701456680505	0.7744268977651987	0.8118029943456835	0.8190076037929214	0.6731063049072955	0.8149155818268723	0.8393795279929368	1.0	0.8230234417233873	0.895725971242092	0.8173023337361695	0.8472593575911651	0.8148493121520842	0.8501021700970355	0.854125313345982	0.6909485016791796	0.8555738536389879	0.8610084887800744	0.8329252791153468	0.823651177304254	0.49809383368503224	0.650244310722329	0.7802153190441304	0.7446060659190195	0.6260250927253639	0.8497118573667876	0.896542601486528	0.8122496623899245	0.8201242739035238	0.8217017008868657	0.9019109669528265	0.8438848222616013	0.8233840113712501	0.8007693543976974	0.8102970551217588	0.7851182313615235	0.8471643884509177	0.7154020116759862	0.578477383777601	0.8659108792890047	0.8175251459498271	0.8170962193933247	0.8388478051692434	0.900157168709025	0.900619491007153	0.8355155363251744	0.6818283333646419
ZeeviD_2015__PNP_Main_327__bin.53	0.7250205838004818	0.7559419765286439	0.7417658078660131	0.7349805450608285	0.7254645129904164	0.6271653306981291	0.7363535450276795	0.8042823264218949	0.7065471268239846	1.0	0.7981371996534575	0.7640155747023972	0.7915199221623249	0.7373300996533679	0.7712918025854507	0.7882081476908963	0.604408472193727	0.7916449032359795	0.7714723308029519	0.8300293235164209	0.7173958423858753	0.48632151582780025	0.6612430554871171	0.7228340869527823	0.6956903479670193	0.5762478621069032	0.8437019841977335	0.8101510613536123	0.7230629949407303	0.8809768054837573	0.7501906073363442	0.7911503544714107	0.7719337304655478	0.8349555488460977	0.6891214502463336	0.7332321539121763	0.7233805991744978	0.75489554001231	0.6634304482564917	0.5288576371499298	0.7441888280358978	0.7449087011017149	0.7489869365660576	0.7713639242802838	0.7979687663785682	0.8011170351443195	0.76912322417125	0.6483019148533958
