	NielsenHB_2014__O2_UC48_0__bin.13	LiJ_2014__V1.FI32__bin.6	LeChatelierE_2013__MH0243__bin.6	LeChatelierE_2013__MH0002__bin.19	ZeeviD_2015__PNP_Main_46__bin.20	RaymondF_2016__P19E90__bin.32	ZeeviD_2015__PNP_Main_78__bin.43	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	CosteaPI_2017__pluto1-11-7-0__bin.19	LiJ_2014__V1.FI06__bin.52	YuJ_2015__SZAXPI015216-169__bin.77	ZellerG_2014__CCIS38765456ST-20-0__bin.95	XieH_2016__YSZC12003_36051__bin.32	NielsenHB_2014__O2_UC55_0__bin.10	YuJ_2015__SZAXPI003420-4__bin.43	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	LeChatelierE_2013__MH0407__bin.49	NielsenHB_2014__MH0002__bin.1	ZellerG_2014__CCIS74239020ST-4-0__bin.66	XieH_2016__YSZC12003_37299R1__bin.50	NielsenHB_2014__V1_UC55_4__bin.92	LiJ_2014__O2.UC11-1__bin.29	LiJ_2014__O2.UC48-1__bin.79	HeQ_2017__SZAXPI029557-42__bin.27	CosteaPI_2017__pluto1-11-30-0__bin.35	NielsenHB_2014__O2_UC55_2__bin.24	LiJ_2014__V1.FI09__bin.41	QinJ_2012__T2D-098__bin.51	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	LeChatelierE_2013__MH0418__bin.11	LiJ_2014__O2.UC1-1__bin.9	RaymondF_2016__P19E7__bin.83	NielsenHB_2014__O2_UC11_2__bin.25	QinN_2014__LD-33__bin.23	ChengpingW_2017__AS115raw__bin.24	ZellerG_2014__CCIS81887263ST-4-0__bin.13	LeChatelierE_2013__MH0130__bin.13	RaymondF_2016__P19E0__bin.109	ZeeviD_2015__PNP_Main_135__bin.3	VatanenT_2016__G80433__bin.6	NielsenHB_2014__MH0130__bin.27
NielsenHB_2014__O2_UC48_0__bin.13	2594776.0	1489370.0	2219424.0	2091776.0	1857940.0	1816588.0	2330720.0	2128981.0	2296312.0	1827453.0	1824598.0	2182120.0	2221405.0	1893681.0	1556922.0	2187733.0	2228754.0	1817715.0	1781787.0	2270747.0	2637529.0	1862764.0	1774595.0	2212756.0	2278171.0	2033100.0	1901882.0	1252576.0	2183894.0	2011722.0	1918584.0	1428232.0	1647994.0	1362630.0	2066537.0	2211144.0	1407025.0	1547305.0	1622027.0	1811402.0	1829735.0
LiJ_2014__V1.FI32__bin.6	1489370.0	2479821.0	1778342.0	1657068.0	1577893.0	1616948.0	1914892.0	1789018.0	1881248.0	1647128.0	1590819.0	1869051.0	1825954.0	1725268.0	1267785.0	1876548.0	1907481.0	1418171.0	1559874.0	1884969.0	1894580.0	1665100.0	1240739.0	1864645.0	1866439.0	1761322.0	1685465.0	1070483.0	1862770.0	1693392.0	1735839.0	1335781.0	1436178.0	1140637.0	1802382.0	1900871.0	1177221.0	1504394.0	1384167.0	1569674.0	1517621.0
LeChatelierE_2013__MH0243__bin.6	2219424.0	1778342.0	3955633.0	2593227.0	2316852.0	2215578.0	2909507.0	2706935.0	2877621.0	2264740.0	2353885.0	2737959.0	2841703.0	2421432.0	1821772.0	2827986.0	2810600.0	2306841.0	2176914.0	2930509.0	2917136.0	2353062.0	1807885.0	2780629.0	2850184.0	2557668.0	2350926.0	1608427.0	2777572.0	2577627.0	2404557.0	1677684.0	2001147.0	1755664.0	2624175.0	2773229.0	1770420.0	1939848.0	2025331.0	2200521.0	2237412.0
LeChatelierE_2013__MH0002__bin.19	2091776.0	1657068.0	2593227.0	3583545.0	2157102.0	2032011.0	2690720.0	2487250.0	2678273.0	2072442.0	2146219.0	2543126.0	2571391.0	2252679.0	1647095.0	2572292.0	2583432.0	2784068.0	2029128.0	2655138.0	2713537.0	2130195.0	1783659.0	2526471.0	2663518.0	2380232.0	2156539.0	1494955.0	2527292.0	2297926.0	2219791.0	1563895.0	1896182.0	1485773.0	2446884.0	2546947.0	1755124.0	1777325.0	1928192.0	2026277.0	2169610.0
ZeeviD_2015__PNP_Main_46__bin.20	1857940.0	1577893.0	2316852.0	2157102.0	2816286.0	1974185.0	2391369.0	2242082.0	2365723.0	2033047.0	1978298.0	2341554.0	2297796.0	2188204.0	1517952.0	2386970.0	2411586.0	1907672.0	1922366.0	2348639.0	2383772.0	2088949.0	1612290.0	2434360.0	2346667.0	2256194.0	2068399.0	1475210.0	2397823.0	2201920.0	2135047.0	1539789.0	1851922.0	1241247.0	2361586.0	2420054.0	1670477.0	1676701.0	1760124.0	2137164.0	2064054.0
RaymondF_2016__P19E90__bin.32	1816588.0	1616948.0	2215578.0	2032011.0	1974185.0	2740709.0	2324593.0	2209279.0	2286329.0	2123874.0	1892348.0	2258924.0	2243742.0	2023626.0	1477974.0	2252968.0	2329548.0	1747606.0	2052590.0	2286661.0	2326930.0	2240094.0	1488106.0	2273156.0	2258013.0	2115746.0	2192239.0	1371994.0	2272129.0	2114322.0	2289413.0	1979897.0	1912201.0	1414365.0	2176831.0	2313688.0	1428332.0	2249641.0	1708846.0	1877033.0	1866119.0
ZeeviD_2015__PNP_Main_78__bin.43	2330720.0	1914892.0	2909507.0	2690720.0	2391369.0	2324593.0	3822067.0	2839314.0	3062825.0	2371916.0	2416509.0	2865418.0	2886239.0	2516147.0	1918872.0	2895232.0	2955229.0	2385574.0	2291713.0	3074899.0	3115592.0	2435289.0	1977504.0	2887468.0	2997287.0	2658884.0	2460336.0	1689793.0	2858349.0	2610631.0	2507741.0	1778074.0	2105699.0	1826350.0	2711443.0	2900443.0	1855085.0	2068702.0	2092759.0	2300846.0	2332437.0
VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	2128981.0	1789018.0	2706935.0	2487250.0	2242082.0	2209279.0	2839314.0	3357383.0	2773702.0	2249762.0	2418921.0	2792956.0	2698594.0	2366179.0	1815170.0	2791052.0	2852257.0	2216604.0	2189331.0	2808973.0	2824084.0	2394679.0	1764032.0	2802590.0	2755150.0	2526191.0	2333282.0	1567013.0	2773395.0	2588773.0	2401751.0	1663965.0	2022314.0	1709955.0	2601897.0	2750929.0	1725603.0	1955185.0	2048105.0	2189573.0	2229481.0
CosteaPI_2017__pluto1-11-7-0__bin.19	2296312.0	1881248.0	2877621.0	2678273.0	2365723.0	2286329.0	3062825.0	2773702.0	3662538.0	2339382.0	2427039.0	2859980.0	2981966.0	2490569.0	1892063.0	2929037.0	2935746.0	2384750.0	2237345.0	3148096.0	3046966.0	2393859.0	1936235.0	2856407.0	3483579.0	2620407.0	2413276.0	1701593.0	2837403.0	2586546.0	2493868.0	1771641.0	2067495.0	1772777.0	2738944.0	2873628.0	1891106.0	2028008.0	2098582.0	2268662.0	2364092.0
LiJ_2014__V1.FI06__bin.52	1827453.0	1647128.0	2264740.0	2072442.0	2033047.0	2123874.0	2371916.0	2249762.0	2339382.0	2771181.0	1915602.0	2324291.0	2279954.0	2066131.0	1502036.0	2285463.0	2355187.0	1794409.0	2131753.0	2323142.0	2339421.0	2275204.0	1486973.0	2318184.0	2327257.0	2160423.0	2250084.0	1407365.0	2289965.0	2128582.0	2294671.0	1640654.0	1944073.0	1398332.0	2232878.0	2317519.0	1513904.0	1858366.0	1709404.0	1957337.0	1933406.0
