	CM_periimplantitis__SP_283SPT_T016__bin.18	HMP_2012__SRS017139__bin.7	HMP_2012__SRS018157__bin.35	CM_periimplantitis__SP_344SPT_T016__bin.20	HMP_2012__SRS017227__bin.18	HMP_2012__SRS063603__bin.16	HMP_2012__SRS045197__bin.7	HMP_2012__SRS023841__bin.5	CM_periimplantitis__SP_381SPT_T016__bin.2	HMP_2012__SRS054430__bin.16	HMP_2012__SRS021477__bin.4	HMP_2012__SRS055401__bin.15	HMP_2012__SRS018394__bin.34	CM_periimplantitis__SP_503SPT_T016__bin.7	HMP_2012__SRS024649__bin.21	HMP_2012__SRS023964__bin.4	CM_periimplantitis__SP_187SPT_T016_R__bin.9	HMP_2012__SRS019906__bin.23	HMP_2012__SRS015215__bin.26	HMP_2012__SRS011255__bin.28	HMP_2012__SRS017445__bin.44	HMP_2012__SRS052604__bin.17	CM_periimplantitis__SP_502SPI_T016__bin.10	HMP_2012__SRS018665__bin.40	HMP_2012__SRS024087__bin.72	HMP_2012__SRS051378__bin.4	HMP_2012__SRS053917__bin.20	HMP_2012__SRS047634__bin.98	HMP_2012__SRS064449__bin.40	HMP_2012__SRS051941__bin.40	HMP_2012__SRS015803__bin.11	HMP_2012__SRS013170__bin.67	HMP_2012__SRS019129__bin.10	HMP_2012__SRS020226__bin.32	HMP_2012__SRS013533__bin.41
CM_periimplantitis__SP_283SPT_T016__bin.18	1.0	0.5644649326262858	0.8808982732972519	0.8308848771390769	0.5966910799968934	0.8708555204809565	0.8975026160422096	0.8875315545012241	0.8379184346301948	0.879932738877857	0.7264697515667531	0.6386856231878996	0.8573201157906009	0.8793932160752059	0.8733196782899977	0.6423331465990073	0.6355822181740141	0.7878384023507385	0.89709820371995	0.9028973845092618	0.6994053760184412	0.90513911554106	0.8785421119606323	0.8576041235350969	0.7844886734678402	0.8433155008945324	0.5740007913613852	0.6773589301823486	0.7750966568428174	0.8868895499396369	0.8742231721826823	0.8098949584948876	0.8787250166245633	0.6605955798652295	0.8822636244443351
HMP_2012__SRS017139__bin.7	0.6321403573781291	1.0	0.858885560770751	0.8223839962121212	0.6026262969367588	0.8634675559947299	0.8888200963438735	0.8822957839262187	0.8189687294137021	0.8706248970685112	0.7371572381422925	0.6433001893939394	0.8642158679183136	0.8760385787220025	0.8614876688076415	0.6627074069499341	0.6265434576745718	0.7780050848155469	0.8838376976284585	0.8821161684782608	0.6742779356060605	0.8890980113636363	0.8709764081027668	0.8536926671607378	0.789353281455863	0.8325562005928854	0.5639425848155468	0.6661664196310935	0.7856920083992095	0.8807085803689063	0.862593152997365	0.8293617218379448	0.8778162055335968	0.6899842514822134	0.8853924777667984
HMP_2012__SRS018157__bin.35	0.5958234616491676	0.5187410206787824	1.0	0.7997621470672162	0.5610354497851179	0.8409882273366751	0.8823277633307368	0.8559329883864855	0.8088271040441837	0.8644937667735741	0.6773685980664658	0.5984649595880034	0.8375301590183003	0.8616256682231341	0.8504622465974162	0.5965579709018705	0.6055703963241589	0.7344048112687334	0.8719778037085413	0.9639332022427555	0.6634517769653174	0.8742618384054777	0.856550933538569	0.8076745182172593	0.7507110410137782	0.7968325026716492	0.5330193459106516	0.6641719876883443	0.7505158349999409	0.8775066721291195	0.8306118465183391	0.7762099819900694	0.8470200309967256	0.622889024137783	0.8627226141193629
CM_periimplantitis__SP_344SPT_T016__bin.20	0.594506675365039	0.5254289286205166	0.8460282876855119	1.0	0.5586558121151578	0.8278396360362517	0.8578772990238663	0.8418371541065284	0.7937683440188715	0.8502874869047627	0.676658614972731	0.5939026339101047	0.8373510694197192	0.8433763582712248	0.8327249076181563	0.591277338876792	0.5895875353727598	0.7360927428874694	0.8477841839127024	0.8656269174288155	0.6546434905901718	0.867466333813629	0.8469782472735929	0.8095756847173238	0.7449416049417628	0.7913242285400873	0.5400124030722265	0.6298833808696751	0.7504960242432054	0.8752702074390812	0.8572620777053133	0.7565811582470237	0.841649726981154	0.6323228928752045	0.8560368961804983
HMP_2012__SRS017227__bin.18	0.6603073505584447	0.5954812816003628	0.9178993202648149	0.864022449670812	1.0	0.904707392463412	0.9370067648043028	0.9159144284294689	0.8737160246832463	0.9228373934703518	0.7538057745451734	0.6810782799028049	0.910706312291683	0.9076758304964416	0.9070182683280834	0.7124744578036305	0.6377274895568142	0.8243734342849762	0.9314426598669415	0.934701991604767	0.7196796711070336	0.930329432035127	0.9260184076722706	0.8971863662392427	0.808292911652734	0.8840376656492168	0.6231650048770465	0.7181804497053939	0.8119779042837658	0.9272755566901992	0.9115352576392654	0.8356348856818254	0.9160151224042059	0.7212836549268341	0.916043601508172
HMP_2012__SRS063603__bin.16	0.6077585488040333	0.5380894040372293	0.8677268616219476	0.80744937427437	0.5705536918132893	1.0	0.8721393337994471	0.8587017876958801	0.8158182541260688	0.8591097441292118	0.6938129814816003	0.6150517322112392	0.8390275114016126	0.8609821102123811	0.8610869858049122	0.6052200463120353	0.6153095914662698	0.7490500259783578	0.8728927061751518	0.888159641819383	0.675757060661069	0.9730806483684951	0.8563400021808992	0.8442584622095074	0.8425265716906458	0.8229847529490246	0.5521324703814648	0.6475862577694532	0.7603807593377763	0.8798946753988158	0.855394197525321	0.7864370521940488	0.8609214940442209	0.6289523986683686	0.8684866484069815
HMP_2012__SRS045197__bin.7	0.5875951588221878	0.5196127515078284	0.8540446749270532	0.7849676891758287	0.5543558384837892	0.8181697011782815	1.0	0.8590906273637389	0.801014786737729	0.8522571844120959	0.6654071091635892	0.5955875671775702	0.8264494438951828	0.8466916231352601	0.829549345389141	0.5847130898703656	0.5937549456110653	0.7248422970622093	0.933676610140526	0.8724542326006256	0.635748185581291	0.8579385820545701	0.8536403007051877	0.8076526617993328	0.7404820116654742	0.783708231963977	0.5293685804840095	0.6199174161931417	0.7385040681129865	0.8557572478964417	0.8254303847512406	0.7833246180258234	0.8389531521632516	0.6107130886668709	0.8462971777447351
HMP_2012__SRS023841__bin.5	0.594252697077178	0.5275030947039407	0.8472962457079541	0.7877702346559455	0.5541733963464185	0.8238435746007502	0.8785851410517286	1.0	0.797254813753132	0.8615308068815508	0.6861897894308975	0.6009655045513611	0.828468630025413	0.8556207916103447	0.8317465699787717	0.5945736293377011	0.6086844946640011	0.7434003496100041	0.8725474298187609	0.8656450784591682	0.64365872623432	0.8641548819704686	0.8589787338529995	0.8256119328953105	0.7434797364970752	0.8046811801076154	0.5300779376148302	0.6229569030744573	0.7475380064721852	0.8646653581164016	0.8311431680968102	0.7992684098344969	0.8460669797628055	0.6154360724783817	0.8443318531884143
CM_periimplantitis__SP_381SPT_T016__bin.2	0.5968863053282828	0.520931522221993	0.8518315552530707	0.7902559302896945	0.5624236626914796	0.8327187064912124	0.8715411894919926	0.8482027198097096	1.0	0.855560891596848	0.6815349073673053	0.5960056948327807	0.8287425373170973	0.8420846047351965	0.8464847109322391	0.5973708047830572	0.6004778212190465	0.7407577636945571	0.8642193551639621	0.8720070291704681	0.6611283141154006	0.8647401920778447	0.8489576223385676	0.8101086228135734	0.7489739578269414	0.7967315273943522	0.5474545937259284	0.6264830020895675	0.7551644204551742	0.8727046429124441	0.8359435741459306	0.7698490096732936	0.8374599264935759	0.6202611124696739	0.8504117754318837
HMP_2012__SRS054430__bin.16	0.5833363545160386	0.5153758904745613	0.8473046531189726	0.7878063441180924	0.5528383529141516	0.8160809583536819	0.8629740806896461	0.8530078336474856	0.796215488826854	1.0	0.6685139040921234	0.5920638658728928	0.8250107620113339	0.8453843995467921	0.8272100814683496	0.585719077534922	0.600694800935541	0.7243008805503569	0.8665516687743859	0.8651307481555299	0.6481594599526745	0.8508502522103633	0.8438017060187138	0.8126630105786078	0.7358153948706105	0.7856950705570562	0.5310139383660448	0.6287689508128098	0.7427649275114178	0.8666927250022012	0.8225293300986877	0.7685093647016387	0.8376707869505624	0.6143909646021986	0.8448247444917238
