	HMP_2012__SRS017227__bin.25	HMP_2012__SRS015899__bin.13	HMP_2012__SRS058808__bin.54	HMP_2012__SRS013836__bin.41	HMP_2012__SRS064493__bin.7	HMP_2012__SRS018337__bin.9	HMP_2012__SRS019333__bin.20	HMP_2012__SRS021477__bin.38	HMP_2012__SRS024355__bin.63	HMP_2012__SRS017814__bin.20	HMP_2012__SRS051930__bin.22	CM_periimplantitis__SP_201SPT_T016__bin.1	HMP_2012__SRS015060__bin.20	HMP_2012__SRS020226__bin.6	HMP_2012__SRS023595__bin.37	CM_periimplantitis__SP_288SPT_T016__bin.1	HMP_2012__SRS022536__bin.57	BritoIL_2016__W2.45.SA__bin.3	HMP_2012__SRS019225__bin.19	HMP_2012__SRS015378__bin.10	CM_periimplantitis__SP_344SPT_T016__bin.16	HMP_2012__SRS050628__bin.29	HMP_2012__SRS020222__bin.2	HMP_2012__SRS016746__bin.20	HMP_2012__SRS043755__bin.6	HMP_2012__SRS015921__bin.3	HMP_2012__SRS045049__bin.7	HMP_2012__SRS015755__bin.4	HMP_2012__SRS051941__bin.9	HMP_2012__SRS015063__bin.12	HMP_2012__SRS075406__bin.3	HMP_2012__SRS064809__bin.7	HMP_2012__SRS057022__bin.11	HMP_2012__SRS063603__bin.9	HMP_2012__SRS023938__bin.2	BritoIL_2016__W1.18.SA__bin.7	HMP_2012__SRS017304__bin.21	HMP_2012__SRS022602__bin.49	BritoIL_2016__W2.43.SA__bin.7	HMP_2012__SRS024561__bin.12	HMP_2012__SRS024381__bin.8	HMP_2012__SRS019073__bin.17	BritoIL_2016__W3.20.SA__bin.4	HMP_2012__SRS013945__bin.4	HMP_2012__SRS042984__bin.28	HMP_2012__SRS053584__bin.16
HMP_2012__SRS017227__bin.25	1.0	0.7724754066140951	0.6889331774804005	0.5392068970669536	0.683069728096399	0.7533713540930359	0.7397566349558818	0.6819111753219064	0.5428497869665112	0.4821952965975557	0.742504749721568	0.4854956778395749	0.7681578436206613	0.7888784680438273	0.7600945231946173	0.7473883714862692	0.7736356834254544	0.7368688732039846	0.6719370473684876	0.7521438398438712	0.7905938847262977	0.5826325123469773	0.7076016233531138	0.7512410192046213	0.7387158913672877	0.6430341439754681	0.7821863316058484	0.6329818596840875	0.6691567505812878	0.7676400578816645	0.6939926510055158	0.7763958664492082	0.48854722309381865	0.483559009759198	0.7435604349630078	0.7327921006929479	0.7663901311532313	0.6506388705949421	0.6932834971743036	0.7151908336407866	0.48799265790166324	0.6284528148349925	0.5632152597951154	0.7858625528848309	0.7323323575284667	0.7516111124520287
HMP_2012__SRS015899__bin.13	0.5348708211041008	1.0	0.6299241893690034	0.5300126855076431	0.6919339589607115	0.7691918042389013	0.7225817156790965	0.5944592822262826	0.45549965301873696	0.4656894422196614	0.7266647142338717	0.48879075438183217	0.7603246821460632	0.804614532466623	0.750406270492586	0.7525259599284391	0.7189014063882752	0.7118742399837015	0.6336426984318994	0.7446524298238354	0.7763339678739917	0.5514153015553674	0.7052935334152506	0.7573339583240487	0.7057499411086847	0.7541442773558118	0.7840992652910505	0.5512095798661736	0.6684478636777467	0.7627722529588907	0.6811727648358366	0.7547312009371676	0.4518086000420197	0.43036897796509815	0.7332366666878888	0.7119430791562943	0.7483383099147509	0.5757334356238341	0.6391573926108908	0.6509424202102261	0.4568266971840401	0.590585188675041	0.5674345351406069	0.776752971623936	0.6967367844705193	0.7366599233457907
HMP_2012__SRS058808__bin.54	0.5879432818897142	0.7763943627157679	1.0	0.5443527108439644	0.6962250048553307	0.9118394543196751	0.7724448699261793	0.6792965753733701	0.49020253104959494	0.47654482892560845	0.761558629835468	0.49605982552197253	0.769254083872651	0.789703363812386	0.7914095957029833	0.7581996237363879	0.7738901890930634	0.7118601507800897	0.6955531055480246	0.7688896888468638	0.7880942385370054	0.7083648030697461	0.7074471945996951	0.7921790920629564	0.7171794353691718	0.6542979976419767	0.7954615899197448	0.5977559544010876	0.6927115109593153	0.7758632189567807	0.7008424734526207	0.7674169051827469	0.47654188630090494	0.45130299421872333	0.7500779795546436	0.7389278841155157	0.7610314095760855	0.6259046118776104	0.656914481440866	0.8522101073273318	0.4925752674355418	0.6111355784905905	0.5704797851491616	0.7827180632036552	0.7287110911448575	0.765565994244226
HMP_2012__SRS013836__bin.41	0.562734953950825	0.7988596261848157	0.6656876668817787	1.0	0.7486745418472929	0.7862695729985582	0.77704894239235	0.6227356256762235	0.46599809997672953	0.4719242773554171	0.745946856924889	0.5285051470958672	0.7847180072786245	0.8939123686237066	0.7758386371651268	0.788540244747947	0.7408201527215674	0.732168689439757	0.6988481108922673	0.7619123302393981	0.828828774796863	0.619715860156368	0.8252146522501602	0.7653579216816165	0.7238476910638931	0.7221887692311384	0.8148298975378866	0.5659886238505699	0.6989716603852345	0.8069485194452508	0.7548820042366681	0.8017468458894004	0.5216589458229476	0.4591381043429446	0.7609401276758062	0.7398743393700655	0.7882751531174056	0.6246776317841266	0.6687848007734438	0.6875421327761212	0.5272060781552501	0.617319239894731	0.6120971746749929	0.8636811271552188	0.705009991915305	0.7639778858402685
HMP_2012__SRS064493__bin.7	0.5532445214823614	0.8093800283648066	0.660759426504012	0.5810275097664023	1.0	0.8036721579455203	0.7778752646691525	0.6282651062144247	0.46361191880422836	0.4924836055234573	0.766148600121856	0.5245543620781061	0.8011065718938931	0.8632740918165159	0.7807131416932402	0.8091417155820719	0.7546932956377124	0.7527169751777688	0.6879196364612972	0.7845666407718728	0.8123938472480227	0.5971457389720992	0.7583140673894556	0.7995361278920443	0.741543736213815	0.7041458511466708	0.8298660840415614	0.5689941106022657	0.6886555202689211	0.8043293799166558	0.746331402782581	0.8102341376544903	0.494184376828364	0.4414818772903278	0.7542399428049321	0.7438542531151716	0.8115453234141844	0.6208276063016975	0.6727234729247354	0.6847140502607244	0.5602896431219533	0.6069412321608686	0.6101887092802815	0.8468644879975536	0.729872926224972	0.7721874087999787
HMP_2012__SRS018337__bin.9	0.512247787098844	0.7553381001931465	0.7264923333373711	0.5122641984966377	0.6746799875117078	1.0	0.7510160413598483	0.5875018609352856	0.4416240719256861	0.4471054787888545	0.7269741250868924	0.47845437455576884	0.7360617412414909	0.7830835219015965	0.7585320708018961	0.7491599904188696	0.7044186125569856	0.6902966047553197	0.6578274357151873	0.7135359255266397	0.7637891885618808	0.6482681872477969	0.6749605442644704	0.7533023053715677	0.6853849078441402	0.6467032432438768	0.7705444324919105	0.5393824703608202	0.661223032068262	0.7486109900879064	0.6697503162124682	0.7382296087405541	0.43626575054597205	0.4090443213242279	0.7043334295874838	0.7072597381131659	0.7339642083044017	0.5837487305588432	0.6204653256470682	0.7497621324188798	0.4504666893560753	0.5758704781226299	0.5643199800562442	0.7722027651642293	0.6662355418516042	0.7280654830401879
HMP_2012__SRS019333__bin.20	0.5377473174293776	0.7585987218573422	0.6579585643829481	0.5412392753571121	0.6981476205475343	0.8029113713590104	1.0	0.5967680486058486	0.44773801835251775	0.4644095169743661	0.7407278679046498	0.49666511542802905	0.7694593418125095	0.8029226505627487	0.802598477892343	0.7536367077090432	0.7293538353052444	0.7336570604055668	0.7954971747683376	0.7301258341388913	0.7801808515882372	0.6012270938170747	0.7051511705724739	0.7452433091345676	0.7133849893014664	0.6519839283879177	0.7901479079583555	0.5373918136374763	0.718607678380607	0.7770936917502232	0.6867121789499981	0.7845751458150394	0.45481634532075965	0.44257005429892227	0.7298722609289219	0.7155823452890109	0.7757468712742075	0.664526820693245	0.6567383216377738	0.685735065707628	0.47273106284354577	0.5946655214793636	0.5834732093846317	0.7915047543932499	0.7002046131107793	0.7575280329987726
HMP_2012__SRS021477__bin.38	0.6436146496988027	0.8103189230881049	0.7512754645424654	0.5631879725022537	0.7321312923007829	0.8155232957374589	0.7748440315419154	1.0	0.5828555652344652	0.5002945257267951	0.789740632942838	0.5142261892493227	0.819542514219138	0.8380097654533798	0.8054644014401928	0.8024871422976912	0.8901999412033356	0.759182097175048	0.6987761181400728	0.8061684426803034	0.8426180353886492	0.61451626725796	0.7469134463198387	0.8158178214642539	0.7575429503124792	0.6997898724372735	0.8351024765111664	0.64963045970964	0.7237381226941022	0.8317726543439562	0.7366028762633962	0.8123095481660757	0.5078410016695215	0.4950060803561646	0.8063767260672083	0.7825174301735369	0.7976651649289829	0.6482516670807023	0.7190566281306241	0.756874707779493	0.5234877487060937	0.651470296293966	0.6065662422531055	0.8211908819608146	0.7698267884979839	0.804274908035291
HMP_2012__SRS024355__bin.63	0.5743633210671348	0.6960346047860063	0.6077489863969239	0.4724357119056711	0.6056330063698295	0.6872089007362151	0.651690838292915	0.653386054475541	1.0	0.42590543271791553	0.649926913563432	0.4253527241418728	0.6821986491778079	0.7066899019109488	0.6736033923780941	0.6650598189985821	0.7462617686188001	0.6496575517381439	0.5850599649282391	0.6874083379341712	0.6954393333933265	0.5184272674428503	0.6219357812222581	0.6751648397084326	0.6419281442368729	0.576503622703736	0.6905707552102968	0.5585536668474573	0.5915015432061232	0.6878655841928996	0.61339646412441	0.6949000017025128	0.4261249352437147	0.46002074633290935	0.6626379947319394	0.6482943255252859	0.6739141009395438	0.5655959888801602	0.6150187154785156	0.613852494302663	0.44418069010134814	0.5651509034261852	0.5074174828593457	0.6919151321757868	0.6693544071972506	0.6677899196657238
HMP_2012__SRS017814__bin.20	0.5418861641812347	0.7558180161364175	0.62752426178118	0.508169925143194	0.6833210304936054	0.7389653860734438	0.7179543316006026	0.595679604345841	0.4523673440655428	1.0	0.7492881467144314	0.5233576354781607	0.7463419233633186	0.7765965760002274	0.7357156280938736	0.7323896635480098	0.7060473785264104	0.7074268465399958	0.638919080897145	0.7405728279675515	0.7344117208282233	0.5527481831515032	0.6975839289393144	0.7339157323289567	0.7162584125913914	0.6483977569436775	0.7785844049074445	0.5344205039578979	0.6835567541944287	0.7542531982539655	0.6699209453747458	0.7563585661024151	0.4831431721176965	0.4862715162458838	0.6923850911540322	0.7120470310761335	0.7875438429938072	0.580672723151232	0.6437698225872388	0.629178202597094	0.49044996102486205	0.5936039441418784	0.5614060240644837	0.7609471055389903	0.6907731285314156	0.7691741856069045
HMP_2012__SRS051930__bin.22	0.5583863577528738	0.7892332805069946	0.6710897020620423	0.5375204581413571	0.711371550099379	0.8040508740547766	0.7663106543104607	0.6292481300815819	0.4619479651199224	0.5014173218818163	1.0	0.5228225774038397	0.791760646985074	0.8205042545587027	0.7743067785542064	0.7762023034127659	0.7465684128458329	0.7413109892470238	0.6704855197199844	0.79558583862281	0.7837606331554352	0.5962644417082889	0.7278409211230876	0.7960551819872413	0.7724605217836259	0.6767023745057525	0.8427963356643478	0.5515385257000066	0.7047825915965065	0.7998220298365812	0.7108321941888722	0.8104743090690881	0.48303168154145154	0.4602784684193717	0.7367039908447792	0.7538808343248177	0.8043672270407469	0.6097440177088524	0.6592904271672881	0.6693437101722611	0.5037281680785144	0.6208241513895978	0.5965691259365798	0.835956714959477	0.7411108916616355	0.7938471937286046
CM_periimplantitis__SP_201SPT_T016__bin.1	0.5704280985865089	0.8294195733463695	0.6829537060419415	0.5949991019666256	0.7609462165786414	0.8267707124983288	0.8027675633046008	0.640135069621219	0.47234327291976985	0.547178487171627	0.8168349522691886	1.0	0.8494788030362982	0.8557636862311903	0.814337339147368	0.8132495709020982	0.7810338052172363	0.7652621784804194	0.7130256702502474	0.802041034048294	0.8525233387395392	0.6100826865917541	0.7668475787534756	0.8035791694069063	0.7741371789868293	0.7084673068586792	0.8513558953527786	0.5850511879023427	0.7466884175301516	0.8591708113495212	0.7404568761672746	0.8328685616746364	0.5316999029043615	0.4848745521649357	0.7911316165816122	0.7750919302585931	0.8922589523124022	0.6280190464100948	0.6941460377822222	0.7055159505581986	0.5397389896381803	0.6401917875185514	0.6194917806313782	0.8528609452712803	0.7608928747466263	0.8617906380358322
HMP_2012__SRS015060__bin.20	0.560938864528031	0.801862504044406	0.658228283690479	0.5490731753171842	0.7222761476356119	0.7905117290921521	0.7729677148340209	0.6340717967570054	0.47083516406964393	0.48497327439726284	0.7688177660946376	0.5279612710618606	1.0	0.8249937786439416	0.781496742863066	0.7852471819250407	0.7605631911422998	0.7465358692126176	0.6748356324024171	0.7651214622725637	0.8130617842555419	0.5882956254109977	0.7228829659061295	0.7670950904373246	0.7301379273589012	0.6731607971896677	0.8114658438110202	0.5702010263873624	0.6868662452511015	0.9397185219316964	0.6920002803282189	0.7980424025806983	0.4670096071166438	0.4413457265263935	0.7656552609171685	0.7405776355993338	0.8030732030142838	0.6087990327837137	0.663034989410056	0.6923729322121883	0.48504041888086086	0.6042382437353148	0.5858188332722738	0.8103197714066056	0.7188689847460323	0.7752753868046821
