	ZeeviD_2015__PNP_Main_415__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	BritoIL_2016__WL.15.ST__bin.16	ZeeviD_2015__PNP_Main_487__bin.14	BritoIL_2016__WL.39.ST__bin.32	ZeeviD_2015__PNP_Main_607__bin.26	LiuW_2016__SRR3993015__bin.15	ZeeviD_2015__PNP_Validation_27__bin.17	ZellerG_2014__CCIS22958137ST-20-0__bin.2	ZeeviD_2015__PNP_Main_16__bin.15	ZeeviD_2015__PNP_Main_727__bin.17	ZeeviD_2015__PNP_Main_602__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES23__bin.47	ZeeviD_2015__PNP_Main_769__bin.12	ZeeviD_2015__PNP_Main_539__bin.51	BritoIL_2016__W2.46.ST__bin.25	ZeeviD_2015__PNP_Main_741__bin.63	ZeeviD_2015__PNP_Main_547__bin.27	LiJ_2014__MH0401__bin.50	ZeeviD_2015__PNP_Main_38__bin.17	LiSS_2016__FAT_017-22-84-0__bin.29	ZeeviD_2015__PNP_Main_29__bin.19	ZeeviD_2015__PNP_Main_561__bin.28	ZeeviD_2015__PNP_Main_482__bin.15	NielsenHB_2014__V1_UC23_1__bin.16	LiuW_2016__SRR3992960__bin.11	ZeeviD_2015__PNP_Main_122__bin.30	ZeeviD_2015__PNP_Main_668__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.108	ZeeviD_2015__PNP_Main_650__bin.28	RaymondF_2016__P9E0__bin.30	ZeeviD_2015__PNP_Validation_74__bin.28
ZeeviD_2015__PNP_Main_415__bin.46	1.0	0.9604028320237477	0.961319935657361	0.9611463223518515	0.9623215455892214	0.9988445001612093	0.9598345662562914	0.9637817242229729	0.963875937057219	0.9973506564415655	0.9598349744938033	0.9629023747756534	0.958618565379429	0.9988441521387351	0.9605239630717425	0.9611567549921105	0.963973327892968	0.9604487125289659	0.9597716984472805	0.9609192330817022	0.9628548403373881	0.962013179410179	0.961985160595587	0.9605319976485438	0.9613846950289784	0.9615992592347631	0.9613377853211819	0.9988861295536071	0.9990354756585074	0.9610319304681849	0.9595328657532415	0.9593705508051651
Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	0.9604028320237477	1.0	0.9859065052942871	0.9821167411519023	0.9856851177964122	0.9591122320879267	0.9854525117511461	0.9828622718626526	0.9809921536228143	0.9595471823315999	0.9840314310803633	0.986454511798178	0.9999541787440858	0.9592447919543455	0.9820893535231474	0.9868861285996211	0.9839972687991411	0.9968374592681696	0.9852861970759399	0.9810242754058263	0.9811708753638887	0.9823057240345205	0.9816964133782883	0.9814597862487427	0.9817442065423012	0.98664626768233	0.9866860731854444	0.9622117267944862	0.9570313199943312	0.9820947583695542	0.98244427396213	0.982616176942559
BritoIL_2016__WL.15.ST__bin.16	0.961319935657361	0.9859065052942871	1.0	0.9878547654925672	0.9985106536618578	0.9610302478682443	0.9973829763245109	0.9884643882614177	0.9858002816624636	0.9618495224360275	0.9876511839755789	0.9960585734954117	0.9862034642277285	0.9611956362546449	0.9883562671700169	0.9984602174163537	0.9881515294802313	0.9862255983560998	0.9955028422267111	0.9855419178709109	0.9863433067497694	0.9880164882524421	0.9879984059091552	0.9870545022605393	0.987404286167369	0.9958291092069752	0.9975366375761567	0.9641157400556908	0.9593649070576034	0.9878110099275413	0.9878563648622949	0.9881098130177759
ZeeviD_2015__PNP_Main_487__bin.14	0.9611463223518515	0.9821167411519023	0.9878547654925672	1.0	0.9883510643205787	0.9590697444510752	0.9862235228351216	0.997659444357846	0.9951097080406388	0.9594207041552166	0.9964253077460624	0.9895045833041775	0.9822719817206398	0.9594173399686833	0.9971303464791456	0.9880579746584309	0.9968549841713907	0.9823998102818536	0.9873118968409769	0.9947928403136074	0.9964278536718593	0.9981115627919871	0.9975573291701535	0.9970970465892546	0.9954394445635683	0.9882270101947597	0.9890161690859344	0.9623303966254924	0.9571922876543709	0.9992930659151189	0.9966757081861827	0.997007269559756
BritoIL_2016__WL.39.ST__bin.32	0.9623215455892214	0.9856851177964122	0.9985106536618578	0.9883510643205787	1.0	0.9614867654165435	0.9967896402437261	0.9885740245264929	0.9871971176121418	0.9622941202838416	0.9883594632505369	0.9957928515790799	0.985599524805296	0.9611381982876465	0.988389395798781	0.998765060717848	0.9887910275266523	0.9854041543492321	0.9958810247697398	0.9862240432070025	0.9869388999911717	0.9883552153395828	0.9884306506786293	0.9873629069123533	0.9877691594250844	0.9956706343824655	0.9974417368490351	0.9634014746867454	0.9600287508917604	0.988050350670159	0.9881186171341612	0.9883101698857761
ZeeviD_2015__PNP_Main_607__bin.26	0.9988445001612093	0.9591122320879267	0.9610302478682443	0.9590697444510752	0.9614867654165435	1.0	0.9583231792020639	0.9632854445349583	0.9629098416906202	0.9977164763654851	0.9580652933517789	0.9626223837017585	0.9573378697336988	0.9991310452563161	0.9590046685727295	0.9597648348860451	0.9632518743203801	0.9590798438430402	0.958718165998438	0.9593828270260296	0.9623716530440471	0.9612855726522337	0.9604528850812202	0.9592007337582232	0.9605622254758419	0.9606022804262875	0.9594145031923089	0.9992098413748082	0.9991834570913433	0.9598084364359237	0.9577029602508064	0.9576765109640477
LiuW_2016__SRR3993015__bin.15	0.9598345662562914	0.9854525117511461	0.9973829763245109	0.9862235228351216	0.9967896402437261	0.9583231792020639	1.0	0.9870899069507466	0.9860636083345719	0.9586813832276048	0.9859617810842525	0.9947916894717254	0.9858178422884305	0.9585110584518167	0.9866484398543841	0.9976637669291805	0.9872616379796989	0.9857909834220194	0.9937673315782153	0.9843696114495919	0.9858095325880375	0.9862869813494843	0.9862033676044586	0.9854491547659588	0.985857721688301	0.9946172104498049	0.9964040706859947	0.962139182644574	0.9565331004236401	0.9862929428982563	0.9855731426701781	0.9861543901522686
ZeeviD_2015__PNP_Validation_27__bin.17	0.9637817242229729	0.9828622718626526	0.9884643882614177	0.997659444357846	0.9885740245264929	0.9632854445349583	0.9870899069507466	1.0	0.9951925552843267	0.9637041724980104	0.9965331579071365	0.9898773089926478	0.9832038629034017	0.9630439972775637	0.9979664805069561	0.9891108359853427	0.9969175468672233	0.9828171447739189	0.9881015387429642	0.9959489844637143	0.9959651253003083	0.9978497452768048	0.997245296362051	0.9966188855997609	0.9953901503088474	0.9883258814760212	0.9902924924355404	0.9649824256566871	0.9616738943699762	0.9971920075184898	0.9979078750370722	0.9982519814137434
ZellerG_2014__CCIS22958137ST-20-0__bin.2	0.963875937057219	0.9809921536228143	0.9858002816624636	0.9951097080406388	0.9871971176121418	0.9629098416906202	0.9860636083345719	0.9951925552843267	1.0	0.9629760048292167	0.9934821824149895	0.98721505246653	0.9810951033802309	0.9622706591219948	0.995338781398625	0.9868867551784698	0.9940249687662912	0.9806050821558899	0.9858767459682607	0.9922340355036556	0.9938229834973897	0.9950526926023313	0.9952144142088504	0.9936843077491456	0.9935782777374992	0.9866064898680198	0.9875594362936778	0.9642944637646285	0.9604113856068743	0.9947940520179305	0.9947575896780583	0.9946238612609357
ZeeviD_2015__PNP_Main_16__bin.15	0.9973506564415655	0.9595471823315999	0.9618495224360275	0.9594207041552166	0.9622941202838416	0.9977164763654851	0.9586813832276048	0.9637041724980104	0.9629760048292167	1.0	0.9583828223538912	0.963237769258038	0.9579476880284374	0.9977018871291289	0.9597239125308255	0.960281668810401	0.9642577396953221	0.9594425316486149	0.959600958057601	0.959949263922348	0.9627459313684041	0.9615734225923314	0.9607465089756706	0.959201605902091	0.961143703010047	0.9616286933083774	0.9597999853028613	0.9972412391759667	0.9977778522527756	0.9601678964011444	0.9582375573395138	0.9579425172993361
