assembly	ncontigs	nbps	ulen	maxlen	n50num	n50len	nonATGC
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87.fa	119	3678762	30913	192490	22	49345	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/ChengpingW_2017__AS115raw__bin.24.fa	353	3330793	9435	68411	77	13491	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/CosteaPI_2017__pluto1-11-30-0__bin.35.fa	210	3620089	17238	96725	38	28806	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/CosteaPI_2017__pluto1-11-7-0__bin.19.fa	83	3662538	44126	171452	17	76972	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/HeQ_2017__SZAXPI029557-42__bin.27.fa	100	3642934	36429	142631	25	51409	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LeChatelierE_2013__MH0002__bin.19.fa	593	3583545	6043	43091	122	8352	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LeChatelierE_2013__MH0130__bin.13.fa	130	2249993	17307	97738	26	26677	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LeChatelierE_2013__MH0243__bin.6.fa	139	3955633	28457	185277	21	56653	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LeChatelierE_2013__MH0407__bin.49.fa	145	4053327	27953	232629	23	45672	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LeChatelierE_2013__MH0418__bin.11.fa	92	3183700	34605	234558	18	60571	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LiJ_2014__O2.UC11-1__bin.29.fa	131	2988046	22809	113196	30	31581	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LiJ_2014__O2.UC1-1__bin.9.fa	172	3100561	18026	107893	35	30984	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LiJ_2014__O2.UC48-1__bin.79.fa	52	2230908	42902	169973	12	60547	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LiJ_2014__V1.FI06__bin.52.fa	194	2771181	14284	58654	46	19406	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LiJ_2014__V1.FI09__bin.41.fa	335	2890153	8627	42715	78	12178	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/LiJ_2014__V1.FI32__bin.6.fa	226	2479821	10972	52349	51	15885	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/NielsenHB_2014__MH0002__bin.1.fa	1033	3991539	3864	26950	256	4263	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/NielsenHB_2014__MH0130__bin.27.fa	200	2758091	13790	78432	44	20097	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/NielsenHB_2014__O2_UC11_2__bin.25.fa	340	2491203	7327	55271	68	10267	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/NielsenHB_2014__O2_UC48_0__bin.13.fa	121	2594776	21444	171048	20	34218	0
