	HMP_2012__SRS018145__bin.49	Castro-NallarE_2015__ES_110__bin.14	HMP_2012__SRS022530__bin.25	HMP_2012__SRS023958__bin.38	HMP_2012__SRS042643__bin.12	HMP_2012__SRS022719__bin.30	HMP_2012__SRS024081__bin.42	HMP_2012__SRS013164__bin.44	HMP_2012__SRS017808__bin.8	HMP_2012__SRS063288__bin.51	HMP_2012__SRS058336__bin.67	HMP_2012__SRS015797__bin.32	HMP_2012__SRS050669__bin.37	HMP_2012__SRS055378__bin.74	HMP_2012__SRS019127__bin.11	HMP_2012__SRS044373__bin.50	HMP_2012__SRS021496__bin.26	HMP_2012__SRS018439__bin.28	Castro-NallarE_2015__ES_104__bin.19	HMP_2012__SRS053917__bin.2	HMP_2012__SRS016002__bin.63	HMP_2012__SRS057692__bin.47	HMP_2012__SRS023617__bin.25	HMP_2012__SRS014888__bin.28	HMP_2012__SRS019122__bin.50	HMP_2012__SRS016225__bin.17	HMP_2012__SRS042910__bin.25	HMP_2012__SRS024580__bin.29	HMP_2012__SRS014271__bin.14
HMP_2012__SRS018145__bin.49	1.0	0.6572054480312429	0.831624430350117	0.9067414962710262	0.6935275229511924	0.8912700910431831	0.8091128301561364	0.816775734062963	0.7566742414654716	0.7919547348839084	0.9169971541305426	0.8390554983743489	0.8777922504096327	0.865232793465588	0.914873671843588	0.7440263060928038	0.8530182903951626	0.9177766602865133	0.8497535483769808	0.8845614101893551	0.7937523029590995	0.6160461790198606	0.7805029382678164	0.8375300854656821	0.8117414234723191	0.6833704233412815	0.8842231761963908	0.7628789312701807	0.7622125431052345
Castro-NallarE_2015__ES_110__bin.14	0.8220861732009891	1.0	0.7871013386196317	0.8466478470709378	0.7462955050119432	0.8499401088547832	0.7732738391274806	0.7708459711822022	0.8267878032208127	0.7652575319244321	0.8530726609180507	0.806724619813812	0.8382883040648926	0.808026113940277	0.8372109639322214	0.7980036284927745	0.8261741816628023	0.8480894374435237	0.8013253104883055	0.842516408772827	0.7578044116307904	0.5877107572902585	0.8744149230521369	0.7938147507337541	0.7382315650852136	0.7600501544561113	0.8391709104154554	0.8207692684874509	0.817215026723359
HMP_2012__SRS022530__bin.25	0.8784163461731836	0.6646417708985214	1.0	0.8938331572640129	0.7453777367146529	0.8851464135684973	0.8889059766168901	0.892561435968537	0.8297537829272303	0.8420001632535244	0.909544534496771	0.9087590247849608	0.8980990428374882	0.8395501773903332	0.8839575020317966	0.7987296983003889	0.9533769228130239	0.9043239707042733	0.862541715415983	0.8743764129415091	0.8675020199666158	0.5993226161732191	0.7755394168536787	0.8690919673350992	0.863072880868698	0.7004912984688476	0.890519583916452	0.8371380474168679	0.8340575243904315
HMP_2012__SRS023958__bin.38	0.8957977651665614	0.6686719459692115	0.8360067317192993	1.0	0.692125636630998	0.9099051650787082	0.819269269878433	0.8236796303529285	0.7526048899014253	0.8016820446546232	0.9250570658157231	0.8508067773055641	0.8871596105693746	0.8874008194463039	0.9198423069305507	0.7301293123002143	0.8650746143147511	0.9275388617375226	0.8885626053214218	0.8965977377262855	0.7879508420734669	0.5859406205706914	0.7792584708021081	0.853945812093859	0.8107804877509043	0.6819417535885353	0.9032641757239862	0.7645569003995437	0.7636197264602819
HMP_2012__SRS042643__bin.12	0.7695707180548962	0.6620327448343744	0.7830474519229574	0.7773977624943142	1.0	0.7761711361269428	0.7869100200585102	0.8038963718206515	0.8647840168223044	0.6689724425399493	0.7893297176646624	0.8081442025437273	0.7850334184225113	0.7431578607238463	0.7841634706442336	0.8549038956261511	0.7451177287900518	0.7746102012562046	0.7745791316926947	0.7654384661080773	0.7591661426266955	0.5444642737303113	0.7967478866482901	0.7810540287281612	0.7570061865714861	0.7391001757294512	0.7737924503446236	0.8881843692754329	0.9139944770743905
HMP_2012__SRS022719__bin.30	0.8219478463132258	0.6266240573779381	0.7728173670723432	0.8493849781599853	0.6450710975369173	1.0	0.7627406972072256	0.7659880373113593	0.7015607683305842	0.7473302918784478	0.86352185602426	0.7928415981788454	0.8132108075279624	0.8166058478976468	0.8358130796331662	0.6980954928695889	0.7952894976848242	0.849691740249975	0.7969668769243641	0.9558376206003655	0.7227975876311873	0.5458795240952843	0.7235329903519707	0.7852159264266761	0.7366091117636547	0.649333747858088	0.8314419780680599	0.7161056294458554	0.7230341146298662
HMP_2012__SRS024081__bin.42	0.8825282770398621	0.6742743987578748	0.9179144316434094	0.9045232269358426	0.7734990477609862	0.9021142271471798	1.0	0.9001303449682811	0.8361403718801803	0.780070046677425	0.9071728823829064	0.9130952104637569	0.8993008769883105	0.8609401207187419	0.9040174835725027	0.8036921708728471	0.8741969491703487	0.902764119585095	0.8650703581860183	0.8958889416892561	0.8577529602478386	0.6020349451561635	0.7890280565406421	0.8851058579496383	0.8774415249506168	0.6967689840055608	0.8947833915834043	0.8568648553561765	0.8472801634992554
HMP_2012__SRS013164__bin.44	0.8691098166147861	0.6557272722939121	0.8991595837484567	0.8871635117291219	0.7708805064425557	0.883809950566554	0.878127726109154	1.0	0.8169603912726371	0.7618923904908546	0.9266625988549746	0.9616831206471634	0.9009448128250476	0.854133198587071	0.8893491660191537	0.7935593511204756	0.8588155517525754	0.902991033335399	0.8570517740267045	0.875167439709787	0.8521012789771996	0.598541546499378	0.7607411680022119	0.8717852767462592	0.8632714739938124	0.6984071180348655	0.9256210166033455	0.8293795315978396	0.8444729403128084
HMP_2012__SRS017808__bin.8	0.7673664746397223	0.6703038962691042	0.7966543696730696	0.7725639231649918	0.7903449670161921	0.7714792283787959	0.7774160866483726	0.7786154978465117	1.0	0.6759511239936759	0.8113471568502735	0.7852168026605121	0.7715382902938558	0.7636342159303614	0.7727377014919948	0.8305150198993222	0.7606197866501899	0.7856370509022843	0.7429636814654624	0.7608889726861359	0.7815140749086812	0.539282988351173	0.8043574063641485	0.7859028295200537	0.7512028186163157	0.7272475330292402	0.7696778399694695	0.8635113217147946	0.86723903719992
HMP_2012__SRS063288__bin.51	0.8830008154254011	0.682106469832382	0.8887912098889997	0.9047663050739939	0.6721777602399573	0.9035213140711456	0.797397381897556	0.7983301885967815	0.7431597297233173	1.0	0.9158026445756728	0.8339054631004397	0.8758855107772265	0.8592261075986908	0.8873127050270414	0.7083561748182151	0.9188133499998127	0.9155404097606296	0.8600065683577482	0.8900861503804278	0.7672528655397229	0.6557855868253228	0.7790834019098187	0.8196461328481573	0.767385231684459	0.6914757451527144	0.8846503972857448	0.7513339635293809	0.7499878248121588
HMP_2012__SRS058336__bin.67	0.8342115988099604	0.6204089742022252	0.7833557484615071	0.8518247952072381	0.6471155805518197	0.8518176631210009	0.7566216326364266	0.7922423279129478	0.727815136324734	0.7472215429759139	1.0	0.8429738761869829	0.846265843420141	0.8566521987203	0.839844928067816	0.6842951461058809	0.8069283123446224	0.8647715694665199	0.8039307983861108	0.8370399804377063	0.7743754330195215	0.548466601459021	0.7501090190324815	0.8101866568855198	0.7429219138443982	0.6742012063414435	0.8542711007865672	0.7194889350776379	0.7186035375147736
