	ZeeviD_2015__PNP_Main_533__bin.10	QinN_2014__HV-30__bin.15	WenC_2017__N263__bin.18	ChengpingW_2017__AS131raw__bin.34	CosteaPI_2017__SID713A029-11-90-0__bin.38	QinN_2014__HV-25__bin.3	WenC_2017__RA074__bin.44	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	HeQ_2017__SZAXPI029592-129__bin.39	QinJ_2012__DOM010__bin.24	ChengpingW_2017__AS101raw__bin.19	QinJ_2012__T2D-035__bin.12	ZeeviD_2015__PNP_Main_705__bin.23	QinN_2014__LD-68__bin.49	QinN_2014__LD-84__bin.26	QinN_2014__HD-65__bin.28	QinJ_2012__DOM022__bin.5	WenC_2017__N023__bin.5	ZellerG_2014__CCIS11558985ST-4-0__bin.5	WenC_2017__N024__bin.4	QinN_2014__HD-19__bin.31	LiJ_2017__H2M514107__bin.40	NielsenHB_2014__V1_UC4_5__bin.52	LiJ_2014__O2.UC8-0__bin.38	ChengpingW_2017__AS40raw__bin.68	LiJ_2014__V1.FI25__bin.79	ChengpingW_2017__AS92raw__bin.7	ChengpingW_2017__AS61raw__bin.47	HeQ_2017__SZAXPI029552-169__bin.39	NielsenHB_2014__V1_UC32_0__bin.67	GeversD_2014__SKBSTL033__bin.78	ZeeviD_2015__PNP_Validation_59__bin.24	QinN_2014__LD-40__bin.7
ZeeviD_2015__PNP_Main_533__bin.10	1.0	0.4802710187360729	0.8966447253668725	0.8783442449093044	0.815710803905968	0.8306543307872472	0.8855133322078196	0.7147727410519326	0.881963766541088	0.6555792680367465	0.8815193129764585	0.41868738358161484	0.4068354439825278	0.9027033783134643	0.868404435021635	0.8907138586497753	0.9017953498870911	0.7229524588588969	0.757820377333148	0.5471862311736839	0.3618327716646628	0.8556141527446524	0.7868758878577898	0.7800948229787623	0.8614097712626492	0.8806770431572339	0.6311417839517285	0.9065724095539328	0.811571276267299	0.9030004579783846	0.888195443907908	0.7362263700409383	0.4380316070377566
QinN_2014__HV-30__bin.15	0.865706974413811	1.0	0.9001175236308245	0.8909997747043414	0.8362167815002001	0.8543186151378507	0.9013591717190059	0.7262951978398517	0.8751559415845346	0.6552741041134952	0.8974333108037675	0.4374560757531432	0.4285745510059283	0.9107282766227172	0.8958453126733852	0.8794231086093205	0.8836970008776442	0.7539082071509514	0.7622517124151358	0.5701182297813959	0.424273757763453	0.8813355997404057	0.8004099035936338	0.7949935605793125	0.8469502701866591	0.880018292662423	0.6996464203209959	0.9235524753940152	0.8299757554970459	0.8916891121669743	0.8924507459976394	0.7496561719241258	0.5155916364871362
WenC_2017__N263__bin.18	0.8396316189646009	0.4676092222780737	1.0	0.8665496551450059	0.8004963745789485	0.8168353347427705	0.8843712756075522	0.6834496242689874	0.8767020569018383	0.6280461681638114	0.8728903752855595	0.40935486589894415	0.3779447402243774	0.8974470729578047	0.8691380874249881	0.8538153718900708	0.8568103893653733	0.7169027204523708	0.7233408288835328	0.5370156297288456	0.34098872261063506	0.845285380445392	0.7688997699802123	0.7601103675731057	0.8393691509706294	0.8685393459612027	0.603289453284846	0.9051691346373465	0.8002906800279326	0.869767835923003	0.8693503327578835	0.7010214415825291	0.42441555015868176
ChengpingW_2017__AS131raw__bin.34	0.8322228050182122	0.468347181243612	0.8767987443422268	1.0	0.7931867662791197	0.8059916828580355	0.8758893469262765	0.6788386579627288	0.8636575539860816	0.6179346603701132	0.8754196241599231	0.39256406324775067	0.37148089050245314	0.8796961781888675	0.8730343339503508	0.8354578382942921	0.8654887215719407	0.7160585531743405	0.7129498987422653	0.5228138117052439	0.3224361775790674	0.8397312991347468	0.7778794602120955	0.7573839932798271	0.8466852287434983	0.8375395541478111	0.6062092665740773	0.9062905290545404	0.7933060749780052	0.8580946754295223	0.8710471812878005	0.6910731022073435	0.4026792314929009
CosteaPI_2017__SID713A029-11-90-0__bin.38	0.7827809424241231	0.4451827956219276	0.8203421219401291	0.8033497015764355	1.0	0.7551078406450389	0.8062363722292437	0.6607432483234933	0.808687133236186	0.5873748214292108	0.806176848632837	0.38013693112448577	0.3610240385820316	0.8217071367449454	0.7990635550893123	0.7931514745740259	0.7945446847666138	0.6597716263099667	0.6989023490785926	0.5029909488329795	0.3353044743842664	0.7937399973505287	0.7199114933351474	0.7252941271245001	0.7788528326071156	0.8107234667974694	0.5853604176139721	0.8368986326579568	0.7405093429669066	0.8171403790176189	0.807867229261621	0.6597300045470658	0.4156792313668766
QinN_2014__HV-25__bin.3	0.8387859390916254	0.4785927789098619	0.880839815410901	0.858986850922969	0.7945765767377988	1.0	0.870732059946718	0.6878265664948839	0.8573588161356755	0.6235985455531857	0.8726308844368446	0.39921419182930923	0.3877157546390986	0.8772795194919137	0.8742890592954099	0.8598458429542167	0.8648048265556633	0.7175559792956548	0.7281285511714833	0.5377059355690045	0.3490535782151332	0.8410817648330358	0.7853692559028623	0.7637494060286736	0.8241736557881417	0.8553681586158925	0.6296557580016002	0.8947876043305631	0.7985663686724099	0.8779143447430771	0.8618525123868629	0.6934971383415143	0.4351081910824006
WenC_2017__RA074__bin.44	0.8174679509258239	0.46162463490576433	0.8718502011462581	0.853394859748705	0.7755931920257908	0.7960298585087623	1.0	0.6720881151493442	0.84254320855836	0.6186065455196738	0.8544656019232889	0.39196611856607516	0.3684416503637165	0.8659686535600132	0.8622849904937727	0.8213578405709248	0.8505886283478452	0.690893051498953	0.7125976454866086	0.5202597163286675	0.33542473203460815	0.830016343133473	0.7456847411275213	0.7408498257191668	0.8262913486443293	0.838790659787281	0.5992716197784635	0.8977090336713325	0.7909361911716081	0.8483674949024579	0.8622996287060509	0.6766892496969029	0.40668354940482754
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	0.8589412283607192	0.48419924082826277	0.8770686533136283	0.860968339075039	0.8274164902682433	0.8185469701784385	0.8748750919821803	1.0	0.8766029278495421	0.6534666283325852	0.8847573267694625	0.4270579208916821	0.4028558890732736	0.8885537458954791	0.842352210626723	0.8886759217693309	0.8783974560517129	0.7209172381751408	0.7573906595984	0.5544940825964951	0.38233706754364283	0.846865432241989	0.7983223795376708	0.7781112394518226	0.828094061972311	0.8720700908416853	0.6337946313230919	0.8942965724062987	0.8198572784035087	0.8939782426065382	0.8814972485208593	0.7361836180087238	0.4850354169924223
HeQ_2017__SZAXPI029592-129__bin.39	0.8330365091538287	0.45857904105600394	0.8842945136055306	0.8609541337263776	0.7959573471803318	0.801945956708454	0.8620448139170087	0.6890024108613422	1.0	0.624669018647724	0.8833932487953402	0.40047521235446404	0.3754045450000286	0.8962290040759547	0.8547377852408417	0.8503455509190391	0.8683585130980735	0.7156390588610497	0.717133678362993	0.5312193989541628	0.32856212141702085	0.8319185179083433	0.7757066405067875	0.756857607648505	0.8306551613708916	0.8645120593724712	0.587607476709617	0.895858983332768	0.8035141398581499	0.8740057344405177	0.8608338769848419	0.6959640868438685	0.4168781437997518
QinJ_2012__DOM010__bin.24	0.8806968653339757	0.4883595771994444	0.9009992362724835	0.8761307897468797	0.8222663848998728	0.8296129549237871	0.9002023032117279	0.7305150806424834	0.8884600709596214	1.0	0.8920719570407971	0.4248235877149511	0.41601597374631843	0.8971229588771263	0.8709757856400431	0.8779677455127093	0.8868969043035012	0.7380771734438347	0.7446644015891045	0.5729190617992769	0.386491859316254	0.8732901494186837	0.7957100942974803	0.8057444338423388	0.8446312586968766	0.8672786928794156	0.6583882530061982	0.9098406823050161	0.8268305809278631	0.889180568616751	0.877001025612752	0.7428894712737584	0.4704956209405439
