	BritoIL_2016__WL.37.ST__bin.67	ZeeviD_2015__PNP_Main_172__bin.30	ZeeviD_2015__PNP_Main_309__bin.11	ZeeviD_2015__PNP_Main_666__bin.1	CM_madagascar__A43_02_1FE__bin.3	QinJ_2012__T2D-024__bin.67	BritoIL_2016__W1.3.ST__bin.39	ZeeviD_2015__PNP_Main_82__bin.22	ZeeviD_2015__PNP_Main_680__bin.1	LiuW_2016__SRR3992974__bin.25	ZeeviD_2015__PNP_Main_480__bin.32	ZeeviD_2015__PNP_Main_72__bin.48	ZeeviD_2015__PNP_Main_626__bin.26	LiJ_2017__H3M517925__bin.71	ZeeviD_2015__PNP_Main_670__bin.20	ZeeviD_2015__PNP_Validation_94__bin.6	ZeeviD_2015__PNP_Main_609__bin.36	ZeeviD_2015__PNP_Main_85__bin.7	ZeeviD_2015__PNP_Main_610__bin.35	LiJ_2014__MH0329__bin.66	LeChatelierE_2013__MH0157__bin.21	BritoIL_2016__W2.39.ST__bin.67	NielsenHB_2014__MH0157__bin.34	CosteaPI_2017__SID713A062-11-0-0__bin.40	ZeeviD_2015__PNP_Main_632__bin.19	ZeeviD_2015__PNP_Main_630__bin.15	CosteaPI_2017__SID713B040-11-90-0__bin.65	ZeeviD_2015__PNP_Main_287__bin.58	ZeeviD_2015__PNP_Main_372__bin.36	LiJ_2014__MH0262__bin.24	LiJ_2014__MH0374__bin.32	ZeeviD_2015__PNP_Main_16__bin.42	CosteaPI_2017__SID713B032-11-90-0__bin.23	ZeeviD_2015__PNP_Main_751__bin.17	CosteaPI_2017__SID713B049-11-0-0__bin.41	ZeeviD_2015__PNP_Validation_73__bin.3	BritoIL_2016__M1.15.ST__bin.85	LiJ_2014__MH0389__bin.39	ZeeviD_2015__PNP_Main_225__bin.2	BritoIL_2016__W2.46.ST__bin.69	CosteaPI_2017__SID713A013-11-0-0__bin.81	BritoIL_2016__M2.57.ST__bin.84	ZeeviD_2015__PNP_Main_73__bin.31
BritoIL_2016__WL.37.ST__bin.67	1609108.0	804584.0	854710.0	1321721.0	1235746.0	1395774.0	680921.0	1469429.0	645487.0	1217817.0	1380956.0	1300953.0	1421633.0	1400623.0	1335030.0	1377187.0	1214162.0	1333052.0	1352710.0	1352655.0	1406539.0	1447605.0	1390705.0	1419596.0	1498351.0	1424741.0	1230947.0	1471215.0	1407169.0	1123071.0	1339031.0	1144014.0	1388054.0	915264.0	1075869.0	1416656.0	1314922.0	1399638.0	1086574.0	1386247.0	1393539.0	1454472.0	1434829.0
ZeeviD_2015__PNP_Main_172__bin.30	804584.0	1165970.0	956586.0	927338.0	917232.0	1029087.0	897304.0	1063397.0	380375.0	898116.0	1046438.0	993671.0	1070066.0	1035391.0	1027809.0	1020289.0	833074.0	1019528.0	1018864.0	944810.0	1057763.0	1042979.0	1046250.0	1098099.0	1083365.0	1069731.0	964005.0	1061477.0	1009700.0	798618.0	1018027.0	804572.0	1013651.0	1092430.0	496243.0	1105796.0	985944.0	1035671.0	815720.0	946613.0	1064785.0	1026201.0	1074033.0
ZeeviD_2015__PNP_Main_309__bin.11	854710.0	956586.0	1253615.0	934891.0	948557.0	1102198.0	914136.0	1139854.0	409502.0	949157.0	1055317.0	1012640.0	1111032.0	1095831.0	1038655.0	1080104.0	896267.0	1041246.0	1040957.0	980150.0	1102858.0	1122912.0	1088281.0	1111746.0	1142154.0	1114363.0	948891.0	1210767.0	1079417.0	854513.0	1066133.0	891749.0	1078427.0	1004815.0	534341.0	1120322.0	1005762.0	1099150.0	826955.0	1011739.0	1109536.0	1100614.0	1126240.0
ZeeviD_2015__PNP_Main_666__bin.1	1321721.0	927338.0	934891.0	1617693.0	1330890.0	1512602.0	839161.0	1528029.0	678059.0	1299460.0	1495317.0	1412401.0	1501591.0	1463898.0	1435787.0	1457934.0	1313632.0	1449843.0	1515282.0	1403144.0	1480613.0	1495616.0	1479786.0	1497456.0	1514466.0	1525005.0	1349852.0	1498638.0	1478874.0	1217234.0	1489373.0	1208284.0	1479083.0	1021631.0	1024174.0	1502221.0	1440045.0	1517147.0	1197510.0	1434828.0	1509865.0	1484768.0	1501441.0
CM_madagascar__A43_02_1FE__bin.3	1235746.0	917232.0	948557.0	1330890.0	1610225.0	1451782.0	791638.0	1481159.0	681906.0	1278554.0	1466648.0	1418248.0	1466300.0	1457187.0	1409966.0	1420130.0	1281359.0	1463193.0	1435731.0	1345019.0	1444581.0	1473671.0	1440703.0	1502069.0	1483134.0	1465007.0	1306723.0	1486242.0	1419007.0	1205875.0	1437763.0	1210839.0	1447108.0	1052367.0	1015377.0	1529621.0	1386733.0	1473591.0	1177878.0	1388123.0	1486714.0	1461222.0	1465001.0
QinJ_2012__T2D-024__bin.67	1395774.0	1029087.0	1102198.0	1512602.0	1451782.0	1815442.0	912153.0	1699611.0	727238.0	1401767.0	1606825.0	1541853.0	1671757.0	1641017.0	1595194.0	1568022.0	1401027.0	1571792.0	1574373.0	1549069.0	1640851.0	1651334.0	1634822.0	1667001.0	1676568.0	1671870.0	1468094.0	1692186.0	1623446.0	1323990.0	1591244.0	1337795.0	1624611.0	1168511.0	1117814.0	1676600.0	1545233.0	1651675.0	1277288.0	1543690.0	1658605.0	1632664.0	1686412.0
BritoIL_2016__W1.3.ST__bin.39	680921.0	897304.0	914136.0	839161.0	791638.0	912153.0	1025673.0	927215.0	320931.0	803523.0	864871.0	832419.0	928118.0	895016.0	884647.0	909155.0	725226.0	858122.0	908243.0	776853.0	899079.0	909924.0	899825.0	907368.0	959714.0	919951.0	799068.0	914791.0	894172.0	735153.0	913368.0	697270.0	883287.0	937810.0	368029.0	924226.0	847831.0	939510.0	706265.0	825909.0	938605.0	904822.0	953926.0
ZeeviD_2015__PNP_Main_82__bin.22	1469429.0	1063397.0	1139854.0	1528029.0	1481159.0	1699611.0	927215.0	1912589.0	736484.0	1440227.0	1640247.0	1572256.0	1710172.0	1682262.0	1638457.0	1619655.0	1448442.0	1610367.0	1623600.0	1571239.0	1691477.0	1698898.0	1674592.0	1709461.0	1759172.0	1710896.0	1484945.0	1757328.0	1723462.0	1351751.0	1627735.0	1366166.0	1669078.0	1195413.0	1116519.0	1703897.0	1579895.0	1688078.0	1314087.0	1588005.0	1702678.0	1682623.0	1728186.0
ZeeviD_2015__PNP_Main_680__bin.1	645487.0	380375.0	409502.0	678059.0	681906.0	727238.0	320931.0	736484.0	804897.0	621122.0	742555.0	727468.0	728711.0	726517.0	697685.0	698860.0	669884.0	744575.0	710521.0	680149.0	725614.0	733866.0	720033.0	750680.0	730803.0	724969.0	653283.0	739942.0	708046.0	614765.0	709815.0	628900.0	729801.0	449522.0	572955.0	754997.0	694393.0	724405.0	587949.0	705534.0	729872.0	729375.0	728519.0
LiuW_2016__SRR3992974__bin.25	1217817.0	898116.0	949157.0	1299460.0	1278554.0	1401767.0	803523.0	1440227.0	621122.0	1488566.0	1378088.0	1327844.0	1432243.0	1414585.0	1366462.0	1388495.0	1224189.0	1358295.0	1368953.0	1310519.0	1402873.0	1435752.0	1402332.0	1421066.0	1464945.0	1432008.0	1233104.0	1424374.0	1392523.0	1146093.0	1370324.0	1146865.0	1409676.0	1010177.0	938844.0	1428596.0	1324714.0	1429307.0	1126298.0	1348844.0	1425929.0	1427819.0	1437787.0
