	CosteaPI_2017__mickey2-11-30-0__bin.23	XieH_2016__YSZC12003_35390__bin.65	XieH_2016__YSZC12003_36012__bin.90	XieH_2016__YSZC12003_37223__bin.19	LiJ_2014__MH0281__bin.37	VincentC_2016__MM029.2__bin.22	ZeeviD_2015__PNP_Main_223__bin.35	RaymondF_2016__P23C0__bin.66	CosteaPI_2017__SID713A052-11-0-0__bin.79	ZellerG_2014__CCIS78318719ST-4-0__bin.27	RaymondF_2016__P21E90__bin.74	XieH_2016__YSZC12003_36454__bin.8	XieH_2016__YSZC12003_35706__bin.14	SchirmerM_2016__G88898__bin.12	NielsenHB_2014__V1_UC35_4__bin.76	XieH_2016__YSZC12003_37255__bin.62	LiJ_2014__V1.FI17__bin.48	ZeeviD_2015__PNP_Main_135__bin.63	ZellerG_2014__CCIS24254057ST-4-0__bin.8	LiJ_2014__MH0268__bin.17	FengQ_2015__SID31275__bin.62	FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.4	HMP_2012__SRS065504__bin.42	HMP_2012__SRS014979__bin.46	VincentC_2016__MM029.3__bin.27	FengQ_2015__SID530373__bin.31	XieH_2016__YSZC12003_37209__bin.34	ZellerG_2014__CCIS90166425ST-4-0__bin.14	LiJ_2014__V1.CD6-0-PT__bin.57	LouisS_2016__AS43_3__bin.45	LiJ_2014__V1.FI04__bin.26	XieH_2016__YSZC12003_37254__bin.23	ZeeviD_2015__PNP_Main_716__bin.5	LiJ_2014__MH0354__bin.37	NielsenHB_2014__O2_UC24_2__bin.37
CosteaPI_2017__mickey2-11-30-0__bin.23	1.0	0.8323877319126451	0.8640005642434851	0.8024547708968822	0.8148934561783883	0.8183038560275077	0.5642286775971956	0.7863134325799176	0.8733339620024098	0.8117172485492552	0.6415795232610156	0.7916016565689944	0.8338388664005474	0.5971207995423705	0.8287454778690301	0.7145765757902136	0.8493119190980832	0.8292859514282998	0.859167475883267	0.5140519228700977	0.820946214502928	0.8023429353442431	0.6033968393012733	0.8466586498370396	0.851342104565852	0.9177720331625535	0.5863822484635276	0.7411451181248412	0.9254010103387488	0.8044833976809904	0.7981976161492097	0.8409554263233614	0.8009919462815264	0.8120897739441088	0.6228305071800763
XieH_2016__YSZC12003_35390__bin.65	0.8882617285203234	1.0	0.9032481538295847	0.8087076786301642	0.849348585333845	0.8355456052640443	0.582673380341253	0.825213953675978	0.9004928804084092	0.8430616884345464	0.6904246971631828	0.8004472641249346	0.8886700711855202	0.608108304783306	0.8622629419051472	0.7466778496558819	0.8789309738723068	0.8769158735102458	0.915902202347513	0.5300894902494674	0.8536174710781536	0.81510560148833	0.6171192880366826	0.858589937056182	0.8734050414101877	0.9172058217521892	0.607991873066142	0.7481602749119173	0.9032169667624872	0.8461970282467504	0.8294583055941698	0.8823569771498597	0.8266772508641936	0.8701911101888979	0.6585303073838916
XieH_2016__YSZC12003_36012__bin.90	0.9004422092349402	0.882132090972702	1.0	0.8134940215049571	0.8638032918170783	0.8640688853882519	0.5814761073404134	0.8235951054434905	0.9014067118825508	0.850769713723431	0.6774138658525046	0.7963120667606397	0.8853979984641057	0.6088870695323158	0.8518085338382048	0.735363215452835	0.9064217195437476	0.8728952014064276	0.9036589778546131	0.5323136814395983	0.8409533103558344	0.824324472498273	0.6284951037784543	0.8618397674797322	0.907297284894589	0.8999682830918828	0.6062778360540431	0.7487488877761574	0.9066491391153947	0.8526747587423535	0.8549643865011864	0.87704114141883	0.8263269830479014	0.8644392544049344	0.6496361896013213
XieH_2016__YSZC12003_37223__bin.19	0.9171134259362349	0.8661214110437645	0.8921030715720374	1.0	0.8486971315071056	0.8443438450541767	0.5954890600018705	0.8114833239067796	0.8876491362456189	0.8401442040054689	0.6792258053023251	0.8150127147138856	0.8551600361623386	0.6203310724449215	0.8495116748239758	0.7401789412272928	0.8614893361182491	0.8536538658519749	0.8894385485185465	0.550188159951546	0.8448359556966817	0.8272558040108131	0.6343983112366005	0.8725348819602482	0.8774844907211536	0.9153738927510544	0.6200032955825833	0.7728929425544327	0.9251412869695337	0.8421300151864008	0.8404457052769403	0.8610822871343128	0.8307228459582352	0.8391176745656734	0.6485069674850696
LiJ_2014__MH0281__bin.37	0.9119227808993051	0.8906927610363616	0.9275349236770212	0.831012356015463	1.0	0.8748054587118957	0.6191796233671941	0.8742499067902486	0.9340811916893967	0.8702171405646658	0.7256262496102633	0.8154756531768718	0.9413426128819147	0.6391925746168589	0.8898681545341366	0.7803027627152274	0.9215176073765434	0.9203236504209156	0.94447576873516	0.5673855264334133	0.9020009026628554	0.8750867232248175	0.6663230442849886	0.8926297795889178	0.9121089823675494	0.926052725104275	0.6491672172037947	0.7762508094531041	0.9245683461864674	0.8605037033160868	0.8645185907121661	0.9053778210939664	0.8555874612716209	0.8977483576550825	0.6821405755674893
VincentC_2016__MM029.2__bin.22	0.931632811955851	0.891425509062847	0.9439233430031503	0.841098836649597	0.8899885674637205	1.0	0.6191927307347124	0.8472197021152188	0.9295898616427982	0.8857389646301195	0.7148436200281	0.8278731179237059	0.8922063109197358	0.6447941588922906	0.8937452891251603	0.7798684437598626	0.9300902846510769	0.888364410873908	0.9397176602739994	0.5770973069877774	0.8828677432563785	0.8646227107754649	0.6661721588239704	0.9016580061248582	0.9663966837215678	0.9340262358296663	0.6421993236303914	0.7876591604694216	0.9320232128842953	0.8847642932212646	0.8895240790863553	0.9142994543703388	0.8767624051004107	0.883743927158285	0.6757635998159792
ZeeviD_2015__PNP_Main_223__bin.35	0.9488610747051114	0.9182424639580603	0.9382909567496723	0.8762313237221494	0.9304796854521625	0.9146251638269987	1.0	0.8919921363040629	0.9483256880733945	0.8943938401048492	0.7515753604193971	0.8643322411533421	0.924613368283093	0.6909711664482306	0.9172627785058978	0.8029285714285714	0.9316153342070773	0.910978374836173	0.9564213630406291	0.6205583224115334	0.9226546526867628	0.8852516382699869	0.7238643512450852	0.9389882044560943	0.942526867627785	0.9484357798165137	0.6976598951507208	0.8107254259501966	0.9526854521625164	0.8950347313237221	0.8963931847968545	0.9235065530799476	0.8989960681520315	0.9174423328964614	0.7117260812581914
RaymondF_2016__P23C0__bin.66	0.8652147310550401	0.850901900016422	0.8695611906649522	0.781277508389992	0.8596201167717086	0.8188306278548162	0.5836355817125403	1.0	0.8818862356967091	0.8241997081779214	0.6780502717769975	0.7846416518347359	0.8828303911727895	0.60531471206045	0.8193773118838817	0.7321484082061774	0.8424692452716119	0.8632458110068291	0.8869817596193879	0.5242408273923429	0.8376344145957346	0.8206323269059013	0.6092774209205473	0.8442829499327471	0.8567143303678048	0.8847585779011878	0.6105191440171543	0.7345576768801536	0.8806912487249399	0.8184297262335014	0.8139340540415385	0.8524030300444679	0.8031007060585025	0.8531778206644848	0.6382602498967732
CosteaPI_2017__SID713A052-11-0-0__bin.79	0.864440185430392	0.8352559966150738	0.8561178799778298	0.7687647217869139	0.8261939135355006	0.808194329322926	0.5581676194164242	0.7933027368300876	1.0	0.8098960492866237	0.6550399182927568	0.7555231651065638	0.8607362831612649	0.5905951815714373	0.847637050748051	0.7107280484103073	0.8422160004103876	0.8560422822641207	0.8766850865381686	0.5141612645800412	0.8276622834135144	0.8064671529862447	0.5961080291328904	0.8239375532028553	0.8416467033418432	0.8738779428627851	0.5858946237297367	0.7223878386420799	0.8655471519525617	0.8065504647523731	0.7906980870307108	0.845441631429518	0.80183293599535	0.8264388346998134	0.6299017499713616
ZellerG_2014__CCIS78318719ST-4-0__bin.27	0.8798486873338999	0.8563420889460319	0.8848576670884815	0.796809610618243	0.8428952654814179	0.8432935678600814	0.5764803923721926	0.8119091988842465	0.8869066223789338	1.0	0.6763829075482314	0.7956953776649935	0.8436897583491444	0.6051640769268458	0.8622545350717282	0.7416360724259867	0.8620040649651032	0.8451558321098452	0.894177013517783	0.540120833875385	0.847140163578521	0.8274877637116544	0.6194125736838282	0.8574440729395982	0.8722534875744864	0.899234144355257	0.6018691067720696	0.7566904662545384	0.895805280399806	0.8272284236687071	0.8280347431181966	0.8659997600893414	0.8395825554539972	0.8442346258660859	0.6311382071239949
