	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	BritoIL_2016__M1.20.ST__bin.74	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	LiuW_2016__SRR3992961__bin.130	LeChatelierE_2013__MH0447__bin.124	LiSS_2016__FAT_012-22-42-0__bin.38	BritoIL_2016__M1.48.ST__bin.92	LiuW_2016__SRR3993056__bin.8	XieH_2016__YSZC12003_36049__bin.58	LiJ_2014__MH0355__bin.49	ZellerG_2014__CCMD64776337ST-21-0__bin.27	BritoIL_2016__M1.15.ST__bin.19	XieH_2016__YSZC12003_36699__bin.72	BritoIL_2016__W2.39.ST__bin.57	ZellerG_2014__CCIS20795251ST-4-0__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	XieH_2016__YSZC12003_37181R1__bin.110	XieH_2016__YSZC12003_37287__bin.85	KarlssonFH_2013__S552__bin.8	BritoIL_2016__M2.50.ST__bin.13	Obregon-TitoAJ_2015__SM39__bin.24	XieH_2016__YSZC12003_37286__bin.28	BritoIL_2016__M2.44.ST__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	LiuW_2016__SRR3993022__bin.75	YuJ_2015__SZAXPI017591-140__bin.53	ZeeviD_2015__PNP_Main_545__bin.5	LiJ_2014__V1.FI16__bin.39	BritoIL_2016__W1.33.ST__bin.55
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	1.0	0.8374861707666276	0.9638040153585838	0.822599407783418	0.8285764837953924	0.8568531986203306	0.5682269295847975	0.8397720616946506	0.8696137169725368	0.7668767489912794	0.7238393612521151	0.4632416943251334	0.7999225156188988	0.7436527886242353	0.8645538445268774	0.8684565355329948	0.8728086766237146	0.8904633199921905	0.6003087172979306	0.736591744761161	0.552576508199922	0.8220086147989067	0.822095047507484	0.6338141025641025	0.3808286151243004	0.6459136649095405	0.8178191705713914	0.8828338539632956	0.8600318885851881
BritoIL_2016__M1.20.ST__bin.74	0.39188726872173335	1.0	0.6815688737578124	0.6179089137742758	0.7059313344134448	0.7280507795121418	0.5362577231536398	0.7144546983657962	0.6990662032179707	0.6365415497933752	0.6347867255731846	0.45194479536170645	0.7014467307596229	0.676202099793732	0.7570586709871124	0.8092356665167835	0.7888900784389297	0.78415947583667	0.5011621903898631	0.633380201604941	0.4318318832718336	0.7443223966102582	0.7449514306718341	0.5131428625808002	0.323383936792069	0.5696388763986134	0.7206555848184866	0.7618121129501555	0.7417510652420615
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	0.5010604532353867	0.7572296901531156	1.0	0.7363103205465722	0.7466753786653303	0.7745003816785823	0.4827409385698366	0.7463333481352729	0.8066232335471156	0.6715090154384229	0.6294524762587463	0.40459727094527304	0.693922852291446	0.6541759443108746	0.7801901414853958	0.7823591542594696	0.7940077519871603	0.8116648798611155	0.5208252715627253	0.6391863373869502	0.47146080340698354	0.7551108982451243	0.7285350731955907	0.5286200786194443	0.33871753881808625	0.5678547337659728	0.7345541761557672	0.8006982286307571	0.7637441294450753
LiuW_2016__SRR3992961__bin.130	0.4738559296717303	0.7606745337671056	0.8158633406630998	1.0	0.7611501680535429	0.7626971509974848	0.49489571776845515	0.7853928727490842	0.7774218981556871	0.674823716578198	0.6533399250465969	0.42624036869857784	0.7040353937513838	0.664645025697138	0.7841381823038271	0.8036227868654646	0.7970207252368506	0.7937340454570482	0.5328673835545344	0.6562306334253752	0.49233830484408925	0.7555380349274892	0.7314347402814209	0.5271480569870793	0.37285452034156635	0.5775190165851098	0.7373778258358453	0.8034025424175577	0.7596746474038686
LeChatelierE_2013__MH0447__bin.124	0.47091084882680007	0.8574030848040833	0.816275060637916	0.7509629538019121	1.0	0.8826568913973045	0.5706442558252565	0.8802435110061357	0.8344470752499634	0.7569501714390069	0.7402697599853902	0.47655940724233725	0.820096824174027	0.7538103496800942	0.9054539738423316	0.9187766889183884	0.9036381593813516	0.9109655659856688	0.5983206894778118	0.7623768098185746	0.49898373337694674	0.8895231204268723	0.8621159959846344	0.646787678583503	0.39430220307648206	0.6601444907484195	0.8738390374680773	0.9284573725707991	0.8658279553362811
LiSS_2016__FAT_012-22-42-0__bin.38	0.4696045769518419	0.8527153081116506	0.8164811060298197	0.7256381305652865	0.8511610125380216	1.0	0.5782614850126673	0.8776798920185334	0.8316517887495527	0.763659577503564	0.7475203161868543	0.45950750732006895	0.8103569919894427	0.7419507106067715	0.881367512603225	0.8939083205248382	0.896012108904347	0.9395596924177795	0.5906462503524891	0.7389853442578002	0.4923126736670341	0.8658412757149815	0.8319254205626226	0.6344089497108196	0.393747262288632	0.676073433638991	0.8539742373697463	0.902879097093038	0.857602784691331
BritoIL_2016__M1.48.ST__bin.92	0.40894843649717405	0.8247774709813963	0.6682815556503673	0.6183046446597792	0.7226135441373309	0.7593554397486628	1.0	0.7404839251462365	0.7015655885209203	0.6580792139637646	0.6784846291597723	0.4556848361192608	0.7134181906266672	0.6985146192582097	0.7743270706377323	0.8191021851497053	0.8149183541890634	0.7930566116165161	0.5162980597182043	0.6755031830632785	0.46404737528092854	0.7594791178022484	0.7541485205104318	0.5429400688352528	0.31373023986955995	0.6264403187527398	0.7442367124763347	0.760579047474077	0.7584230974985565
LiuW_2016__SRR3993056__bin.8	0.4427232682048965	0.8049374099049476	0.7568370384546725	0.7187865707511186	0.8165215764416146	0.8442696464172927	0.5424251537613294	1.0	0.770218683375228	0.7119113365508893	0.7221440437956439	0.45136542419256875	0.7844655624477657	0.7010197862003194	0.854283096680535	0.8720461286668585	0.8488450946745213	0.8641507330098623	0.5794860166045618	0.7239329448893019	0.47711605770586435	0.834598751682623	0.8112326048533525	0.5850928840119846	0.3799417923641746	0.6314038182879621	0.8239838189419806	0.8510382005702826	0.8002134673106067
XieH_2016__YSZC12003_36049__bin.58	0.46537263320572575	0.7994830396182111	0.8303167334633897	0.7222263034883942	0.7857188334108773	0.8120636786356599	0.5216701629513539	0.7818394538721694	1.0	0.7002228371329922	0.6557805693638394	0.4315438341591096	0.7175089039623653	0.7052700029657201	0.7996022125904341	0.8076787662604447	0.8197658441554908	0.8384520573662774	0.5388452193408483	0.6555335167182267	0.4746594183379451	0.7756141625377858	0.7481037076942751	0.5597353162845241	0.35653179442390204	0.5902180212389092	0.7602446583027919	0.8325946241561982	0.8199089605559229
LiJ_2014__MH0355__bin.49	0.4881187849666417	0.8658510696135515	0.8221487543396823	0.7456454314569682	0.8477370223760617	0.8868983666484579	0.5820112566373514	0.8595179166418562	0.8328403592389603	1.0	0.7335085602740116	0.48925661664004394	0.7840857606644213	0.7709864573436096	0.8928988430102961	0.9077404915329272	0.897863102927813	0.8968268864834917	0.6090570883418207	0.7277922182151447	0.5264762686370096	0.8845508606874626	0.8310041655771615	0.6147559551702088	0.39342633607845473	0.6790078470257158	0.8396582880487546	0.9032642436073017	0.87418416562894
