	HeQ_2017__RSZAXPI003069-101__bin.8	HeQ_2017__RSZAXPI003094-125__bin.41	QinJ_2012__NOM014__bin.26	QinJ_2012__T2D-045__bin.2	QinJ_2012__T2D-014__bin.31	QinJ_2012__CON-007__bin.24	HeQ_2017__SZAXPI029485-81__bin.16	QinJ_2012__NOF002__bin.17	QinJ_2012__T2D-054__bin.13	HeQ_2017__SZAXPI029550-158__bin.15	QinN_2014__LD-61__bin.17	HeQ_2017__SZAXPI029497-98__bin.16	HeQ_2017__SZAXPI029474-42__bin.18	HeQ_2017__RSZAXPI003106-145__bin.34	QinJ_2012__T2D-003__bin.1	YuJ_2015__SZAXPI015214-19__bin.13	YuJ_2015__SZAXPI017582-94__bin.24	WenC_2017__N216__bin.12	QinJ_2012__T2D-032__bin.42	QinJ_2012__NOF009__bin.1	QinJ_2012__T2D-022__bin.21	QinN_2014__LD-88__bin.28	YuJ_2015__SZAXPI015237-23__bin.9	QinJ_2012__T2D-083__bin.23	QinJ_2012__DLM015__bin.10	QinJ_2012__T2D-016__bin.2	HeQ_2017__SZAXPI029463-136__bin.16	QinJ_2012__T2D-074__bin.35
HeQ_2017__RSZAXPI003069-101__bin.8	1.0	0.5912150372824676	0.606768922686508	0.6782409605275651	0.369429979617027	0.8453844218843831	0.5308158368178394	0.4403397285476299	0.8676910148451671	0.8650737819231514	0.6319085392695916	0.8542907206299609	0.879989851671638	0.8254096015763819	0.8398117811857638	0.29278451387287585	0.6629793173861951	0.30889698891822276	0.5497224931594348	0.8513424031192238	0.802076153154675	0.8607185090465627	0.8663210521707928	0.7344991374537436	0.6463631251918996	0.3961174320660048	0.8560469486578435	0.8214963913629464
HeQ_2017__RSZAXPI003094-125__bin.41	0.8160380328962596	1.0	0.6156794214560952	0.6490577726944706	0.28416850482687256	0.821466562504255	0.5413160546273982	0.38432525904442905	0.8281826552564575	0.8430649449232738	0.53751633920183	0.8033155814713451	0.8393507550072846	0.8965349829119181	0.801008945713002	0.12992303555138	0.6486735461514371	0.26123490325830917	0.4958220150320657	0.8167098974715086	0.7676250629740071	0.8305667320234741	0.8453971106844764	0.7143907520117643	0.5939563675231132	0.3113060468662773	0.8343898499516632	0.898254428604496
QinJ_2012__NOM014__bin.26	0.7988441183155297	0.5872572973148479	1.0	0.7238587291795188	0.42430963667651544	0.8115340595473879	0.6035086366440469	0.48361594532290014	0.8152407545699536	0.823740218838274	0.6551572291308159	0.8027768758725933	0.8320700347413876	0.8627008993798501	0.8050074677749277	0.36276745998246696	0.7188666839832463	0.35287955777784996	0.6005069158089548	0.8060578265528101	0.778844686515796	0.815018750608786	0.8336516607682068	0.7393356927172959	0.6575018669437319	0.4372276697295367	0.8232389850319816	0.8596431702327997
QinJ_2012__T2D-045__bin.2	0.8753436010142222	0.6068941810330251	0.7095935352680157	1.0	0.46871932755456336	0.8707121239187684	0.6041445772011651	0.5154852706615163	0.9026781085622051	0.8903691455539451	0.6864647956416929	0.8666507788289656	0.8986024405469288	0.8721109963066745	0.8781664109096132	0.3360671554232365	0.7733448765503075	0.3634219537823067	0.6536374461746449	0.8775966767630029	0.8483850702599173	0.8783092423053067	0.8898109493195219	0.8234739221302328	0.7087043203115395	0.461581736360298	0.8914310313341844	0.8742510800878313
QinJ_2012__T2D-014__bin.31	0.8146281046791282	0.45398161630251394	0.7106756505058168	0.8008396517946605	1.0	0.8146192676702789	0.6090153804740172	0.5271350553264731	0.8376770630676929	0.825882375333597	0.7552991463449451	0.819807271634697	0.8437936327311931	0.8292655901830348	0.8230966782363506	0.4668313069392272	0.7507548844866989	0.40178888249905176	0.6531521610565256	0.8326630802006136	0.8072349271218677	0.8253338010150324	0.8346235366253231	0.7778539120078636	0.721675687213392	0.5042118543715324	0.832949263333347	0.8227649505195481
QinJ_2012__CON-007__bin.24	0.880431969908378	0.619821340625937	0.6419624150093394	0.7026217800827931	0.38474145951815136	1.0	0.5656915441797329	0.4548850406805802	0.9110931392976782	0.888509654373989	0.6952863693248328	0.8725475591330808	0.8917718702664801	0.8687925274355536	0.8687334537494774	0.30871009395926613	0.6970367483274762	0.32047121538330153	0.5699522337879652	0.8848429121529341	0.828937052492749	0.9656897462849394	0.8955773072287571	0.75527345016653	0.673780979172031	0.40638650757010025	0.8927507597710767	0.8626523956627072
HeQ_2017__SZAXPI029485-81__bin.16	0.7892495710911541	0.5831180194884813	0.6815775228388518	0.6960121446634022	0.410649681738865	0.807622866399077	1.0	0.45614633366014284	0.8031194954024364	0.8151376518942347	0.6578483099639318	0.7922596105145577	0.8229228688283764	0.8700123160894331	0.7917925433343462	0.3600808360823377	0.6922852327475055	0.3187282021947116	0.5786522338782757	0.7937584423882488	0.7852600198285831	0.812314164327893	0.8172598511527026	0.7335388612269612	0.6452306207226569	0.40582179301544347	0.816504476557032	0.8525007345192898
QinJ_2012__NOF002__bin.17	0.887894542511571	0.5614453847119711	0.7406881813468991	0.8053695947567135	0.48202344411416975	0.8807113793090587	0.6185961627636655	1.0	0.8960772320579428	0.9646299452622575	0.7440106118866557	0.8801792931459097	0.9080205773134871	0.8863964961877518	0.8885932163986967	0.40544716993563995	0.7759693478587882	0.39763246521238066	0.707151213168884	0.8923812223312086	0.8628877360355354	0.8926379414730085	0.9002742481485763	0.795424058996918	0.7418891047898943	0.5187249574517548	0.9698184069489458	0.884101563811179
QinJ_2012__T2D-054__bin.13	0.85378726063257	0.5903992161882604	0.6093007877550649	0.6882130973000355	0.3737953899493738	0.8608069863591278	0.5314889693057625	0.4372768608703829	1.0	0.8624395230396366	0.6466689517731314	0.8434781949276704	0.8704793566919746	0.8237275950872233	0.8367894051948761	0.2926736048970034	0.6651027842910052	0.3139572482869285	0.5466061619008041	0.8559017929996876	0.7989395488229174	0.875176463807857	0.861136709022025	0.7232167827925416	0.6474673234831089	0.39717233241625743	0.8587861838014264	0.8174707511428061
HeQ_2017__SZAXPI029550-158__bin.15	0.8641893148690382	0.6101713966846554	0.6250392645488242	0.6891778280637743	0.3741508078950383	0.8522682898887782	0.547666546358036	0.47790653128044924	0.8755880443606253	1.0	0.6299256221660234	0.8508030293138343	0.8851267120883074	0.850520632519546	0.8376209194125162	0.3076191086239115	0.6740035427401543	0.3087440764423794	0.5802816823334783	0.8475186652886606	0.8083403444932933	0.8695533141742865	0.8762307511323588	0.7233774040682385	0.645542442051685	0.3979244913470173	0.9589280501009484	0.8445909157539839
QinN_2014__LD-61__bin.17	0.9021380160197165	0.5559625033007658	0.7104370213889623	0.7593508493970601	0.4890018484288355	0.953105360443623	0.6316464219698971	0.5267740515799665	0.938244872810492	0.9002275327876067	1.0	0.887930199806355	0.9099933984684446	0.8746743244432709	0.8884768066191358	0.4316446615614823	0.7474487281049202	0.3790973505853358	0.6447852301734002	0.8948604876331309	0.8510518440278144	0.9783914268110202	0.9104722295572573	0.7788737787166623	0.7362212833377344	0.496657864624593	0.9081850189243904	0.8782338702578998
