	BritoIL_2016__W1.41.ST__bin.79	ZellerG_2014__CCIS10793554ST-4-0__bin.56	FengQ_2015__SID530258__bin.75	KarlssonFH_2013__S194__bin.18	YuJ_2015__SZAXPI003416-4__bin.10	FengQ_2015__SID530002__bin.65	CM_madagascar__A58_01_1FE__bin.6	FengQ_2015__SID530163__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	LeChatelierE_2013__MH0420__bin.61	LiJ_2014__O2.UC46-1__bin.34	SchirmerM_2016__G88975__bin.5	LiJ_2014__V1.FI28__bin.31	LiJ_2014__O2.UC15-1__bin.5	FengQ_2015__SID530119__bin.18	FengQ_2015__SID530297__bin.62	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.123	ZellerG_2014__CCIS81735969ST-20-0__bin.53	FengQ_2015__SID530558__bin.75	ZeeviD_2015__PNP_Main_447__bin.22	NielsenHB_2014__MH0086__bin.4	ZeeviD_2015__PNP_Main_279__bin.36	XieH_2016__YSZC12003_36034__bin.30	LiJ_2014__O2.UC32-1__bin.62	BackhedF_2015__SID184_12M__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.33	LeChatelierE_2013__MH0086__bin.32	LiJ_2014__V1.FI31__bin.11	FengQ_2015__SID531469__bin.57	ZellerG_2014__CCIS81887263ST-4-0__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES57__bin.29	ZellerG_2014__CCMD79987997ST-21-0__bin.40	FengQ_2015__SID31379__bin.49	FengQ_2015__SID532779__bin.85
BritoIL_2016__W1.41.ST__bin.79	1.0	0.41359312555878935	0.6590115246721019	0.7719355403534844	0.855567451229431	0.7596709941173038	0.5946880637801703	0.6213302112270963	0.7330956327970988	0.7747016474975964	0.5371808530562928	0.5377447602653906	0.6666898966237871	0.7481138000754393	0.6051354466206075	0.745613385565892	0.3620121672707907	0.5801217191678216	0.769198761030237	0.7887961336059369	0.6848066498075253	0.7450178275402176	0.7457768663891268	0.545837206202747	0.7798485348720857	0.7160192913178907	0.7785322674267509	0.4720019489934024	0.6977120524857651	0.8124192577506026	0.8236550072608134	0.7052731131539922	0.8285724988087387	0.4570534715864231
ZellerG_2014__CCIS10793554ST-4-0__bin.56	0.9281538695124916	1.0	0.8597992048737162	0.8814745741395635	0.9376403868372128	0.905572726164946	0.7988230150026163	0.8473659894213407	0.8510347002702334	0.9093652478595385	0.48860842474157745	0.782738031238128	0.8676110176013409	0.8740081285078382	0.8302416461890044	0.8595496282742267	0.5510547054963544	0.6873860858765058	0.9038849888472493	0.921801069856034	0.9016726845254037	0.9078938537038015	0.8601712890468455	0.6601978757968694	0.9057010984628557	0.8991156647436888	0.9165795103476544	0.5521266467657023	0.8498910790375858	0.9265847299522546	0.938542251102731	0.9144792874229685	0.9194519219678887	0.6739063429599524
FengQ_2015__SID530258__bin.75	0.8578406673966774	0.4987282768557727	1.0	0.8094112426449271	0.8844786275293192	0.83147561084856	0.6391046645723899	0.6876792347208956	0.8226599179096946	0.8452220894662619	0.5416848885876786	0.6036956134717607	0.7530679919247754	0.8002708624773824	0.6561675643128292	0.8173481255643755	0.40511478770784803	0.6412905391282129	0.8286615288724055	0.8583785369268411	0.7466226291501095	0.7993803349910399	0.7954190752045927	0.6241803915372675	0.8497431417855076	0.8194939339429692	0.8362022858132092	0.5302902189767779	0.8084882086374362	0.8693101776027802	0.8892446127055895	0.7577874852161476	0.8865968431632172	0.49412028849159534
KarlssonFH_2013__S194__bin.18	0.7378979844199535	0.3754727376942475	0.5943891847330532	1.0	0.7542030457839084	0.6769062518649285	0.5233282954241073	0.5604850271394807	0.6452737333405502	0.7107834850951443	0.48977942839854166	0.48077309007032254	0.6100688791831648	0.678971655862225	0.543478266903712	0.6661781421356572	0.31485517051865486	0.5347583815959486	0.7060356373093957	0.7108889619825214	0.6057651446074247	0.6642989881158081	0.671796729383779	0.5038866845144663	0.7063448511318642	0.6551918916030682	0.68853868711808	0.42947385075298006	0.6257782737041956	0.7289613163515545	0.735652159431091	0.6281093129152285	0.7407292061337586	0.39882643084255215
YuJ_2015__SZAXPI003416-4__bin.10	0.7827719544804262	0.3822703730910086	0.6216625775916921	0.7218616958392389	1.0	0.7213287656129826	0.5490310419901729	0.5886309989519393	0.6924785373376602	0.7186279836189045	0.5098306498640444	0.5041990172936656	0.6229994195151822	0.6940077229719228	0.5735386593590226	0.7087940129035001	0.3428508047751186	0.5446392824835717	0.7333784083557934	0.7553826351354044	0.6349239325787474	0.7107721776416376	0.6949659878403707	0.5147755303731707	0.735398017318904	0.6783665130662218	0.7235077754413743	0.43130553293686796	0.6462854949197616	0.7790334728533684	0.7826311503827613	0.6752212683261183	0.7866589445803042	0.44435754145418754
FengQ_2015__SID530002__bin.65	0.8830491351868235	0.4690681997918764	0.7424978811292409	0.8231378324163092	0.9164559047046525	1.0	0.6306900244813535	0.680696387000479	0.8062597737238424	0.8392999811318398	0.5696348184049282	0.5886676952457974	0.7379377944774684	0.8281529151307455	0.6759324297093527	0.7992505391264548	0.41275433621711277	0.6398402383261276	0.8571882795984559	0.8650082712748632	0.7455650541421687	0.8188443977597182	0.7980333909054118	0.6031556744725944	0.8429598641492468	0.8116812475803019	0.8382073830199385	0.5216415096823365	0.7823971204284794	0.8999433955195039	0.8870701797673242	0.7763150921991465	0.8889738724924164	0.5100904152784167
CM_madagascar__A58_01_1FE__bin.6	0.8441725620545999	0.505296059560215	0.6969480006380745	0.7771430008215003	0.8518397608622085	0.7701913687646045	1.0	0.7064844939240716	0.7523776312844465	0.7945882379127545	0.4780163137677763	0.6111191488712717	0.732667806792031	0.7636692416352678	0.7007785085956632	0.7592884562512958	0.4565451893181053	0.5899695348280269	0.7934996366520215	0.8070657270318943	0.7491237810942812	0.7812393731536338	0.7544097419301918	0.5488091955273781	0.792478222822375	0.7462479117280814	0.8012851348014818	0.46840809892957647	0.7126278158437855	0.8174797788503035	0.8322206187921184	0.7760177143990085	0.820032901231591	0.5472960356530309
FengQ_2015__SID530163__bin.45	0.8716257804286202	0.5297024197717138	0.7411052421258536	0.8225386685654533	0.902546782945626	0.8214889317328886	0.6981813115885325	1.0	0.7744320443064711	0.8442698911279926	0.4809432233723478	0.6360961195583854	0.7861999322986956	0.788495340545301	0.8035362729494998	0.7760011503518879	0.5134361833735861	0.61146661311393	0.8281657793939552	0.871097856899321	0.8033635572269513	0.8298216506490486	0.7788395540186753	0.5511651997371788	0.8637093715795464	0.8295100291213373	0.8588810709678313	0.47644487496644466	0.7859905552199458	0.9025003452277709	0.9138494790624958	0.8956890725939661	0.8717948300155485	0.6205500751354128
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	0.8661584054201115	0.4480611532832391	0.7466952840940669	0.7975637219214937	0.8942562956853601	0.8195064179932989	0.6262252236365495	0.6522474812798522	1.0	0.8354414441737164	0.5977118637671394	0.5654534451041487	0.728875034565287	0.8113243085055651	0.6210601576657401	0.8048376992521548	0.3660091657191947	0.6315213460803479	0.8293751076412785	0.8404445764920367	0.7070850089921208	0.7894574330634211	0.7947199336895416	0.602775378125371	0.8468567374348749	0.7911055882891779	0.8061338546316112	0.5248310846741463	0.7736925744500259	0.8653525110351609	0.871362239405182	0.723129134540105	0.8766357185840137	0.465944529490108
LeChatelierE_2013__MH0420__bin.61	0.8363335541245055	0.4374583665486641	0.7009745636657563	0.802725543198007	0.8479459367789086	0.779476326808134	0.6042896600453348	0.6497087970287548	0.7633511523198904	1.0	0.560481786609146	0.545338103592961	0.7235915001772704	0.78274963691712	0.6281614385762199	0.7605869262577338	0.36915207726040056	0.6239693320748341	0.7992111705077329	0.8153002953251728	0.706180763080623	0.7757230858643598	0.7583220665050596	0.5750935018744261	0.8351711873476314	0.7537992434584737	0.7833405380429042	0.49534724140082126	0.7457874392288756	0.8497267905166168	0.8517684557857057	0.6998344536421609	0.8380056318990058	0.45817062654014384
