	WenC_2017__RA017__bin.25	WenC_2017__RA007__bin.39	BritoIL_2016__WL.8.ST__bin.39	WenC_2017__N035__bin.74	ChengpingW_2017__AS18raw__bin.2	QinJ_2012__T2D-003__bin.38	ChengpingW_2017__AS101raw__bin.22	WenC_2017__RA047__bin.66	BritoIL_2016__W3.21.ST__bin.63	CosteaPI_2017__SID713A029-11-0-0__bin.63	BritoIL_2016__W2.53.ST__bin.27	HeQ_2017__SZAXPI029588-107__bin.7	QinJ_2012__CON-010__bin.9	QinJ_2012__CON-077__bin.4	QinN_2014__HD-30__bin.8	BritoIL_2016__WL.2.ST__bin.81	BritoIL_2016__W1.27.ST__bin.48	BritoIL_2016__WL.30.ST__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.1	BritoIL_2016__WL.13.ST__bin.14	BritoIL_2016__WL.36.ST__bin.40	QinJ_2012__CON-029__bin.31	BritoIL_2016__M2.33.ST__bin.49	HeQ_2017__SZAXPI029593-133__bin.43	QinJ_2012__CON-017__bin.41	QinN_2014__HD-77__bin.19
WenC_2017__RA017__bin.25	1.0	0.9938948824395621	0.9909008807943239	0.9964900397563075	0.9964662940170337	0.995957427861659	0.9948960108612889	0.9947246786437656	0.9909650253164379	0.9926651549874451	0.9912689629234578	0.9927739333915105	0.9947073644882255	0.9966570486415358	0.9927942807597971	0.9911145108376641	0.9907147433242672	0.991915165996283	0.9899162265758588	0.9911818078888947	0.9925935093777074	0.9970791511893136	0.9914695702049947	0.9932242796818657	0.995351908167658	0.9963122566048765
WenC_2017__RA007__bin.39	0.9938948824395621	1.0	0.9922079096228167	0.9940027577793502	0.9931409330784546	0.9936668147065325	0.9933012403081904	0.9927370576749059	0.991600575161345	0.9933225721585817	0.9918161242910344	0.9961434268944239	0.992882835412248	0.9937557287908417	0.9928952399581458	0.9916712279782751	0.9920070373511208	0.9921403998280459	0.9911983254680613	0.9919213579100253	0.9922283504046988	0.9938711494386824	0.9927746413406974	0.9933632463547748	0.9927702437318635	0.99360383746111
BritoIL_2016__WL.8.ST__bin.39	0.9909008807943239	0.9922079096228167	1.0	0.9907220852230149	0.9908456713236828	0.9907442290380306	0.9915660044797677	0.9911803277176809	0.9983444678426974	0.9934786426661698	0.9985637239862877	0.992857149090541	0.9917702461664947	0.990949992494878	0.9912811713947793	0.9993006755280143	0.9988824311532284	0.9954251958798873	0.9941101351662074	0.9956713015329348	0.9958927714023816	0.9915238787560727	0.9945789206807446	0.9928838007396851	0.989964754293681	0.9911956375058573
WenC_2017__N035__bin.74	0.9964900397563075	0.9940027577793502	0.9907220852230149	1.0	0.9955561057839724	0.996844859462059	0.9948692119768596	0.9953003762670957	0.9904724242395879	0.9921595621268008	0.990394977614801	0.993436475407741	0.9945865834169104	0.9958764820804392	0.9929084683178918	0.9903180297752128	0.9899217930035178	0.9917102915848091	0.9899791859045273	0.9909821301239482	0.9922442072763438	0.9963196738812606	0.9910699821804633	0.9930661072683977	0.9983102826563112	0.9961028022679337
ChengpingW_2017__AS18raw__bin.2	0.9964662940170337	0.9931409330784546	0.9908456713236828	0.9955561057839724	1.0	0.9953351369042436	0.9938104753595451	0.9947723264633982	0.9902360039038239	0.991786157747124	0.9905230796687668	0.9918445083142031	0.9940128738955004	0.9986297589299233	0.9930137050376537	0.9901961657963368	0.989882887162473	0.9909084838569664	0.9901010947660026	0.9908774503566536	0.9916421193625142	0.9984667026578378	0.9911580844142607	0.9926505696491554	0.9943817195932119	0.9968603407418467
QinJ_2012__T2D-003__bin.38	0.995957427861659	0.9936668147065325	0.9907442290380306	0.996844859462059	0.9953351369042436	1.0	0.9939516309110414	0.994605590488569	0.9898737028445393	0.9919776375777754	0.9898689811031647	0.9917776830573495	0.9937091052065791	0.9956384204960014	0.9929207259969913	0.9903909303368782	0.9898149260345178	0.990836681593713	0.9901922559425923	0.9910913344829373	0.991399721177286	0.9955511426231315	0.9909796628247254	0.9927024114823804	0.9961109552797762	0.9958607010659131
ChengpingW_2017__AS101raw__bin.22	0.9948960108612889	0.9933012403081904	0.9915660044797677	0.9948692119768596	0.9938104753595451	0.9939516309110414	1.0	0.9943435562267084	0.9910940609514657	0.9930769663448017	0.9910858965451133	0.9931230014795017	0.9955582175371347	0.9949344586817546	0.9950439714143617	0.9911708549923297	0.9912123895190375	0.9919860971677162	0.9906794473267918	0.9915311692322499	0.9933879883908334	0.9951716112123454	0.9921159851171278	0.9936460860236307	0.9941183573026228	0.9948381524559841
WenC_2017__RA047__bin.66	0.9947246786437656	0.9927370576749059	0.9911803277176809	0.9953003762670957	0.9947723264633982	0.994605590488569	0.9943435562267084	1.0	0.9903841754487639	0.9924316323735934	0.9907297494862376	0.9918376172328982	0.9941511956438561	0.9951464350235768	0.9934610198202966	0.99058956620523	0.9904737010715293	0.991686160534959	0.9905377320040584	0.9909657065278807	0.992494964693772	0.995056305329981	0.9913305664674475	0.992820628246183	0.9946265401285429	0.9954529288487709
BritoIL_2016__W3.21.ST__bin.63	0.9909650253164379	0.991600575161345	0.9983444678426974	0.9904724242395879	0.9902360039038239	0.9898737028445393	0.9910940609514657	0.9903841754487639	1.0	0.9926987432470495	0.9999132630272147	0.9929392576960846	0.991893758582358	0.9906318613353124	0.9906702361660423	0.9982676413546173	0.9989627407846001	0.9951843297524705	0.9936793686964595	0.9954386817152922	0.9954715454615259	0.9916849195950054	0.994223715639043	0.9927233397690831	0.9887596903655959	0.9912558199367043
CosteaPI_2017__SID713A029-11-0-0__bin.63	0.9926651549874451	0.9933225721585817	0.9934786426661698	0.9921595621268008	0.991786157747124	0.9919776375777754	0.9930769663448017	0.9924316323735934	0.9926987432470495	1.0	0.9925585369840513	0.9939925692573053	0.9926133664602762	0.992686264856784	0.9911825023743162	0.9923926777425233	0.9922173118833568	0.9939097588968089	0.9918683271341877	0.9929412830946345	0.9943052127719869	0.9928690228126154	0.9927502164553045	0.9931347249742716	0.9912508789515417	0.9928655563350396
