	FengQ_2015__SID532915__bin.39	LiJ_2014__O2.UC4-1__bin.77	XieH_2016__YSZC12003_37405__bin.120	BritoIL_2016__W3.19.ST__bin.19	XieH_2016__YSZC12003_36034__bin.36	LeChatelierE_2013__MH0035__bin.33	CosteaPI_2017__mickey1-11-7-0__bin.18	QinN_2014__LD-14__bin.48	VogtmannE_2016__MMRS32573774ST-27-0-0__bin.48	KarlssonFH_2013__S54__bin.2	BritoIL_2016__W2.39.ST__bin.88	LiJ_2014__V1.UC40-1__bin.3	BritoIL_2016__W1.33.ST__bin.18	RampelliS_2015__H3__bin.17	ZeeviD_2015__PNP_Main_85__bin.49	LiJ_2014__MH0374__bin.29	QinN_2014__HD-62__bin.20	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.54	BritoIL_2016__W1.27.ST__bin.61	BritoIL_2016__W2.54.ST__bin.69	BritoIL_2016__W1.1.ST__bin.26	ZeeviD_2015__PNP_Main_357__bin.31	CosteaPI_2017__mickey1-11-0-0__bin.22	LiJ_2014__MH0355__bin.90	NielsenHB_2014__MH0035__bin.16	NielsenHB_2014__V1_CD30_0__bin.6	QinJ_2012__CON-110__bin.2	Obregon-TitoAJ_2015__SM25__bin.30	XieH_2016__YSZC12003_36702__bin.37	NielsenHB_2014__V1_UC40_0__bin.55	ZeeviD_2015__PNP_Main_772__bin.19	BritoIL_2016__W1.3.ST__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.133	KarlssonFH_2013__S297__bin.5	RaymondF_2016__P13E0__bin.45	CM_madagascar__A10_01_1FE__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.48	ZeeviD_2015__PNP_Main_378__bin.15	BritoIL_2016__W2.35.ST__bin.39	LeChatelierE_2013__MH0257__bin.30	CosteaPI_2017__SID713A063-11-90-0__bin.82	LeChatelierE_2013__MH0421__bin.62	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.52	LiJ_2014__O2.UC48-1__bin.1	ZeeviD_2015__PNP_Main_499__bin.37	QinJ_2012__CON-041__bin.36	KarlssonFH_2013__S77__bin.33
FengQ_2015__SID532915__bin.39	1.0	0.9397098764551256	0.9150644663735767	0.916141608517855	0.934493671843954	0.6143238716925228	0.6510141611112337	0.9022204868025223	0.6078506409017379	0.9542709702192467	0.6367864581914476	0.9037590142008933	0.9292489279387149	0.9358285324619335	0.9286924117043969	0.9183131893482707	0.9105950399571737	0.9140768338334196	0.7381900293219625	0.5867501570742207	0.9289855880889094	0.944433562036858	0.8821214727486497	0.9245369175227374	0.9401479113777085	0.9404082243326886	0.9207874596612213	0.9384662550954531	0.9288774847022898	0.891721918307568	0.9395645855035089	0.9245529168239571	0.8790928482691134	0.7769822809901059	0.855742516759268	0.6167216048077467	0.9003407851159798	0.9083438950342061	0.916028748582224	0.938945801718498	0.9419086993389694	0.9076598168036769	0.817246035956916	0.9249507372867174	0.9481877764473854	0.8975880404790969	0.5540635846823555
LiJ_2014__O2.UC4-1__bin.77	0.7130516725842264	1.0	0.7463740796775545	0.7401284046475566	0.7791980796066816	0.5219756873113542	0.5162779648581934	0.7433892146527112	0.48498888837484155	0.7958056362992662	0.5093822933882467	0.7607268279222196	0.7515510831250621	0.7559970456496995	0.7744243298818884	0.7527096583039916	0.7390981225569764	0.7274877621190212	0.5990115854236739	0.46123957372570673	0.7536303498792043	0.7840151405531172	0.7092255198905145	0.7746841972117416	0.7885802089372705	0.7866784525687984	0.7540106355298357	0.7602481076769468	0.7875059593944173	0.7221594975110813	0.775466752239141	0.7453579065455396	0.7152612011186107	0.6196336330010509	0.7073723245887321	0.483590789015618	0.732238871887047	0.7410448307236682	0.7501444527676363	0.8072145339335218	0.7848495378003608	0.7459150463512101	0.6548459843114943	0.7634905432244351	0.7772037947192465	0.7327553253935989	0.4459146198012999
XieH_2016__YSZC12003_37405__bin.120	0.8137481816227673	0.874717221431145	1.0	0.8535369480025825	0.874524184080725	0.564720001630435	0.6064329889295771	0.8610400252563609	0.5593041887951431	0.8790782504971096	0.604632973317393	0.848039613417711	0.8866328556492074	0.8904582252945838	0.8666438764668628	0.8546674854731703	0.8710491272366088	0.8424742158626712	0.7006440602753359	0.5421392460699402	0.8937017911328178	0.8778181242076144	0.8341174674576327	0.867938611046274	0.8785429756130763	0.8734763219693809	0.8841252927765193	0.882959762479461	0.8754205387895482	0.8161353845538588	0.8676832787740052	0.8762607511613966	0.8348688518853635	0.714210509922389	0.8058767183496613	0.5726172288527006	0.8357013735261195	0.8444349677546872	0.864421639717704	0.8770948109483709	0.8834577373176961	0.8474989550219129	0.7595354490790927	0.8574342259836734	0.8847713141882837	0.8580044936941773	0.5053687071073507
BritoIL_2016__W3.19.ST__bin.19	0.8430594734016879	0.8975847498262088	0.8832417522292428	1.0	0.8788495200895478	0.588369299260308	0.6256220969307298	0.8880303118930488	0.5757250187320464	0.8958024697253124	0.6790152932286487	0.850157954026803	0.945475519413881	0.9109050950768243	0.8730100558161263	0.8668152496962882	0.8947627068533226	0.8580180520024687	0.7577535551096207	0.5769179804963883	0.9497579258541237	0.8857593870134294	0.849454830798787	0.878024235666851	0.901678542565218	0.9011528913008098	0.8933707854885234	0.9235044107353826	0.8831382932370051	0.8208937822339423	0.8766772791717551	0.9573617638644003	0.8762312117475298	0.7318860216157669	0.8182468237094584	0.5983463273848392	0.8637580364756615	0.8653990552602332	0.9277963672364472	0.894551411757637	0.9021831041119777	0.8633752382043817	0.7687954150157994	0.8879765928009254	0.8909649659997939	0.873132614930008	0.5210174953135066
XieH_2016__YSZC12003_36034__bin.36	0.74537544333075	0.8190669040984576	0.7843902738501856	0.7617590646760197	1.0	0.5313915937971118	0.5377881800770447	0.7731512379115522	0.4985212248638406	0.8144148413494156	0.5482480782821306	0.7891564997642583	0.7819111051787654	0.7824536388905272	0.7976856263746573	0.7810412577400729	0.7822791175566738	0.7654250473984077	0.6163272640607803	0.4859401681544093	0.7874571586340291	0.8299510340044127	0.7413621424597644	0.8049441273053802	0.8135922457343158	0.8198387988517462	0.7938320159731858	0.7975635304217242	0.8489169502638342	0.755684273661868	0.8173585954688606	0.7810267717795554	0.7486199535828436	0.6566630762178812	0.7332672497610678	0.5063115674878482	0.7685088324695217	0.7847024118089551	0.7746056973282716	0.8186475010510944	0.8286786838056274	0.7788611206821922	0.6901246103017943	0.7954051223046198	0.812947275587466	0.7807563671832292	0.47126037168905266
LeChatelierE_2013__MH0035__bin.33	0.863596907141294	0.9670228803462445	0.89270612979308	0.8988103921997714	0.9365471588007878	1.0	0.6045839716001653	0.8977453984000778	0.5503951175626717	0.9469034940550004	0.5397330221022686	0.9140266734748462	0.8990043037420673	0.9087339217545651	0.899032265908041	0.9221211126510565	0.8865331777178009	0.8661937413378072	0.6128571254893379	0.5077619325503927	0.9017123787293019	0.9343898169086002	0.826723320446422	0.9077047924720987	1.0011446251854013	0.9498632285359982	0.900078415639361	0.9234444525494201	0.9575279013786564	0.8665949376322124	0.9189309942373624	0.9015689206603934	0.8513816957230044	0.7084202591971211	0.8296435431711527	0.5464755513409683	0.8932738833369805	0.8955041700099691	0.8928483721156418	0.955440464901403	0.9866273980596688	0.8886880881172952	0.7878583412356845	0.9208378923821334	0.9656107909645731	0.8918016145111484	0.4838360444476864
CosteaPI_2017__mickey1-11-7-0__bin.18	0.881669903185531	0.9214503899048722	0.9235492470115882	0.9207294933930508	0.9131205507625926	0.5824498300534787	1.0	0.9170067158742466	0.6732751775010014	0.9240956291769248	0.6157727003342711	0.8820628532744279	0.9222362900826659	0.9178049140429001	0.9006849395290221	0.9131633009212952	0.9276667314751265	0.9126257030351441	0.7395783311743527	0.6349786483453932	0.9232101738350289	0.9252563252666322	0.9540834014602986	0.9183589092501974	0.9201063951894944	0.9218497817985051	0.9400947296667361	0.9331223544679187	0.90409909603911	0.8811803260255939	0.9210515836298515	0.9159151227807982	0.8726109688708571	0.8065297646515921	0.8809566197156704	0.7123271546665605	0.8860643852527178	0.8871237693224862	0.9193333786211727	0.9226561786277316	0.9209678401682834	0.9112500849146988	0.8668519954368598	0.9195383451355005	0.9143269251040644	0.9105514419101474	0.5747911098409694
QinN_2014__LD-14__bin.48	0.7856775713867736	0.8531408071654317	0.8431729613851883	0.8403570666043088	0.8441068232542149	0.5561234038210766	0.5896422668894379	1.0	0.5451072227814097	0.8553319935427971	0.5889365986867944	0.8207312816237448	0.8505342781906727	0.8518955324876611	0.8393019533151908	0.8286043396711676	0.9445515749693388	0.824539404640465	0.673591177114058	0.5244805487492841	0.853746311151478	0.8587541454241333	0.8274381420065001	0.8353642946198636	0.855568848024901	0.8548835139113411	0.8847561735612408	0.8525635449697794	0.8466482078324652	0.7874199015754777	0.8475771744578235	0.8551640490292544	0.8129489738627879	0.6931585957278079	0.7797415236031705	0.5563380414280706	0.8127429970715147	0.819269486552954	0.8501091451059425	0.8528956684248122	0.8637567078959151	0.8189034729494483	0.7283531383595436	0.8398600110933753	0.853200679761067	0.8395621543440204	0.48978193195686615
VogtmannE_2016__MMRS32573774ST-27-0-0__bin.48	0.8372629906214747	0.880378833813199	0.8663128327244182	0.8617563918229456	0.8608945395373991	0.5392943889663848	0.6847657632008729	0.8622144183658518	1.0	0.8734715076518427	0.6162660770890239	0.8311662940113477	0.8684058174731468	0.8731284344545553	0.8538275890411938	0.8589546273784324	0.8597884858440613	0.8664426763997803	0.7238963585400806	0.6035008952066242	0.8685404260540269	0.8739086877331081	0.8447581870010995	0.8678644050836777	0.8724673038139495	0.8726537307423365	0.8627903763203255	0.8755454327784998	0.8508995546004567	0.8341777142986476	0.8656505108574328	0.8657589124579645	0.8091774462727123	0.7552786218940262	0.8571785088466427	0.6502303236204705	0.8507619679536279	0.8377174434852425	0.8612251048577021	0.8828077444009382	0.8786700195718494	0.8704309023182456	0.8154820118860568	0.8740665252283879	0.872021189534838	0.8328524749514873	0.5423707310913659
KarlssonFH_2013__S54__bin.2	0.8493580689185892	0.9334668588983217	0.8798493141933006	0.8664345364233058	0.9087952909915659	0.5995302999629751	0.6073239952675913	0.874222843494131	0.5644205685818245	1.0	0.6107713102722059	0.8823144311526124	0.8996091221258584	0.8954270829564777	0.9142135449421034	0.8816793893129771	0.8823148160264547	0.8639890480299462	0.7119126921386438	0.5497907440919941	0.9010554780248582	0.9301427035232122	0.8335224346811358	0.9030333446999408	0.9263085903071832	0.9322117852988969	0.8903086457290165	0.8970851194686894	0.9137994206878927	0.8510299608891202	0.9219114066600109	0.8916318419985113	0.8470669149359531	0.7290642100425901	0.8261786568980554	0.5725252419509409	0.8731232589269563	0.8941654665017355	0.8818845270708714	0.9237572616072177	0.9367952478856956	0.8786843010729513	0.7787802886091968	0.9048083828601823	0.9253625704030476	0.8661289465925964	0.5336056444058203
