	LiJ_2014__MH0357__bin.61	BritoIL_2016__W2.47.ST__bin.34	QinJ_2012__T2D-073__bin.53	CosteaPI_2017__SID713A014-11-0-0__bin.28	BritoIL_2016__WL.5.ST__bin.6	CM_madagascar__A94_01_1FE__bin.15	BritoIL_2016__WL.44.ST__bin.12	LiJ_2014__MH0400__bin.25	CosteaPI_2017__SID713A058-11-0-0__bin.50	CosteaPI_2017__SID713B005-11-90-0__bin.30	LiuW_2016__SRR3993014__bin.77	LiJ_2014__V1.CD6-0-PT__bin.78	LiuW_2016__SRR3993042__bin.16	LiuW_2016__SRR3993060__bin.20	CosteaPI_2017__SID713A057-11-90-0__bin.8	LiJ_2014__V1.CD44-4__bin.14	CosteaPI_2017__SID713B003-11-0-0__bin.34	CosteaPI_2017__SID713B003-11-90-0__bin.67	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	CosteaPI_2017__SID713A049-11-0-0__bin.2	LiJ_2014__V1.CD44-0__bin.7	CosteaPI_2017__SID713A058-11-90-0__bin.42	CosteaPI_2017__SID713A038-11-90-0__bin.55	CM_madagascar__A72_01_1FE__bin.16	LiJ_2014__O2.UC16-1__bin.29	CosteaPI_2017__SID713B040-11-90-0__bin.114	KarlssonFH_2013__S468__bin.13	LiJ_2014__MH0222__bin.7	LiuW_2016__SRR3993051__bin.10	CosteaPI_2017__SID713B042-11-0-0__bin.61	LiuW_2016__SRR3993050__bin.66
LiJ_2014__MH0357__bin.61	1.0	0.5961597045142873	0.7526106198667797	0.8373315394841585	0.8062158471992081	0.6317760005753102	0.7389879534438208	0.9190180973013357	0.6203566923259013	0.7569918667517647	0.6336632377779043	0.6741072454127501	0.573531335928222	0.8817962263246367	0.7577909087004682	0.7443095728221862	0.9249384987400108	0.8104792353967593	0.8905776973408883	0.660064083164286	0.7151340542689315	0.6901465143293192	0.6753362718100997	0.8378648999849181	0.712861279326088	0.6747584646009435	0.5664173655786712	0.7075920970756063	0.7204346987961434	0.6084150104025273	0.7586653602330805
BritoIL_2016__W2.47.ST__bin.34	0.6757933041635695	1.0	0.9027190831734544	0.8888822213705411	0.8394591158153598	0.8191148190061259	0.8646255380168373	0.8674045722444169	0.7805298903275003	0.8681439119676231	0.7836655738855699	0.8228556742059316	0.7256341989344677	0.8710452259656564	0.9094218261464719	0.8767334997319469	0.9246411286875701	0.91894209883036	0.9076799055275552	0.7897263480637055	0.8361694503241263	0.868536226231162	0.7677782614873636	0.8333377678620457	0.8501240630171062	0.8321336517891059	0.7451978299869625	0.8081724778806652	0.7765116412039802	0.655946051976828	0.9191651461894284
QinJ_2012__T2D-073__bin.53	0.5841564163261731	0.6181020244333645	1.0	0.7848155287570939	0.7524087799481595	0.6643216828376101	0.7825285590191303	0.7773665969851536	0.6222030650821196	0.7782484370112329	0.6445328050304031	0.69079665234145	0.5914495240583402	0.7908178552642748	0.7892468233408907	0.7871048242269946	0.8569302741689094	0.8250786000489179	0.8237723139443522	0.631635846196246	0.7325470292069293	0.70855710427768	0.6438664828304778	0.7496306931495178	0.728621581319411	0.6793738199333058	0.5919890938677038	0.6872572759554592	0.6735315813077823	0.5306169042724859	0.7988141092853684
CosteaPI_2017__SID713A014-11-0-0__bin.28	0.6479737667918811	0.6068102768631451	0.7824719040331432	1.0	0.8023214920620199	0.6656263043175811	0.7711059840158296	0.839599081760423	0.6411619440708621	0.7524478659432052	0.6682855663250321	0.6825093910865835	0.6072098811235295	0.8636224860486327	0.7903036064864196	0.7920198951908362	0.9162709270509669	0.8442293125570035	0.8660579851288472	0.646401629334199	0.7389212230827498	0.7168676281902642	0.6976533877475305	0.8213158342222016	0.7400786841657778	0.703781941288318	0.5873088933203481	0.6784356691245806	0.724026109539489	0.5696092071294965	0.8124793241509376
BritoIL_2016__WL.5.ST__bin.6	0.6618753733481969	0.6079574363580977	0.7958293239614822	0.8511641903884133	1.0	0.6570288678873196	0.7786232250970346	0.8479838889875145	0.6261856431756767	0.7512358158434522	0.6534680946931974	0.6669879630696366	0.590472953498393	0.8637377991756717	0.7706542269883239	0.7710515084189634	0.9099921814686457	0.8280706185167586	0.8752011519111533	0.6411212110154784	0.7215422063346094	0.6999410022725809	0.6684422017017093	0.836584904863602	0.7210309473624654	0.6875617292934991	0.5686741336989362	0.679607490866422	0.7130340698551132	0.5549812490544579	0.7892998048032104
CM_madagascar__A94_01_1FE__bin.15	0.6549233650820604	0.7490673660429089	0.8872519835620353	0.8916570806149845	0.8296347222495452	1.0	0.8495262540471085	0.8468041950149771	0.7601098763425218	0.8352983445035426	0.7766591462322416	0.8008993459396384	0.7059658546737309	0.8740020065996212	0.8716086861535307	0.8833707974525089	0.9169052394200534	0.9191411795036928	0.8752895229200683	0.7351231553106036	0.8481315741245976	0.8358760960972776	0.7469401426570154	0.8385003101014379	0.8179694205814169	0.8178027216448733	0.7187996019933466	0.767385094215961	0.770352024667301	0.6093601970567801	0.9017138928550351
BritoIL_2016__WL.44.ST__bin.12	0.6196275320596702	0.6395435749803716	0.8453464538079037	0.835501910494635	0.79523559277676	0.6871361423711071	1.0	0.8193176655325831	0.6446706097880136	0.796643810520806	0.6728378958387856	0.7206285265637268	0.6188696152839571	0.8414350170112536	0.8110727034807642	0.8251783302800314	0.9020809212248102	0.8818340748495158	0.8525768123527873	0.6595701648783041	0.763565977492803	0.7213495943470296	0.6681450929076158	0.7945559801099189	0.7555513216435488	0.7153582831719445	0.6184538079036901	0.708120806071709	0.6959367704789322	0.560028055482858	0.856362627584402
LiJ_2014__MH0400__bin.25	0.6725578461366408	0.5599845185680333	0.7329471259394024	0.7939946224317762	0.7559068643485208	0.5978073088001122	0.7150963331738653	1.0	0.5862671365673543	0.7493550317029466	0.6077847189202761	0.6574060707241224	0.5439760746821939	0.8465730154547525	0.7246073998759585	0.7208481456453356	0.9008928868375301	0.8031460638020658	0.859695685336606	0.6094965939753255	0.6815638292934568	0.6567292149167032	0.625563878997771	0.77301647807656	0.6951985267056529	0.6434811878307758	0.5504972076043215	0.6542100102295865	0.6748069663520067	0.5451605723451775	0.7352631276951342
CosteaPI_2017__SID713A058-11-0-0__bin.50	0.6949115753423508	0.7713053552678025	0.8979691390588437	0.9281022753273024	0.8544099326067218	0.8213666956259542	0.861256668980799	0.8973834267470814	1.0	0.8875818360934163	0.8519244313639712	0.8187312699328193	0.7919759091547338	0.933777027658264	0.9582885564569048	0.9011153148385487	0.9569811928727706	0.9497557294355959	0.9181608297758909	0.7963074950477381	0.8661482338843802	0.9225740909291792	0.8164191887632744	0.8740847196216981	0.8791457886613481	0.8495642401096015	0.7434406654407919	0.804716690339439	0.852294207713613	0.6644953727608531	0.9333591412237975
CosteaPI_2017__SID713B005-11-90-0__bin.30	0.624270112523547	0.6315704287360479	0.8268767446668485	0.801858561830293	0.7546276657521023	0.6645009254095977	0.7835237554744134	0.8444294625375909	0.6534338997262896	1.0	0.6701402817165916	0.7298405264332729	0.6114338124157268	0.8062467412979786	0.831045824042858	0.8012346207797493	0.8916142322806919	0.8713194685257776	0.8535867755797297	0.6840486072729699	0.7337554991240115	0.7586254187406357	0.6643279516530114	0.7748371781555561	0.7694894061810936	0.7300744528469421	0.6356138962173934	0.7384323800282854	0.6947009077827483	0.608152664990194	0.8396100842052721
