	HMP_2012__SRS011306__bin.5	CM_cf__CF_TNFC022IS_t3M16__bin.22	CM_cf__CF_TNFC022SA_t1M16__bin.10	HMP_2012__SRS015209__bin.36	HMP_2012__SRS057205__bin.52	HMP_2012__SRS013948__bin.18	CM_cf__CF_TNFC008IS_t1M15__bin.2	HMP_2012__SRS023926__bin.20	HMP_2012__SRS050244__bin.68	HMP_2012__SRS016225__bin.33	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.8	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.7	HMP_2012__SRS019327__bin.41	HMP_2012__SRS019126__bin.45	HMP_2012__SRS020334__bin.15	HMP_2012__SRS019127__bin.40	HMP_2012__SRS047824__bin.72	CM_cf__CF_TNFC022IS_t1M15__bin.9	HMP_2012__SRS019122__bin.33	HMP_2012__SRS016569__bin.28	HMP_2012__SRS058336__bin.54	HMP_2012__SRS053603__bin.58	CM_cf__CF_FIFC013SS_t5M16__bin.5	HMP_2012__SRS024441__bin.54	HMP_2012__SRS016002__bin.44	HMP_2012__SRS023617__bin.17	HMP_2012__SRS023835__bin.51	HMP_2012__SRS018739__bin.54	HMP_2012__SRS054687__bin.35	HMP_2012__SRS024580__bin.26	CM_cf__CF_TNFC022IS_t2M15__bin.18	CM_cf__CF_TNFC018IS_t3M15__bin.20	CM_cf__CF_TNFC004SA_t1M15__bin.22	HMP_2012__SRS018439__bin.19	HMP_2012__SRS049147__bin.40	Castro-NallarE_2015__ES_116__bin.9	HMP_2012__SRS016037__bin.25	HMP_2012__SRS075404__bin.9
HMP_2012__SRS011306__bin.5	1.0	0.9020036313328793	0.8733871352100225	0.8529199193820597	0.927736345124175	0.8673975904715705	0.7909319833462712	0.9094497570950382	0.6896836065755722	0.8713951904752267	0.5866332738992563	0.7304130331031051	0.9054776195117875	0.8816376123039639	0.9017209331781214	0.5582217829047921	0.8024507906081536	0.8947729568203052	0.8032329439324032	0.8381275588916405	0.9331820386780695	0.6813384615083284	0.9127376737402141	0.8154398894278072	0.4870425659852096	0.5962332592746866	0.6670912579676157	0.7583035238031194	0.6136142991729936	0.48414572600215844	0.9057851272043764	0.900599933797707	0.649302166460247	0.8980021140337763	0.6897286554732126	0.795409452042184	0.933432745586677	0.9289258971749118
CM_cf__CF_TNFC022IS_t3M16__bin.22	0.7749062195718407	1.0	0.907079412728113	0.7898202242653493	0.8571329214173857	0.8453251129627884	0.7596994314841987	0.8472439098810469	0.6446697717411302	0.8269033164169595	0.5586610039441625	0.7036072933353077	0.8657240387506113	0.8553195713920336	0.8435241024674573	0.5326015992030907	0.7566066965507648	0.9545310754236946	0.7742466156034479	0.7924889280762448	0.8762760195817124	0.6396767491844693	0.8933157887651945	0.7770499324691176	0.469549405234653	0.5625530038903173	0.6223941156146656	0.7348919281525256	0.5849554206433607	0.47632100277751604	0.9670136318153468	0.8771958754560018	0.635387640726731	0.8470526471657222	0.6394075230749211	0.7404626650692584	0.8759826752998506	0.8652366273147837
CM_cf__CF_TNFC022SA_t1M16__bin.10	0.7967599279322205	0.9632192260158727	1.0	0.8251248529608839	0.886043568248485	0.8704227281525931	0.7968385473279829	0.8714912372131807	0.665575723283551	0.8565434267931327	0.5883577778108667	0.7318411530844712	0.8905016453490969	0.875116067839009	0.8721839217379651	0.5584097440402627	0.788847957831415	0.9691371223514347	0.8038928512931998	0.8181122410994803	0.9146098065784184	0.6677181018180736	0.9171280096487441	0.8074384669217827	0.4861078932086541	0.5839705772867374	0.6451686296698879	0.7568200836820084	0.6109501332658318	0.4864539376703048	0.9680942241546181	0.9047412856058011	0.6601188224958681	0.8843663544722227	0.6607424172486189	0.7731306302952694	0.9019377894250956	0.8933903125418783
HMP_2012__SRS015209__bin.36	0.8199427467141497	0.8838176305223656	0.8695093301767245	1.0	0.904160685784151	0.8430737771540435	0.7734666607250116	0.8837580047587635	0.6725823792688124	0.8680958857595475	0.5632111549133826	0.7234462938194444	0.884676869157852	0.8570575878177661	0.8837398032098746	0.5432164396389566	0.7992764570496795	0.8938743001033722	0.7790645784678187	0.8312251964668911	0.9104383372320214	0.6646308129627665	0.8939270218311888	0.7911108656342832	0.4871443715475898	0.5837324598263572	0.6541881450173888	0.7306723087283958	0.6009391999226747	0.4899963659666184	0.8963654017427042	0.8767114947802351	0.6344984625967585	0.8803405070449409	0.6756534199141263	0.7898336190139656	0.917024159731772	0.894957606082079
HMP_2012__SRS057205__bin.52	0.845540544721891	0.9093209184535668	0.8852057999576333	0.8571961555763422	1.0	0.8740762029889966	0.7927630247940572	0.9120557146291364	0.684389288357956	0.878966228004408	0.5840342884888644	0.7367847936764086	0.9107561509112417	0.8811869110608105	0.9130363378008811	0.5548292120978433	0.8076871812082135	0.9069728971940373	0.7958774554256786	0.8318754894190283	0.9316300956107593	0.6790851166632155	0.9214924275421823	0.8173607193775423	0.5001832718063698	0.6132845877931457	0.6756904229770482	0.7553874770612723	0.6163401096298624	0.49910803753977834	0.9135028478534587	0.9114951885200444	0.6491493332000448	0.9068128318826298	0.691053717680493	0.799159686867028	0.9476277011765097	0.9286233669172969
HMP_2012__SRS013948__bin.18	0.8174266582907925	0.9272855584466404	0.8991664938783722	0.8264582050239248	0.9037951692699762	1.0	0.7991273011863019	0.8812196864215472	0.682329387197341	0.8714713502651505	0.6025473404036047	0.7417521532908018	0.903668423672386	0.9440528935220079	0.8835724784855501	0.5789763508711914	0.7975257536594715	0.9235994765283766	0.8611022067885188	0.8352221093543788	0.9097817453114896	0.6759096611524128	0.9421566317172859	0.8251599855534629	0.4731714640285534	0.5769268868635571	0.6621626859730155	0.7625894986965507	0.6231662649979727	0.4768790803930098	0.9326820906624795	0.9107969406319929	0.6658456915418233	0.8933983386482397	0.6802700788714473	0.7859180718918257	0.9147605092711943	0.9235742504628368
CM_cf__CF_TNFC008IS_t1M15__bin.2	0.7717814197206428	0.8628913628617388	0.8523242072403523	0.7850937295937057	0.8487674200073264	0.8274477200694411	1.0	0.8336419959545766	0.6479417713857965	0.8359010623218182	0.571711978594295	0.7042381384681542	0.8538697501075063	0.8317059263860354	0.8364769777183175	0.5375042604360776	0.764998486947935	0.8656479844553809	0.763201936706643	0.7843139503400386	0.8634545367671652	0.6362438084316817	0.8733890773567777	0.7853466481915046	0.43026868619300174	0.5389886441460812	0.6346326468855018	0.7252577762912705	0.5942554987497412	0.4327303422683039	0.8702368324653192	0.8696042174335452	0.6477296255594311	0.8495255387261694	0.6419303358975584	0.7520945418637616	0.8722703744405689	0.8670183318202813
HMP_2012__SRS023926__bin.20	0.8658725945669754	0.9389508899433971	0.9095312272727838	0.8752525246246474	0.9527671726068746	0.8902846550808887	0.8133916061747166	1.0	0.7083537943029201	0.8941130837903123	0.5978465321609145	0.7540400831948203	0.9233301051621317	0.9022423565069613	0.9320760041622275	0.5670860802832502	0.8258198581013629	0.9298283019032121	0.8191252360522492	0.85771597149098	0.9593704195918084	0.6961431020528931	0.9374615385571691	0.8309356184972967	0.5202510762988002	0.6168513023122243	0.6835768551313626	0.7742712683231867	0.6311530538541007	0.5038402390918686	0.9429751223617782	0.9287939610406563	0.6756657636904089	0.919026153159526	0.7125601552505852	0.8118021773372436	0.9621209955033523	0.93959175859081
HMP_2012__SRS050244__bin.68	0.8519013137786681	0.9269062935732022	0.9011895862214125	0.8641907208887664	0.9275401589179451	0.8943404534314615	0.820200788541392	0.9189974927641771	1.0	0.8827937816680659	0.6032301326359202	0.752206230428601	0.9437996920995055	0.9001670146474507	0.9226337508296297	0.584189978959864	0.8264160559866002	0.9268200040160934	0.8099807179129862	0.8632633097609618	0.9382949022226416	0.7163073553379768	0.9360900830718437	0.8341014716804932	0.4839537713778346	0.6050704388912679	0.6824342687282613	0.803401744016787	0.6390669115032044	0.4755538458933026	0.9313457703197794	0.9295643345099358	0.6706521151828492	0.9433900183143537	0.7138404417380169	0.816387919139427	0.9418851929539335	0.9204321574566677
HMP_2012__SRS016225__bin.33	0.7734256251865201	0.8543135044924189	0.8333589270347717	0.8014857868035012	0.855984145426309	0.820778415527747	0.7603316943706412	0.8335287146843138	0.634341725170005	1.0	0.5518567988943521	0.6790874348447138	0.8458982954594843	0.8191350101553876	0.839496779539719	0.5163103347366408	0.748462204863576	0.8556700672486578	0.753908737689671	0.788896583095988	0.86937882637909	0.633231441427607	0.8685901540547667	0.7807496733181316	0.47031874299191334	0.5697325989389721	0.6189345100641195	0.7100171815829656	0.5726427476625224	0.47256133071794676	0.8593700472565966	0.8569414464401093	0.6133176101084497	0.8382311951485931	0.6398357753587706	0.7617433077299739	0.8729356748189849	0.8647458835187186
