	QinN_2014__LD-44__bin.36	BackhedF_2015__SID582_12M__bin.30	HeQ_2017__SZAXPI029475-44__bin.13	QinN_2014__LD-91__bin.21	XieH_2016__YSZC12003_36212__bin.18	VatanenT_2016__G80274__bin.12	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	LiJ_2017__nHM612709__bin.42	BackhedF_2015__SID504_12M__bin.16	QinN_2014__LD-21__bin.7	LomanNJ_2013__OBK2535b__bin.9	QinN_2014__LD-78__bin.30	VatanenT_2016__G78889__bin.6	VatanenT_2016__G80445__bin.7	VatanenT_2016__G80267__bin.3	QinN_2014__LD-63__bin.9	GeversD_2014__SKBSTL021__bin.6	QinN_2014__LD-36__bin.6	BackhedF_2015__SID180_12M__bin.10	BackhedF_2015__SID195_12M__bin.33	QinJ_2012__CON-060__bin.43	BackhedF_2015__SID526_12M__bin.22	BackhedF_2015__SID256_12M__bin.21	CosteaPI_2017__alien-11-600-0__bin.10	NielsenHB_2014__V1_UC14_1__bin.34	BackhedF_2015__SID275_12M__bin.27	VatanenT_2016__G78672__bin.6	QinJ_2012__T2D-016__bin.32	QinN_2014__LV-10__bin.11	QinJ_2012__T2D-101__bin.23	Obregon-TitoAJ_2015__NO01__bin.15	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	VatanenT_2016__G69175__bin.1
QinN_2014__LD-44__bin.36	2201674.0	1948653.0	1897373.0	1229591.0	1749816.0	1931474.0	1156677.0	1457882.0	1730410.0	1178566.0	1649282.0	1911463.0	1943576.0	1977824.0	1665542.0	1876081.0	1293207.0	1142297.0	2018918.0	1643508.0	1921101.0	1561458.0	1938818.0	1018058.0	1943341.0	1405632.0	1919020.0	1918576.0	1973151.0	1445045.0	1859633.0	1865850.0	2006721.0
BackhedF_2015__SID582_12M__bin.30	1948653.0	2810350.0	2346744.0	1534867.0	2051890.0	2391514.0	1343180.0	1799258.0	2069238.0	1392291.0	1943583.0	2324112.0	2429663.0	2405768.0	1949308.0	2346800.0	1626566.0	1391139.0	2470945.0	2001574.0	2398492.0	1909769.0	2347702.0	1293195.0	2388670.0	1843779.0	2283535.0	2261027.0	2304380.0	1681826.0	2246645.0	2260147.0	2436854.0
HeQ_2017__SZAXPI029475-44__bin.13	1897373.0	2346744.0	2587608.0	1494792.0	2006563.0	2409271.0	1325337.0	1785466.0	2045407.0	1371855.0	1956934.0	2316671.0	2302178.0	2327331.0	1883928.0	2309624.0	1539032.0	1413239.0	2471781.0	1981885.0	2340882.0	1913724.0	2308305.0	1236495.0	2305088.0	1786426.0	2224521.0	2256847.0	2291635.0	1673219.0	2231438.0	2171658.0	2388996.0
QinN_2014__LD-91__bin.21	1229591.0	1534867.0	1494792.0	1755125.0	1157926.0	1529978.0	1323522.0	921650.0	1439418.0	1217929.0	1157647.0	1526775.0	1536878.0	1529279.0	1063184.0	1570375.0	1423297.0	1354457.0	1535329.0	1156463.0	1534182.0	1050546.0	1507091.0	1231842.0	1513669.0	1474553.0	1443061.0	1381526.0	1513820.0	1050626.0	1414207.0	1502856.0	1541507.0
XieH_2016__YSZC12003_36212__bin.18	1749816.0	2051890.0	2006563.0	1157926.0	2647193.0	2050905.0	1021940.0	1860296.0	1749913.0	1092081.0	1947666.0	1975978.0	2130051.0	2397540.0	2129391.0	1946213.0	1248393.0	1058969.0	2300389.0	1987754.0	2018739.0	1963200.0	2141959.0	940909.0	2163384.0	1490170.0	2184965.0	2151403.0	2029476.0	1554981.0	2056872.0	1995947.0	2229964.0
VatanenT_2016__G80274__bin.12	1931474.0	2391514.0	2409271.0	1529978.0	2050905.0	2653870.0	1371063.0	1849628.0	2100617.0	1417785.0	1972989.0	2373104.0	2404308.0	2425518.0	1952981.0	2358535.0	1588888.0	1433445.0	2489310.0	2026728.0	2432134.0	2005140.0	2384986.0	1274086.0	2375599.0	1827973.0	2313775.0	2323591.0	2324442.0	1697743.0	2260545.0	2269846.0	2454172.0
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	1156677.0	1343180.0	1325337.0	1323522.0	1021940.0	1371063.0	1494955.0	776019.0	1286491.0	1174973.0	983122.0	1333288.0	1369948.0	1378510.0	958127.0	1360897.0	1299336.0	1238755.0	1364629.0	973773.0	1349610.0	883409.0	1364793.0	1214928.0	1336422.0	1334888.0	1295926.0	1225696.0	1427178.0	935806.0	1233048.0	1394066.0	1361889.0
LiJ_2017__nHM612709__bin.42	1457882.0	1799258.0	1785466.0	921650.0	1860296.0	1849628.0	776019.0	2128915.0	1480577.0	827394.0	1644306.0	1831668.0	1765341.0	1836948.0	1772302.0	1740487.0	995120.0	825229.0	1941606.0	1795512.0	1824675.0	1815968.0	1788596.0	678116.0	1843026.0	1192935.0	1750686.0	1858715.0	1774244.0	1341029.0	1743571.0	1662300.0	1882180.0
BackhedF_2015__SID504_12M__bin.16	1730410.0	2069238.0	2045407.0	1439418.0	1749913.0	2100617.0	1286491.0	1480577.0	2257034.0	1354730.0	1686290.0	2049457.0	2083506.0	2089559.0	1662031.0	2060941.0	1512373.0	1343449.0	2129447.0	1710218.0	2065675.0	1620248.0	2101056.0	1182981.0	2063732.0	1594210.0	2008603.0	1973380.0	2062976.0	1506106.0	1923246.0	2058953.0	2096238.0
QinN_2014__LD-21__bin.7	1178566.0	1392291.0	1371855.0	1217929.0	1092081.0	1417785.0	1174973.0	827394.0	1354730.0	1533894.0	1068476.0	1391303.0	1431641.0	1409119.0	1003672.0	1420428.0	1242250.0	1148572.0	1441331.0	1078833.0	1399129.0	988351.0	1444916.0	1070979.0	1425667.0	1282788.0	1367491.0	1302345.0	1412601.0	990331.0	1333429.0	1416980.0	1434116.0
