	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	ZeeviD_2015__PNP_Main_166__bin.6	LiuW_2016__SRR3993020__bin.68	HMP_2012__SRS024435__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	LiuW_2016__SRR3992958__bin.38	LiJ_2017__H2M415914__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	VatanenT_2016__G80433__bin.10	HMP_2012__SRS017103__bin.53	XieH_2016__YSZC12003_37830__bin.113	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.13	WenC_2017__N252__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.24	ZeeviD_2015__PNP_Main_520__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.16	XieH_2016__YSZC12003_37332__bin.24	CM_madagascar__A89_01_1FE__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.76	LiuW_2016__SRR3992987__bin.62	LiJ_2017__H2M515921__bin.40	YuJ_2015__SZAXPI015264-87__bin.24	XieH_2016__YSZC12003_35387__bin.46	LiuW_2016__SRR3992984__bin.72	LouisS_2016__AS66_18__bin.38	XieH_2016__YSZC12003_36244__bin.54
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	1.0	0.543302579187427	0.5947681522758156	0.7466647530363519	0.8434883022763423	0.9070502354291974	0.4990657885034709	0.9364071239716432	0.46728350520893686	0.7120604136601604	0.7477786965544121	0.7226524232880032	0.8785344005772492	0.9245346059852738	0.5810742839686938	0.586026789946594	0.8231960303582526	0.9511013688601435	0.945737717653503	0.9114144975930393	0.933196306869055	0.944303482456048	0.9104220213202996	0.5828350652565494	0.5445402942074937	0.7669810550598843
ZeeviD_2015__PNP_Main_166__bin.6	0.6395977661598248	1.0	0.5388060169991037	0.6864090488275671	0.7883509675879261	0.8406499698312995	0.45308156709832903	0.8776987617463202	0.47661741631140453	0.6659966386215946	0.6956557458683219	0.6631386531777504	0.8179438083247013	0.8533270244515672	0.5342692799698042	0.5636466576683722	0.761609524396345	0.909772140086627	0.8956980634290632	0.8426666418651658	0.8565136297810221	0.8934109000270879	0.8322527241929727	0.5181045142994215	0.5242211844344231	0.7434780772171476
LiuW_2016__SRR3993020__bin.68	0.6434633529454291	0.495157518213394	1.0	0.6944640612886005	0.7745178796998962	0.9514811637341117	0.6207076950142826	0.9396583499557152	0.44203320487713327	0.6849457666969021	0.7797220118085686	0.6470948136387934	0.8982439570919967	0.9060150764202209	0.6167243775821672	0.5155263908579927	0.8541247545817053	0.9596237269677178	0.9519384350423671	0.9445490873982937	0.965164402212139	0.9455423348116302	0.9335955876880057	0.7119251300142702	0.571138630486677	0.7545382574757983
HMP_2012__SRS024435__bin.32	0.6532540302420795	0.5101222608523355	0.5616038946526861	1.0	0.8029806626715603	0.8842502033264905	0.4710772387225797	0.8876736339109419	0.44899212268248123	0.7324289624473828	0.7340515424013492	0.7105696367310169	0.8293701947556741	0.8716255290520724	0.542837377975306	0.5554600362646908	0.7993363377270287	0.9121917558884043	0.8945020632166827	0.8597905449149945	0.8801629376703507	0.8961952026468155	0.8656311415544051	0.544589844964991	0.5387397443961376	0.7217629616317729
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	0.6439968885833881	0.5112803931744869	0.5465879345898799	0.7007342490817174	1.0	0.8553915094517448	0.4568175335111884	0.8798663950669721	0.43386920237905247	0.6572681611351896	0.697974437626527	0.6919740279650506	0.8207793872419352	0.8757288141556889	0.5293057494605914	0.5480994095094242	0.7703379958506068	0.9141620977683502	0.8981805249950049	0.857045988898928	0.8725776880264495	0.8910373357427125	0.8479110406281141	0.5259721606124313	0.5032266496100047	0.7143857779609666
LiuW_2016__SRR3992958__bin.38	0.6214858436839577	0.489271513021826	0.602592862410938	0.6924981561716936	0.7676444783262776	1.0	0.5085528823490937	0.9027081157766295	0.4411736446452294	0.6688455041037866	0.735804100854589	0.6614695142442785	0.8541740438594315	0.8691078126444896	0.5574372252583051	0.5119443987089819	0.8105282032428823	0.9281644491858962	0.9151762293880294	0.9020659898820627	0.9112328050323544	0.9097642831849625	0.8851654709035999	0.5843325341531133	0.5343700873534805	0.7262337861520036
LiJ_2017__H2M415914__bin.38	0.6404243446495004	0.4938797907001205	0.7362427824532457	0.6909485447896588	0.7677999730497047	0.9524589187524632	1.0	0.943194860350582	0.42408232766067633	0.6907153698209918	0.7861084322742881	0.6464349363690011	0.9101030236288192	0.9065027514223885	0.6099320708936389	0.5339554711845161	0.8479868171659019	0.955675212613752	0.9567173188595886	0.9450264666261989	0.9725605441763073	0.954612407865262	0.9230129754266532	0.7062379795557933	0.5803175826176509	0.7630287569788804
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	0.6393156169549539	0.5090153959216146	0.5929860401770514	0.6927036523877107	0.7867968819353846	0.899493544860104	0.5018131026585805	1.0	0.4305911490025407	0.6655346433519757	0.7302008852570651	0.6621228414976329	0.8662848307302641	0.9048677901498015	0.5597564250807103	0.5333394013558659	0.8149574508012599	0.9456435531193569	0.9530218190358362	0.8948537550384252	0.9215260851927889	0.939280894381573	0.8984408553214872	0.5780119584992207	0.526684129087066	0.7602409679170165
VatanenT_2016__G80433__bin.10	0.6462256613781905	0.5598974444418647	0.5650443422591449	0.7097183318515403	0.7858829506392195	0.8904579355140047	0.4570291391988666	0.8722043390360743	1.0	0.6945416752592455	0.7253793595103117	0.6996958568519613	0.8197188189540225	0.8527616662182592	0.5332078703014527	0.5654212776379445	0.770047567605955	0.8871797813319567	0.8815334896613636	0.8424196155714372	0.8563607617554445	0.8796565517787662	0.8451920025966659	0.5336134855460305	0.538489517964294	0.7097315336945176
HMP_2012__SRS017103__bin.53	0.62852034818345	0.4993549575579507	0.5588336819080704	0.738944059711172	0.7598719096801112	0.8616450790525663	0.47510717293006755	0.8604439054239934	0.4432993165455711	1.0	0.7132141302648684	0.679014386770935	0.8069501289213206	0.834403948821984	0.5418699373611489	0.5336964941652715	0.7781707758582115	0.8890916349617652	0.8610532090280373	0.8409796044553256	0.8520917680380888	0.8579692088118609	0.8235869938523387	0.5402477427872923	0.534221535468327	0.6957334800853315
