	ZeeviD_2015__PNP_Main_587__bin.30	LiJ_2014__MH0381__bin.36	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	NielsenHB_2014__V1_UC48_0__bin.17	ZeeviD_2015__PNP_Main_370__bin.19	XieH_2016__YSZC12003_37286__bin.39	ZeeviD_2015__PNP_Main_362__bin.44	XieH_2016__YSZC12003_36526__bin.18	ZeeviD_2015__PNP_Main_456__bin.45	ZeeviD_2015__PNP_Main_391__bin.36	LiJ_2014__MH0367__bin.73	LeChatelierE_2013__MH0009__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.51	FengQ_2015__SID31223__bin.25	ZeeviD_2015__PNP_Main_630__bin.20	ZeeviD_2015__PNP_Main_39__bin.63	XieH_2016__YSZC12003_35550__bin.129	LouisS_2016__AS66_12__bin.19	ZeeviD_2015__PNP_Main_696__bin.15	ZeeviD_2015__PNP_Main_575__bin.21	XieH_2016__YSZC12003_37315__bin.107	ZeeviD_2015__PNP_DietIntervention_15__bin.11	XieH_2016__YSZC12003_36051__bin.12	ZeeviD_2015__PNP_DietIntervention_46__bin.3	FerrettiP_2018__CA_C10009MS2134FE_t0M15__bin.20	ZeeviD_2015__PNP_Main_736__bin.22	LeChatelierE_2013__MH0422__bin.90	XieH_2016__YSZC12003_35740__bin.65	ZeeviD_2015__PNP_Main_145__bin.10	LeChatelierE_2013__MH0313__bin.71	NielsenHB_2014__MH0009__bin.20	XieH_2016__YSZC12003_35549__bin.15	ZeeviD_2015__PNP_Main_245__bin.6	BackhedF_2015__SID133_M__bin.53	KarlssonFH_2013__S195__bin.8	LouisS_2016__AS66_18__bin.31	ZellerG_2014__CCIS90443472ST-4-0__bin.48	NielsenHB_2014__V1_UC49_0__bin.29	ZeeviD_2015__PNP_Main_666__bin.37
ZeeviD_2015__PNP_Main_587__bin.30	1.0	0.903114725449109	0.8964968680794727	0.7352368172472253	0.9318417445924008	0.8611885170593719	0.6808835123363447	0.5018085738256071	0.8988047172954952	0.9551742294104392	0.7636553364587917	0.9156379121129211	0.6923603841133212	0.9128350019864249	0.9555299315175106	0.5805423642333384	0.7153068225687087	0.8149152130925348	0.9650299312365452	0.8902077401452816	0.9066447738481966	0.7667375261227515	0.9237089221664225	0.8369906590266575	0.8117897547678412	0.914979329380713	0.8894148559856011	0.9453016696645667	0.556950267450897	0.8253834193368207	0.8962726577465794	0.6056949424554908	0.9619730284522351	0.44051711106952823	0.8802407760487171	0.722474810053389	0.7820096775698072	0.8126821006541435	0.9632272576828564
LiJ_2014__MH0381__bin.36	0.8805022349983372	1.0	0.9020934310936234	0.7040724140556989	0.9143381210893008	0.8636560617241948	0.6705093626679947	0.4875210994909825	0.8539392016900411	0.8977708089877668	0.7572675111393807	0.9296349438798739	0.6900038952906429	0.9167492566897919	0.9042026953658094	0.5478646849444003	0.6694339118196048	0.8144482959062194	0.9049127230273037	0.8404590854777977	0.8750521152633485	0.7622409919349404	0.9127772655278831	0.7763149893084955	0.8072976160930837	0.8586442306691408	0.8572663606315959	0.8953295410405302	0.5440417119336693	0.8021542984340493	0.896035733676075	0.5919324202684408	0.905314305030294	0.43761207178511147	0.8632670805207527	0.7196776825047759	0.778891031024812	0.7960916702688517	0.8966959060002269
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	0.8945660584719247	0.9232676542822218	1.0	0.7264155386841014	0.9319980711217772	0.8864249587870496	0.6873462224265736	0.5059840082538045	0.8809887743773199	0.914492940529993	0.7828470018279485	0.9373961265433829	0.7098305502910139	0.9424039205571318	0.9321500263538595	0.5650317928474504	0.6897461057967277	0.8388624104249139	0.9209193571901179	0.8719325789774702	0.9205705890928665	0.7848498951452827	0.918542463356921	0.7987720222942436	0.832817844366442	0.8861300198495027	0.8775706227360913	0.9143151921588857	0.5554630989895818	0.8183843402002894	0.911390474481614	0.6181847237330522	0.9217099729732761	0.4531518094447746	0.8781111572147896	0.7386953157416649	0.7965240941561719	0.819919031972278	0.9201461237397809
NielsenHB_2014__V1_UC48_0__bin.17	0.8639011606832178	0.8485288262633052	0.8553784352862488	1.0	0.8969323338652884	0.8264607250126936	0.642805500551653	0.49496909620683255	0.838890249772373	0.8884710132918333	0.7329259926617935	0.8698567682971519	0.658226694723609	0.8669595170543644	0.8885561877244494	0.554767490305631	0.6926701788465005	0.7740883529575666	0.8829980607960574	0.8242910879152006	0.8718936917438244	0.736115081883002	0.8767796669481605	0.7763451452884343	0.7803206124107732	0.8530774050717743	0.8210478568065926	0.8688822143239626	0.5502142896287253	0.7962964307951133	0.8530093975790654	0.6057546223636368	0.873258463466441	0.44435303415758853	0.8272741738575237	0.6825958261886951	0.7444938690915189	0.8907370493595741	0.8772801492731451
ZeeviD_2015__PNP_Main_370__bin.19	0.8671107446192717	0.8726733098832008	0.8691280765226594	0.710322014905667	1.0	0.8416373540009632	0.6675805141843323	0.48358917752154723	0.8423746370449695	0.8774781991678636	0.7303635642040193	0.892403213299122	0.6568946161082226	0.8793721276681411	0.8977487768160562	0.547904312164595	0.6665038717817726	0.7818557257348908	0.8871115080471046	0.8353500551916492	0.8761929213507235	0.7301313984795237	0.903336441077228	0.7698855956331928	0.7846192299104751	0.8532404112679857	0.8377689710509212	0.8805026283356175	0.5400305475712276	0.7838008980212056	0.8623623280784051	0.5862791102614636	0.8894676764132696	0.4196081732792938	0.8406386230690113	0.6891499649398383	0.7451123624588023	0.7944627428916241	0.8912167627836252
XieH_2016__YSZC12003_37286__bin.39	0.8989993735085632	0.9247289309991248	0.927341071793103	0.7342544165299882	0.9441777358552547	1.0	0.7014521930719902	0.5207422633000378	0.8818565029576496	0.9302957884289144	0.7871735850561847	0.9534888768439849	0.7124938113439532	0.9436814701665717	0.9439753580034868	0.5886614435582836	0.719569996926203	0.8333262941037066	0.9208250915686454	0.871298245120054	0.9087698242304362	0.7857334759950537	0.9288867692986347	0.8122050856087644	0.827618065478914	0.9001444215278414	0.8780934481197045	0.9122583491129398	0.5559900324508485	0.8352004889918181	0.9302359549770873	0.6267542346832229	0.9239211793994598	0.45542466499133	0.89574372980621	0.7426158481215815	0.7983225515799551	0.831671488538961	0.922796075864124
ZeeviD_2015__PNP_Main_362__bin.44	0.8943975682616215	0.9033896265808256	0.904835648764976	0.7186220936541106	0.9423864606853953	0.8826625704649784	1.0	0.5578493760107947	0.8901170768650475	0.9263104437642047	0.7502419263761385	0.9219760679268737	0.6484741476477965	0.9278671874019654	0.935316526800866	0.6481286967125324	0.7149380218209841	0.8177414152120943	0.9325388946012957	0.8983894457357846	0.9276117899156376	0.7581341515894803	0.9524008470929344	0.8124762410214128	0.815887938078658	0.8795638460499383	0.8643049534563916	0.9033564101447424	0.5972064239111099	0.8260152603688796	0.9024817106612212	0.635939002813063	0.9221229583886633	0.452428527456337	0.8842399821074131	0.6891465664170021	0.7690867177806106	0.8105858567367731	0.9260365927022752
XieH_2016__YSZC12003_36526__bin.18	0.9332546048334422	0.9299678641410842	0.9430510777269758	0.7834356629653821	0.9665097322011758	0.927734552580013	0.7898074461136512	1.0	0.9344606139777923	0.9614202482037884	0.8017504898758981	0.9509852384062704	0.7016987589810582	0.9583477465708687	0.9726902677988243	0.6675939908556499	0.7884070542129328	0.8480480731548008	0.9671534944480732	0.9329065969954278	0.9460535597648596	0.8118500326583932	0.960078380143697	0.8744684519921619	0.8481118223383409	0.9466231221423906	0.9034513389941214	0.9470317439581972	0.6474785107772698	0.8923380796864794	0.9347615937295886	0.7049154800783801	0.953862312214239	0.4797199216198563	0.9439216198563031	0.7285403004572175	0.8233645983017636	0.8704522534291312	0.9658795558458524
ZeeviD_2015__PNP_Main_456__bin.45	0.926383644156145	0.9027447005675895	0.9099808872929457	0.7358577551256805	0.9330360245569327	0.8706874782810147	0.6984171203521371	0.5178744353063824	1.0	0.9469917757442372	0.7699490327811884	0.9183412486968608	0.6934454998262481	0.923155334182787	0.9583910575697904	0.5969686088265956	0.7237530406579404	0.8246988300706591	0.951411444457315	0.8945939997683309	0.9123653422912081	0.7835485926097533	0.925604656550446	0.8305635352716321	0.8231304297463222	0.9195331866095217	0.9038642418626202	0.9360761033244527	0.5680192285416426	0.8315979381443299	0.8987843159967567	0.6164160778408433	0.9432989690721649	0.4491277655507935	0.8914473531796594	0.7271933279277192	0.7907158577551257	0.8264815243831808	0.9532503185451175
ZeeviD_2015__PNP_Main_391__bin.36	0.9179849789892708	0.8849748308691654	0.8807845661734011	0.7267071453761004	0.9062685474163095	0.8564714180095514	0.6777222544153314	0.49682584343995945	0.8830263226822447	1.0	0.7550679844659397	0.8964152957892674	0.6766826540107244	0.8949463539188615	0.9520336474096668	0.5804793826987811	0.7162123117850722	0.8013007696283307	0.94690963253231	0.8757637012582675	0.8923902870539236	0.7528553907736409	0.9063760177957987	0.8053101168510854	0.7989196796626619	0.8955625534314104	0.8728333782476712	0.9185201706780841	0.5484235067422811	0.8103207207752124	0.8776733256897952	0.5920391991458535	0.9330702559253172	0.4350730393541408	0.8626193717789264	0.7091894735193525	0.7663707360856912	0.811372742379459	0.9311449699812008
LiJ_2014__MH0367__bin.73	0.8822652979609643	0.8973535644171142	0.9063899045403081	0.7206512085674813	0.9067937125406405	0.8711865463119735	0.6598501885302946	0.49805691745177677	0.8630545543310031	0.9076844272937853	1.0	0.9125684266289952	0.8058839110427855	0.9099391301638085	0.9135811926748449	0.5591643641387334	0.6878830333122125	0.9578234878623885	0.9041683113294762	0.8463919560407599	0.9046707990983786	0.9058491134401845	0.9002834446510372	0.7881949133176138	0.9577773940231222	0.8763672341618971	0.8747461592795338	0.8847381350562474	0.5475467690166301	0.8093338076887121	0.8933167828317977	0.5970911541377985	0.8995323098336986	0.5225398874011904	0.8715728256692047	0.8546239262083078	0.9183502820163912	0.8086118872765422	0.9041657144934612
LeChatelierE_2013__MH0009__bin.33	0.8498971433817086	0.8850493836948267	0.8719711542473733	0.6871531457851736	0.890166656930408	0.8478071511428977	0.6514850576247423	0.47462904854498567	0.8270298012968696	0.8657627245946239	0.733172615520709	1.0	0.6647734859422334	0.8855949619034108	0.8738008754287431	0.5299473407495806	0.6518882430503976	0.7860431079806721	0.874866474166924	0.8161474459011742	0.8581548816210036	0.7366197726722692	0.8789124112261845	0.7503348577532609	0.7815126181912256	0.8306120490373622	0.8301733958122961	0.8659770961469452	0.5207825656988826	0.7729544468275097	0.9070759302995152	0.5818043929999082	0.8756785824563746	0.4234943919150108	0.8360485324676409	0.701597407095229	0.7475422901349446	0.7719076251596051	0.8701643828185635
