	XieH_2016__YSZC12003_36695__bin.8	XieH_2016__YSZC12003_37199__bin.80	LiuW_2016__SRR3992987__bin.97	FengQ_2015__SID31137__bin.52	XieH_2016__YSZC12003_37296R1__bin.49	CosteaPI_2017__SID713A062-11-90-0__bin.58	QinJ_2012__T2D-084__bin.22	LiJ_2014__O2.UC47-1__bin.24	VincentC_2016__MM034.2__bin.23	BackhedF_2015__SID42_4M__bin.11	IjazUZ_2017__S33_a_WGS__bin.8	VincentC_2016__MM058.1__bin.1	YuJ_2015__SZAXPI003424-12__bin.38	XieH_2016__YSZC12003_37652__bin.56	LeChatelierE_2013__MH0101__bin.17	ZellerG_2014__CCIS58234805ST-4-0__bin.18	VatanenT_2016__G69211__bin.2	ZeeviD_2015__PNP_Main_319__bin.19	ZellerG_2014__CCIS44093303ST-4-0__bin.45	QinJ_2012__DLM022__bin.52	HMP_2012__SRS012273__bin.44	NielsenHB_2014__MH0101__bin.36	FengQ_2015__SID31873__bin.55	CosteaPI_2017__SID713B026-11-0-0__bin.28	VatanenT_2016__G78521__bin.10	FengQ_2015__SID530227__bin.21	IjazUZ_2017__S34_a_WGS__bin.12	LiJ_2014__MH0336__bin.3	ZeeviD_2015__PNP_Main_448__bin.40	CosteaPI_2017__SID713A089-11-90-0__bin.48	ZeeviD_2015__PNP_Main_381__bin.25	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.14	XieH_2016__YSZC12003_37880__bin.55	ZellerG_2014__CCMD45988061ST-21-0__bin.51	LiuW_2016__SRR3992973__bin.26	IjazUZ_2017__S32_a_WGS__bin.1	KarlssonFH_2013__S58__bin.29
XieH_2016__YSZC12003_36695__bin.8	6953842.0	6312058.0	3821795.0	6136940.0	5807783.0	6234894.0	5777561.0	5654482.0	4101726.0	5963097.0	4720736.0	6604352.0	5928295.0	5743601.0	6154386.0	5726921.0	5623501.0	5805091.0	5067605.0	6220769.0	5777109.0	5800571.0	5997059.0	5784968.0	5746100.0	6746769.0	3648353.0	5635432.0	5774307.0	5132707.0	5799464.0	6602805.0	5848255.0	4012928.0	5357266.0	3740975.0	5495311.0
XieH_2016__YSZC12003_37199__bin.80	6312058.0	6723153.0	3731821.0	5877725.0	5542462.0	5935211.0	5555477.0	5472052.0	4002860.0	5677247.0	4596383.0	6239703.0	5604041.0	5511200.0	5830040.0	5496986.0	5440311.0	5587258.0	4940466.0	5925762.0	5553685.0	5514919.0	5771239.0	5536097.0	5541868.0	6410532.0	3568774.0	5422023.0	5533104.0	5002805.0	5585481.0	6187485.0	5590565.0	3963514.0	5169428.0	3659429.0	5329822.0
LiuW_2016__SRR3992987__bin.97	3821795.0	3731821.0	4183604.0	3789345.0	3606357.0	3819563.0	3547293.0	3564610.0	2763729.0	3644342.0	3021553.0	3792275.0	3617964.0	3580013.0	3459115.0	3558907.0	3561418.0	3568591.0	3343959.0	3821665.0	3547655.0	3226858.0	3711374.0	3592343.0	3622685.0	3806887.0	2354301.0	3455954.0	3595958.0	3255565.0	3559663.0	3737114.0	3574074.0	2665975.0	3586605.0	2377052.0	3351342.0
FengQ_2015__SID31137__bin.52	6136940.0	5877725.0	3789345.0	7225700.0	5849199.0	7009154.0	5742327.0	5741932.0	4069649.0	5995785.0	4780675.0	6045834.0	5897884.0	5648448.0	5585128.0	5617938.0	5589588.0	5766505.0	5543935.0	7081111.0	5706395.0	5289401.0	6031748.0	5664107.0	6318324.0	6149061.0	3677564.0	5603419.0	5670261.0	5160948.0	5768140.0	5989916.0	5760471.0	3839739.0	5370043.0	3782366.0	5424221.0
XieH_2016__YSZC12003_37296R1__bin.49	5807783.0	5542462.0	3606357.0	5849199.0	7143610.0	5937898.0	5611987.0	5461030.0	3962953.0	6860779.0	5410936.0	5733039.0	6652110.0	5685404.0	5253855.0	5646736.0	5684186.0	5656337.0	4787866.0	5899866.0	5622427.0	4976575.0	5644559.0	5736587.0	5429529.0	5825875.0	4173165.0	5457147.0	5745158.0	4958436.0	5611398.0	5679721.0	5657656.0	3616462.0	5130531.0	4375957.0	5336248.0
CosteaPI_2017__SID713A062-11-90-0__bin.58	6234894.0	5935211.0	3819563.0	7009154.0	5937898.0	7395263.0	5878923.0	5841318.0	4131396.0	6129250.0	4871561.0	6135312.0	6004287.0	5761338.0	5657146.0	5743941.0	5704229.0	5900842.0	5576217.0	7131222.0	5815020.0	5356191.0	6119471.0	5795135.0	6391090.0	6240036.0	3728256.0	5698891.0	5798262.0	5220580.0	5867890.0	6072499.0	5897748.0	3887571.0	5462057.0	3853449.0	5521605.0
QinJ_2012__T2D-084__bin.22	5777561.0	5555477.0	3547293.0	5742327.0	5611987.0	5878923.0	7176334.0	5491821.0	4599950.0	5793943.0	4624199.0	5799532.0	5720949.0	6766811.0	5259665.0	6757828.0	6623149.0	7114556.0	4730485.0	5834718.0	6914103.0	4998610.0	5751542.0	6834130.0	5380546.0	5790113.0	3562709.0	6721400.0	6851422.0	5510120.0	7045045.0	5695068.0	6445801.0	3629729.0	5656234.0	3672320.0	6067885.0
LiJ_2014__O2.UC47-1__bin.24	5654482.0	5472052.0	3564610.0	5741932.0	5461030.0	5841318.0	5491821.0	6543229.0	3943838.0	5518864.0	4504587.0	5621154.0	5428509.0	5388091.0	5146668.0	5373764.0	5359784.0	5505054.0	4821844.0	5807070.0	5440164.0	4881318.0	5628670.0	5419521.0	5417409.0	5671889.0	3432829.0	5330067.0	5408439.0	4820758.0	5493474.0	5533564.0	5428833.0	3639970.0	5148518.0	3556070.0	5100867.0
VincentC_2016__MM034.2__bin.23	4101726.0	4002860.0	2763729.0	4069649.0	3962953.0	4131396.0	4599950.0	3943838.0	4795626.0	4070389.0	3327058.0	4147157.0	4010943.0	4524133.0	3790560.0	4561598.0	4511331.0	4626448.0	3516287.0	4113970.0	4603459.0	3580460.0	4126987.0	4563850.0	3881244.0	4098396.0	2559278.0	4442873.0	4566058.0	3914532.0	4603082.0	4071016.0	4383034.0	2804858.0	4142871.0	2622499.0	4189557.0
BackhedF_2015__SID42_4M__bin.11	5963097.0	5677247.0	3644342.0	5995785.0	6860779.0	6129250.0	5793943.0	5518864.0	4070389.0	7244486.0	5442737.0	5937215.0	6913905.0	5700380.0	5425005.0	5697898.0	5690101.0	5824559.0	4909833.0	6091011.0	5765206.0	5134835.0	5789785.0	5770197.0	5588232.0	6001738.0	4205931.0	5604880.0	5771516.0	5099139.0	5801030.0	5858281.0	5823255.0	3709489.0	5262592.0	4391721.0	5468343.0
