	LouisS_2016__AS60_3__bin.21	RaymondF_2016__P23C7__bin.76	QinN_2014__LD-35__bin.22	Obregon-TitoAJ_2015__NO11__bin.44	LeChatelierE_2013__MH0239__bin.22	XieH_2016__YSZC12003_37190R1__bin.70	ZellerG_2014__CCIS76845094ST-20-0__bin.31	IjazUZ_2017__S58_a_WGS__bin.10	RaymondF_2016__P22E7__bin.1	LouisS_2016__AS63_3__bin.7	LoombaR_2017__SID0017_mqf__bin.7	HMP_2012__SRS022713__bin.4	LiJ_2014__O2.UC15-0__bin.4	HeQ_2017__RSZAXPI003105-143__bin.26	Obregon-TitoAJ_2015__NO21__bin.51	FengQ_2015__SID530227__bin.11	ZeeviD_2015__PNP_Validation_10__bin.24	LiJ_2014__V1.FI34__bin.1	LoombaR_2017__SID1035_bai__bin.9	XieH_2016__YSZC12003_36389__bin.67	RaymondF_2016__P21E7__bin.46	VincentC_2016__MM055.6__bin.16	WenC_2017__RA082__bin.3	VogtmannE_2016__MMRS97327636ST-27-0-0__bin.1	LeChatelierE_2013__MH0233__bin.12	BackhedF_2015__SID622_4M__bin.2	VincentC_2016__MM055.4__bin.8	XieH_2016__YSZC12003_37097__bin.2	LoombaR_2017__SID1050_bax__bin.20	VincentC_2016__MM090.2__bin.22	RaymondF_2016__P21E90__bin.7	IjazUZ_2017__S56_a_WGS__bin.10	FengQ_2015__SID530185__bin.46	XieH_2016__YSZC12003_37297R1__bin.4	XieH_2016__YSZC12003_37179__bin.27	ZeeviD_2015__PNP_Main_222__bin.11	LiuW_2016__SRR3992999__bin.29	HeQ_2017__SZAXPI029464-140__bin.27	HanniganGD_2017__MG100158__bin.1	RaymondF_2016__P19E7__bin.8	LouisS_2016__AS68_3__bin.12	CosteaPI_2017__SID713A089-11-90-0__bin.16	GeversD_2014__SKBSTL024__bin.3
LouisS_2016__AS60_3__bin.21	0.0	15033.0	22031.0	15544.0	12599.0	18621.0	12923.0	13860.0	16680.0	17388.0	14607.0	12739.0	14452.0	17749.0	20865.0	19262.0	16199.0	10334.0	15758.0	13374.0	16337.0	16563.0	19535.0	12638.0	14026.0	16894.0	10830.0	13176.0	15525.0	12278.0	13953.0	16843.0	17082.0	20405.0	17214.0	16524.0	17413.0	16417.0	16255.0	16594.0	11638.0	14495.0	19083.0
RaymondF_2016__P23C7__bin.76	15033.0	0.0	18926.0	13912.0	11332.0	14573.0	12327.0	9981.0	13391.0	15220.0	11853.0	12157.0	11310.0	16228.0	16244.0	17608.0	14981.0	7270.0	12048.0	11203.0	12578.0	13647.0	16574.0	11681.0	12504.0	14384.0	9632.0	11310.0	12639.0	8488.0	10476.0	11595.0	15503.0	16876.0	13662.0	14106.0	15551.0	13530.0	13712.0	16042.0	10071.0	12405.0	14540.0
QinN_2014__LD-35__bin.22	22031.0	18926.0	0.0	19492.0	17285.0	21906.0	19488.0	17978.0	19281.0	23966.0	18781.0	16997.0	16789.0	22649.0	23963.0	24604.0	21640.0	13631.0	21919.0	18629.0	19901.0	21436.0	24834.0	15955.0	19200.0	18863.0	13967.0	15967.0	20370.0	16476.0	18378.0	22499.0	20634.0	22218.0	20276.0	20310.0	22518.0	18473.0	19661.0	22237.0	14065.0	17682.0	22545.0
Obregon-TitoAJ_2015__NO11__bin.44	15544.0	13912.0	19492.0	0.0	12621.0	16503.0	13608.0	12291.0	13122.0	17034.0	13181.0	13206.0	9852.0	14187.0	16600.0	19560.0	16000.0	10119.0	14887.0	13580.0	14838.0	16073.0	17107.0	12285.0	14476.0	15335.0	10154.0	12139.0	13992.0	12680.0	13733.0	15203.0	16337.0	19493.0	12352.0	15878.0	16454.0	13678.0	7618.0	16708.0	10702.0	13439.0	15747.0
LeChatelierE_2013__MH0239__bin.22	12599.0	11332.0	17285.0	12621.0	0.0	14043.0	10447.0	10308.0	11595.0	13445.0	11334.0	11329.0	10804.0	14763.0	15223.0	16422.0	13532.0	7247.0	11813.0	11670.0	11077.0	13375.0	15394.0	10176.0	10475.0	12815.0	9507.0	10904.0	11960.0	9933.0	9274.0	12087.0	13751.0	16068.0	12801.0	12822.0	14078.0	12277.0	13927.0	13597.0	8954.0	11814.0	14264.0
XieH_2016__YSZC12003_37190R1__bin.70	18621.0	14573.0	21906.0	16503.0	14043.0	0.0	14237.0	15627.0	17864.0	17215.0	14958.0	12508.0	13172.0	18535.0	17839.0	19460.0	16816.0	9428.0	17463.0	16685.0	14788.0	18133.0	19779.0	11940.0	13723.0	14637.0	11803.0	10726.0	15037.0	13034.0	12882.0	18564.0	13364.0	16441.0	17096.0	12307.0	17655.0	17979.0	16532.0	14964.0	9560.0	10611.0	16681.0
ZellerG_2014__CCIS76845094ST-20-0__bin.31	12923.0	12327.0	19488.0	13608.0	10447.0	14237.0	0.0	10418.0	13376.0	13217.0	11571.0	12752.0	11779.0	14952.0	18119.0	18267.0	14014.0	8052.0	12344.0	11319.0	13931.0	13992.0	17753.0	13099.0	11582.0	15155.0	9639.0	11917.0	12519.0	10217.0	13040.0	12715.0	16050.0	16961.0	12526.0	14130.0	14555.0	13131.0	14047.0	15640.0	10086.0	12682.0	16118.0
IjazUZ_2017__S58_a_WGS__bin.10	13860.0	9981.0	17978.0	12291.0	10308.0	15627.0	10418.0	0.0	12458.0	14319.0	11350.0	11650.0	12151.0	16014.0	15408.0	16968.0	13697.0	5862.0	9355.0	6512.0	12658.0	13057.0	15840.0	11108.0	12212.0	13604.0	8766.0	10889.0	11716.0	8460.0	11748.0	170.0	14680.0	17168.0	11607.0	14033.0	13995.0	12405.0	12624.0	14553.0	10123.0	12596.0	14851.0
RaymondF_2016__P22E7__bin.1	16680.0	13391.0	19281.0	13122.0	11595.0	17864.0	13376.0	12458.0	0.0	16956.0	12627.0	12863.0	12307.0	17615.0	17470.0	19497.0	15339.0	8703.0	15063.0	15127.0	14094.0	15810.0	18608.0	11797.0	13788.0	15382.0	9740.0	13391.0	13537.0	11421.0	12883.0	16563.0	16316.0	18161.0	14598.0	16285.0	16605.0	16104.0	13517.0	16586.0	11437.0	13284.0	15829.0
LouisS_2016__AS63_3__bin.7	17388.0	15220.0	23966.0	17034.0	13445.0	17215.0	13217.0	14319.0	16956.0	0.0	15493.0	14278.0	14545.0	18876.0	21027.0	20998.0	17386.0	9294.0	15704.0	14637.0	16620.0	18301.0	21189.0	13966.0	8549.0	17320.0	11704.0	13298.0	16013.0	11672.0	15262.0	16683.0	17633.0	21176.0	14004.0	17167.0	18705.0	16836.0	17099.0	18595.0	11576.0	14981.0	19726.0
LoombaR_2017__SID0017_mqf__bin.7	14607.0	11853.0	18781.0	13181.0	11334.0	14958.0	11571.0	11350.0	12627.0	15493.0	0.0	11970.0	11518.0	15335.0	15907.0	17271.0	14309.0	7838.0	12716.0	12130.0	12467.0	13497.0	16450.0	11340.0	11948.0	14475.0	9028.0	10880.0	706.0	9645.0	11095.0	13688.0	15398.0	17238.0	12674.0	14207.0	14897.0	12500.0	13465.0	15952.0	10628.0	12027.0	14925.0
HMP_2012__SRS022713__bin.4	12739.0	12157.0	16997.0	13206.0	11329.0	12508.0	12752.0	11650.0	12863.0	14278.0	11970.0	0.0	11972.0	14611.0	14285.0	11679.0	10178.0	9765.0	13982.0	10451.0	11865.0	14495.0	15203.0	10958.0	13655.0	14402.0	9524.0	10139.0	13196.0	10341.0	10826.0	14185.0	14352.0	15623.0	12105.0	13567.0	14206.0	11461.0	12409.0	13521.0	9216.0	11179.0	14962.0
LiJ_2014__O2.UC15-0__bin.4	14452.0	11310.0	16789.0	9852.0	10804.0	13172.0	11779.0	12151.0	12307.0	14545.0	11518.0	11972.0	0.0	12007.0	14825.0	15734.0	13813.0	8643.0	13554.0	11185.0	12638.0	13986.0	15296.0	11304.0	12929.0	13809.0	9569.0	9874.0	12719.0	10180.0	12248.0	14315.0	14848.0	15729.0	12158.0	13334.0	14091.0	11781.0	10314.0	14064.0	8963.0	12029.0	13929.0
HeQ_2017__RSZAXPI003105-143__bin.26	17749.0	16228.0	22649.0	14187.0	14763.0	18535.0	14952.0	16014.0	17615.0	18876.0	15335.0	14611.0	12007.0	0.0	20815.0	21587.0	19194.0	10937.0	16792.0	15355.0	17100.0	19024.0	19560.0	15264.0	16230.0	16598.0	12259.0	13092.0	16475.0	13279.0	15009.0	19098.0	18071.0	22128.0	17918.0	17599.0	17536.0	15828.0	15041.0	18074.0	12224.0	15397.0	19134.0
Obregon-TitoAJ_2015__NO21__bin.51	20865.0	16244.0	23963.0	16600.0	15223.0	17839.0	18119.0	15408.0	17470.0	21027.0	15907.0	14285.0	14825.0	20815.0	0.0	22471.0	19313.0	12606.0	18524.0	16169.0	18261.0	20535.0	21260.0	10550.0	17696.0	19069.0	12930.0	13874.0	17231.0	14837.0	14962.0	19793.0	18203.0	21633.0	18706.0	17641.0	20742.0	16707.0	17401.0	18672.0	12200.0	15096.0	15147.0
FengQ_2015__SID530227__bin.11	19262.0	17608.0	24604.0	19560.0	16422.0	19460.0	18267.0	16968.0	19497.0	20998.0	17271.0	11679.0	15734.0	21587.0	22471.0	0.0	14277.0	11858.0	19542.0	17385.0	17962.0	21404.0	22702.0	15094.0	17663.0	19310.0	14391.0	14623.0	18097.0	14279.0	15347.0	19956.0	20356.0	23764.0	18735.0	18991.0	20600.0	17826.0	19357.0	20202.0	13486.0	16591.0	21542.0
ZeeviD_2015__PNP_Validation_10__bin.24	16199.0	14981.0	21640.0	16000.0	13532.0	16816.0	14014.0	13697.0	15339.0	17386.0	14309.0	10178.0	13813.0	19194.0	19313.0	14277.0	0.0	9882.0	15749.0	13568.0	14973.0	18503.0	20218.0	13840.0	14735.0	16470.0	11950.0	13014.0	15431.0	12280.0	13744.0	16775.0	17190.0	20213.0	16245.0	16064.0	18251.0	15375.0	16659.0	17912.0	11166.0	14566.0	19084.0
LiJ_2014__V1.FI34__bin.1	10334.0	7270.0	13631.0	10119.0	7247.0	9428.0	8052.0	5862.0	8703.0	9294.0	7838.0	9765.0	8643.0	10937.0	12606.0	11858.0	9882.0	0.0	7510.0	6176.0	10284.0	9008.0	11595.0	9182.0	8658.0	11254.0	5645.0	7313.0	8243.0	5787.0	9623.0	6564.0	11879.0	12267.0	8373.0	10086.0	10504.0	8381.0	10677.0	10914.0	7070.0	9297.0	11606.0
LoombaR_2017__SID1035_bai__bin.9	15758.0	12048.0	21919.0	14887.0	11813.0	17463.0	12344.0	9355.0	15063.0	15704.0	12716.0	13982.0	13554.0	16792.0	18524.0	19542.0	15749.0	7510.0	0.0	10694.0	15045.0	14919.0	19822.0	13390.0	13308.0	16144.0	10274.0	12282.0	12769.0	9591.0	13869.0	10269.0	17361.0	20256.0	15206.0	16332.0	16191.0	14615.0	15219.0	16774.0	11246.0	14767.0	18770.0
XieH_2016__YSZC12003_36389__bin.67	13374.0	11203.0	18629.0	13580.0	11670.0	16685.0	11319.0	6512.0	15127.0	14637.0	12130.0	10451.0	11185.0	15355.0	16169.0	17385.0	13568.0	6176.0	10694.0	0.0	11922.0	14381.0	15884.0	10183.0	11958.0	13139.0	10094.0	10863.0	12100.0	8695.0	10314.0	7582.0	14664.0	17248.0	14432.0	14063.0	14050.0	14090.0	13008.0	14541.0	9726.0	11626.0	14931.0
RaymondF_2016__P21E7__bin.46	16337.0	12578.0	19901.0	14838.0	11077.0	14788.0	13931.0	12658.0	14094.0	16620.0	12467.0	11865.0	12638.0	17100.0	18261.0	17962.0	14973.0	10284.0	15045.0	11922.0	0.0	17392.0	16325.0	11007.0	13809.0	15433.0	10323.0	11410.0	13849.0	11763.0	866.0	16048.0	15143.0	17903.0	13925.0	15509.0	16083.0	13889.0	13199.0	13244.0	10237.0	12828.0	17155.0
VincentC_2016__MM055.6__bin.16	16563.0	13647.0	21436.0	16073.0	13375.0	18133.0	13992.0	13057.0	15810.0	18301.0	13497.0	14495.0	13986.0	19024.0	20535.0	21404.0	18503.0	9008.0	14919.0	14381.0	17392.0	0.0	20306.0	13558.0	15333.0	17274.0	992.0	13987.0	14294.0	11559.0	14337.0	16087.0	17584.0	20090.0	15932.0	17641.0	18407.0	16318.0	14973.0	19215.0	12229.0	14476.0	19141.0
WenC_2017__RA082__bin.3	19535.0	16574.0	24834.0	17107.0	15394.0	19779.0	17753.0	15840.0	18608.0	21189.0	16450.0	15203.0	15296.0	19560.0	21260.0	22702.0	20218.0	11595.0	19822.0	15884.0	16325.0	20306.0	0.0	13412.0	18071.0	18833.0	12700.0	13147.0	17605.0	14080.0	14318.0	20018.0	19098.0	22489.0	17307.0	18686.0	20513.0	17677.0	17194.0	17900.0	13436.0	16271.0	19528.0
VogtmannE_2016__MMRS97327636ST-27-0-0__bin.1	12638.0	11681.0	15955.0	12285.0	10176.0	11940.0	13099.0	11108.0	11797.0	13966.0	11340.0	10958.0	11304.0	15264.0	10550.0	15094.0	13840.0	9182.0	13390.0	10183.0	11007.0	13558.0	13412.0	0.0	12531.0	13918.0	9283.0	9725.0	12430.0	9933.0	10476.0	13973.0	12966.0	14659.0	11250.0	12354.0	14214.0	10982.0	11803.0	12682.0	8371.0	9917.0	12082.0
LeChatelierE_2013__MH0233__bin.12	14026.0	12504.0	19200.0	14476.0	10475.0	13723.0	11582.0	12212.0	13788.0	8549.0	11948.0	13655.0	12929.0	16230.0	17696.0	17663.0	14735.0	8658.0	13308.0	11958.0	13809.0	15333.0	18071.0	12531.0	0.0	15645.0	10067.0	11442.0	13183.0	10971.0	13132.0	13709.0	14811.0	16957.0	12240.0	14603.0	15807.0	13097.0	15041.0	15371.0	9819.0	12495.0	16746.0
BackhedF_2015__SID622_4M__bin.2	16894.0	14384.0	18863.0	15335.0	12815.0	14637.0	15155.0	13604.0	15382.0	17320.0	14475.0	14402.0	13809.0	16598.0	19069.0	19310.0	16470.0	11254.0	16144.0	13139.0	15433.0	17274.0	18833.0	13918.0	15645.0	0.0	11398.0	12061.0	15397.0	12544.0	14416.0	16582.0	16731.0	18039.0	15061.0	15368.0	17179.0	13092.0	15776.0	16710.0	10251.0	13212.0	17256.0
VincentC_2016__MM055.4__bin.8	10830.0	9632.0	13967.0	10154.0	9507.0	11803.0	9639.0	8766.0	9740.0	11704.0	9028.0	9524.0	9569.0	12259.0	12930.0	14391.0	11950.0	5645.0	10274.0	10094.0	10323.0	992.0	12700.0	9283.0	10067.0	11398.0	0.0	9678.0	9465.0	8065.0	8884.0	10598.0	11461.0	13036.0	10047.0	11336.0	12198.0	10748.0	9781.0	13062.0	8581.0	9518.0	12541.0
XieH_2016__YSZC12003_37097__bin.2	13176.0	11310.0	15967.0	12139.0	10904.0	10726.0	11917.0	10889.0	13391.0	13298.0	10880.0	10139.0	9874.0	13092.0	13874.0	14623.0	13014.0	7313.0	12282.0	10863.0	11410.0	13987.0	13147.0	9725.0	11442.0	12061.0	9678.0	0.0	11894.0	9900.0	9626.0	13476.0	10712.0	13376.0	11976.0	10049.0	13158.0	11880.0	11936.0	12233.0	7563.0	9274.0	13591.0
LoombaR_2017__SID1050_bax__bin.20	15525.0	12639.0	20370.0	13992.0	11960.0	15037.0	12519.0	11716.0	13537.0	16013.0	706.0	13196.0	12719.0	16475.0	17231.0	18097.0	15431.0	8243.0	12769.0	12100.0	13849.0	14294.0	17605.0	12430.0	13183.0	15397.0	9465.0	11894.0	0.0	10265.0	12746.0	13663.0	16314.0	18373.0	13209.0	14680.0	16640.0	13435.0	14221.0	16682.0	10861.0	13643.0	16170.0
VincentC_2016__MM090.2__bin.22	12278.0	8488.0	16476.0	12680.0	9933.0	13034.0	10217.0	8460.0	11421.0	11672.0	9645.0	10341.0	10180.0	13279.0	14837.0	14279.0	12280.0	5787.0	9591.0	8695.0	11763.0	11559.0	14080.0	9933.0	10971.0	12544.0	8065.0	9900.0	10265.0	0.0	10298.0	9428.0	13007.0	14924.0	11265.0	12923.0	13340.0	11203.0	12557.0	13637.0	8869.0	11177.0	13474.0
RaymondF_2016__P21E90__bin.7	13953.0	10476.0	18378.0	13733.0	9274.0	12882.0	13040.0	11748.0	12883.0	15262.0	11095.0	10826.0	12248.0	15009.0	14962.0	15347.0	13744.0	9623.0	13869.0	10314.0	866.0	14337.0	14318.0	10476.0	13132.0	14416.0	8884.0	9626.0	12746.0	10298.0	0.0	14962.0	13557.0	15235.0	12349.0	13652.0	15159.0	12739.0	12386.0	12922.0	9361.0	11599.0	15951.0
IjazUZ_2017__S56_a_WGS__bin.10	16843.0	11595.0	22499.0	15203.0	12087.0	18564.0	12715.0	170.0	16563.0	16683.0	13688.0	14185.0	14315.0	19098.0	19793.0	19956.0	16775.0	6564.0	10269.0	7582.0	16048.0	16087.0	20018.0	13973.0	13709.0	16582.0	10598.0	13476.0	13663.0	9428.0	14962.0	0.0	17676.0	20649.0	15154.0	16973.0	17330.0	14734.0	15908.0	18138.0	11677.0	14828.0	19035.0
FengQ_2015__SID530185__bin.46	17082.0	15503.0	20634.0	16337.0	13751.0	13364.0	16050.0	14680.0	16316.0	17633.0	15398.0	14352.0	14848.0	18071.0	18203.0	20356.0	17190.0	11879.0	17361.0	14664.0	15143.0	17584.0	19098.0	12966.0	14811.0	16731.0	11461.0	10712.0	16314.0	13007.0	13557.0	17676.0	0.0	16687.0	15845.0	13722.0	18077.0	14950.0	17330.0	16555.0	9921.0	11831.0	17862.0
XieH_2016__YSZC12003_37297R1__bin.4	20405.0	16876.0	22218.0	19493.0	16068.0	16441.0	16961.0	17168.0	18161.0	21176.0	17238.0	15623.0	15729.0	22128.0	21633.0	23764.0	20213.0	12267.0	20256.0	17248.0	17903.0	20090.0	22489.0	14659.0	16957.0	18039.0	13036.0	13376.0	18373.0	14924.0	15235.0	20649.0	16687.0	0.0	19264.0	16878.0	20194.0	17712.0	19677.0	19240.0	12114.0	14093.0	20485.0
XieH_2016__YSZC12003_37179__bin.27	17214.0	13662.0	20276.0	12352.0	12801.0	17096.0	12526.0	11607.0	14598.0	14004.0	12674.0	12105.0	12158.0	17918.0	18706.0	18735.0	16245.0	8373.0	15206.0	14432.0	13925.0	15932.0	17307.0	11250.0	12240.0	15061.0	10047.0	11976.0	13209.0	11265.0	12349.0	15154.0	15845.0	19264.0	0.0	15019.0	16555.0	15906.0	12698.0	15304.0	10345.0	12712.0	16277.0
ZeeviD_2015__PNP_Main_222__bin.11	16524.0	14106.0	20310.0	15878.0	12822.0	12307.0	14130.0	14033.0	16285.0	17167.0	14207.0	13567.0	13334.0	17599.0	17641.0	18991.0	16064.0	10086.0	16332.0	14063.0	15509.0	17641.0	18686.0	12354.0	14603.0	15368.0	11336.0	10049.0	14680.0	12923.0	13652.0	16973.0	13722.0	16878.0	15019.0	0.0	16375.0	14183.0	15758.0	15456.0	9401.0	10860.0	16866.0
LiuW_2016__SRR3992999__bin.29	17413.0	15551.0	22518.0	16454.0	14078.0	17655.0	14555.0	13995.0	16605.0	18705.0	14897.0	14206.0	14091.0	17536.0	20742.0	20600.0	18251.0	10504.0	16191.0	14050.0	16083.0	18407.0	20513.0	14214.0	15807.0	17179.0	12198.0	13158.0	16640.0	13340.0	15159.0	17330.0	18077.0	20194.0	16555.0	16375.0	0.0	14330.0	16525.0	18254.0	11572.0	15152.0	18802.0
HeQ_2017__SZAXPI029464-140__bin.27	16417.0	13530.0	18473.0	13678.0	12277.0	17979.0	13131.0	12405.0	16104.0	16836.0	12500.0	11461.0	11781.0	15828.0	16707.0	17826.0	15375.0	8381.0	14615.0	14090.0	13889.0	16318.0	17677.0	10982.0	13097.0	13092.0	10748.0	11880.0	13435.0	11203.0	12739.0	14734.0	14950.0	17712.0	15906.0	14183.0	14330.0	0.0	15041.0	14898.0	10052.0	12270.0	16555.0
HanniganGD_2017__MG100158__bin.1	16255.0	13712.0	19661.0	7618.0	13927.0	16532.0	14047.0	12624.0	13517.0	17099.0	13465.0	12409.0	10314.0	15041.0	17401.0	19357.0	16659.0	10677.0	15219.0	13008.0	13199.0	14973.0	17194.0	11803.0	15041.0	15776.0	9781.0	11936.0	14221.0	12557.0	12386.0	15908.0	17330.0	19677.0	12698.0	15758.0	16525.0	15041.0	0.0	16930.0	11424.0	13696.0	17119.0
RaymondF_2016__P19E7__bin.8	16594.0	16042.0	22237.0	16708.0	13597.0	14964.0	15640.0	14553.0	16586.0	18595.0	15952.0	13521.0	14064.0	18074.0	18672.0	20202.0	17912.0	10914.0	16774.0	14541.0	13244.0	19215.0	17900.0	12682.0	15371.0	16710.0	13062.0	12233.0	16682.0	13637.0	12922.0	18138.0	16555.0	19240.0	15304.0	15456.0	18254.0	14898.0	16930.0	0.0	11113.0	13708.0	17586.0
LouisS_2016__AS68_3__bin.12	11638.0	10071.0	14065.0	10702.0	8954.0	9560.0	10086.0	10123.0	11437.0	11576.0	10628.0	9216.0	8963.0	12224.0	12200.0	13486.0	11166.0	7070.0	11246.0	9726.0	10237.0	12229.0	13436.0	8371.0	9819.0	10251.0	8581.0	7563.0	10861.0	8869.0	9361.0	11677.0	9921.0	12114.0	10345.0	9401.0	11572.0	10052.0	11424.0	11113.0	0.0	8999.0	12083.0
CosteaPI_2017__SID713A089-11-90-0__bin.16	14495.0	12405.0	17682.0	13439.0	11814.0	10611.0	12682.0	12596.0	13284.0	14981.0	12027.0	11179.0	12029.0	15397.0	15096.0	16591.0	14566.0	9297.0	14767.0	11626.0	12828.0	14476.0	16271.0	9917.0	12495.0	13212.0	9518.0	9274.0	13643.0	11177.0	11599.0	14828.0	11831.0	14093.0	12712.0	10860.0	15152.0	12270.0	13696.0	13708.0	8999.0	0.0	14666.0
GeversD_2014__SKBSTL024__bin.3	19083.0	14540.0	22545.0	15747.0	14264.0	16681.0	16118.0	14851.0	15829.0	19726.0	14925.0	14962.0	13929.0	19134.0	15147.0	21542.0	19084.0	11606.0	18770.0	14931.0	17155.0	19141.0	19528.0	12082.0	16746.0	17256.0	12541.0	13591.0	16170.0	13474.0	15951.0	19035.0	17862.0	20485.0	16277.0	16866.0	18802.0	16555.0	17119.0	17586.0	12083.0	14666.0	0.0
