	LiJ_2017__H1M414905__bin.7	LeChatelierE_2013__MH0006__bin.33	YuJ_2015__SZAXPI015237-23__bin.22	QinN_2014__HD-19__bin.23	LiJ_2017__H2M514818__bin.18	LiJ_2017__nHM511825__bin.51	QinN_2014__LD-36__bin.31	LiJ_2017__H1M512853__bin.15	YuJ_2015__SZAXPI015233-19__bin.50	WenC_2017__RA058__bin.32	WenC_2017__N253__bin.168	ChengpingW_2017__AS45raw__bin.36	LiJ_2017__nHM511738__bin.28	ZellerG_2014__CCIS63448910ST-4-0__bin.32	LiJ_2017__H1M412949__bin.25	QinJ_2012__CON-016__bin.30	YuJ_2015__SZAXPI017582-94__bin.21	LiJ_2017__H3M516804__bin.42	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	LiJ_2017__nHF512818__bin.22	HeQ_2017__SZAXPI029491-89__bin.1	YuJ_2015__SZAXPI015273-95__bin.73	QinJ_2012__CON-015__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	ZellerG_2014__CCMD26709089ST-21-0__bin.19	NielsenHB_2014__MH0006__bin.62	LeChatelierE_2013__MH0316__bin.8	LiJ_2017__nHF411719__bin.6	HeQ_2017__SZAXPI029561-52__bin.9	ZeeviD_2015__PNP_Validation_2__bin.26
LiJ_2017__H1M414905__bin.7	1.0	0.5558877113406494	0.740530649096596	0.7115905499962382	0.43891341616776125	0.7216446816857809	0.7446425884325591	0.44301897363414555	0.5762519212786311	0.4912568386770855	0.6234434955985253	0.7102140814944592	0.5360995491041198	0.7133176854369766	0.5663684206283522	0.7347658055397315	0.6143053301374722	0.7523313977234863	0.7244711781334308	0.5429778609585434	0.47665713640809565	0.522409431194041	0.4957362393456367	0.6514777051065705	0.7590471398475875	0.5260467609660673	0.4698745525973538	0.6100943038791019	0.6402304996936702	0.7432751889033395
LeChatelierE_2013__MH0006__bin.33	0.7646838398404633	1.0	0.7776836222148191	0.7723483285565044	0.46429068132536333	0.7513287408623798	0.7933115461262404	0.4934599104454302	0.6403077808791614	0.5253806485059376	0.6687372676291788	0.7667330324770465	0.5797473232276794	0.8061773339426236	0.6137893337559551	0.7899482827211246	0.6547357604214268	0.786199669449287	0.8349131599751787	0.5902723647313386	0.5399121272929819	0.5732217882544067	0.5435507726172418	0.7185217905184527	0.7846929237473935	0.7618944427836306	0.5713971520149778	0.660284983322298	0.7094845506584908	0.8558149248683272
YuJ_2015__SZAXPI015237-23__bin.22	0.7553469147789527	0.5766489903679132	1.0	0.7673998710422758	0.45203005633163923	0.7576865861354687	0.8400009455986153	0.4749947409642228	0.6301428059474041	0.5232672076678454	0.6426850067116945	0.7688271767782906	0.5634551488187212	0.7239886720026751	0.6041056110314357	0.8075662278769323	0.7385673358718317	0.8240378020176883	0.7576492418423276	0.5707461937942693	0.5128759011452022	0.5476979127623608	0.5412692126109965	0.7019500573183509	0.7816020085062763	0.5396106463440622	0.47847461239021977	0.6549150914112922	0.7051650926104209	0.7706138785097639
QinN_2014__HD-19__bin.23	0.8003442347294005	0.6314878820837383	0.8461842721146825	1.0	0.49488464623194817	0.8115564192485846	0.8601803303399168	0.5209240088234706	0.6785995328350896	0.5640149284235809	0.7074106801167043	0.8376717159715924	0.6188665716419641	0.7786701402439186	0.6669215434197786	0.8563058007254166	0.7068001848108314	0.8876869972433266	0.8087404340938962	0.6319306422931956	0.5632978986645792	0.609140580522102	0.60261175634135	0.755918234429442	0.843886603519188	0.5852832853109767	0.5249991405465217	0.7032955035282926	0.7442221114901941	0.8163735143260507
LiJ_2017__H2M514818__bin.18	0.8480888687549042	0.6521652218441332	0.8563008951907107	0.8501975286687535	1.0	0.8246709964829708	0.8671881743704037	0.6674171479676971	0.692942382117214	0.6067008526151213	0.7611444526148616	0.8505311239890732	0.8102640919684655	0.8287241147230413	0.7245735788612199	0.8507336176465434	0.7433548655915898	0.8784655134479802	0.8391733066630148	0.8201609694773263	0.6068196229334452	0.5993280066251772	0.6277348812848481	0.762086826943858	0.8609569512762617	0.6094027151024574	0.5473546345411344	0.822636324636274	0.7575131961611875	0.8505849924941054
LiJ_2017__nHM511825__bin.51	0.7379595955710108	0.5585272058045645	0.7596181721007748	0.7378723512415486	0.4364428494684966	1.0	0.7781606834459724	0.4565712154165539	0.6046560993403779	0.512448117102499	0.6197747859766075	0.7415675264240403	0.5445935307299259	0.6897464556132452	0.5812832060848455	0.7567549093826812	0.6200969717287155	0.7866264747383014	0.7083384283105788	0.5576685017744261	0.4967795164053687	0.5384177313451702	0.5328495509321404	0.6558307377572848	0.7457796414326755	0.5208939864613288	0.45521652393860745	0.6305312561397337	0.6734877535066038	0.7469296178698369
QinN_2014__LD-36__bin.31	0.766543469969984	0.5936600898371196	0.8477450647845891	0.787284634851284	0.46199763979609443	0.7833377072828508	1.0	0.48356829913527194	0.6426645754693006	0.5276677375063231	0.6675462973047828	0.7938846307712362	0.5742003365693645	0.7498329082131016	0.6140209112821273	0.8315009423873051	0.6749450144409488	0.8602106480256891	0.7780270756119294	0.586567722050549	0.5267123839477089	0.560812939145396	0.5479832635057361	0.7171524170998259	0.7946854265880116	0.5537824636089129	0.4889511960590888	0.6608252830187376	0.7168785698256955	0.7849147494764227
LiJ_2017__H1M512853__bin.15	0.8193985667736254	0.6634831687535527	0.8613075472694459	0.8566444362301239	0.6388629861678434	0.825794968487036	0.8688439448204739	1.0	0.7153098024110757	0.6240958466255192	0.7522903976317906	0.8515197355955157	0.7593863281262134	0.793269365174525	0.73864026763499	0.8552994275170767	0.75740143074137	0.8849082567382451	0.8257533446608124	0.7767857087388292	0.6121976448369372	0.6304518670149815	0.6630476717060488	0.7824011977721934	0.8452419928493994	0.6093454808639117	0.5613737105156074	0.8100655109324669	0.7732035746790461	0.836450046749148
YuJ_2015__SZAXPI015233-19__bin.50	0.8106144831695276	0.6547807651473307	0.8690355310761666	0.8487286840238911	0.5044714469514452	0.8317661494904861	0.8782080570621551	0.5440305344521362	1.0	0.5810939086546253	0.734515072322294	0.8438501834930442	0.6333673371513999	0.7904281220867792	0.6935592925630862	0.8612115029608838	0.7354439955226468	0.8690303336421868	0.8162418866874342	0.6527202188214205	0.5998854674548496	0.6355124599029781	0.6192889059826717	0.7819019678902529	0.8408455941588402	0.6193748998903341	0.5396590199812987	0.7351217546159121	0.8005650083229818	0.8208501206513424
WenC_2017__RA058__bin.32	0.7656053862832363	0.5952173808349743	0.7994963184448374	0.7815204042853239	0.48933746664195893	0.7809749499302217	0.7988550693229561	0.5258656339676727	0.643784804123258	1.0	0.678860345887159	0.7792317992560462	0.6042760061853057	0.731415030041867	0.6383145565121073	0.797788240171614	0.6808050319996399	0.8060637563902439	0.758988742282763	0.6270008281274374	0.5423679838185363	0.5760730846019597	0.6145836277844607	0.7041491173794739	0.7782639056835088	0.5531723771863978	0.5253547285448513	0.6884094613821456	0.7093691469659232	0.7701433361914722
