	HMP_2012__SRS015217__bin.3	YuJ_2015__SZAXPI015246-34__bin.38	LoombaR_2017__SID1015_aao__bin.3	XieH_2016__YSZC12003_37208R1__bin.67	LoombaR_2017__SID5362_xgk__bin.23	HMP_2012__SRS014923__bin.28	YuJ_2015__SZAXPI003415-12__bin.35	HMP_2012__SRS014979__bin.67	XieH_2016__YSZC12003_37284__bin.35	FengQ_2015__SID31750__bin.10	FengQ_2015__SID31501__bin.24	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.62	VincentC_2016__MM068.1__bin.6	RaymondF_2016__P5E0__bin.23	ZeeviD_2015__PNP_Main_133__bin.18	Obregon-TitoAJ_2015__NO10__bin.2	FengQ_2015__SID31489__bin.59	LoombaR_2017__SID0013_eop__bin.26	XieH_2016__YSZC12003_35629__bin.65	LoombaR_2017__SID1035_bai__bin.20	FengQ_2015__SID31865__bin.13	FengQ_2015__SID31866__bin.19	XieH_2016__YSZC12003_36694__bin.76	RaymondF_2016__P21E90__bin.21	LiJ_2014__MH0382__bin.43	XieH_2016__YSZC12003_37405__bin.106	XieH_2016__YSZC12003_37222__bin.43	XieH_2016__YSZC12003_37134__bin.30	KarlssonFH_2013__S77__bin.15	HMP_2012__SRS014235__bin.3	XieH_2016__YSZC12003_37232__bin.109	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.53	FengQ_2015__SID31685__bin.27	RaymondF_2016__P5E7__bin.24	ZellerG_2014__CCIS23164343ST-4-0__bin.74	LeChatelierE_2013__MH0456__bin.11	YuJ_2015__SZAXPI015235-21__bin.54	ZellerG_2014__CCIS22275061ST-4-0__bin.14	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.32	KarlssonFH_2013__S350__bin.1	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.17	FengQ_2015__SID31137__bin.54	FengQ_2015__SID530177__bin.7	ZellerG_2014__CCMD25963797ST-21-0__bin.42	HMP_2012__SRS023914__bin.23
HMP_2012__SRS015217__bin.3	1.0	0.9986747174047099	0.99942156791951	0.9864958512782536	0.9868341968482702	0.9990731945243375	0.9849809943199057	0.9852661356288708	0.9851217968255457	0.9971750542192429	0.9974236944567725	0.9983107945706995	0.9861347056714169	0.9989448104438718	0.998742115583772	0.9990922399426343	0.9973102465331858	0.9993158964470557	0.9986254223468479	0.9988071073388598	0.9986759530935969	0.9982467730345361	0.9886046331409316	0.9983971697567096	0.9856063617175348	0.9985546883186482	0.9988320285724593	0.9980836080921561	0.9989598290060366	0.9864668158280396	0.9866070424724618	0.9984413451278299	0.9980045544197734	0.9988571806246492	0.998595237367641	0.9991145777605885	0.9976454445191727	0.9994213715874927	0.987000294484767	0.998659704119034	0.9870800218380891	0.998709722800736	0.985980664777168	0.999011921757491	0.9989051362218718
YuJ_2015__SZAXPI015246-34__bin.38	0.9986747174047099	1.0	0.9988621150049223	0.9869983248924894	0.9865155575987092	0.9982648600371354	0.9855578252041165	0.985671426713763	0.9860152662915378	0.9962115749580346	0.9965158565621012	0.9979217906919102	0.9860308513714456	0.9983223288121873	0.9978570422047447	0.9983978674945212	0.9968840785666189	0.998565868905709	0.9979098919225092	0.9980763573428898	0.9978886203564707	0.9974408747918061	0.9885569731501578	0.9978434989260998	0.9853414807349671	0.9982217138198634	0.9981857020424482	0.9975219923181762	0.9982506267825251	0.9860672404615535	0.9869363496730129	0.9978553929771483	0.9979565152389944	0.9983504546571639	0.9976873334007405	0.9982865054075054	0.9975541647865126	0.9984191475575952	0.986492838587501	0.9981956845129197	0.986679124904583	0.9979688056119522	0.9856902071024004	0.9983691172568294	0.9984370462736791
LoombaR_2017__SID1015_aao__bin.3	0.99942156791951	0.9988621150049223	1.0	0.987695879280325	0.9867445345717395	0.9991399980334168	0.9864458674831507	0.9865459112494076	0.9866395613009301	0.9976544459461917	0.9981508720319395	0.998525687745532	0.9873029152314908	0.9987988670522603	0.999062503798607	0.9992594436688736	0.9975992521236495	0.9992502713526461	0.9985119222571754	0.9989214961544597	0.9989882000677122	0.9985937315663219	0.9892057603433182	0.9980793652861754	0.9863973045494548	0.9979403608073705	0.9986203339565469	0.9983776746595685	0.9988264697002126	0.9866436885737069	0.9877489941343917	0.9987474842722447	0.9974268178952478	0.9987408667931787	0.9988814065809641	0.9985413170763043	0.9973907645480395	0.9995937213142047	0.9876157802648116	0.9987275614716186	0.9876319510100704	0.9992556251057351	0.9863088467324698	0.9992995991387663	0.998696759289079
XieH_2016__YSZC12003_37208R1__bin.67	0.9864958512782536	0.9869983248924894	0.987695879280325	1.0	0.9872381956092565	0.9860953059261878	0.9850912648766561	0.9854078630063697	0.984766154594474	0.9876065595848507	0.9877446116093407	0.9872705912550719	0.9864336210877829	0.98617725422603	0.9863687326048736	0.9872393880590529	0.9868968625683435	0.9879437114532977	0.9863078400743055	0.9876494250512698	0.9866720671116047	0.9865763943843606	0.9865073026265608	0.9876614025908211	0.9853214154938968	0.9876924312002736	0.9864630698761051	0.9871436781176518	0.9858572751419451	0.9866343433522548	0.9992900422128078	0.9867616155950363	0.9862346729952364	0.9870480774256587	0.9867529952004979	0.987365195166004	0.9858930910383611	0.9867121208120412	0.9990516732027669	0.986420668390777	0.999058313427228	0.986752052578821	0.9862999787375162	0.9862708631734671	0.988168498648109
LoombaR_2017__SID5362_xgk__bin.23	0.9868341968482702	0.9865155575987092	0.9867445345717395	0.9872381956092565	1.0	0.9868126149351841	0.9995599300087489	0.999605975596881	0.9996137682751387	0.9875103874781331	0.9868800823275875	0.9870617263136052	0.9994321128808157	0.9868040248883666	0.9866230442713978	0.9866993561054337	0.9866359027206449	0.9874369360610697	0.9865165742987045	0.9866617133598089	0.9867327410583501	0.9869705251305728	0.9872819070161603	0.9870288835184426	0.9881868406899779	0.9867245296977383	0.98674301037252	0.9862590006860411	0.9867982428654313	0.9991669936470567	0.9868716948907394	0.986777072559564	0.9858568023086653	0.98684430005719	0.9867145222097019	0.9870409812928225	0.9861700791826372	0.9866900388341943	0.987309304595831	0.9867448727742846	0.9875884194738741	0.9867749355798211	0.9983418143180846	0.9867472011011271	0.9878249683139779
HMP_2012__SRS014923__bin.28	0.9990731945243375	0.9982648600371354	0.9991399980334168	0.9860953059261878	0.9868126149351841	1.0	0.9844044779111111	0.985091995976156	0.9842944652117839	0.9973265079203743	0.9974092346696312	0.998837951863988	0.9860188320886359	0.9989661054360043	0.9985794032676585	0.9989481340495313	0.9978523595646863	0.9993828690694324	0.9984998752771755	0.9986660853735956	0.9986562174539525	0.9984704967842916	0.9883240235569847	0.9985453949506117	0.9854707928354146	0.9986602157415577	0.9987913917943398	0.998154551378855	0.9988274972184448	0.9858164176196956	0.9862218744572948	0.9988253089598352	0.9983246611822048	0.998705541234506	0.9984158091583177	0.9987792316789379	0.9980399524077901	0.9988759190194588	0.9866926352219003	0.9985948512089982	0.9867908534130163	0.9984218164101945	0.9858056678056694	0.999222583041902	0.9994615500274342
YuJ_2015__SZAXPI003415-12__bin.35	0.9849809943199057	0.9855578252041165	0.9864458674831507	0.9850912648766561	0.9995599300087489	0.9844044779111111	1.0	0.9994161380497429	0.9997812325395085	0.9852830562048307	0.9856566991988569	0.9866106442033911	0.9995803649471299	0.9847664084167993	0.9847310006678195	0.9860427408454397	0.9853049046965314	0.9873367967885927	0.9849579821318806	0.9855418613278623	0.9852594039456515	0.985124686253431	0.984753338730049	0.9858756404458092	0.9868216860991261	0.9861425809307129	0.9844825455199915	0.9856236963440405	0.984994987856149	0.9992704432996438	0.9850571286443611	0.9849353286611914	0.9849587655705255	0.985604925330164	0.9850507611204199	0.9861576745920765	0.9850500505925396	0.9853373198195109	0.9860758051671679	0.9842997518516234	0.986075217871011	0.9847993649216796	0.9983676594911394	0.9847428509714878	0.9874532348208483
HMP_2012__SRS014979__bin.67	0.9852661356288708	0.985671426713763	0.9865459112494076	0.9854078630063697	0.999605975596881	0.985091995976156	0.9994161380497429	1.0	0.9994056774134559	0.9857738538895183	0.9858116685187469	0.9864856750598165	0.9993752205570046	0.9853556519141171	0.9850909546301319	0.9861107943530915	0.9852790804998613	0.9872938222433871	0.985189460172198	0.9856881567604091	0.9854436960805956	0.9854144307127559	0.9854030630039236	0.9860672399289041	0.9867343703571008	0.9862223302931515	0.9849140055789569	0.9857309724535	0.9853078540582342	0.9992133915637135	0.9855303612502635	0.9854260433273467	0.9851254743681059	0.9858467831454328	0.985477835953392	0.9862505828623954	0.9850121137887133	0.985433156626165	0.9859080396921593	0.9848102460761328	0.9863368972979948	0.9855201293091961	0.9980761364825401	0.9853282848123226	0.9874077063085958
XieH_2016__YSZC12003_37284__bin.35	0.9851217968255457	0.9860152662915378	0.9866395613009301	0.984766154594474	0.9996137682751387	0.9842944652117839	0.9997812325395085	0.9994056774134559	1.0	0.9857321077272135	0.9859699435595334	0.9862491501309023	0.9992488579719542	0.9843877592718674	0.9846683475692302	0.9860775893694995	0.9858132618990509	0.9874464852764413	0.9851093409133931	0.9856531983409765	0.9851235384487002	0.9852283387244594	0.9842521005134849	0.9859925639444724	0.986952440259873	0.9867570409847742	0.9842888874988521	0.9856254934502038	0.9849744540121024	0.9993205817449387	0.9851240060277872	0.9849064021373218	0.9852323883273602	0.9858078800336862	0.9851813762814436	0.9864652242519876	0.9856780379371944	0.9854590864094752	0.9865501384139903	0.9842834033136294	0.9868188453403541	0.9849283117857701	0.998395114927428	0.9849599246914215	0.9878045099501291
FengQ_2015__SID31750__bin.10	0.9971750542192429	0.9962115749580346	0.9976544459461917	0.9876065595848507	0.9875103874781331	0.9973265079203743	0.9852830562048307	0.9857738538895183	0.9857321077272135	1.0	0.9973505265828416	0.9970158300888257	0.9862129684265738	0.9967589289242061	0.9982126347594205	0.9972112015467234	0.99742376652159	0.9972367125086637	0.9962608102603935	0.9982197629433253	0.9986167925671365	0.9976318471268892	0.9882954963105369	0.9983373256305481	0.9860272814548741	0.9968291023720396	0.996713667858474	0.9984959574329397	0.9971086846992271	0.9862635530286393	0.9870799895744942	0.9986036761654205	0.9962031414409046	0.99657507350523	0.9982911553761863	0.9971284621306509	0.9964261209840986	0.9972132786074531	0.9875844886498147	0.9965323603506112	0.9878173843059316	0.9984842852863799	0.9858015457022168	0.9975577919945461	0.9979736593927169
