	LoombaR_2017__SID1048_bav__bin.12	ZeeviD_2015__PNP_Main_398__bin.8	Obregon-TitoAJ_2015__NO05__bin.36	LiJ_2014__V1.UC38-4__bin.41	IjazUZ_2017__S45_a_WGS__bin.8	LiJ_2014__V1.CD48-0__bin.29	YuJ_2015__SZAXPI017582-94__bin.3	LiJ_2014__O2.CD1-0-PT__bin.50	XieH_2016__YSZC12003_37179__bin.24	HMP_2012__SRS043411__bin.21	ZeeviD_2015__PNP_Main_155__bin.42	SchirmerM_2016__G88887__bin.20	YuJ_2015__SZAXPI015237-23__bin.30	Obregon-TitoAJ_2015__NO10__bin.25	KarlssonFH_2013__S347__bin.4	QinJ_2012__T2D-068__bin.33	LoombaR_2017__SID1019_aas__bin.1	SchirmerM_2016__G89000__bin.6	NielsenHB_2014__V1_CD21_0__bin.1	NielsenHB_2014__V1_UC32_0__bin.37	LiJ_2014__V1.CD3-0-PN__bin.6	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.15	XieH_2016__YSZC12003_36697__bin.51	HeQ_2017__SZAXPI029564-74__bin.33	LiJ_2014__O2.CD3-0-PT__bin.58	VincentC_2016__MM104__bin.7	IjazUZ_2017__S151_a_WGS__bin.15	BackhedF_2015__SID585_M__bin.15	Obregon-TitoAJ_2015__NO12__bin.20	ZellerG_2014__CCIS95097901ST-4-0__bin.47	KarlssonFH_2013__S640__bin.13	NielsenHB_2014__V1_CD6_4__bin.37	LiJ_2014__MH0358__bin.15	HeQ_2017__RSZAXPI003082-116__bin.8
LoombaR_2017__SID1048_bav__bin.12	0.0	16311.0	13033.0	10609.0	22575.0	18279.0	13779.0	15323.0	15699.0	32091.0	16363.0	8163.0	14978.0	20194.0	30172.0	14075.0	16870.0	17378.0	16791.0	14185.0	53331.0	15647.0	15758.0	15996.0	13573.0	10441.0	19447.0	18097.0	14939.0	15369.0	16636.0	19140.0	15044.0	19941.0
ZeeviD_2015__PNP_Main_398__bin.8	16311.0	0.0	10219.0	9831.0	18356.0	16550.0	14812.0	10672.0	15759.0	24607.0	14735.0	12859.0	15150.0	17894.0	20591.0	14085.0	16008.0	13565.0	15072.0	10301.0	26565.0	14064.0	14967.0	15659.0	13745.0	11192.0	12597.0	14527.0	14888.0	13854.0	13847.0	16456.0	12611.0	16281.0
Obregon-TitoAJ_2015__NO05__bin.36	13033.0	10219.0	0.0	9143.0	14661.0	14376.0	12550.0	10017.0	13957.0	22896.0	12673.0	10190.0	12552.0	14596.0	19542.0	12263.0	13083.0	12542.0	13254.0	10968.0	25342.0	12014.0	12786.0	12744.0	11635.0	8992.0	13583.0	16342.0	12376.0	12737.0	12783.0	12624.0	12355.0	13791.0
LiJ_2014__V1.UC38-4__bin.41	10609.0	9831.0	9143.0	0.0	14045.0	11723.0	10368.0	9334.0	11931.0	22626.0	9480.0	6921.0	10124.0	13149.0	20181.0	10050.0	11400.0	11990.0	11003.0	7885.0	31849.0	11226.0	11164.0	11149.0	8021.0	6270.0	12612.0	13921.0	8057.0	10768.0	10713.0	7774.0	11241.0	11449.0
IjazUZ_2017__S45_a_WGS__bin.8	22575.0	18356.0	14661.0	14045.0	0.0	11612.0	20978.0	18888.0	10761.0	38524.0	22683.0	13831.0	21869.0	23316.0	36715.0	20981.0	24237.0	21232.0	23226.0	17139.0	49825.0	22706.0	22574.0	22208.0	18585.0	14686.0	25693.0	19046.0	22509.0	19439.0	21720.0	22130.0	22391.0	25243.0
LiJ_2014__V1.CD48-0__bin.29	18279.0	16550.0	14376.0	11723.0	11612.0	0.0	17275.0	17105.0	7087.0	35453.0	20498.0	11173.0	18281.0	18947.0	33387.0	17559.0	19061.0	19061.0	18795.0	15266.0	49918.0	19267.0	18601.0	19159.0	16461.0	11893.0	21729.0	19830.0	17771.0	15296.0	19295.0	18768.0	18416.0	21721.0
YuJ_2015__SZAXPI017582-94__bin.3	13779.0	14812.0	12550.0	10368.0	20978.0	17275.0	0.0	13129.0	16116.0	30054.0	11082.0	7424.0	408.0	21122.0	31551.0	9987.0	11543.0	14255.0	11213.0	11307.0	50349.0	12325.0	11538.0	10887.0	11772.0	9063.0	16659.0	21714.0	14121.0	13882.0	12308.0	17341.0	13017.0	11048.0
LiJ_2014__O2.CD1-0-PT__bin.50	15323.0	10672.0	10017.0	9334.0	18888.0	17105.0	13129.0	0.0	15829.0	28187.0	11798.0	9097.0	12757.0	17007.0	23725.0	12900.0	14410.0	12059.0	14498.0	11186.0	35016.0	12425.0	14599.0	14256.0	13122.0	11118.0	14375.0	19261.0	14025.0	14699.0	12020.0	15208.0	10921.0	15711.0
XieH_2016__YSZC12003_37179__bin.24	15699.0	15759.0	13957.0	11931.0	10761.0	7087.0	16116.0	15829.0	0.0	32381.0	18218.0	10303.0	15979.0	17423.0	32378.0	16910.0	17910.0	18002.0	18411.0	13705.0	46365.0	17503.0	17353.0	17209.0	15635.0	12731.0	20005.0	18527.0	16351.0	13973.0	17422.0	18466.0	17356.0	20428.0
HMP_2012__SRS043411__bin.21	32091.0	24607.0	22896.0	22626.0	38524.0	35453.0	30054.0	28187.0	32381.0	0.0	30613.0	23483.0	30312.0	37034.0	46014.0	30063.0	32532.0	33028.0	33440.0	28544.0	60935.0	32637.0	32053.0	28620.0	30800.0	23632.0	35373.0	30800.0	32653.0	30686.0	32779.0	36549.0	30554.0	32249.0
