	XieH_2016__YSZC12003_36005__bin.99	ZeeviD_2015__PNP_Main_492__bin.1	QinJ_2012__CON-041__bin.12	ZeeviD_2015__PNP_Main_156__bin.4	QinJ_2012__T2D-063__bin.13	XieH_2016__YSZC12003_36157__bin.47	RaymondF_2016__P6C90__bin.56	QinJ_2012__CON-007__bin.27	ZellerG_2014__CCIS85214191ST-3-0__bin.8	ZellerG_2014__CCIS13047523ST-4-0__bin.32	WenC_2017__RA045__bin.55	XieH_2016__YSZC12003_36982__bin.36	HMP_2012__SRS019787__bin.19	ZellerG_2014__CCIS71301801ST-4-0__bin.26	NielsenHB_2014__V1_UC46_0__bin.28	RaymondF_2016__P6C7__bin.53	LiJ_2014__O2.CD3-0-PT__bin.19	ZellerG_2014__CCMD60079086ST-21-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.122	BackhedF_2015__SID70_12M__bin.13	HeQ_2017__SZAXPI029561-52__bin.15	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.36	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_269__bin.27	LiJ_2014__V1.FI35__bin.48	VogtmannE_2016__MMRS97052561ST-27-0-0__bin.1	ZellerG_2014__CCMD11006829ST-21-0__bin.48	FengQ_2015__SID531766__bin.48	ZeeviD_2015__PNP_Main_723__bin.45	KarlssonFH_2013__S526__bin.23	NielsenHB_2014__V1_CD14_0__bin.5	BackhedF_2015__SID587_M__bin.28	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.11
XieH_2016__YSZC12003_36005__bin.99	1.0	0.86170687536317	0.6750997319687669	0.6769378208858169	0.562177409277455	0.5110827896188492	0.7885305177116635	0.8695418196318085	0.5939724964613178	0.7285390984017411	0.8575292546774088	0.8437074839142148	0.8165706002451454	0.791586310449688	0.8738022786766643	0.7641668135894222	0.841257634718138	0.7493740488882711	0.5517074831119062	0.6773546201841177	0.8450347028539921	0.7451942218539626	0.8574604567181608	0.8235137785463894	0.7248258137966184	0.43512964203198284	0.8162115671633559	0.7716230682164861	0.7100747691407255	0.7353159982533742	0.6081426697178461	0.7856109168521503	0.7579447101088672
ZeeviD_2015__PNP_Main_492__bin.1	0.8370618351917553	1.0	0.6765385245618961	0.6996049217510479	0.5726226380206847	0.5149741807002219	0.7951142165236115	0.9145756537729612	0.6312082785425379	0.7232737660210105	0.9109658423026572	0.8417841863876185	0.8046247750321925	0.7824601000584327	0.9257226783332012	0.752148555812377	0.8350982318022305	0.7722771466999558	0.5742965134641662	0.682381209106615	0.8459878719531073	0.7317491365152489	0.8258588913843637	0.8171068472631036	0.7047633261703441	0.430798178084682	0.802451523175995	0.8109697585983636	0.7346045252504627	0.7298751597936326	0.6334715467478087	0.7837101972351732	0.7820618459079873
QinJ_2012__CON-041__bin.12	0.8021874463744352	0.8275656853585525	1.0	0.6663381604286231	0.5337707590519953	0.5138010753713272	0.766125326520106	0.846468339466509	0.5876201212652773	0.7194277079718573	0.8376270330047476	0.8244987797204797	0.777787814364978	0.7664871203310009	0.8417674032833146	0.7261685606421721	0.8275840372185254	0.716574589585677	0.5459654508360822	0.6625691173947033	0.8313135165023738	0.7352074475184472	0.8034322744866246	0.795361746143726	0.7092200221175663	0.4205118977253227	0.8274138654260491	0.7260906248212481	0.6644171735275611	0.7584549640589547	0.5939841649665376	0.7556638129921636	0.7208469979217115
ZeeviD_2015__PNP_Main_156__bin.4	0.5570951785215251	0.5927007730614823	0.46149540426808905	1.0	0.40232969925823536	0.3704987074375041	0.5322023115748266	0.6119552580742444	0.4417042842161786	0.5014209851536475	0.609454152533434	0.5726232605786513	0.5526599749328216	0.5470313319922134	0.6124793479694447	0.5005908597731871	0.5694574274762753	0.5052880257756489	0.4349690275252013	0.4952063519365163	0.5696637620806847	0.5193285178688244	0.5590043513492055	0.5569144294080624	0.4921854482602774	0.30951362641980906	0.5527614915581911	0.5232576239398322	0.5022263503815787	0.5137809231608282	0.46380552649905804	0.5400154602392392	0.5340350580650337
QinJ_2012__T2D-063__bin.13	0.9077338772570286	0.951821880967248	0.7253239316925804	0.7893809219066175	1.0	0.6047107091130969	0.8490744531183202	0.9856582012172215	0.6815776075821132	0.8024220711419029	0.9618630509300162	0.9113867722386458	0.8683558701526838	0.8675947828925721	0.976131008055218	0.8178669606514648	0.893937794233096	0.8374673866012369	0.6669922608760989	0.7590494894561886	0.9071272745173735	0.8396428006974798	0.8936521436103648	0.8905090151595627	0.7798093589766841	0.6034207471739372	0.9166968942457917	0.8372627027083047	0.8999273890367161	0.8092702371483129	0.7273714183557406	0.8794444257321336	0.979814670394159
XieH_2016__YSZC12003_36157__bin.47	0.7221666407811457	0.7490893776024868	0.6109888004498413	0.6361393238097289	0.5291863972909763	1.0	0.6977507371705123	0.7859918330236518	0.5223687745794359	0.6794456114972526	0.7858557923293454	0.7239422552599568	0.7185901876114542	0.749809259609858	0.7792221079732318	0.639524186334939	0.7342595248325282	0.6954791409937092	0.526024301402693	0.6562299835957596	0.7473735643455479	0.701305083727379	0.7317722474716271	0.7207447321075311	0.6571476914461012	0.4159738983254524	0.7256631700429321	0.6659974220288429	0.6674284000820779	0.6863420244442454	0.5818573862728137	0.6954014844307094	0.6877231209095681
RaymondF_2016__P6C90__bin.56	0.8055894635268284	0.8362320465061857	0.6586992440019435	0.6606803757101122	0.5372246000493028	0.5044863370968962	1.0	0.8454342270625296	0.5805517128039346	0.7163559553519961	0.8412963502955612	0.8347857465893203	0.7924684618299157	0.77449114648469	0.8429227717237505	0.8265147061324715	0.8849068624246651	0.7166821822530517	0.5436063113430036	0.6601402160925354	0.811208066165045	0.7336379893685275	0.8141121413169035	0.8114869573788243	0.6992815016437368	0.455071568075583	0.8065029808163419	0.7131908167127353	0.6930182320264244	0.7245472833311373	0.595045449431859	0.8154717615986266	0.7311533780775112
QinJ_2012__CON-007__bin.27	0.7477301782120566	0.8096104185509982	0.6125721220350022	0.6394307024787972	0.5249230226851095	0.47832854876977726	0.7116049985753247	1.0	0.5677302058086741	0.6685597946259727	0.8393561226200504	0.7539256188368991	0.7350786814060201	0.7157469059017436	0.8362608170116589	0.6756143524488204	0.7631573773002643	0.6913551181031741	0.5273627361494302	0.6274836093340039	0.7662359524593071	0.678363148028946	0.7534307769896644	0.7425258011125576	0.6491805874353981	0.3893294573884079	0.7338832304324459	0.7266513643422726	0.6631655183024217	0.6694777271149875	0.5911267905892774	0.7160175252319323	0.7188791219860182
ZellerG_2014__CCIS85214191ST-3-0__bin.8	0.7483116777444192	0.8186360958939245	0.6230242049502556	0.6761875617682727	0.5317975676030132	0.4657439572277376	0.7159156006914762	0.8317709587598308	1.0	0.6674369669860822	0.832531572415853	0.7660963917347323	0.7494624533555571	0.7422078163287327	0.839722024768714	0.6870110182847985	0.7655970652947656	0.6626693597275537	0.5800202206992541	0.6452568663071145	0.7677138960577218	0.6753233429298686	0.7569980878526461	0.7526206425492333	0.6527894684574023	0.4031755241095577	0.7385861834655731	0.732796675334967	0.6713279733234344	0.6829865886881841	0.6427258675101981	0.7290964541505374	0.7252999559551627
ZellerG_2014__CCIS13047523ST-4-0__bin.32	0.8033722838293916	0.8210483080963521	0.6676413322188821	0.6718709531012612	0.5480014305908	0.5302400309297801	0.7732102187711296	0.857333514110938	0.5841952893573378	1.0	0.8510727993330988	0.8248587933006415	0.828215196422019	0.77688843846856	0.8533166681743755	0.7316270935495351	0.8316755540387538	0.7295906913394182	0.5510775989342673	0.6898022188312904	0.8503948833155025	0.7699347674482644	0.8284206724351827	0.8270626286022168	0.7379802614743092	0.4219320540147558	0.7998468993581141	0.7244400778641288	0.7042483548095211	0.744194086139349	0.6064731800719675	0.7913597889414092	0.7455019221628552
WenC_2017__RA045__bin.55	0.8397573895273421	0.9183516252992463	0.6903155373941	0.725212546384649	0.583355070510952	0.5446300266895876	0.8064150470505138	0.9558653452557824	0.6471268427168538	0.7558012729605486	1.0	0.8546723670450769	0.8308817463491363	0.8103025972260742	0.9477290280103176	0.759711411468273	0.8583122312479523	0.7776051025274576	0.5974594215344196	0.7102046620746224	0.8679796445735755	0.7665128564929866	0.8495821354969944	0.8425304510359598	0.7328267785267065	0.4371908835848429	0.8264171133918561	0.8210870526822761	0.7428907643970173	0.7547461032180713	0.6633690320644321	0.8109201425854095	0.8070870008273222
XieH_2016__YSZC12003_36982__bin.36	0.7865110995806981	0.8078221075413575	0.6468372856161214	0.6486364040069743	0.5261753775820723	0.4776070341752093	0.7617153514984083	0.8173103909277464	0.5668657065260579	0.6973143175008297	0.8135939829941989	1.0	0.7812730510875205	0.7424758913087175	0.8205430824533603	0.7232315696475901	0.8044353447671402	0.6889325798052607	0.5285047703188471	0.6475098514913966	0.8128881347375506	0.7196404380933683	0.8229902723826352	0.8344747507327266	0.6922851252997518	0.4297462218420302	0.7808099024433568	0.7028911731571985	0.6722631551884521	0.7076195150682242	0.5767034549168641	0.7727630453378956	0.7156231798697686
HMP_2012__SRS019787__bin.19	0.8099826846045383	0.8216321277284481	0.6492847526035268	0.6661306049962964	0.5334510639627087	0.5044488210987188	0.7694292843268314	0.8479327073156999	0.5900865133104517	0.7450084686867497	0.841620536381331	0.8313269983484419	1.0	0.785240749255446	0.8526969777939951	0.7158540222432102	0.8267183137514641	0.7049232187654877	0.5519618046609313	0.6750570962382239	0.8542066781359856	0.7374277356305396	0.8467831226325131	0.8275358359846269	0.7095402596374212	0.4344693954414133	0.7992032888706554	0.7393811143808906	0.6947625852961792	0.724853133493681	0.6024744919733005	0.7952209269774976	0.7460146039831975
ZellerG_2014__CCIS71301801ST-4-0__bin.26	0.6296354440129924	0.64070057008788	0.5130832400417296	0.5287160251443008	0.42738834083894	0.4220807306212319	0.6029927340239225	0.6620578460592015	0.4685977829224435	0.5603837982278504	0.6581626523756214	0.6335199484491099	0.6296681499194079	1.0	0.6645323270762946	0.5618823669057069	0.6351303553728066	0.5503449994503812	0.4465527256703554	0.5293288221518221	0.6564198264161937	0.5739693531298197	0.6365748396493225	0.6214816222321031	0.5476589670581324	0.3430836819703187	0.6318088711500561	0.5637470821944099	0.5430412121542806	0.5686279202186477	0.4820734140706553	0.6154996321782086	0.5790349396400531
