	NielsenHB_2014__O2_UC26_0__bin.16	LiJ_2017__H3M518116__bin.17	QinN_2014__LD-51__bin.51	QinJ_2012__DLF008__bin.8	NielsenHB_2014__O2_UC26_2__bin.20	HeQ_2017__SZAXPI029473-40__bin.22	ZellerG_2014__CCIS29210128ST-4-0__bin.40	QinN_2014__LD-69__bin.31	CosteaPI_2017__donald4-11-30-0__bin.24	QinJ_2012__DOF006__bin.1	QinN_2014__LD-94__bin.44	HeQ_2017__SZAXPI029574-89__bin.17	HeQ_2017__SZAXPI029471-33__bin.12	HeQ_2017__SZAXPI029541-107__bin.12	CosteaPI_2017__donald4-11-7-0__bin.5	CosteaPI_2017__donald5-11-0-0__bin.9	LiJ_2014__O2.UC26-1__bin.16	FengQ_2015__SID531403__bin.8	LiJ_2014__V1.FI18__bin.6	HeQ_2017__SZAXPI029495-96__bin.3	HeQ_2017__SZAXPI029483-78__bin.27	QinN_2014__LD-89__bin.13	YuJ_2015__SZAXPI015232-18__bin.37	HeQ_2017__SZAXPI029546-133__bin.22	LoombaR_2017__SID1052_baz__bin.25	HeQ_2017__SZAXPI029496-97__bin.11	YuJ_2015__SZAXPI003428-6__bin.14	QinJ_2012__T2D-020__bin.28	QinN_2014__HD-10__bin.29
NielsenHB_2014__O2_UC26_0__bin.16	1.0	0.857024006139886	0.8364299080065914	0.8921830589242737	0.7993546086470472	0.8899623475439531	0.5207316779743312	0.6375724376371557	0.7952546676891584	0.8833147117270466	0.7304813998841369	0.874971388945614	0.8607158346993634	0.8465781178954356	0.8859237931070649	0.29751918251662524	0.9934578626262203	0.5657477402665347	0.8736282888831169	0.940940614247719	0.5371786384778117	0.7860698251625509	0.6187360299393476	0.4559710576434856	0.32047804984585504	0.8305087307673562	0.877718050166669	0.7422299779687169	0.7685903989013355
LiJ_2017__H3M518116__bin.17	0.7823074889190557	1.0	0.7675002330088667	0.8703347189969384	0.6384983585194096	0.8386387551610408	0.5334086845994795	0.6012321452556156	0.7654199073201953	0.8330682241514324	0.7176383066013735	0.8013835235840171	0.8186185770155548	0.8094009996713941	0.8521949435245639	0.27527512645130736	0.7945622066094549	0.5318996882045702	0.8087299904515641	0.8056917237784774	0.47370266153850055	0.7547164232815139	0.6164586763350564	0.4315383343934885	0.2876247371786695	0.8100736983814965	0.8108950722355645	0.728241829132275	0.737615965908339
QinN_2014__LD-51__bin.51	0.856381789308919	0.8608587252718377	1.0	0.8926081760378596	0.6995746989793533	0.8745921013900452	0.5241173408863796	0.637147103746161	0.7884586959625144	0.8750282670736284	0.752972622312733	0.8635433076834643	0.8651603737949384	0.8397266400271869	0.8718386673353908	0.2999136511963131	0.8658706827177323	0.5607394666461164	0.8557078012069883	0.8765802715407734	0.5163601610496781	0.7906256277185345	0.6162752650788257	0.46771489608455236	0.30987471527634775	0.8271713218378461	0.8616612574963016	0.7506171381214493	0.7723515173259791
QinJ_2012__DLF008__bin.8	0.8022985125966036	0.8574006779585791	0.7839800385027212	1.0	0.654918251066592	0.8421846133361442	0.5008607632859354	0.6004108251454948	0.7914023534372278	0.845150266023845	0.7084054103535704	0.822380122831448	0.8160341087507698	0.8047407169051357	0.8770165384167281	0.28956737144030137	0.814151414447952	0.5275105827004055	0.8254326008199859	0.83769826959672	0.47783042158815403	0.7547895387995361	0.6642238150981709	0.42936609208475035	0.2895454570672466	0.7968415563088429	0.856018408073366	0.7202344560519731	0.774596525878378
NielsenHB_2014__O2_UC26_2__bin.20	0.9885783500238435	0.8650613257033858	0.8450216499761564	0.9006927992370053	1.0	0.8999896995708154	0.4647576537911302	0.7888713400095374	0.8845367668097281	0.8935580352885074	0.7252291845493563	0.8787780639008107	0.896555078683834	0.8480549356223176	0.8937255126371006	0.16482975679542203	1.0120728659990463	0.48440438721983786	0.8721098712446352	0.941718645684311	0.48833342870767765	0.7874701001430615	0.767693657606104	0.388870577014783	0.2878004768717215	0.8938224129709108	0.8880114449213161	0.8659265617548879	0.7661936099189318
HeQ_2017__SZAXPI029473-40__bin.22	0.8341247533076864	0.861092494944723	0.8006211471040794	0.877777944825345	0.6820642761774299	1.0	0.5157247014972409	0.6273247479878639	0.7952203707569355	0.880986318226001	0.7440303784995903	0.8380310642941029	0.8883745108799044	0.8379755531025262	0.8848362506584726	0.293350626611487	0.847442524232659	0.5743274616755938	0.8730337617910686	0.8480661577755277	0.4884886557675839	0.7826531574014055	0.612399176352695	0.4385491109246603	0.29789791838814006	0.9392204493977903	0.8471221783979355	0.7904975826610793	0.7501143472722321
ZellerG_2014__CCIS29210128ST-4-0__bin.40	0.7811446253399407	0.8765829769846819	0.7679060859151547	0.835511529407845	0.5637316124327233	0.8254219382435949	1.0	0.500469912852105	0.7169542058241429	0.8259675091472204	0.7409958820733915	0.7959962777164132	0.8009290901274804	0.8006269206617743	0.8338114212654191	0.3877347886826661	0.7870228163397329	0.6482631734087169	0.8152485910712394	0.7900421972949123	0.5324119555454575	0.7801538981943408	0.48042399975197114	0.5352342091003448	0.3457063940076972	0.7556129250790939	0.805623591244767	0.6500854450104787	0.7539452087630071
QinN_2014__LD-69__bin.31	0.8779734066006887	0.9070046616184915	0.8569464232464133	0.9194292724493844	0.878387999242179	0.9216899917506259	0.45942259478921615	1.0	0.9131360450070897	0.9146160048051967	0.7426743264356332	0.8789742060508436	0.9206050843670538	0.8538624656877862	0.9242085570901714	0.09925628197057242	0.8987718542570933	0.4640251678123187	0.8803747305785011	0.8858540650893456	0.44899533498320815	0.7982165719815234	0.8611114651007299	0.36385559262534845	0.27711610038239376	0.9221037348170312	0.8898241294616498	0.9161070090794089	0.7921816153650751
CosteaPI_2017__donald4-11-30-0__bin.24	0.8350162548353965	0.8804484954762746	0.8085926328039648	0.9240682013183308	0.7509879707416202	0.8908751051454805	0.501836989119285	0.6962614688333735	1.0	0.8749464353212375	0.7356892830802986	0.8479848182396194	0.8602029093191691	0.8393966552319776	0.9990406132819674	0.2539213555531875	0.8500882136977232	0.5268098707354337	0.855240787604024	0.8512759487061721	0.4778328872714128	0.7827121881952679	0.7137545673706812	0.42384195836676236	0.2910274668984051	0.8787217937227865	0.8704251391709953	0.8054459609722001	0.7756674005122127
QinJ_2012__DOF006__bin.1	0.8469963975523825	0.8751090362306431	0.8195025551969574	0.9011934309386921	0.6928149523908402	0.9013135223856669	0.5279728770804882	0.6368733393142424	0.7990222308199022	1.0	0.7479100095037886	0.8653517540598156	0.879209597140522	0.8591152809858857	0.8907999007322916	0.30016857171337663	0.8616596815446954	0.5680795750774161	0.8865517397434953	0.8709167798809556	0.5070964875618094	0.8378570243291665	0.6285201805394472	0.45729491945147194	0.3049092259514659	0.8528229032728469	0.8676778603135333	0.7728207025822915	0.7690813033885606
