	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	ZeeviD_2015__PNP_Main_166__bin.6	LiuW_2016__SRR3993020__bin.68	HMP_2012__SRS024435__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	LiuW_2016__SRR3992958__bin.38	LiJ_2017__H2M415914__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	VatanenT_2016__G80433__bin.10	HMP_2012__SRS017103__bin.53	XieH_2016__YSZC12003_37830__bin.113	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.13	WenC_2017__N252__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.24	ZeeviD_2015__PNP_Main_520__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.16	XieH_2016__YSZC12003_37332__bin.24	CM_madagascar__A89_01_1FE__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.76	LiuW_2016__SRR3992987__bin.62	LiJ_2017__H2M515921__bin.40	YuJ_2015__SZAXPI015264-87__bin.24	XieH_2016__YSZC12003_35387__bin.46	LiuW_2016__SRR3992984__bin.72	LouisS_2016__AS66_18__bin.38	XieH_2016__YSZC12003_36244__bin.54
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	3037856.0	1650475.0	1806820.0	2268260.0	2562396.0	2755488.0	1516090.0	2844670.0	1419540.0	2163137.0	2271644.0	2195314.0	2668861.0	2808603.0	1765220.0	1780265.0	2500751.0	2889309.0	2873015.0	2768746.0	2834916.0	2868658.0	2765731.0	1770569.0	1654235.0	2329978.0
ZeeviD_2015__PNP_Main_166__bin.6	1650475.0	2580489.0	1390383.0	1771271.0	2034331.0	2169288.0	1169172.0	2264892.0	1229906.0	1718597.0	1795132.0	1711222.0	2110695.0	2202001.0	1378676.0	1454484.0	1965325.0	2347657.0	2311339.0	2174492.0	2210224.0	2305437.0	2147619.0	1336963.0	1352747.0	1918537.0
LiuW_2016__SRR3993020__bin.68	1806820.0	1390383.0	2807961.0	1950028.0	2174816.0	2671722.0	1742923.0	2638524.0	1241212.0	1923301.0	2189429.0	1817017.0	2522234.0	2544055.0	1731738.0	1447578.0	2398349.0	2694586.0	2673006.0	2652257.0	2710144.0	2655046.0	2621500.0	1999058.0	1603735.0	2118714.0
HMP_2012__SRS024435__bin.32	2268260.0	1771271.0	1950028.0	3472248.0	2788148.0	3070336.0	1635697.0	3082223.0	1559012.0	2543175.0	2548809.0	2467274.0	2879779.0	3026500.0	1884866.0	1928695.0	2775494.0	3167356.0	3105933.0	2985406.0	3056144.0	3111812.0	3005686.0	1890951.0	1870638.0	2506140.0
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	2562396.0	2034331.0	2174816.0	2788148.0	3978895.0	3403513.0	1817629.0	3500896.0	1726320.0	2615201.0	2777167.0	2753292.0	3265795.0	3484433.0	2106052.0	2180830.0	3065094.0	3637355.0	3573766.0	3410096.0	3471895.0	3545344.0	3373749.0	2092788.0	2002286.0	2842466.0
LiuW_2016__SRR3992958__bin.38	2755488.0	2169288.0	2671722.0	3070336.0	3403513.0	4433710.0	2254776.0	4002346.0	1956036.0	2965467.0	3262342.0	2932764.0	3787160.0	3853372.0	2471515.0	2269813.0	3593647.0	4115212.0	4057626.0	3999499.0	4040142.0	4033631.0	3924567.0	2590761.0	2369242.0	3219910.0
LiJ_2017__H2M415914__bin.38	1516090.0	1169172.0	1742923.0	1635697.0	1817629.0	2254776.0	2367321.0	2232845.0	1003939.0	1635145.0	1860971.0	1530319.0	2154506.0	2145983.0	1443905.0	1264044.0	2007457.0	2262390.0	2264857.0	2237181.0	2302363.0	2259874.0	2185068.0	1671892.0	1373798.0	1806334.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	2844670.0	2264892.0	2638524.0	3082223.0	3500896.0	4002346.0	2232845.0	4449555.0	1915939.0	2961333.0	3249069.0	2946152.0	3854582.0	4026259.0	2490667.0	2373123.0	3626198.0	4207693.0	4240523.0	3981701.0	4100381.0	4179382.0	3997662.0	2571896.0	2343510.0	3382734.0
VatanenT_2016__G80433__bin.10	1419540.0	1229906.0	1241212.0	1559012.0	1726320.0	1956036.0	1003939.0	1915939.0	2196663.0	1525674.0	1593414.0	1536996.0	1800646.0	1873230.0	1171278.0	1242040.0	1691535.0	1948835.0	1936432.0	1850512.0	1881136.0	1932309.0	1856602.0	1172169.0	1182880.0	1559041.0
HMP_2012__SRS017103__bin.53	2163137.0	1718597.0	1923301.0	2543175.0	2615201.0	2965467.0	1635145.0	2961333.0	1525674.0	3441634.0	2454622.0	2336919.0	2777227.0	2871713.0	1864918.0	1836788.0	2678179.0	3059928.0	2963430.0	2894344.0	2932588.0	2952816.0	2834485.0	1859335.0	1838595.0	2394460.0
