	CosteaPI_2017__daisy-11-390-0__bin.44	CosteaPI_2017__daisy-11-0-0__bin.1	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	BackhedF_2015__SID397_M__bin.71	CosteaPI_2017__daisy-11-7-0__bin.39	GeversD_2014__SKBSTL013__bin.105	CosteaPI_2017__daisy-11-403-0__bin.29	CosteaPI_2017__daisy-11-386-0__bin.46	CosteaPI_2017__daisy-11-388-0__bin.6	LiJ_2014__O2.UC2-1__bin.14	LiJ_2014__MH0246__bin.46	QinN_2014__LD-49__bin.29	CosteaPI_2017__daisy-11-60-0__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.92	HMP_2012__SRS053398__bin.18	VogtmannE_2016__MMRS88581325ST-27-0-0__bin.75	CosteaPI_2017__daisy-11-2-0__bin.7	CosteaPI_2017__SID713A037-11-0-0__bin.69	ZellerG_2014__CCIS48174381ST-4-0__bin.47	XieH_2016__YSZC12003_37202R1__bin.10	QinN_2014__LD-86__bin.32	LiJ_2017__H1M413815__bin.7	HMP_2012__SRS058770__bin.26	LiJ_2014__V1.CD49-0__bin.19	ChengpingW_2017__AS97raw__bin.74	ZeeviD_2015__PNP_Main_480__bin.37	LiJ_2014__MH0359__bin.66	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.36	LeChatelierE_2013__MH0183__bin.3	NielsenHB_2014__O2_UC18_2__bin.57	CosteaPI_2017__daisy-11-392-0__bin.8	ZeeviD_2015__PNP_Main_706__bin.56	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.45	HMP_2012__SRS024132__bin.65	LiJ_2014__V1.CD44-4__bin.36	YuJ_2015__SZAXPI003420-4__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.134	VogtmannE_2016__MMRS62666492ST-27-0-0__bin.17	CosteaPI_2017__SID713A037-11-90-0__bin.47	CosteaPI_2017__daisy-11-389-0__bin.10	NielsenHB_2014__V1_UC26_4__bin.73
CosteaPI_2017__daisy-11-390-0__bin.44	1.0	0.9022944218280131	0.5637290387195035	0.4912473113257726	0.9261477947033442	0.7928653159078702	0.8510392747520192	0.9632793911985325	0.9904053573698863	0.6813849039861136	0.8835742437333458	0.905737222148708	0.9826547106610312	0.9098131095733668	0.8544044959562859	0.7808568989629306	0.9374074045244971	0.8535254389447164	0.4242822634420738	0.9108481032035765	0.7324742548902087	0.3428060288573556	0.7621385371017584	0.5561441881825471	0.7652279502767162	0.6123854151261114	0.5151878634088627	0.9231761772436321	0.46297322612366476	0.5374496968187373	0.9888078502800891	0.6156136404324711	0.5153085132053148	0.9226499884539442	0.5847599847436387	0.4699060488359241	0.9211279847851526	0.43707114186599827	0.9401338304623871	0.8070296020113489	0.8542462241802949
CosteaPI_2017__daisy-11-0-0__bin.1	0.9895222006252591	1.0	0.598738384518705	0.529051329920501	0.9398693881685632	0.8328918618147196	0.8847621332108652	0.9864556594998325	0.9928431249525166	0.728576538186077	0.9138844571010046	0.939313387300132	0.985050860990393	0.9367103699283772	0.88407865619655	0.8209330058789835	0.9324071963698891	0.8777913505727748	0.4492310599043986	0.9371821454861351	0.7684779945725893	0.37254988998068794	0.8110467754937353	0.5894189677106906	0.81338772694951	0.647414069553603	0.5522588175506198	0.9527373652786278	0.48829282408889413	0.564403765895749	0.988431824306002	0.6420583641566671	0.5509740970178834	0.9504527537266143	0.6248806689538391	0.49335203362866253	0.9452151344916021	0.4699809326416614	0.9436882661906798	0.8559545160558767	0.8882947589946799
VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	0.9045320168742784	0.876018682772141	1.0	0.530182568768763	0.874835501596795	0.8017230648305849	0.8377176676593121	0.9086839753055684	0.908385890252244	0.7362609226731568	0.8790049454641738	0.8907951252269464	0.9042330991811404	0.9034987108654083	0.8758071922594473	0.8093479639250474	0.8791997831805926	0.8293450580120975	0.5905851750979081	0.907355914802629	0.7768879171057107	0.39919250590862027	0.7974091579555196	0.5876222263206604	0.8275844411259122	0.6862001191507574	0.5417008916323446	0.9112335184152865	0.4817133562503565	0.5762604397420649	0.8912693136008799	0.6085418853213511	0.5710972402569693	0.9116381813647716	0.6449498938176077	0.507710036515419	0.9061219425986439	0.482752074418016	0.8747813800089009	0.8023862624422409	0.8764175172429297
BackhedF_2015__SID397_M__bin.71	0.9316665994160018	0.914915278924593	0.6266603943119716	1.0	0.9099639897293472	0.8736825840789135	0.8698438833223928	0.9376994761337232	0.9362562112550057	0.75764664663581	0.9205136507367885	0.9277526107200185	0.9339862552763067	0.9395811825422523	0.8842361817106404	0.8634670440577148	0.90628521433443	0.8716478414012808	0.48959796240326975	0.9421380200157662	0.8051164305840277	0.4033730965191384	0.8229951018552326	0.6475604247223942	0.8453753029970504	0.6706762825275884	0.5872365783255372	0.9487668032347242	0.5197618539138411	0.6230091752870537	0.9244547037247355	0.6180037575078806	0.6001659287136392	0.9551657860110088	0.6586799120951797	0.5324919126974832	0.9419820312784483	0.520725342707748	0.9124293006882204	0.8549339188405854	0.8828145682654938
CosteaPI_2017__daisy-11-7-0__bin.39	0.9913658403002625	0.9173686365148745	0.5836150933376882	0.5135911360996639	1.0	0.8189670447722063	0.8744519635992182	0.9768320788139251	1.003525818881503	0.7004253756753769	0.9121728098401869	0.9197440858172373	0.989807481123885	0.9363108519678207	0.874232554625891	0.8153023594518886	0.9509537624750666	0.8919757972461119	0.44188383989032887	0.9333816033074653	0.7589614678960235	0.3506422017329421	0.7859071116836112	0.5851420686988936	0.7922819144238348	0.6311790704947144	0.5410267006833895	0.9432622281620027	0.4859603253029649	0.5635952743195406	0.9839798121525909	0.6451604212874474	0.540295985482347	0.9470630025923586	0.6053040869503875	0.49155886465021487	0.9395628262319814	0.45446708337707625	0.9516955869912141	0.8313181035732556	0.8763602662014085
GeversD_2014__SKBSTL013__bin.105	0.9399547341229536	0.9003655474876454	0.5923499560444834	0.5461360670855309	0.9070271613718058	1.0	0.8548397515359824	0.9410829974893987	0.9454843934846174	0.7278015413037286	0.9266779534016156	0.9274792418611547	0.9417326409544837	0.9439390294843394	0.8797642827745435	0.8495524780883749	0.8978537157945182	0.8556911781985559	0.44734012218956914	0.9522755054269222	0.7742187514418578	0.37448070048298776	0.8115532569223017	0.6171760564550014	0.8116412294748654	0.6477652818474482	0.5509874765227095	0.9574535821746692	0.4936635154447197	0.5811546797399212	0.9355087366587779	0.6250825127175705	0.5653799091606496	0.9635947430555513	0.6319778998183336	0.4970935222056872	0.9510691125907178	0.480067142128579	0.9181123181874947	0.8365663759061019	0.8786329434447222
CosteaPI_2017__daisy-11-403-0__bin.29	0.9765576688729418	0.9257581608412407	0.599090495788169	0.5262950267554655	0.9374121883925374	0.827418985558033	1.0	0.9638806426075391	0.9774124503945363	0.7210759469362588	0.9001066764957113	0.9308850635935421	0.9760693924203417	0.9266403334809079	0.8816566743669451	0.821745451362455	0.9269463994524159	0.8695920777741025	0.45279870237555425	0.9231196816199345	0.7763113274480142	0.36792672756823736	0.7935132473272074	0.5909133538548383	0.8082901600683349	0.6515045911384374	0.5539049760431922	0.9330355640917924	0.49065203663383405	0.5717425484993984	0.9683876724486736	0.6403159148648323	0.5504102266525701	0.9331168442573776	0.6270776684084838	0.499799181422391	0.9287256312089636	0.4706466953658099	0.9260683950263684	0.8523338870110425	0.8759161510239067
CosteaPI_2017__daisy-11-386-0__bin.46	0.9847338044008742	0.9195320622997433	0.5789298066925541	0.5054403526640779	0.9328951556432619	0.8114971247904598	0.8587001612663654	1.0	1.0036531606085684	0.7018426273685997	0.9024269527022726	0.935094531797059	0.9879554183376833	0.9282428331954081	0.8788223841958962	0.7988995162009039	0.9379124493390201	0.8716367475120419	0.4343293122838288	0.9290791372249454	0.75088669976871	0.3522845184289261	0.7806132896216607	0.5705545653234876	0.7864525643474017	0.6292104313875273	0.5302170199673223	0.944156481422539	0.47574320453243363	0.5507914783457466	0.9892333481868143	0.6283462770810788	0.5273144906316973	0.9421499352812612	0.6023762917223672	0.483779203004647	0.940842563710824	0.44888519320134956	0.9637519362573471	0.8185700341630063	0.872406741358457
CosteaPI_2017__daisy-11-388-0__bin.6	0.9859650826672025	0.9012637779747161	0.5635927487293642	0.49145405886678684	0.9333046966191544	0.7939541060062968	0.8479653941754163	0.9773849169582643	1.0	0.682418667555903	0.8832174820682596	0.910886695473858	0.9889430082033079	0.9072800709391508	0.8583032824338556	0.7807958544094298	0.9257298293911358	0.8494252983414383	0.4229312922915665	0.9077419089874252	0.7292458944069811	0.3441646581791441	0.7600456878713527	0.5574403323580835	0.764354884828491	0.614663822970347	0.5165999524213822	0.9281725600525069	0.46354075320413063	0.5372289768763269	0.9951829878287077	0.6117075945237579	0.5156060190825902	0.9203373277502933	0.586814317082816	0.4700731269406303	0.9240237665785782	0.4377248328613786	0.9407563553745628	0.8069775256897415	0.8511664897751174
LiJ_2014__O2.UC2-1__bin.14	0.9025052923872103	0.8799442581035384	0.6077646880928161	0.5291314986391005	0.8666933577103896	0.8131350864652352	0.8323193027795343	0.9093486239793254	0.9079451103840761	1.0	0.8591297115992632	0.8988831001017238	0.9021509773733264	0.887011656998323	0.9305948093365958	0.7901022049322299	0.8574732631347428	0.8168614081873917	0.4652616638715531	0.887308924202018	0.7806030572127677	0.4071096692601655	0.7937927858576417	0.5875584224562175	0.8199505814752701	0.6604373436340143	0.5401492865587111	0.8969170126192505	0.5276774668022984	0.5485696808071922	0.8999206141918455	0.583602878508784	0.5461303714293569	0.8951378769966734	0.7068161823330492	0.49747236961482416	0.8900922387485223	0.47940092926071537	0.8858621092568664	0.8189429659362714	0.870217606466335
