	CM_periimplantitis__SP_283SPT_T016__bin.18	HMP_2012__SRS017139__bin.7	HMP_2012__SRS018157__bin.35	CM_periimplantitis__SP_344SPT_T016__bin.20	HMP_2012__SRS017227__bin.18	HMP_2012__SRS063603__bin.16	HMP_2012__SRS045197__bin.7	HMP_2012__SRS023841__bin.5	CM_periimplantitis__SP_381SPT_T016__bin.2	HMP_2012__SRS054430__bin.16	HMP_2012__SRS021477__bin.4	HMP_2012__SRS055401__bin.15	HMP_2012__SRS018394__bin.34	CM_periimplantitis__SP_503SPT_T016__bin.7	HMP_2012__SRS024649__bin.21	HMP_2012__SRS023964__bin.4	CM_periimplantitis__SP_187SPT_T016_R__bin.9	HMP_2012__SRS019906__bin.23	HMP_2012__SRS015215__bin.26	HMP_2012__SRS011255__bin.28	HMP_2012__SRS017445__bin.44	HMP_2012__SRS052604__bin.17	CM_periimplantitis__SP_502SPI_T016__bin.10	HMP_2012__SRS018665__bin.40	HMP_2012__SRS024087__bin.72	HMP_2012__SRS051378__bin.4	HMP_2012__SRS053917__bin.20	HMP_2012__SRS047634__bin.98	HMP_2012__SRS064449__bin.40	HMP_2012__SRS051941__bin.40	HMP_2012__SRS015803__bin.11	HMP_2012__SRS013170__bin.67	HMP_2012__SRS019129__bin.10	HMP_2012__SRS020226__bin.32	HMP_2012__SRS013533__bin.41
CM_periimplantitis__SP_283SPT_T016__bin.18	1.0	0.9681068904691118	0.9668742156384048	0.9661924066380728	0.9717798702644931	0.9677878830592854	0.966089277640422	0.9672357095707588	0.9665066342679247	0.9659713386560871	0.9673091750192753	0.9682981496977243	0.965834626358453	0.9657551945331859	0.96784282608286	0.9718576626576896	0.9662442422874773	0.9680443835848497	0.9658947753845849	0.9669608510939881	0.9654454048053287	0.9678853975884194	0.9593329599788031	0.9666039752017358	0.9584319859680722	0.9665921507567122	0.9663299663299664	0.9700635177834657	0.966356447817515	0.9664436016840297	0.9662874947426595	0.9671212714886387	0.9665355106843936	0.9700368794517682	0.9660241611332626
HMP_2012__SRS017139__bin.7	0.9681068904691118	1.0	0.9678998211340242	0.9670117329808839	0.9726898836437523	0.9689995593230324	0.9670873586338355	0.9661088490962115	0.9676230470151422	0.9673272541066802	0.968237937635874	0.9691159504788369	0.966990454516138	0.9664991463105113	0.9674962907647411	0.9726903959752836	0.9663967675613028	0.9681868516498684	0.9663067771318222	0.9672694746287356	0.966316275488303	0.9693465822533376	0.9613105263247584	0.9675872427923526	0.9619037823402984	0.9688147173070174	0.9682391290325146	0.9706980556611704	0.9663279586942115	0.9668216027665896	0.9662926724930658	0.9674613761810478	0.9670606805584534	0.9711178234603851	0.9671881289649388
HMP_2012__SRS018157__bin.35	0.9668742156384048	0.9678998211340242	1.0	0.9667006568343156	0.9725622159297567	0.9672593564486519	0.9660389648842305	0.9652559810708965	0.967252090653921	0.9664307209029183	0.9674072956019515	0.967790418054014	0.9665093738958568	0.9663800127109943	0.9668931557466701	0.972252336410722	0.9653178302870303	0.9663010314675304	0.9656051700844184	0.9974907394421921	0.9671068579675078	0.9674198342735459	0.9604033689828017	0.9653068040435893	0.9591932701820468	0.9667631229510267	0.9665263570837551	0.9922006507506572	0.9662154050549837	0.9664992634096925	0.9664834252674928	0.9650579636268918	0.9660871831143208	0.9702552318313031	0.9655864973324821
CM_periimplantitis__SP_344SPT_T016__bin.20	0.9661924066380728	0.9670117329808839	0.9667006568343156	1.0	0.9738601391626738	0.9643968428169489	0.9657092220501843	0.964535106044309	0.9659793550411122	0.9669754576427356	0.9670287428835929	0.9665821297209531	0.9663462888515655	0.9663372402097951	0.9659990730869067	0.9717749039402078	0.9631332395469246	0.9646089045449159	0.9658582964586852	0.9662926338663025	0.9666339905933693	0.9647601048240876	0.9603427506624268	0.964586306773194	0.9559697499586471	0.9661438688855764	0.9671119423552108	0.970853464524588	0.9660366928831247	0.967081834372282	0.9669497811735035	0.9623021465990921	0.9649125452465915	0.9699704016657386	0.9652127101074006
HMP_2012__SRS017227__bin.18	0.9717798702644931	0.9726898836437523	0.9725622159297567	0.9738601391626738	1.0	0.9719533696222878	0.9727100765028015	0.9718888028471133	0.972419617118991	0.9729694515607725	0.9724199282419541	0.9712922026306475	0.9726873993443976	0.9725043780928624	0.9721319687111472	0.9774089934266248	0.968691291343254	0.9715914641930896	0.9721101877667397	0.9728804264687122	0.9723730066678027	0.9723133458910371	0.9717117716150743	0.9700951846780712	0.9633863601235305	0.97155365330746	0.9729535518561631	0.9749159839064653	0.9729290989183217	0.972544652143719	0.9728989920372572	0.9689287824484063	0.9707028502785932	0.9748241837396765	0.9720583926007114
HMP_2012__SRS063603__bin.16	0.9677878830592854	0.9689995593230324	0.9672593564486519	0.9643968428169489	0.9719533696222878	1.0	0.9646566231893929	0.9656070678550293	0.9663427548749174	0.9650922907533427	0.9660715322404176	0.9683723053415224	0.9649325155727619	0.9645042738512734	0.9658498400234263	0.9720104481140701	0.965587546812945	0.966566762184291	0.964708617916956	0.9669666922381521	0.9659399108418314	0.9991885421091977	0.9593867372167753	0.9661698634601713	0.9883463082157868	0.9657409508712387	0.9657049097564054	0.9700588474659654	0.9654170976227512	0.9651201609768367	0.9650392007306084	0.9661418234944611	0.9660729156994551	0.9698524248029199	0.9650621997905885
HMP_2012__SRS045197__bin.7	0.966089277640422	0.9670873586338355	0.9660389648842305	0.9657092220501843	0.9727100765028015	0.9646566231893929	1.0	0.9655449002455354	0.9649615109428678	0.9658219470705427	0.9667074345601001	0.9670692850868665	0.9663120960334455	0.9662249925235512	0.9657097023328961	0.9717308692347694	0.9631172923105755	0.9645698137744153	0.9827814720544517	0.9662723583290763	0.965804332255701	0.9652698109432796	0.9608563161324145	0.9636707945095322	0.9564594569596236	0.965358249263318	0.9668931164895844	0.9698175676884219	0.9658868709175629	0.9659304052454678	0.9659371380083727	0.9635194904060698	0.9641092416723227	0.9696799309404868	0.965582902915081
HMP_2012__SRS023841__bin.5	0.9672357095707588	0.9661088490962115	0.9652559810708965	0.964535106044309	0.9718888028471133	0.9656070678550293	0.9655449002455354	1.0	0.9651456674860397	0.965011839071348	0.9659491524322498	0.9666411447163872	0.9646513141017833	0.9643564253424266	0.9663146402567021	0.9715641692946325	0.96444719636876	0.9661891273319584	0.9649606437204351	0.9654224087225028	0.9654981902369724	0.9659349412856418	0.9595768596177643	0.9650207396798828	0.9575813011191017	0.9651141763492797	0.96576684860363	0.9681756013581369	0.9640507106683989	0.9653003542308464	0.9643887048396558	0.9654327567604132	0.9653356860189807	0.9692385450785016	0.9634777332711614
CM_periimplantitis__SP_381SPT_T016__bin.2	0.9665066342679247	0.9676230470151422	0.967252090653921	0.9659793550411122	0.972419617118991	0.9663427548749174	0.9649615109428678	0.9651456674860397	1.0	0.9663960910500755	0.9667309022860141	0.9682737391185956	0.9655657858603118	0.9659593595707641	0.9664123210137149	0.9724179570242578	0.9643051093562797	0.9667027237633355	0.9652003154533765	0.9668134582725533	0.9661573112617442	0.9663087773721293	0.9592239832812414	0.9655266323396123	0.9576151223403766	0.9658224397088931	0.966315787040702	0.9704289788400999	0.9658704557863462	0.9663785734637668	0.9661109995009702	0.9649272465116814	0.9655437918171836	0.9694249435524431	0.9656133735723039
HMP_2012__SRS054430__bin.16	0.9659713386560871	0.9673272541066802	0.9664307209029183	0.9669754576427356	0.9729694515607725	0.9650922907533427	0.9658219470705427	0.965011839071348	0.9663960910500755	1.0	0.9673438420943814	0.9666378339984412	0.9661149556346699	0.9660085089258081	0.9659242747431167	0.9714175997412992	0.9633336671951455	0.9652056953481603	0.9647381520421502	0.9666348277430266	0.9663106957511498	0.965397197844666	0.9608259904253105	0.9638324533777719	0.9565679400970974	0.9656066499750824	0.9670346192811164	0.9699606396352998	0.9659539922669353	0.9666308757670692	0.9664512198352362	0.9632746938189461	0.9647273430282557	0.9699090528705337	0.9664412478749365
HMP_2012__SRS021477__bin.4	0.9673091750192753	0.968237937635874	0.9674072956019515	0.9670287428835929	0.9724199282419541	0.9660715322404176	0.9667074345601001	0.9659491524322498	0.9667309022860141	0.9673438420943814	1.0	0.9699574036437497	0.9668767755046548	0.9666059645824157	0.9668395589185778	0.9715229957854494	0.9656154059516732	0.9678222009362489	0.9670328994423912	0.9672402249858059	0.9668028603438499	0.9664481647735002	0.9615030544285924	0.9660958622015174	0.9580276826136037	0.9702401137076933	0.9665338772536588	0.9715021282120238	0.9669333293973521	0.9672198409516859	0.9661128156927957	0.965949835247262	0.9671887586841776	0.9702607053279445	0.9666247171920882
HMP_2012__SRS055401__bin.15	0.9682981496977243	0.9691159504788369	0.967790418054014	0.9665821297209531	0.9712922026306475	0.9683723053415224	0.9670692850868665	0.9666411447163872	0.9682737391185956	0.9666378339984412	0.9699574036437497	1.0	0.9656067935184288	0.9655643882048134	0.9674869765547592	0.9727960233317137	0.9676417160761237	0.968211488694022	0.9672783239324708	0.9675936664360242	0.9678550507113521	0.9688539679939467	0.9601368744711533	0.9679395764009929	0.9599226460389437	0.9668627639879033	0.9666090527684217	0.9704962493134501	0.9660033804976262	0.9662546760407258	0.9663591542536903	0.9685453344559363	0.9683004225514213	0.9701420434014633	0.9657420836416007
HMP_2012__SRS018394__bin.34	0.965834626358453	0.966990454516138	0.9665093738958568	0.9663462888515655	0.9726873993443976	0.9649325155727619	0.9663120960334455	0.9646513141017833	0.9655657858603118	0.9661149556346699	0.9668767755046548	0.9656067935184288	1.0	0.9660457858383906	0.9658020152455674	0.9713141114084897	0.9631986957016653	0.9648105828591858	0.965598673450974	0.9665407112097099	0.9663542419908929	0.9653372654403765	0.9606271516961642	0.9640882762939164	0.9570729761436645	0.965881342369161	0.9672245208557436	0.9793310321375854	0.9666956159034076	0.9663443479230477	0.966438399434426	0.9622995443236583	0.9646478060674671	0.979611731847543	0.9657183666503557
CM_periimplantitis__SP_503SPT_T016__bin.7	0.9657551945331859	0.9664991463105113	0.9663800127109943	0.9663372402097951	0.9725043780928624	0.9645042738512734	0.9662249925235512	0.9643564253424266	0.9659593595707641	0.9660085089258081	0.9666059645824157	0.9655643882048134	0.9660457858383906	1.0	0.9651712720320261	0.971105354618404	0.9628501269445576	0.9643423736189505	0.9655791488673645	0.9660273758629238	0.9659899871045349	0.9650013760065937	0.9600233087265869	0.9633775623533565	0.9567518852249994	0.9662187112698482	0.9668569420382445	0.97024320838012	0.9663803586835721	0.966067146813048	0.9659994294391285	0.9624017255482115	0.9639009680079659	0.968967112600262	0.9655057972437197
HMP_2012__SRS024649__bin.21	0.96784282608286	0.9674962907647411	0.9668931557466701	0.9659990730869067	0.9721319687111472	0.9658498400234263	0.9657097023328961	0.9663146402567021	0.9664123210137149	0.9659242747431167	0.9668395589185778	0.9674869765547592	0.9658020152455674	0.9651712720320261	1.0	0.9722452518768112	0.9648710763661084	0.9668912295987429	0.9660672412405256	0.966557845288464	0.9679637324245571	0.9663640425273335	0.9602645995691745	0.9653667786838791	0.95781436469856	0.9665972457964449	0.9666365077045845	0.9701070154465379	0.9652489557713617	0.9662825251005034	0.9658316133954021	0.9649577184611439	0.9660663864953258	0.9697816976447167	0.965485877242647
HMP_2012__SRS023964__bin.4	0.9718576626576896	0.9726903959752836	0.972252336410722	0.9717749039402078	0.9774089934266248	0.9720104481140701	0.9717308692347694	0.9715641692946325	0.9724179570242578	0.9714175997412992	0.9715229957854494	0.9727960233317137	0.9713141114084897	0.971105354618404	0.9722452518768112	1.0	0.9712840280127065	0.9721073760481875	0.9711103528438624	0.9721149576580291	0.9717231194561388	0.9724818413075751	0.9654805915435621	0.97150741038579	0.9634924892553023	0.9712247333415465	0.9716069155144774	0.9743374708620235	0.9710191068395111	0.9719329836179421	0.9717858131908803	0.9742413559494224	0.971527832955409	0.974074021701823	0.9710381306567333
CM_periimplantitis__SP_187SPT_T016_R__bin.9	0.9662442422874773	0.9663967675613028	0.9653178302870303	0.9631332395469246	0.968691291343254	0.965587546812945	0.9631172923105755	0.96444719636876	0.9643051093562797	0.9633336671951455	0.9656154059516732	0.9676417160761237	0.9631986957016653	0.9628501269445576	0.9648710763661084	0.9712840280127065	1.0	0.9665946960938088	0.9630939464872567	0.9647359965799934	0.9636454412152646	0.9659282345218121	0.957028761723985	0.96588130661899	0.9583078919355369	0.963527425465327	0.9630017686059864	0.9676842386248309	0.9630585548726798	0.9635911353425406	0.9630186179077334	0.9686967944311028	0.9664105797072489	0.9672868480664907	0.9627707926009803
HMP_2012__SRS019906__bin.23	0.9680443835848497	0.9681868516498684	0.9663010314675304	0.9646089045449159	0.9715914641930896	0.966566762184291	0.9645698137744153	0.9661891273319584	0.9667027237633355	0.9652056953481603	0.9678222009362489	0.968211488694022	0.9648105828591858	0.9643423736189505	0.9668912295987429	0.9721073760481875	0.9665946960938088	1.0	0.9648756857929887	0.966170172349667	0.9661431625126167	0.966865803213138	0.9582986901854174	0.9669248576976054	0.9580200052946775	0.9665893369466549	0.9655121400388137	0.9692566301407478	0.9644668767551575	0.9653235889285222	0.9651243451154505	0.9667853623018985	0.9669530535556758	0.9689806198624255	0.9645104803964636
HMP_2012__SRS015215__bin.26	0.9658947753845849	0.9663067771318222	0.9656051700844184	0.9658582964586852	0.9721101877667397	0.964708617916956	0.9827814720544517	0.9649606437204351	0.9652003154533765	0.9647381520421502	0.9670328994423912	0.9672783239324708	0.965598673450974	0.9655791488673645	0.9660672412405256	0.9711103528438624	0.9630939464872567	0.9648756857929887	1.0	0.9657546252394218	0.9659586583026991	0.965154962733154	0.9601776135735992	0.9626908519304554	0.9560843087932989	0.9655486668951847	0.9665409716463278	0.9693595491442892	0.9649436837547156	0.9654910361849723	0.9653202407966968	0.9633788003140497	0.9641090109069427	0.969379540782182	0.9652089299252942
HMP_2012__SRS011255__bin.28	0.9669608510939881	0.9672694746287356	0.9974907394421921	0.9662926338663025	0.9728804264687122	0.9669666922381521	0.9662723583290763	0.9654224087225028	0.9668134582725533	0.9666348277430266	0.9672402249858059	0.9675936664360242	0.9665407112097099	0.9660273758629238	0.966557845288464	0.9721149576580291	0.9647359965799934	0.966170172349667	0.9657546252394218	1.0	0.9668492106743938	0.967339933913531	0.9605422006658833	0.9650835253289073	0.9591437199007994	0.9664343622675959	0.9668199693906903	0.9904083785819174	0.9658905807641158	0.9665486627299286	0.9665149615952451	0.9647494399227641	0.9662116943526635	0.9703614096315006	0.9653309073260479
HMP_2012__SRS017445__bin.44	0.9654454048053287	0.966316275488303	0.9671068579675078	0.9666339905933693	0.9723730066678027	0.9659399108418314	0.965804332255701	0.9654981902369724	0.9661573112617442	0.9663106957511498	0.9668028603438499	0.9678550507113521	0.9663542419908929	0.9659899871045349	0.9679637324245571	0.9717231194561388	0.9636454412152646	0.9661431625126167	0.9659586583026991	0.9668492106743938	1.0	0.9661659232859768	0.9603548923515812	0.9648215679494381	0.9585606768356278	0.9666872204636254	0.9674070217064413	0.9698692398512193	0.9660132287586526	0.966560002927266	0.9671979459510669	0.9636583625727453	0.9666720231252928	0.9694787492660776	0.9657032548999849
HMP_2012__SRS052604__bin.17	0.9678853975884194	0.9693465822533376	0.9674198342735459	0.9647601048240876	0.9723133458910371	0.9991885421091977	0.9652698109432796	0.9659349412856418	0.9663087773721293	0.965397197844666	0.9664481647735002	0.9688539679939467	0.9653372654403765	0.9650013760065937	0.9663640425273335	0.9724818413075751	0.9659282345218121	0.966865803213138	0.965154962733154	0.967339933913531	0.9661659232859768	1.0	0.9594636235054118	0.9665035206848055	0.9881326496706275	0.9659941760697357	0.9661607222649685	0.9702522795799894	0.9658017415298198	0.9653353752910027	0.9653368460146414	0.966415976089379	0.9662602276699115	0.969953930222944	0.9652265277684479
CM_periimplantitis__SP_502SPI_T016__bin.10	0.9593329599788031	0.9613105263247584	0.9604033689828017	0.9603427506624268	0.9717117716150743	0.9593867372167753	0.9608563161324145	0.9595768596177643	0.9592239832812414	0.9608259904253105	0.9615030544285924	0.9601368744711533	0.9606271516961642	0.9600233087265869	0.9602645995691745	0.9654805915435621	0.957028761723985	0.9582986901854174	0.9601776135735992	0.9605422006658833	0.9603548923515812	0.9594636235054118	1.0	0.9575425154204027	0.9520152307522158	0.9610790130875518	0.9607557009089561	0.9645847980682444	0.9601424138240827	0.9598477702842093	0.959625110498888	0.9574036011070877	0.9582431967028203	0.9632520701891323	0.9593754088152339
