	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	NielsenHB_2014__V1_UC11_5__bin.65	FengQ_2015__SID31501__bin.38	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	VincentC_2016__MM050.4__bin.76	VincentC_2016__MM040.2__bin.6	VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	NielsenHB_2014__V1_UC11_0__bin.34	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	VincentC_2016__MM048.2__bin.19	LiJ_2014__V1.CD2-0-PN__bin.29	GeversD_2014__SKBSTL008__bin.31	FengQ_2015__SID31137__bin.50	LeChatelierE_2013__MH0333__bin.15	LeChatelierE_2013__MH0239__bin.19	VogtmannE_2016__MMRS71238091ST-27-0-0__bin.5	VatanenT_2016__G80352__bin.1	GeversD_2014__SKBSTL027__bin.15	LeChatelierE_2013__MH0233__bin.36	XieH_2016__YSZC12003_37191R1__bin.28	VincentC_2016__MM090.2__bin.4	BackhedF_2015__SID590_12M__bin.22	RaymondF_2016__P12E90__bin.6	FengQ_2015__SID31337__bin.11	BackhedF_2015__SID503_12M__bin.13	BackhedF_2015__SID345_4M__bin.10	GeversD_2014__SKBSTL006__bin.15	BackhedF_2015__SID103_12M__bin.6	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.24	BackhedF_2015__SID9_12M__bin.24	BackhedF_2015__SID172_12M__bin.33	HeQ_2017__SZAXPI029495-96__bin.34	ZellerG_2014__CCIS24254057ST-4-0__bin.27
VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	1.0	0.9879083484268524	0.9983929238190387	0.9885792226683647	0.9863189874082191	0.999482387504617	0.9868450061175109	0.9983420032999082	0.9856021701156309	0.999479023511945	0.986532185845511	0.988718443517732	0.9784516410503011	0.9949797665679133	0.9874010502390469	0.9854330532917407	0.9888315703930152	0.9867457113069851	0.9871544783621478	0.9932886919143485	0.9873477270677553	0.9859489154787804	0.9888836895534198	0.9870510479336839	0.9943464236959348	0.9864012946690878	0.9994164996444043	0.9866911779388197	0.9882581140915313	0.9867383246015141	0.9861759234281654	0.9868377308048087	0.9994469237221809
NielsenHB_2014__V1_UC11_5__bin.65	0.9879083484268524	1.0	0.9870269787925353	0.9868673590226124	0.998587153291127	0.9877456280353198	0.9987956803390501	0.9885615487763596	0.997965347228956	0.9877574836006153	0.9869170673840407	0.987099007148825	0.9783904092614927	0.9871305969531151	0.9870612852728495	0.9862528874197845	0.9873646254372298	0.9865037298108792	0.9862272064135803	0.9886755275526695	0.998458865947824	0.9864908212212513	0.987881483969935	0.9862987870150722	0.98680139344742	0.9986211119950292	0.9878690300208045	0.9871598626233999	0.9868065744957022	0.9873409419721859	0.9868930703734687	0.9875926142693421	0.9878607879123231
FengQ_2015__SID31501__bin.38	0.9983929238190387	0.9870269787925353	1.0	0.9875990564247326	0.9855942018136565	0.9980092717217988	0.9860611653206478	0.9973531224806937	0.9845755368109641	0.9983058931656323	0.9857132875113208	0.9871349457888655	0.9777438254748968	0.99412924233862	0.9864987625277666	0.9847619252096017	0.9877834235602821	0.9858090108954526	0.9862217180623472	0.992825701268174	0.986519861122502	0.9852201638350696	0.9878155876308111	0.9860246124434034	0.9930667917612496	0.985780509677842	0.9981330332272706	0.9859153557113136	0.987469761714237	0.9859134954580968	0.9854317887431495	0.9865897447819361	0.9977312402967052
VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	0.9885792226683647	0.9868673590226124	0.9875990564247326	1.0	0.9866915522185916	0.9883247055481046	0.9864644331111475	0.9882186399910617	0.9860709498625109	0.9884244202594441	0.986765337483197	0.9973417953192707	0.9782316220651469	0.9880469557856557	0.9868332752985753	0.9859084663700602	0.9980341005231851	0.9866490727855217	0.9868917567527166	0.9889170196050491	0.9867866006045164	0.986991500260863	0.9957896141358094	0.988273685877051	0.9882402118569915	0.9863908314669534	0.9884480626508998	0.9869666481094499	0.9975069178361354	0.987224068303979	0.9864069499476615	0.9870303573141205	0.9879387981103565
VincentC_2016__MM050.4__bin.76	0.9863189874082191	0.998587153291127	0.9855942018136565	0.9866915522185916	1.0	0.9862297083598341	0.9986652819344958	0.9871618291397943	0.9987725883758716	0.9861416892969672	0.9868779568407752	0.986819017216238	0.9784968243126141	0.9855836190788925	0.9868103800807446	0.9861041970435611	0.9868055518814368	0.9861268946707592	0.985559608933982	0.9878744807563421	0.9983851846381913	0.9862886333806327	0.9875392581786616	0.9858732097966043	0.9856539356841107	0.9985763004996188	0.9863222589313617	0.9870917861596722	0.9865383545014058	0.9874766702654006	0.9868244208893795	0.9875221641135342	0.9862544401978866
VincentC_2016__MM040.2__bin.6	0.999482387504617	0.9877456280353198	0.9980092717217988	0.9883247055481046	0.9862297083598341	1.0	0.9868161465238688	0.998093867724318	0.9856160946858088	0.9990188108684035	0.9865838057283295	0.988723063005932	0.9784081278681335	0.994801813819041	0.9872910797134165	0.9854427103975977	0.9892096580090385	0.9865970712082824	0.9870485928949255	0.9934425654678365	0.9871631413298384	0.9860289171232387	0.9888941956107984	0.9870223829891162	0.9942031993942114	0.9863191046890771	0.9990408558473897	0.9865900806573008	0.9884446011147411	0.9868461373671695	0.9863034415657833	0.9868010347944617	0.9987620600184971
VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	0.9868450061175109	0.9987956803390501	0.9860611653206478	0.9864644331111475	0.9986652819344958	0.9868161465238688	1.0	0.9876828674227902	0.9981495402189131	0.9866510786795327	0.986816246593155	0.9863095035516163	0.9781561153323987	0.9859455410626997	0.9867631890432986	0.9862387192465608	0.9865047734152651	0.9862831887440466	0.9861670465834327	0.9883121922798092	0.9985900820754718	0.9858177089513662	0.9875449421621706	0.9863002552043609	0.9862024877458618	0.9987821396459602	0.9868714752415689	0.9869401201166382	0.9867443129927252	0.9874152009031819	0.9868677371706139	0.9876146773052151	0.9869698597137398
NielsenHB_2014__V1_UC11_0__bin.34	0.9983420032999082	0.9885615487763596	0.9973531224806937	0.9882186399910617	0.9871618291397943	0.998093867724318	0.9876828674227902	1.0	0.9864326083034067	0.9981471925698896	0.9863662831888612	0.9879523278431495	0.9780712149139311	0.9944507858347559	0.9870820817459778	0.9853586365056038	0.9884370403108381	0.9865449830819846	0.9868272716679647	0.9928356275185103	0.9880284490650455	0.985897117934434	0.9883083489091858	0.9867656940080002	0.9935223131778406	0.9871901771983189	0.998096853928878	0.9864624925565836	0.9879819168904765	0.9865900524233999	0.9860478877739177	0.9870688249098193	0.9981861084746294
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	0.9856021701156309	0.997965347228956	0.9845755368109641	0.9860709498625109	0.9987725883758716	0.9856160946858088	0.9981495402189131	0.9864326083034067	1.0	0.9854782813983958	0.9863069957115203	0.9860501649695667	0.977591282223665	0.9852934949772338	0.9861965988862705	0.9856188686320669	0.9863249582081673	0.9853339588744836	0.9852451864993924	0.9870896357791629	0.9977342461332182	0.985607945196781	0.9870103034686153	0.9849575900554155	0.9849643555695116	0.9981042178015204	0.9857677505088194	0.9864967952516049	0.9858195996479951	0.9866853122465936	0.9861955476639892	0.9868859960119211	0.9854810733949051
VincentC_2016__MM048.2__bin.19	0.999479023511945	0.9877574836006153	0.9983058931656323	0.9884244202594441	0.9861416892969672	0.9990188108684035	0.9866510786795327	0.9981471925698896	0.9854782813983958	1.0	0.986543299998598	0.9886039690940502	0.9788832273992751	0.9948493315504879	0.9872887265504319	0.9855085906485724	0.9889521533892831	0.9863170618822993	0.9873871886642771	0.9935858802533886	0.9870631110036616	0.9861929880553338	0.9886129509874854	0.9873886343735816	0.9942211961426674	0.9864336388472724	0.998985372021761	0.9867776121640311	0.9882418887274705	0.9869246753327249	0.9863163021237623	0.9873661611119422	0.9988128789071476
