	YuJ_2015__SZAXPI017466-84__bin.1	ChengpingW_2017__AS38raw__bin.40	LiuW_2016__SRR3993022__bin.81	HeQ_2017__SZAXPI029467-166__bin.15	HeQ_2017__SZAXPI029567-80__bin.66	XieH_2016__YSZC12003_35506__bin.88	QinJ_2012__CON-108__bin.6	CosteaPI_2017__SID713B026-11-0-0__bin.6	YuJ_2015__SZAXPI017455-21__bin.42	CosteaPI_2017__SID713B058-11-90-0__bin.1	QinJ_2012__T2D-098__bin.29	QinJ_2012__T2D-039__bin.54	QinJ_2012__DLM018__bin.21	XieH_2016__YSZC12003_37254__bin.61	QinJ_2012__T2D-102__bin.23	ZellerG_2014__CCIS90164298ST-4-0__bin.20	HeQ_2017__RSZAXPI003104-142__bin.39	ZeeviD_2015__PNP_Main_110__bin.52	BritoIL_2016__M1.52.ST__bin.92	ZeeviD_2015__PNP_Main_412__bin.35	QinJ_2012__DLF014__bin.16	QinJ_2012__T2D-071__bin.20	QinJ_2012__T2D-103__bin.23	YuJ_2015__SZAXPI015249-37__bin.39	ZeeviD_2015__PNP_Main_667__bin.9	KarlssonFH_2013__S80__bin.16
YuJ_2015__SZAXPI017466-84__bin.1	2233985.0	2112798.0	2085964.0	2146887.0	2097636.0	2097986.0	1218576.0	2100704.0	2119640.0	1783651.0	2029189.0	1626195.0	2080471.0	1109697.0	2042665.0	2065471.0	2064891.0	2027497.0	1817454.0	1901577.0	2114272.0	2135584.0	2150649.0	1995089.0	1930101.0	1075590.0
ChengpingW_2017__AS38raw__bin.40	2112798.0	2245804.0	2044950.0	2113095.0	2109890.0	2071743.0	1204271.0	2075837.0	2106329.0	1781591.0	2039290.0	1622696.0	2045516.0	1122713.0	1988500.0	2015709.0	2061246.0	1967413.0	1819333.0	1924498.0	2076409.0	2105619.0	2111875.0	2010029.0	1925704.0	1067285.0
LiuW_2016__SRR3993022__bin.81	2085964.0	2044950.0	2177131.0	2069591.0	2058225.0	2017035.0	1199079.0	2049869.0	2060112.0	1774933.0	1988283.0	1581549.0	1983393.0	1099322.0	1983159.0	2019469.0	2002540.0	1985719.0	1782734.0	1857766.0	2057447.0	2077080.0	2084881.0	1963445.0	1887581.0	1046295.0
HeQ_2017__SZAXPI029467-166__bin.15	2146887.0	2113095.0	2069591.0	2315291.0	2107358.0	2097340.0	1216654.0	2126069.0	2151360.0	1795530.0	2052880.0	1628298.0	2094063.0	1115729.0	2047576.0	2040531.0	2055168.0	2018551.0	1833097.0	1919371.0	2118549.0	2142161.0	2158381.0	2018138.0	1941832.0	1069981.0
HeQ_2017__SZAXPI029567-80__bin.66	2097636.0	2109890.0	2058225.0	2107358.0	2309844.0	2075447.0	1206759.0	2078751.0	2112220.0	1783641.0	2049089.0	1643299.0	2024912.0	1137271.0	2004010.0	2014813.0	2065710.0	1960171.0	1826576.0	1899740.0	2080373.0	2130890.0	2108272.0	1994343.0	1921554.0	1070154.0
XieH_2016__YSZC12003_35506__bin.88	2097986.0	2071743.0	2017035.0	2097340.0	2075447.0	2212339.0	1190603.0	2070277.0	2061391.0	1745900.0	2016439.0	1620988.0	2054149.0	1095231.0	1979785.0	1997183.0	2030157.0	1948802.0	1770078.0	1852950.0	2058624.0	2076451.0	2074826.0	1965052.0	1855782.0	1046313.0
QinJ_2012__CON-108__bin.6	1218576.0	1204271.0	1199079.0	1216654.0	1206759.0	1190603.0	1268270.0	1196154.0	1210326.0	1064154.0	1177127.0	986945.0	1186743.0	702540.0	1177740.0	1180439.0	1189699.0	1148996.0	1042932.0	1079549.0	1205150.0	1225454.0	1218667.0	1181837.0	1096580.0	673770.0
CosteaPI_2017__SID713B026-11-0-0__bin.6	2100704.0	2075837.0	2049869.0	2126069.0	2078751.0	2070277.0	1196154.0	2312560.0	2085046.0	1790695.0	2026900.0	1616649.0	2061336.0	1102608.0	1992482.0	2026741.0	2032830.0	2025857.0	1787272.0	1881830.0	2114327.0	2105734.0	2118942.0	2002028.0	1900954.0	1065372.0
YuJ_2015__SZAXPI017455-21__bin.42	2119640.0	2106329.0	2060112.0	2151360.0	2112220.0	2061391.0	1210326.0	2085046.0	2347574.0	1782109.0	2027926.0	1634665.0	2064418.0	1120590.0	2012689.0	2026006.0	2040722.0	1978456.0	1820528.0	1906220.0	2097858.0	2156685.0	2124631.0	2030282.0	1941390.0	1091535.0
CosteaPI_2017__SID713B058-11-90-0__bin.1	1783651.0	1781591.0	1774933.0	1795530.0	1783641.0	1745900.0	1064154.0	1790695.0	1782109.0	1868272.0	1729096.0	1336193.0	1735815.0	997477.0	1715618.0	1720660.0	1744814.0	1703061.0	1595343.0	1646805.0	1778237.0	1779644.0	1782408.0	1709143.0	1651989.0	914192.0
QinJ_2012__T2D-098__bin.29	2029189.0	2039290.0	1988283.0	2052880.0	2049089.0	2016439.0	1177127.0	2026900.0	2027926.0	1729096.0	2128299.0	1612711.0	2012897.0	1086807.0	1925292.0	1932544.0	1990778.0	1908999.0	1747379.0	1836692.0	2040483.0	2043763.0	2037931.0	1972129.0	1844112.0	1044515.0
QinJ_2012__T2D-039__bin.54	1626195.0	1622696.0	1581549.0	1628298.0	1643299.0	1620988.0	986945.0	1616649.0	1634665.0	1336193.0	1612711.0	1712889.0	1627680.0	870221.0	1562899.0	1556361.0	1576765.0	1539305.0	1379605.0	1446216.0	1627419.0	1647603.0	1634961.0	1568326.0	1452195.0	945482.0
