	CM_cf__CF_TNFC002SA_t1M15__bin.23	HMP_2012__SRS044373__bin.34	HMP_2012__SRS075404__bin.1	HMP_2012__SRS057539__bin.13	HMP_2012__SRS019327__bin.34	HMP_2012__SRS043663__bin.42	HMP_2012__SRS017209__bin.9	HMP_2012__SRS057205__bin.27	HMP_2012__SRS019122__bin.44	HMP_2012__SRS011306__bin.62	HMP_2012__SRS018739__bin.5	HMP_2012__SRS014271__bin.8	HMP_2012__SRS018439__bin.36	HMP_2012__SRS045715__bin.40	HMP_2012__SRS019126__bin.59	HMP_2012__SRS024081__bin.34	HMP_2012__SRS078182__bin.43	HMP_2012__SRS019127__bin.43	HMP_2012__SRS016319__bin.52	HMP_2012__SRS048791__bin.59	HMP_2012__SRS016225__bin.42	HMP_2012__SRS019071__bin.66	HMP_2012__SRS019607__bin.64	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13	HMP_2012__SRS013705__bin.70	HMP_2012__SRS062761__bin.52
CM_cf__CF_TNFC002SA_t1M15__bin.23	0.0	58670.0	55861.0	40587.0	25631.0	42576.0	32511.0	49063.0	60708.0	36286.0	27845.0	58514.0	53589.0	59397.0	54381.0	53015.0	57581.0	54714.0	50937.0	51435.0	36958.0	25311.0	52692.0	48039.0	53749.0	45417.0
HMP_2012__SRS044373__bin.34	58670.0	0.0	59842.0	41113.0	28179.0	42728.0	35929.0	60281.0	60262.0	37978.0	29129.0	61639.0	53647.0	61329.0	55149.0	56127.0	61767.0	54181.0	53829.0	54821.0	38707.0	28402.0	54231.0	47585.0	55591.0	46047.0
HMP_2012__SRS075404__bin.1	55861.0	59842.0	0.0	40833.0	26646.0	44063.0	35427.0	58164.0	62528.0	36484.0	29360.0	60731.0	55149.0	61527.0	55744.0	55541.0	59155.0	55415.0	50061.0	52245.0	33575.0	27251.0	52071.0	48192.0	54321.0	47693.0
HMP_2012__SRS057539__bin.13	40587.0	41113.0	40833.0	0.0	21558.0	31392.0	27409.0	42151.0	43252.0	28294.0	22367.0	43462.0	39699.0	41366.0	39896.0	39559.0	43059.0	40720.0	37531.0	38621.0	29377.0	20996.0	38193.0	35147.0	39782.0	33259.0
HMP_2012__SRS019327__bin.34	25631.0	28179.0	26646.0	21558.0	0.0	22395.0	19350.0	27057.0	26805.0	19768.0	16860.0	27732.0	25984.0	28281.0	25813.0	27140.0	27507.0	24334.0	25659.0	27102.0	19903.0	15012.0	26712.0	22889.0	25941.0	23203.0
HMP_2012__SRS043663__bin.42	42576.0	42728.0	44063.0	31392.0	22395.0	0.0	29723.0	43717.0	43808.0	30316.0	23738.0	44376.0	41092.0	43900.0	41388.0	42885.0	44135.0	39941.0	39829.0	41021.0	30196.0	22824.0	41101.0	35595.0	40599.0	724.0
HMP_2012__SRS017209__bin.9	32511.0	35929.0	35427.0	27409.0	19350.0	29723.0	0.0	33516.0	36112.0	25661.0	19693.0	35795.0	34404.0	37165.0	33698.0	34064.0	22862.0	33240.0	32720.0	34209.0	25338.0	18309.0	34965.0	31205.0	35060.0	29867.0
HMP_2012__SRS057205__bin.27	49063.0	60281.0	58164.0	42151.0	27057.0	43717.0	33516.0	0.0	61371.0	37200.0	27842.0	60242.0	54852.0	62806.0	55879.0	55112.0	60232.0	55111.0	52560.0	52430.0	38149.0	26930.0	54336.0	48519.0	54877.0	47740.0
HMP_2012__SRS019122__bin.44	60708.0	60262.0	62528.0	43252.0	26805.0	43808.0	36112.0	61371.0	0.0	38070.0	29749.0	63794.0	56664.0	63205.0	831.0	58963.0	63007.0	542.0	54804.0	55305.0	39232.0	28053.0	54065.0	50287.0	57395.0	47398.0
HMP_2012__SRS011306__bin.62	36286.0	37978.0	36484.0	28294.0	19768.0	30316.0	25661.0	37200.0	38070.0	0.0	20951.0	37957.0	36475.0	39334.0	36214.0	35790.0	38204.0	35484.0	21457.0	34664.0	26611.0	19745.0	35304.0	31899.0	34668.0	31910.0
HMP_2012__SRS018739__bin.5	27845.0	29129.0	29360.0	22367.0	16860.0	23738.0	19693.0	27842.0	29749.0	20951.0	0.0	29416.0	27584.0	30687.0	28237.0	28317.0	29703.0	27531.0	27878.0	27658.0	21145.0	15860.0	28313.0	24070.0	27787.0	25709.0
HMP_2012__SRS014271__bin.8	58514.0	61639.0	60731.0	43462.0	27732.0	44376.0	35795.0	60242.0	63794.0	37957.0	29416.0	0.0	56200.0	64692.0	57203.0	59423.0	63367.0	56268.0	53844.0	54268.0	38752.0	27069.0	55394.0	49335.0	56428.0	47827.0
HMP_2012__SRS018439__bin.36	53589.0	53647.0	55149.0	39699.0	25984.0	41092.0	34404.0	54852.0	56664.0	36475.0	27584.0	56200.0	0.0	55369.0	52390.0	51591.0	56919.0	51403.0	49412.0	49959.0	37004.0	26211.0	50256.0	46283.0	52785.0	43956.0
HMP_2012__SRS045715__bin.40	59397.0	61329.0	61527.0	41366.0	28281.0	43900.0	37165.0	62806.0	63205.0	39334.0	30687.0	64692.0	55369.0	0.0	57243.0	58805.0	63769.0	56972.0	55275.0	55394.0	39431.0	29930.0	55342.0	49186.0	56624.0	45979.0
HMP_2012__SRS019126__bin.59	54381.0	55149.0	55744.0	39896.0	25813.0	41388.0	33698.0	55879.0	831.0	36214.0	28237.0	57203.0	52390.0	57243.0	0.0	54515.0	56370.0	1125.0	49766.0	51830.0	37616.0	27123.0	50285.0	45472.0	51655.0	44922.0
HMP_2012__SRS024081__bin.34	53015.0	56127.0	55541.0	39559.0	27140.0	42885.0	34064.0	55112.0	58963.0	35790.0	28317.0	59423.0	51591.0	58805.0	54515.0	0.0	58898.0	52510.0	50995.0	51068.0	36293.0	26187.0	53303.0	45880.0	52156.0	46658.0
HMP_2012__SRS078182__bin.43	57581.0	61767.0	59155.0	43059.0	27507.0	44135.0	22862.0	60232.0	63007.0	38204.0	29703.0	63367.0	56919.0	63769.0	56370.0	58898.0	0.0	56167.0	52868.0	54732.0	38415.0	26676.0	51404.0	49922.0	55816.0	47515.0
